1.119749707, Sport: ,Soccer, Time: ,Thu Aug 06 19:45:00 CEST 2015, Time: ,Thu Aug 06 19:45:00 CEST 2015, Event: ,FC Copenhagen v FK Jablonec, Favorite: ,FC Copenhagen, 28217   size:48.45,Price: ,2.06,The Draw, 58805   size:540.62,Price: ,3.6,FK Jablonec, 367578   size:135.28,Price: ,4.1,x
1.119853778, Sport: ,Soccer, Time: ,Thu Aug 06 19:30:00 CEST 2015, Time: ,Thu Aug 06 19:30:00 CEST 2015, Event: ,KR Reykjavik U19 v Haukar U19, Favorite: ,Haukar U19, 6391924   size:2.03,Price: ,1.09,The Draw, 58805   size:11.02,Price: ,1.29,x
1.119870219, Sport: ,Snooker, Time: ,Thu Aug 06 20:00:00 CEST 2015, Time: ,Thu Aug 06 20:00:00 CEST 2015, Event: ,Poomjaeng v Muir, Favorite: ,Dechawat Poomjaeng, 5722690   size:5.97,Price: ,1.46,Ross Muir, 7303690   size:2.2,Price: ,2.92,ok
1.119751062, Sport: ,Soccer, Time: ,Thu Aug 06 22:15:00 CEST 2015, Time: ,Thu Aug 06 22:15:00 CEST 2015, Event: ,Guimaraes v SCR Altach, Favorite: ,Guimaraes, 50085   size:350.2,Price: ,1.57,The Draw, 58805   size:135.92,Price: ,4.1,SCR Altach, 872710   size:48.57,Price: ,7.2,x
1.119747749, Sport: ,Soccer, Time: ,Thu Aug 06 18:00:00 CEST 2015, Time: ,Thu Aug 06 18:00:00 CEST 2015, Event: ,Omonia v Brondby, Favorite: ,Omonia, 1209587   size:7.17,Price: ,2.3,The Draw, 58805   size:4066.13,Price: ,3.3,Brondby, 28223   size:925.77,Price: ,3.7,x
1.119852968, Sport: ,Soccer, Time: ,Thu Aug 06 20:30:00 CEST 2015, Time: ,Thu Aug 06 20:30:00 CEST 2015, Event: ,Sliema Wanderers v Senglea Athletic FC, Favorite: ,Senglea Athletic FC, 8053871   size:2.03,Price: ,1.09,The Draw, 58805   size:11.02,Price: ,1.29,x
1.119874118, Sport: ,Tennis, Time: ,Thu Aug 06 23:30:00 CEST 2015, Time: ,Thu Aug 06 23:30:00 CEST 2015, Event: ,Kudryavtsev/Pavlyuchenk v Rae/Smith, Favorite: ,Kudryavtsev/Pavlyuchenk, 9144497   size:110.26,Price: ,1.47,Rae/Smith, 8621531   size:8.07,Price: ,2.82,ok
1.119855839, Sport: ,Tennis, Time: ,Thu Aug 06 22:00:00 CEST 2015, Time: ,Thu Aug 06 22:00:00 CEST 2015, Event: ,E Makarova v N Broady, Favorite: ,Ekaterina Makarova, 2453959   size:11426.31,Price: ,1.11,Naomi Broady, 3960538   size:14.14,Price: ,9.0,ok
1.119873981, Sport: ,Tennis, Time: ,Thu Aug 06 22:00:00 CEST 2015, Time: ,Thu Aug 06 22:00:00 CEST 2015, Event: ,Fel Lopez v Groth, Favorite: ,Feliciano Lopez, 2265109   size:149.51,Price: ,1.7,Sam Groth, 8639819   size:5.0,Price: ,2.38,x
1.119750855, Sport: ,Soccer, Time: ,Thu Aug 06 21:00:00 CEST 2015, Time: ,Thu Aug 06 21:00:00 CEST 2015, Event: ,Legia Warsaw v FK Kukesi, Favorite: ,Legia Warsaw, 46943   size:2695.02,Price: ,1.2,The Draw, 58805   size:150.05,Price: ,8.2,FK Kukesi, 7391246   size:19.11,Price: ,18.5,ok
