1.121960401, Sport: ,Soccer, Time: ,Sun Nov 22 19:00:00 CET 2015, Time: ,Sun Nov 22 19:00:00 CET 2015, Event: ,AA Portuguesa RJ v Resende, Favorite: ,AA Portuguesa RJ, 9429209   size:2.79,Price: ,2.02,Resende, 2763329   size:2.51,Price: ,2.24,The Draw, 58805   size:2.32,Price: ,2.42,x
1.121938173, Sport: ,Basketball, Time: ,Sun Nov 22 19:00:00 CET 2015, Time: ,Sun Nov 22 19:00:00 CET 2015, Event: ,Jagodina v OKK Beograd, Favorite: ,OKK Beograd, 7735982   size:199.51,Price: ,1.36,Jagodina, 8834845   size:11.0,Price: ,3.35,ok
1.121954400, Sport: ,Soccer, Time: ,Sun Nov 22 21:00:00 CET 2015, Time: ,Sun Nov 22 21:00:00 CET 2015, Event: ,Montego Bay Utd v UWI FC, Favorite: ,Montego Bay Utd, 10105826   size:4.22,Price: ,1.08,UWI FC, 8115116   size:4.22,Price: ,1.08,The Draw, 58805   size:10.98,Price: ,2.88,x
1.121866337, Sport: ,Soccer, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,Eldense v Alcoyano, Favorite: ,Alcoyano, 1321438   size:0.0,Price: ,0.0,Eldense, 2250350   size:2.55,Price: ,2.62,The Draw, 58805   size:3.06,Price: ,3.25,x
1.121788888, Sport: ,Soccer, Time: ,Sun Nov 22 20:00:00 CET 2015, Time: ,Sun Nov 22 20:00:00 CET 2015, Event: ,Atletico MG v Goias, Favorite: ,Atletico MG, 361329   size:289.53,Price: ,1.53,Goias, 198131   size:157.22,Price: ,6.8,The Draw, 58805   size:11.39,Price: ,4.7,x
1.121817049, Sport: ,Soccer, Time: ,Mon Nov 23 06:00:00 CET 2015, Time: ,Mon Nov 23 06:00:00 CET 2015, Event: ,Kanazawa v Omiya, Favorite: ,Omiya, 1080509   size:122.87,Price: ,2.16,Kanazawa, 9280258   size:108.15,Price: ,3.95,The Draw, 58805   size:29.03,Price: ,3.45,ok
1.121866331, Sport: ,Soccer, Time: ,Sun Nov 22 18:00:00 CET 2015, Time: ,Sun Nov 22 18:00:00 CET 2015, Event: ,Cornella v Hercules, Favorite: ,Cornella, 8792394   size:89.61,Price: ,2.76,Hercules, 248015   size:9.55,Price: ,2.88,The Draw, 58805   size:27.33,Price: ,3.15,x
1.121938181, Sport: ,Basketball, Time: ,Sun Nov 22 19:00:00 CET 2015, Time: ,Sun Nov 22 19:00:00 CET 2015, Event: ,Basquet Manresa v Murcia, Favorite: ,Murcia, 2111197   size:4.59,Price: ,1.83,Basquet Manresa, 2728338   size:185.31,Price: ,2.08,x
1.121925514, Sport: ,Ice Hockey, Time: ,Sun Nov 22 19:05:00 CET 2015, Time: ,Sun Nov 22 19:05:00 CET 2015, Event: ,Los Angeles @ Carolina, Favorite: ,Los Angeles, 2112286   size:119.22,Price: ,2.14,Carolina, 2108027   size:103.62,Price: ,3.25,Tie, 60104   size:2.56,Price: ,4.2,x
1.121743615, Sport: ,American Football, Time: ,Sun Nov 22 19:00:00 CET 2015, Time: ,Sun Nov 22 19:00:00 CET 2015, Event: ,Denver @ Chicago, Favorite: ,Denver Broncos, 50211   size:133.54,Price: ,1.83,Chicago Bears, 50194   size:957.29,Price: ,2.18,ok
