1.119793341, Sport: ,Soccer, Time: ,Sun Aug 09 10:15:00 CEST 2015, Time: ,Sun Aug 09 10:15:00 CEST 2015, Event: ,Vysehrad v Vlasim, Favorite: ,Vlasim, 5866799   size:6.41,Price: ,1.82,The Draw, 58805   size:5.22,Price: ,3.7,Vysehrad, 7589995   size:2.55,Price: ,4.2,x
1.119929720, Sport: ,Soccer, Time: ,Sun Aug 09 11:00:00 CEST 2015, Time: ,Sun Aug 09 11:00:00 CEST 2015, Event: ,Metalurg Zaporizhya U19 v FC Volyn Lutsk U19, Favorite: ,Metalurg Zaporizhya U19, 6534953   size:2.55,Price: ,1.27,FC Volyn Lutsk U19, 6599957   size:5.0,Price: ,2.04,The Draw, 58805   size:5.0,Price: ,3.3,x
1.119793229, Sport: ,Soccer, Time: ,Sun Aug 09 10:15:00 CEST 2015, Time: ,Sun Aug 09 10:15:00 CEST 2015, Event: ,Sigma Olomouc B v Usti nad Labem, Favorite: ,Sigma Olomouc B, 10079892   size:2.53,Price: ,1.99,The Draw, 58805   size:22.88,Price: ,3.45,Usti Nad Labem, 3358865   size:3.86,Price: ,3.8,x
1.119934105, Sport: ,Soccer, Time: ,Sun Aug 09 09:00:00 CEST 2015, Time: ,Sun Aug 09 09:00:00 CEST 2015, Event: ,UP Fighting Maroons (S) v UE R Warrios (S), Favorite: ,UE R Warrios (S), 10135590   size:5.92,Price: ,1.2,The Draw, 58805   size:9.93,Price: ,3.3,x
1.119942828, Sport: ,Tennis, Time: ,Sun Aug 09 10:45:00 CEST 2015, Time: ,Sun Aug 09 10:45:00 CEST 2015, Event: ,Garin v Gorsic, Favorite: ,Christian Garin, 6670624   size:2.55,Price: ,1.11,David Gorsic, 9631866   size:2.55,Price: ,1.85,ok
1.119942948, Sport: ,Snooker, Time: ,Sun Aug 09 11:00:00 CEST 2015, Time: ,Sun Aug 09 11:00:00 CEST 2015, Event: ,Selt v Swail, Favorite: ,Matthew Selt, 2725267   size:2.55,Price: ,1.48,Joe Swail, 2280125   size:6.04,Price: ,2.7,ok
1.119940603, Sport: ,Tennis, Time: ,Sun Aug 09 09:00:00 CEST 2015, Time: ,Sun Aug 09 09:00:00 CEST 2015, Event: ,Tsitsipas v Durasovic, Favorite: ,Viktor Durasovic, 9631478   size:86.53,Price: ,1.03,Stefanos Tsitsipas, 9193006   size:5.92,Price: ,1.19,ok
1.119942947, Sport: ,Snooker, Time: ,Sun Aug 09 11:00:00 CEST 2015, Time: ,Sun Aug 09 11:00:00 CEST 2015, Event: ,Milkins v Gerard Greene, Favorite: ,Robert Milkins, 2278803   size:5.92,Price: ,1.45,Gerard Greene, 2278864   size:5.64,Price: ,2.82,ok
1.119933935, Sport: ,Soccer, Time: ,Sun Aug 09 07:00:00 CEST 2015, Time: ,Sun Aug 09 07:00:00 CEST 2015, Event: ,Ateneo B Eagles (S) v Lyceum Pirates (S), Favorite: ,Lyceum Pirates (S), 10135542   size:12.24,Price: ,1.06,The Draw, 58805   size:10.93,Price: ,1.29,x
1.119930061, Sport: ,Soccer, Time: ,Sun Aug 09 12:00:00 CEST 2015, Time: ,Sun Aug 09 12:00:00 CEST 2015, Event: ,Hai Phong v Dong Nai, Favorite: ,Hai Phong, 9109500   size:2.61,Price: ,1.43,The Draw, 58805   size:2.24,Price: ,4.1,Dong Nai, 9094955   size:2.1,Price: ,6.0,ok
1.119936147, Sport: ,Soccer, Time: ,Sun Aug 09 10:30:00 CEST 2015, Time: ,Sun Aug 09 10:30:00 CEST 2015, Event: ,FC Viktoria Otrokovice v Hlucin, Favorite: ,Hlucin, 4142641   size:11.95,Price: ,1.08,The Draw, 58805   size:5.0,Price: ,3.35,x
1.119936203, Sport: ,Soccer, Time: ,Sun Aug 09 10:15:00 CEST 2015, Time: ,Sun Aug 09 10:15:00 CEST 2015, Event: ,Prevysov v Kolin, Favorite: ,Kolin, 4940252   size:11.95,Price: ,1.08,The Draw, 58805   size:5.0,Price: ,3.3,x
1.119937753, Sport: ,Soccer, Time: ,Sun Aug 09 11:30:00 CEST 2015, Time: ,Sun Aug 09 11:30:00 CEST 2015, Event: ,Magwe FC v Hantharwady United, Favorite: ,Hantharwady United, 9979192   size:11.95,Price: ,1.08,The Draw, 58805   size:10.93,Price: ,1.29,x
1.119942772, Sport: ,Tennis, Time: ,Sun Aug 09 09:00:00 CEST 2015, Time: ,Sun Aug 09 09:00:00 CEST 2015, Event: ,Androic v Eremin, Favorite: ,Edoardo Eremin, 8284480   size:55.22,Price: ,1.08,Toni Androic, 8194189   size:31.07,Price: ,1.31,ok
1.119677847, Sport: ,Cricket, Time: ,Sun Aug 09 05:30:00 CEST 2015, Time: ,Sun Aug 09 05:30:00 CEST 2015, Event: ,India A v South Africa A, Favorite: ,India A, 3351855   size:252.69,Price: ,1.56,South Africa A, 239869   size:35.69,Price: ,2.62,ok
1.119786726, Sport: ,Soccer, Time: ,Sun Aug 09 12:30:00 CEST 2015, Time: ,Sun Aug 09 12:30:00 CEST 2015, Event: ,CSKA Moscow v Amkar, Favorite: ,CSKA Moscow, 217210   size:77.79,Price: ,1.34,The Draw, 58805   size:17.26,Price: ,5.4,Amkar, 746696   size:41.99,Price: ,13.0,ok
1.119928965, Sport: ,Soccer, Time: ,Sun Aug 09 11:00:00 CEST 2015, Time: ,Sun Aug 09 11:00:00 CEST 2015, Event: ,Kasetsart University v Kasem Bundit Univ, Favorite: ,Kasem Bundit Univ, 8728233   size:11.95,Price: ,1.08,The Draw, 58805   size:10.93,Price: ,1.29,x
1.119831574, Sport: ,Soccer, Time: ,Sun Aug 09 12:15:00 CEST 2015, Time: ,Sun Aug 09 12:15:00 CEST 2015, Event: ,Varzim v Famalicao, Favorite: ,Varzim, 48795   size:2.16,Price: ,2.38,The Draw, 58805   size:50.61,Price: ,3.2,Famalicao, 5875376   size:10.49,Price: ,3.4,x
1.119942677, Sport: ,Tennis, Time: ,Sun Aug 09 10:00:00 CEST 2015, Time: ,Sun Aug 09 10:00:00 CEST 2015, Event: ,Saez v Londero, Favorite: ,Juan Ignacio Londero, 7430086   size:55.22,Price: ,1.08,Juan Carlos Saez, 8258302   size:5.92,Price: ,1.18,x
1.119943863, Sport: ,Soccer, Time: ,Sun Aug 09 05:00:00 CEST 2015, Time: ,Sun Aug 09 05:00:00 CEST 2015, Event: ,Ba FC v Rewa FC, Favorite: ,Rewa FC, 9461599   size:12.28,Price: ,1.08,The Draw, 58805   size:12.06,Price: ,1.29,Ba FC, 9419989   size:2.07,Price: ,1.84,ok
1.119936372, Sport: ,Soccer, Time: ,Sun Aug 09 10:15:00 CEST 2015, Time: ,Sun Aug 09 10:15:00 CEST 2015, Event: ,Velke Mezirici v SK Lisen, Favorite: ,SK Lisen, 4145047   size:11.95,Price: ,1.08,The Draw, 58805   size:5.0,Price: ,3.25,x
1.119942779, Sport: ,Tennis, Time: ,Sun Aug 09 11:00:00 CEST 2015, Time: ,Sun Aug 09 11:00:00 CEST 2015, Event: ,And Martin v Kamke, Favorite: ,Andrej Martin, 5071877   size:3.04,Price: ,1.66,Tobias Kamke, 2581407   size:2.19,Price: ,2.3,x
1.119941057, Sport: ,Tennis, Time: ,Sun Aug 09 11:45:00 CEST 2015, Time: ,Sun Aug 09 11:45:00 CEST 2015, Event: ,Michon v Klec, Favorite: ,Axel Michon, 4994683   size:2.55,Price: ,1.1,Ivo Klec, 2743820   size:2.55,Price: ,1.43,ok
