1.122444215, Sport: ,Soccer, Time: ,Sun Jan 03 19:00:00 CET 2016, Time: ,Sun Jan 03 19:00:00 CET 2016, Event: ,Fortaleza EC U20 v Luverdense EC U20, Favorite: ,Fortaleza EC U20, 10681097   size:545.56,Price: ,1.1,Luverdense EC U20, 10356337   size:32.65,Price: ,8.0,The Draw, 58805   size:69.99,Price: ,5.2,ok
1.122415352, Sport: ,Ice Hockey, Time: ,Mon Jan 04 12:30:00 CET 2016, Time: ,Mon Jan 04 12:30:00 CET 2016, Event: ,Sibir v Traktor, Favorite: ,Sibir, 2285014   size:68.0,Price: ,1.82,Traktor, 2595834   size:10.69,Price: ,4.2,Tie, 60104   size:20.0,Price: ,4.4,ok
1.122458480, Sport: ,Tennis, Time: ,Mon Jan 04 10:00:00 CET 2016, Time: ,Mon Jan 04 10:00:00 CET 2016, Event: ,Andujar v P Lorenzi, Favorite: ,Paolo Lorenzi, 2345099   size:36.14,Price: ,1.83,Pablo Andujar, 2303153   size:55.0,Price: ,2.1,x
1.122464527, Sport: ,Tennis, Time: ,Mon Jan 04 16:00:00 CET 2016, Time: ,Mon Jan 04 16:00:00 CET 2016, Event: ,E Gomez v Clezar, Favorite: ,Emilio Gomez, 4994250   size:6.92,Price: ,1.08,Guilherme Clezar, 5304142   size:6.92,Price: ,1.08,x
1.122394055, Sport: ,Soccer, Time: ,Sun Jan 03 19:15:00 CET 2016, Time: ,Sun Jan 03 19:15:00 CET 2016, Event: ,Hapoel Tel Aviv v Hapoel Haifa, Favorite: ,Hapoel Tel Aviv, 121248   size:16.23,Price: ,2.2,Hapoel Haifa, 5266551   size:2.72,Price: ,4.5,The Draw, 58805   size:62.78,Price: ,2.8,x
1.122405361, Sport: ,Basketball, Time: ,Mon Jan 04 02:00:00 CET 2016, Time: ,Mon Jan 04 02:00:00 CET 2016, Event: ,Wake Forest @ Louisville, Favorite: ,Louisville, 332190   size:2.55,Price: ,1.09,Wake Forest, 352102   size:7.81,Price: ,7.8,ok
1.122389471, Sport: ,Soccer, Time: ,Mon Jan 04 18:30:00 CET 2016, Time: ,Mon Jan 04 18:30:00 CET 2016, Event: ,Panathinaikos v Panaitolikos, Favorite: ,Panathinaikos, 50334   size:89.64,Price: ,1.4,Panaitolikos, 2126382   size:14.97,Price: ,12.0,The Draw, 58805   size:4.57,Price: ,4.8,ok
1.122433322, Sport: ,Basketball, Time: ,Sun Jan 03 20:05:00 CET 2016, Time: ,Sun Jan 03 20:05:00 CET 2016, Event: ,Hapoel M Jerusalem v Maccabi Tel Aviv, Favorite: ,Maccabi Tel Aviv, 266273   size:65.64,Price: ,1.86,Hapoel M Jerusalem, 7758971   size:210.87,Price: ,2.04,x
1.122443919, Sport: ,Soccer, Time: ,Sun Jan 03 21:00:00 CET 2016, Time: ,Sun Jan 03 21:00:00 CET 2016, Event: ,Figueirense U20 v Fast Clube Manaus U20, Favorite: ,Figueirense U20, 6018798   size:68.02,Price: ,1.07,Fast Clube Manaus U20, 10681077   size:4.9,Price: ,18.0,The Draw, 58805   size:2.37,Price: ,8.0,ok
1.122409441, Sport: ,Darts, Time: ,Mon Jan 04 15:15:00 CET 2016, Time: ,Mon Jan 04 15:15:00 CET 2016, Event: ,Jeffrey de Graaf v Richard Veenstra, Favorite: ,Richard Veenstra, 9051360   size:3.29,Price: ,1.17,Jeffrey De Graaf, 6923633   size:2.55,Price: ,1.37,ok
1.122452420, Sport: ,Tennis, Time: ,Mon Jan 04 10:00:00 CET 2016, Time: ,Mon Jan 04 10:00:00 CET 2016, Event: ,Albot/Klizan v Murray/Soares, Favorite: ,Murray/Soares, 10682718   size:42.9,Price: ,1.16,Albot/Klizan, 10682717   size:36.9,Price: ,4.6,ok
1.122452424, Sport: ,Tennis, Time: ,Mon Jan 04 10:00:00 CET 2016, Time: ,Mon Jan 04 10:00:00 CET 2016, Event: ,Bolelli/Stakhovsky v Knowle/Sa, Favorite: ,Knowle/Sa, 10682720   size:2.55,Price: ,1.79,Bolelli/Stakhovsky, 10682719   size:2.55,Price: ,1.93,x
1.122452823, Sport: ,Tennis, Time: ,Mon Jan 04 17:00:00 CET 2016, Time: ,Mon Jan 04 17:00:00 CET 2016, Event: ,Chardy/Mathieu v Ali Mutawa/Jaziri, Favorite: ,Chardy/Mathieu, 10682722   size:7.57,Price: ,1.11,Ali Mutawa/Jaziri, 9129308   size:2.0,Price: ,7.0,ok
