1.121810535, Sport: ,Tennis, Time: ,Fri Nov 20 18:45:00 CET 2015, Time: ,Fri Nov 20 18:45:00 CET 2015, Event: ,Rojer/Tecau v Herbert/Mahut, Favorite: ,Herbert/Mahut, 8942538   size:2.56,Price: ,1.81,Rojer/Tecau, 8176467   size:2.55,Price: ,1.98,x
1.121775908, Sport: ,Soccer, Time: ,Fri Nov 20 18:00:00 CET 2015, Time: ,Fri Nov 20 18:00:00 CET 2015, Event: ,Olimpik Donetsk v Dynamo Kiev, Favorite: ,Dynamo Kiev, 238549   size:163.16,Price: ,1.22,Olimpik Donetsk, 5851729   size:3.35,Price: ,13.5,The Draw, 58805   size:3.45,Price: ,7.0,ok
1.121920862, Sport: ,Tennis, Time: ,Fri Nov 20 22:30:00 CET 2015, Time: ,Fri Nov 20 22:30:00 CET 2015, Event: ,G Pella v Garin, Favorite: ,Guido Pella, 6162610   size:195.67,Price: ,1.25,Christian Garin, 6670624   size:12.36,Price: ,4.3,ok
1.121772519, Sport: ,Soccer, Time: ,Fri Nov 20 11:00:00 CET 2015, Time: ,Fri Nov 20 11:00:00 CET 2015, Event: ,RC Arba U21 v JS Kabylie U21, Favorite: ,JS Kabylie U21, 8316608   size:2.73,Price: ,1.78,RC Arba U21, 8338091   size:2.74,Price: ,4.4,The Draw, 58805   size:2.94,Price: ,3.9,x
1.121882167, Sport: ,Soccer, Time: ,Fri Nov 20 14:00:00 CET 2015, Time: ,Fri Nov 20 14:00:00 CET 2015, Event: ,Odesa U21 v Dnipro U21, Favorite: ,Dnipro U21, 10096695   size:68.86,Price: ,1.16,Odesa U21, 10092747   size:52.48,Price: ,1.21,The Draw, 58805   size:5.42,Price: ,2.9,ok
1.121775104, Sport: ,Soccer, Time: ,Fri Nov 20 20:00:00 CET 2015, Time: ,Fri Nov 20 20:00:00 CET 2015, Event: ,Breda v Den Bosch, Favorite: ,Breda, 48448   size:162.79,Price: ,1.58,Den Bosch, 48452   size:323.15,Price: ,6.0,The Draw, 58805   size:47.62,Price: ,4.7,ok
1.121880542, Sport: ,Soccer, Time: ,Fri Nov 20 15:30:00 CET 2015, Time: ,Fri Nov 20 15:30:00 CET 2015, Event: ,Khaitan v Yarmouk (KUW), Favorite: ,Yarmouk (KUW), 9274400   size:2.8,Price: ,2.28,Khaitan, 9359990   size:11.93,Price: ,2.54,The Draw, 58805   size:4.53,Price: ,3.65,x
1.121869879, Sport: ,Ice Hockey, Time: ,Fri Nov 20 17:00:00 CET 2015, Time: ,Fri Nov 20 17:00:00 CET 2015, Event: ,Trinec v Litvinov, Favorite: ,Trinec, 563259   size:10.18,Price: ,1.6,Litvinov, 563270   size:7.72,Price: ,3.95,Tie, 60104   size:109.76,Price: ,4.3,ok
1.121776310, Sport: ,Soccer, Time: ,Fri Nov 20 20:00:00 CET 2015, Time: ,Fri Nov 20 20:00:00 CET 2015, Event: ,Creteil v Nancy, Favorite: ,Nancy, 70468   size:32.21,Price: ,2.0,Creteil, 269793   size:4.66,Price: ,4.7,The Draw, 58805   size:373.54,Price: ,3.35,ok
1.121920981, Sport: ,Tennis, Time: ,Fri Nov 20 22:45:00 CET 2015, Time: ,Fri Nov 20 22:45:00 CET 2015, Event: ,Demoliner/Elias v Peralta/Zeballos, Favorite: ,Peralta/Zeballos, 10409109   size:96.82,Price: ,1.61,Demoliner/Elias, 8462580   size:2.79,Price: ,2.34,x
1.121740101, Sport: ,Soccer, Time: ,Fri Nov 20 20:30:00 CET 2015, Time: ,Fri Nov 20 20:30:00 CET 2015, Event: ,Nice v Lyon, Favorite: ,Lyon, 55271   size:40.93,Price: ,2.26,Nice, 189829   size:281.71,Price: ,3.6,The Draw, 58805   size:1877.46,Price: ,3.5,x
1.121765548, Sport: ,Soccer, Time: ,Fri Nov 20 21:30:00 CET 2015, Time: ,Fri Nov 20 21:30:00 CET 2015, Event: ,Leon de Huanuco v UTC Cajamarca, Favorite: ,Leon de Huanuco, 5176230   size:3.57,Price: ,1.71,UTC Cajamarca, 7028659   size:12.43,Price: ,5.6,The Draw, 58805   size:10.72,Price: ,3.85,ok
1.121872249, Sport: ,Ice Hockey, Time: ,Fri Nov 20 10:30:00 CET 2015, Time: ,Fri Nov 20 10:30:00 CET 2015, Event: ,Amur v Sibir, Favorite: ,Sibir, 2285014   size:5.61,Price: ,1.5,Amur, 2240061   size:46.81,Price: ,6.2,Tie, 60104   size:18.7,Price: ,3.3,x
1.121786904, Sport: ,Volleyball, Time: ,Fri Nov 20 18:00:00 CET 2015, Time: ,Fri Nov 20 18:00:00 CET 2015, Event: ,Cuprum Mundo Lubin v Effector Kielce, Favorite: ,Cuprum Mundo Lubin, 10410557   size:2.55,Price: ,1.18,Effector Kielce, 6723748   size:18.0,Price: ,1.46,ok
1.121880876, Sport: ,Soccer, Time: ,Fri Nov 20 16:30:00 CET 2015, Time: ,Fri Nov 20 16:30:00 CET 2015, Event: ,Al Mesaimeer v Al Wakrah, Favorite: ,Al Wakrah, 5170863   size:4.8,Price: ,1.97,AL Mesaimeer, 9100532   size:5.19,Price: ,3.4,The Draw, 58805   size:6.81,Price: ,4.1,ok
1.121810405, Sport: ,Tennis, Time: ,Fri Nov 20 13:00:00 CET 2015, Time: ,Fri Nov 20 13:00:00 CET 2015, Event: ,Dodig/Melo v Matkowski/Zimonjic, Favorite: ,Dodig/Melo, 6195133   size:193.87,Price: ,1.32,Matkowski/Zimonjic, 9312205   size:16.44,Price: ,3.6,ok
1.121773179, Sport: ,Soccer, Time: ,Fri Nov 20 19:00:00 CET 2015, Time: ,Fri Nov 20 19:00:00 CET 2015, Event: ,Wacker Nordhausen v Optik Rathenow, Favorite: ,Wacker Nordhausen, 7535729   size:5.0,Price: ,1.31,Optik Rathenow, 6561505   size:58.83,Price: ,10.0,The Draw, 58805   size:2.44,Price: ,6.4,ok
1.121882495, Sport: ,Basketball, Time: ,Fri Nov 20 19:04:00 CET 2015, Time: ,Fri Nov 20 19:04:00 CET 2015, Event: ,Orebro v Sodertalje, Favorite: ,Orebro, 7723717   size:8.42,Price: ,1.04,Sodertalje, 6718429   size:8.42,Price: ,1.04,x
1.121772409, Sport: ,Soccer, Time: ,Fri Nov 20 15:00:00 CET 2015, Time: ,Fri Nov 20 15:00:00 CET 2015, Event: ,JSM Bejaia v Chlef, Favorite: ,JSM Bejaia, 8036605   size:39.82,Price: ,1.1,Chlef, 6507717   size:90.91,Price: ,1.11,The Draw, 58805   size:10.22,Price: ,2.88,ok
1.121920411, Sport: ,Tennis, Time: ,Fri Nov 20 18:00:00 CET 2015, Time: ,Fri Nov 20 18:00:00 CET 2015, Event: ,Du Brown v Mi Basic, Favorite: ,Dustin Brown, 4486603   size:86.06,Price: ,1.65,Mirza Basic, 5499167   size:5.23,Price: ,2.44,x
