1.121475824, Sport: ,Tennis, Time: ,Sun Oct 25 20:00:00 CET 2015, Time: ,Sun Oct 25 20:00:00 CET 2015, Event: ,Molteni v Hamou, Favorite: ,Maxime Hamou, 8859456   size:2.55,Price: ,1.61,Andres Molteni, 6180419   size:2.91,Price: ,2.18,x
1.121355010, Sport: ,American Football, Time: ,Sun Oct 25 21:25:00 CET 2015, Time: ,Sun Oct 25 21:25:00 CET 2015, Event: ,Dallas @ New York Giants, Favorite: ,New York Giants, 50185   size:314.79,Price: ,1.68,Dallas Cowboys, 50189   size:93.32,Price: ,2.4,ok
1.121369773, Sport: ,Soccer, Time: ,Sun Oct 25 18:00:00 CET 2015, Time: ,Sun Oct 25 18:00:00 CET 2015, Event: ,Cornella v Pobla de Mafumet CF, Favorite: ,Cornella, 8792394   size:3.6,Price: ,1.76,Pobla de Mafumet CF, 9359728   size:2.77,Price: ,5.8,The Draw, 58805   size:2.76,Price: ,3.65,x
1.121391481, Sport: ,Soccer, Time: ,Sun Oct 25 17:00:00 CET 2015, Time: ,Sun Oct 25 17:00:00 CET 2015, Event: ,Mladost Lucani v Partizan Belgrade, Favorite: ,Partizan Belgrade, 46980   size:200.0,Price: ,1.3,Mladost Lucani, 2503610   size:22.0,Price: ,3.0,The Draw, 58805   size:6.94,Price: ,2.2,x
1.121475386, Sport: ,Tennis, Time: ,Sun Oct 25 20:00:00 CET 2015, Time: ,Sun Oct 25 20:00:00 CET 2015, Event: ,O'Brien/Roelofse v Ball/Brown, Favorite: ,Ball/Brown, 10409550   size:2.55,Price: ,1.79,O'Brien/Roelofse, 9545182   size:2.21,Price: ,2.26,ok
1.121307851, Sport: ,Soccer, Time: ,Sun Oct 25 19:30:00 CET 2015, Time: ,Sun Oct 25 19:30:00 CET 2015, Event: ,USA (W) v Brazil (W), Favorite: ,USA (W), 541859   size:3.92,Price: ,1.53,Brazil (W), 541863   size:2.34,Price: ,7.0,The Draw, 58805   size:3.6,Price: ,4.3,ok
1.121362348, Sport: ,Basketball, Time: ,Sun Oct 25 19:00:00 CET 2015, Time: ,Sun Oct 25 19:00:00 CET 2015, Event: ,Andorra v Basquet Manresa, Favorite: ,Andorra, 8781568   size:150.73,Price: ,1.34,Basquet Manresa, 2728338   size:2.55,Price: ,3.5,x
1.121292947, Sport: ,Soccer, Time: ,Sun Oct 25 18:00:00 CET 2015, Time: ,Sun Oct 25 18:00:00 CET 2015, Event: ,Fiorentina v Roma, Favorite: ,Fiorentina, 676467   size:241.87,Price: ,2.62,Roma, 56967   size:6.08,Price: ,2.98,The Draw, 58805   size:243.09,Price: ,3.5,x
1.121304464, Sport: ,Soccer, Time: ,Sun Oct 25 17:00:00 CET 2015, Time: ,Sun Oct 25 17:00:00 CET 2015, Event: ,Santa Clara v Sporting Lisbon B, Favorite: ,Sporting Lisbon B, 10071727   size:7.25,Price: ,1.68,Santa Clara, 48793   size:25.55,Price: ,5.8,The Draw, 58805   size:2.77,Price: ,4.0,ok
1.121299902, Sport: ,Soccer, Time: ,Sun Oct 25 22:00:00 CET 2015, Time: ,Sun Oct 25 22:00:00 CET 2015, Event: ,Philadelphia v Orlando City, Favorite: ,Philadelphia, 4589333   size:14.23,Price: ,2.42,Orlando City, 5640226   size:143.02,Price: ,2.94,The Draw, 58805   size:46.24,Price: ,3.85,ok
1.121296638, Sport: ,Soccer, Time: ,Sun Oct 25 20:00:00 CET 2015, Time: ,Sun Oct 25 20:00:00 CET 2015, Event: ,Vasco da Gama v Gremio, Favorite: ,Vasco da Gama, 784535   size:100.0,Price: ,2.6,Gremio, 198134   size:145.95,Price: ,3.05,The Draw, 58805   size:117.93,Price: ,3.35,x
1.121354846, Sport: ,American Football, Time: ,Sun Oct 25 18:00:00 CET 2015, Time: ,Sun Oct 25 18:00:00 CET 2015, Event: ,Minnesota @ Detroit, Favorite: ,Detroit Lions, 50193   size:134.33,Price: ,1.95,Minnesota Vikings, 50191   size:792.76,Price: ,2.0,x
1.121439638, Sport: ,Basketball, Time: ,Sun Oct 25 18:00:00 CET 2015, Time: ,Sun Oct 25 18:00:00 CET 2015, Event: ,Siden Torun v Asseco Gdynia, Favorite: ,Siden Torun, 8832718   size:207.99,Price: ,1.24,Asseco Gdynia, 7817588   size:14.0,Price: ,4.6,x
1.121390126, Sport: ,Basketball, Time: ,Sun Oct 25 18:15:00 CET 2015, Time: ,Sun Oct 25 18:15:00 CET 2015, Event: ,Pistoia v Avellino, Favorite: ,Pistoia, 7735183   size:2.77,Price: ,1.36,Avellino, 276213   size:69.82,Price: ,3.45,ok
1.121308490, Sport: ,Soccer, Time: ,Sun Oct 25 17:30:00 CET 2015, Time: ,Sun Oct 25 17:30:00 CET 2015, Event: ,Cosenza v Matera, Favorite: ,Cosenza, 60302   size:15.65,Price: ,2.44,Matera, 5445696   size:7.39,Price: ,3.3,The Draw, 58805   size:5.26,Price: ,3.1,ok
1.121456619, Sport: ,Soccer, Time: ,Sun Oct 25 16:45:00 CET 2015, Time: ,Sun Oct 25 16:45:00 CET 2015, Event: ,Caudal Deportivo v CD Colunga, Favorite: ,Caudal Deportivo, 6603990   size:3.0,Price: ,1.03,CD Colunga, 10243088   size:2.43,Price: ,1.06,The Draw, 58805   size:2.43,Price: ,1.06,ok
1.121475815, Sport: ,Tennis, Time: ,Sun Oct 25 20:00:00 CET 2015, Time: ,Sun Oct 25 20:00:00 CET 2015, Event: ,M Linzer v Sakamoto, Favorite: ,Michael Linzer, 7216260   size:9.29,Price: ,1.47,Pedro Sakamoto, 8304915   size:2.0,Price: ,2.5,ok
1.121369201, Sport: ,Ice Hockey, Time: ,Sun Oct 25 17:30:00 CET 2015, Time: ,Sun Oct 25 17:30:00 CET 2015, Event: ,HC Bolzano v Olimpija Ljubljana, Favorite: ,HC Bolzano, 7557536   size:15.89,Price: ,1.37,Olimpija Ljubljana, 2513196   size:131.36,Price: ,6.0,Tie, 60104   size:4.46,Price: ,5.9,ok
1.121300094, Sport: ,Soccer, Time: ,Mon Oct 26 00:00:00 CET 2015, Time: ,Mon Oct 26 00:00:00 CET 2015, Event: ,Seattle v Real Salt Lake, Favorite: ,Seattle, 3155352   size:5.15,Price: ,1.44,Real Salt Lake, 1101610   size:32.01,Price: ,9.6,The Draw, 58805   size:30.63,Price: ,4.9,ok
1.121369205, Sport: ,Ice Hockey, Time: ,Sun Oct 25 17:40:00 CET 2015, Time: ,Sun Oct 25 17:40:00 CET 2015, Event: ,Red Bull Salzburg v Liwest Linz, Favorite: ,Red Bull Salzburg, 2584427   size:382.16,Price: ,1.8,Liwest Linz, 1266781   size:13.61,Price: ,3.55,Tie, 60104   size:6.88,Price: ,5.3,x
1.121307961, Sport: ,Soccer, Time: ,Sun Oct 25 21:00:00 CET 2015, Time: ,Sun Oct 25 21:00:00 CET 2015, Event: ,Zulia v Portuguesa (Ven), Favorite: ,Zulia, 8018679   size:17.63,Price: ,1.72,Portuguesa (Ven), 8780076   size:39.52,Price: ,5.4,The Draw, 58805   size:2.55,Price: ,3.5,ok
1.121268631, Sport: ,Soccer, Time: ,Sun Oct 25 22:00:00 CET 2015, Time: ,Sun Oct 25 22:00:00 CET 2015, Event: ,CD UES v FAS, Favorite: ,Fas, 4867481   size:2.55,Price: ,1.71,CD UES, 8464811   size:2.55,Price: ,3.4,The Draw, 58805   size:2.55,Price: ,3.3,x
1.121298846, Sport: ,Soccer, Time: ,Sun Oct 25 17:00:00 CET 2015, Time: ,Sun Oct 25 17:00:00 CET 2015, Event: ,Albacete v Lugo, Favorite: ,Albacete, 309089   size:4.44,Price: ,1.99,Lugo, 2081063   size:5.55,Price: ,4.7,The Draw, 58805   size:3.39,Price: ,3.45,ok
1.121456177, Sport: ,Soccer, Time: ,Sun Oct 25 17:00:00 CET 2015, Time: ,Sun Oct 25 17:00:00 CET 2015, Event: ,Terrassa Olimpica 2010 v FC Vilafranca, Favorite: ,Terrassa Olimpica 2010, 10403016   size:2.43,Price: ,1.06,FC Vilafranca, 9339209   size:2.43,Price: ,1.06,The Draw, 58805   size:6.94,Price: ,2.2,ok
