1.121606396, Sport: ,Tennis, Time: ,Tue Nov 03 15:45:00 CET 2015, Time: ,Tue Nov 03 15:45:00 CET 2015, Event: ,Copil v Sijsling, Favorite: ,Igor Sijsling, 2370190   size:5.0,Price: ,1.48,Marius Copil, 4195870   size:2.69,Price: ,2.78,x
1.121510167, Sport: ,Soccer, Time: ,Tue Nov 03 14:00:00 CET 2015, Time: ,Tue Nov 03 14:00:00 CET 2015, Event: ,Sevilla U19 v Man City U19, Favorite: ,Man City U19, 6569324   size:2.55,Price: ,2.42,Sevilla U19, 10261979   size:7.48,Price: ,2.52,The Draw, 58805   size:3.75,Price: ,3.75,ok
1.121636244, Sport: ,Tennis, Time: ,Tue Nov 03 12:30:00 CET 2015, Time: ,Tue Nov 03 12:30:00 CET 2015, Event: ,Morgina v Evtimova, Favorite: ,Dia Evtimova, 4691499   size:8.44,Price: ,1.34,Anna Morgina, 9028616   size:2.55,Price: ,3.45,ok
1.121623526, Sport: ,Tennis, Time: ,Tue Nov 03 14:30:00 CET 2015, Time: ,Tue Nov 03 14:30:00 CET 2015, Event: ,S Wawrinka v B Tomic, Favorite: ,Stan Wawrinka, 8597476   size:185.32,Price: ,1.44,Bernard Tomic, 3588868   size:7.26,Price: ,3.2,ok
1.121607004, Sport: ,Tennis, Time: ,Tue Nov 03 13:45:00 CET 2015, Time: ,Tue Nov 03 13:45:00 CET 2015, Event: ,Butorac/Isner v Klaasen/Ram, Favorite: ,Klaasen/Ram, 9546313   size:2.55,Price: ,1.52,Butorac/Isner, 10481454   size:2.78,Price: ,2.36,ok
1.121607007, Sport: ,Tennis, Time: ,Tue Nov 03 15:30:00 CET 2015, Time: ,Tue Nov 03 15:30:00 CET 2015, Event: ,Fleming/Murray v Peya/Soares, Favorite: ,Peya/Soares, 6504095   size:5.09,Price: ,1.47,Fleming/Murray, 7565590   size:2.62,Price: ,2.76,ok
1.121624973, Sport: ,Tennis, Time: ,Tue Nov 03 14:00:00 CET 2015, Time: ,Tue Nov 03 14:00:00 CET 2015, Event: ,Zemlja v Desein, Favorite: ,Grega Zemlja, 3509269   size:6.35,Price: ,1.67,Niels Desein, 7234512   size:8.75,Price: ,2.22,x
1.121383898, Sport: ,Soccer, Time: ,Tue Nov 03 16:00:00 CET 2015, Time: ,Tue Nov 03 16:00:00 CET 2015, Event: ,FC Astana v Atletico Madrid, Favorite: ,Atletico Madrid, 41433   size:3876.64,Price: ,1.34,FC Astana, 7391219   size:2627.6,Price: ,12.5,The Draw, 58805   size:318.71,Price: ,5.6,x
1.121558380, Sport: ,Volleyball, Time: ,Tue Nov 03 09:00:00 CET 2015, Time: ,Tue Nov 03 09:00:00 CET 2015, Event: ,Korea Expressway v GS Caltex Kixx, Favorite: ,GS Caltex Kixx, 10391693   size:3.0,Price: ,1.02,Gyeongbuk Gimcheon High, 10391714   size:109.83,Price: ,1.72,x
1.121631917, Sport: ,Tennis, Time: ,Tue Nov 03 11:00:00 CET 2015, Time: ,Tue Nov 03 11:00:00 CET 2015, Event: ,D Ferrer v Dolgopolov, Favorite: ,David Ferrer, 2257314   size:238.36,Price: ,1.28,Alexandr Dolgopolov, 4720522   size:32.8,Price: ,4.3,ok
1.121619785, Sport: ,Soccer, Time: ,Tue Nov 03 15:55:00 CET 2015, Time: ,Tue Nov 03 15:55:00 CET 2015, Event: ,Al-Hilal v Al-Quadisiya (KSA), Favorite: ,Al-Hilal, 3725113   size:2.55,Price: ,1.28,Al-Quadisiya (KSA), 10201607   size:2.0,Price: ,9.4,The Draw, 58805   size:41.12,Price: ,4.1,ok
1.121632365, Sport: ,Tennis, Time: ,Tue Nov 03 11:00:00 CET 2015, Time: ,Tue Nov 03 11:00:00 CET 2015, Event: ,Ferro v Shapatava, Favorite: ,Fiona Ferro, 8535268   size:50.83,Price: ,1.9,Sofia Shapatava, 3375695   size:2.57,Price: ,1.94,x
1.121636232, Sport: ,Tennis, Time: ,Tue Nov 03 12:30:00 CET 2015, Time: ,Tue Nov 03 12:30:00 CET 2015, Event: ,Fetecau v Herdzelas, Favorite: ,Dea Herdzelas, 8443235   size:2.55,Price: ,1.21,Irina Fetecau, 9632097   size:2.55,Price: ,4.6,ok
1.121636033, Sport: ,Tennis, Time: ,Tue Nov 03 11:00:00 CET 2015, Time: ,Tue Nov 03 11:00:00 CET 2015, Event: ,Carreras v Klaffner, Favorite: ,Amanda Carreras, 7364002   size:7.02,Price: ,1.42,Melanie Klaffner, 2814671   size:4.73,Price: ,2.9,x
1.121557862, Sport: ,Volleyball, Time: ,Tue Nov 03 11:00:00 CET 2015, Time: ,Tue Nov 03 11:00:00 CET 2015, Event: ,Ansan Rush&cash v Seoul Woori Card Hansae, Favorite: ,Ansan Rush&cash, 10389008   size:2.55,Price: ,1.3,Seoul Woori Card Hansae, 10391680   size:3.31,Price: ,1.92,ok
1.121636236, Sport: ,Tennis, Time: ,Tue Nov 03 13:00:00 CET 2015, Time: ,Tue Nov 03 13:00:00 CET 2015, Event: ,Spigarelli v Gatto Monticone, Favorite: ,Martina Spigarelli, 9286485   size:7.26,Price: ,1.04,Giullia Gatto Monticone, 10487750   size:7.26,Price: ,1.04,x
1.121636235, Sport: ,Tennis, Time: ,Tue Nov 03 11:00:00 CET 2015, Time: ,Tue Nov 03 11:00:00 CET 2015, Event: ,Rus v Adamescu, Favorite: ,Arantxa Rus, 2451050   size:2.55,Price: ,1.11,Cristina Adamescu, 9626995   size:2.4,Price: ,2.08,ok
1.121510498, Sport: ,Soccer, Time: ,Tue Nov 03 14:00:00 CET 2015, Time: ,Tue Nov 03 14:00:00 CET 2015, Event: ,Benfica U19 v Galatasaray U19, Favorite: ,Benfica U19, 5373197   size:6.49,Price: ,1.1,Galatasaray U19, 7653235   size:54.1,Price: ,30.0,The Draw, 58805   size:2.25,Price: ,8.0,ok
1.121636234, Sport: ,Tennis, Time: ,Tue Nov 03 12:30:00 CET 2015, Time: ,Tue Nov 03 12:30:00 CET 2015, Event: ,Radanovic v Ivakhnenko, Favorite: ,Valentyna Ivakhnenko, 6498928   size:4.12,Price: ,1.54,Dejana Radanovic, 9630247   size:2.55,Price: ,2.48,ok
1.121510332, Sport: ,Soccer, Time: ,Tue Nov 03 13:30:00 CET 2015, Time: ,Tue Nov 03 13:30:00 CET 2015, Event: ,Mgladbach U19 v Juventus U19, Favorite: ,Mgladbach U19, 6327659   size:9.0,Price: ,2.18,Juventus U19, 2502329   size:3.65,Price: ,2.46,The Draw, 58805   size:10.73,Price: ,3.65,ok
1.121608587, Sport: ,Soccer, Time: ,Tue Nov 03 13:30:00 CET 2015, Time: ,Tue Nov 03 13:30:00 CET 2015, Event: ,Vysne Opatske v Zilina, Favorite: ,Zilina, 189806   size:4.14,Price: ,1.07,Vysne Opatske, 10481872   size:2.9,Price: ,1.1,The Draw, 58805   size:2.8,Price: ,1.25,ok
1.121602658, Sport: ,Tennis, Time: ,Tue Nov 03 12:45:00 CET 2015, Time: ,Tue Nov 03 12:45:00 CET 2015, Event: ,Pouille v Chardy, Favorite: ,Jeremy Chardy, 2304933   size:66.71,Price: ,1.41,Lucas Pouille, 7031400   size:32.7,Price: ,3.35,ok
1.121617371, Sport: ,Tennis, Time: ,Tue Nov 03 12:30:00 CET 2015, Time: ,Tue Nov 03 12:30:00 CET 2015, Event: ,Mitu v Dodin, Favorite: ,Oceane Dodin, 7289631   size:136.25,Price: ,1.79,Andreea Mitu, 7289592   size:33.87,Price: ,2.24,x
1.121604305, Sport: ,Tennis, Time: ,Tue Nov 03 09:45:00 CET 2015, Time: ,Tue Nov 03 09:45:00 CET 2015, Event: ,Menendez-Maceiras v Weintraub, Favorite: ,Adrian Menendez-Maceira, 9128710   size:71.02,Price: ,1.6,Amir Weintraub, 5822663   size:2.55,Price: ,2.32,x
1.121604308, Sport: ,Tennis, Time: ,Tue Nov 03 09:45:00 CET 2015, Time: ,Tue Nov 03 09:45:00 CET 2015, Event: ,Kudryavtsev v Yo Nishioka, Favorite: ,Alexander Kudryavtsev, 5908538   size:7.87,Price: ,1.45,Yoshihito Nishioka, 7137497   size:16.32,Price: ,2.86,x
1.121620780, Sport: ,Soccer, Time: ,Tue Nov 03 10:00:00 CET 2015, Time: ,Tue Nov 03 10:00:00 CET 2015, Event: ,FK NBU Osiyo Tashkent v FK Gijduvon, Favorite: ,FK NBU Osiyo Tashkent, 8433047   size:2.55,Price: ,1.16,FK Gijduvon, 9674752   size:3.63,Price: ,3.15,The Draw, 58805   size:2.55,Price: ,3.7,ok
1.121618782, Sport: ,Soccer, Time: ,Tue Nov 03 14:00:00 CET 2015, Time: ,Tue Nov 03 14:00:00 CET 2015, Event: ,NK Primorac Stobrec v NK Neretva Metkovic, Favorite: ,NK Primorac Stobrec, 7101182   size:4.14,Price: ,1.07,NK Neretva Metkovic, 9192016   size:4.14,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,ok
1.121636239, Sport: ,Tennis, Time: ,Tue Nov 03 13:00:00 CET 2015, Time: ,Tue Nov 03 13:00:00 CET 2015, Event: ,Grabher v Khromacheva, Favorite: ,Irina Khromacheva, 6092292   size:2.55,Price: ,1.51,Julia Grabher, 8681454   size:2.54,Price: ,2.5,ok
1.121636237, Sport: ,Tennis, Time: ,Tue Nov 03 13:00:00 CET 2015, Time: ,Tue Nov 03 13:00:00 CET 2015, Event: ,Simion v Rosatello, Favorite: ,Oana Georgeta Simion, 9345645   size:5.89,Price: ,1.76,Camilla Rosatello, 7795600   size:2.84,Price: ,2.14,ok
1.121509903, Sport: ,Soccer, Time: ,Tue Nov 03 12:30:00 CET 2015, Time: ,Tue Nov 03 12:30:00 CET 2015, Event: ,Geylang International v Brunei DPMM FC, Favorite: ,Brunei DPMM FC, 6238894   size:2.55,Price: ,1.47,Geylang International, 8279004   size:2.71,Price: ,7.4,The Draw, 58805   size:2.55,Price: ,4.7,x
1.121618349, Sport: ,Tennis, Time: ,Tue Nov 03 08:30:00 CET 2015, Time: ,Tue Nov 03 08:30:00 CET 2015, Event: ,Romeo v Marinkovic, Favorite: ,Caroline Romeo, 9544574   size:3.0,Price: ,1.04,Bojana Marinkovic, 9342244   size:3.0,Price: ,1.04,ok
1.121614994, Sport: ,Tennis, Time: ,Tue Nov 03 11:30:00 CET 2015, Time: ,Tue Nov 03 11:30:00 CET 2015, Event: ,Ratiwatana/Ratiwatana v Bai/Ghedin, Favorite: ,Ratiwatana/Ratiwatana, 2091363   size:2.55,Price: ,1.5,Bai/Ghedin, 10220762   size:2.55,Price: ,2.38,x
1.121615643, Sport: ,Tennis, Time: ,Tue Nov 03 14:00:00 CET 2015, Time: ,Tue Nov 03 14:00:00 CET 2015, Event: ,Basic/Nedovyesov v Dustov/Gaio, Favorite: ,Dustov/Gaio, 10483065   size:2.55,Price: ,1.66,Basic/Nedovyesov, 10483064   size:2.55,Price: ,1.67,x
1.121614992, Sport: ,Tennis, Time: ,Tue Nov 03 10:00:00 CET 2015, Time: ,Tue Nov 03 10:00:00 CET 2015, Event: ,Begemann/Raja v Hsieh/Yang, Favorite: ,Begemann/Raja, 10482815   size:2.64,Price: ,1.52,Hsieh/Yang, 8699722   size:8.82,Price: ,2.24,ok
1.121636422, Sport: ,Tennis, Time: ,Tue Nov 03 16:00:00 CET 2015, Time: ,Tue Nov 03 16:00:00 CET 2015, Event: ,N Rubin v Quigley, Favorite: ,Noah Rubin, 7593248   size:5.89,Price: ,1.6,Eric Quigley, 6596536   size:31.15,Price: ,2.34,ok
1.121632460, Sport: ,Tennis, Time: ,Tue Nov 03 14:00:00 CET 2015, Time: ,Tue Nov 03 14:00:00 CET 2015, Event: ,Knoll v Paquet, Favorite: ,Chloe Paquet, 7216239   size:48.1,Price: ,1.78,Xenia Knoll, 7414060   size:2.82,Price: ,2.06,x
1.121510388, Sport: ,Soccer, Time: ,Tue Nov 03 13:00:00 CET 2015, Time: ,Tue Nov 03 13:00:00 CET 2015, Event: ,Shakhtar U19 v Malmo U19, Favorite: ,Shakhtar U19, 7653217   size:3.53,Price: ,1.79,Malmo U19, 8835054   size:2.01,Price: ,3.15,The Draw, 58805   size:2.55,Price: ,3.95,ok
1.121615002, Sport: ,Tennis, Time: ,Tue Nov 03 13:00:00 CET 2015, Time: ,Tue Nov 03 13:00:00 CET 2015, Event: ,Isarow/Kadchapanan v Lee/Lu, Favorite: ,Lee/Lu, 10482813   size:2.64,Price: ,1.49,Isarow/Kadchapanan, 8797648   size:2.55,Price: ,2.38,ok
1.121636025, Sport: ,Tennis, Time: ,Tue Nov 03 11:00:00 CET 2015, Time: ,Tue Nov 03 11:00:00 CET 2015, Event: ,Sakkari v Rubini, Favorite: ,Maria Sakkari, 9002331   size:2.9,Price: ,1.1,Stefania Rubini, 9166294   size:36.85,Price: ,8.6,ok
1.121634682, Sport: ,Tennis, Time: ,Tue Nov 03 11:30:00 CET 2015, Time: ,Tue Nov 03 11:30:00 CET 2015, Event: ,Safiullin v Resnyanskiy, Favorite: ,Roman Safiullin, 9125686   size:7.26,Price: ,1.04,Dmitry Resnyanskiy, 9453420   size:7.26,Price: ,1.04,ok
1.121604273, Sport: ,Tennis, Time: ,Tue Nov 03 08:00:00 CET 2015, Time: ,Tue Nov 03 08:00:00 CET 2015, Event: ,W Sornbutnark v Isarow, Favorite: ,Pruchya Isarow, 7689497   size:47.14,Price: ,1.24,Warit Sornbutnark, 7689499   size:9.98,Price: ,4.8,ok
1.121607028, Sport: ,Tennis, Time: ,Tue Nov 03 16:15:00 CET 2015, Time: ,Tue Nov 03 16:15:00 CET 2015, Event: ,Nadal/Paes v Inglot/Lindstedt, Favorite: ,Inglot/Lindstedt, 10075651   size:3.91,Price: ,1.79,Nadal/Paes, 10481453   size:5.1,Price: ,2.1,ok
1.121606412, Sport: ,Tennis, Time: ,Tue Nov 03 12:45:00 CET 2015, Time: ,Tue Nov 03 12:45:00 CET 2015, Event: ,Setkic v Arnaboldi, Favorite: ,Andrea Arnaboldi, 7593283   size:5.89,Price: ,1.63,Aldin Setkic, 7366936   size:315.1,Price: ,2.44,x
1.121510109, Sport: ,Soccer, Time: ,Tue Nov 03 14:30:00 CET 2015, Time: ,Tue Nov 03 14:30:00 CET 2015, Event: ,Delhi Dynamos v NorthEast Utd FC, Favorite: ,Delhi Dynamos, 8897748   size:15.54,Price: ,2.14,NorthEast Utd FC, 10360661   size:5.0,Price: ,3.9,The Draw, 58805   size:28.38,Price: ,3.4,x
1.121623344, Sport: ,Soccer, Time: ,Tue Nov 03 13:30:00 CET 2015, Time: ,Tue Nov 03 13:30:00 CET 2015, Event: ,MS Kfar Kasem v Hapoel Bikat Hayarden, Favorite: ,MS Kfar Kasem, 9170976   size:4.14,Price: ,1.07,Hapoel Bikat Hayarden, 10319918   size:4.14,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,x
1.121519834, Sport: ,Soccer, Time: ,Tue Nov 03 14:00:00 CET 2015, Time: ,Tue Nov 03 14:00:00 CET 2015, Event: ,Barnsley U21 v Birmingham U21, Favorite: ,Barnsley U21, 6667038   size:4.14,Price: ,1.07,Birmingham U21, 6813025   size:4.14,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,x
1.121519832, Sport: ,Soccer, Time: ,Tue Nov 03 15:00:00 CET 2015, Time: ,Tue Nov 03 15:00:00 CET 2015, Event: ,C Palace U21 v Bristol City U21, Favorite: ,C Palace U21, 6614440   size:4.14,Price: ,1.07,Bristol City U21, 6597941   size:4.14,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,x
1.121618352, Sport: ,Tennis, Time: ,Tue Nov 03 09:30:00 CET 2015, Time: ,Tue Nov 03 09:30:00 CET 2015, Event: ,Beberechi v Wikkerink, Favorite: ,Janneke Wikkerink, 9183356   size:381.86,Price: ,1.11,Andreia Beberechi, 9657548   size:11.04,Price: ,4.8,ok
1.121620393, Sport: ,Soccer, Time: ,Tue Nov 03 15:00:00 CET 2015, Time: ,Tue Nov 03 15:00:00 CET 2015, Event: ,Dundee Utd U20 v Inverness CT U20, Favorite: ,Dundee Utd U20, 6868316   size:4.14,Price: ,1.07,Inverness CT U20, 9221280   size:4.14,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,x
1.121619123, Sport: ,Soccer, Time: ,Tue Nov 03 11:30:00 CET 2015, Time: ,Tue Nov 03 11:30:00 CET 2015, Event: ,Curtorim Gymkhana v Churchill Brothers, Favorite: ,Churchill Brothers, 4484783   size:10.89,Price: ,1.1,Curtorim Gymkhana, 10194603   size:11.72,Price: ,7.4,The Draw, 58805   size:6.19,Price: ,5.2,ok
