1.120265922, Sport: ,Soccer, Time: ,Fri Aug 28 13:00:00 CEST 2015, Time: ,Fri Aug 28 13:00:00 CEST 2015, Event: ,Rostov (Y) v Amkar Perm (Y), Favorite: ,Rostov (Y), 9048042   size:19.09,Price: ,1.99,The Draw, 58805   size:9.54,Price: ,3.8,Amkar Perm (Y), 9425933   size:6.46,Price: ,3.9,x
1.120265646, Sport: ,Soccer, Time: ,Fri Aug 28 17:00:00 CEST 2015, Time: ,Fri Aug 28 17:00:00 CEST 2015, Event: ,Snagov v Metaloglobus Bucuresti, Favorite: ,The Draw, 58805   size:136.27,Price: ,1.06,ok
1.120301665, Sport: ,Tennis, Time: ,Fri Aug 28 18:45:00 CEST 2015, Time: ,Fri Aug 28 18:45:00 CEST 2015, Event: ,Konta v Paszek, Favorite: ,Johanna Konta, 5596561   size:3.64,Price: ,1.37,Tamira Paszek, 2263715   size:4.67,Price: ,3.4,ok
1.120265087, Sport: ,Soccer, Time: ,Fri Aug 28 17:00:00 CEST 2015, Time: ,Fri Aug 28 17:00:00 CEST 2015, Event: ,Estonia (W) v Latvia (W), Favorite: ,Estonia (W), 5767801   size:136.27,Price: ,1.06,The Draw, 58805   size:7.0,Price: ,1.12,ok
1.120154982, Sport: ,Soccer, Time: ,Fri Aug 28 18:30:00 CEST 2015, Time: ,Fri Aug 28 18:30:00 CEST 2015, Event: ,LASK Linz v St Polten, Favorite: ,LASK Linz, 453570   size:1228.76,Price: ,1.63,The Draw, 58805   size:124.01,Price: ,4.3,St Polten, 1088499   size:108.97,Price: ,6.2,ok
1.120266695, Sport: ,Soccer, Time: ,Fri Aug 28 14:00:00 CEST 2015, Time: ,Fri Aug 28 14:00:00 CEST 2015, Event: ,FK Hoverla U21 v Stal Dnipro U21, Favorite: ,Stal Dnipro U21, 10004585   size:2.16,Price: ,2.32,FK Hoverla U21, 10096334   size:6.02,Price: ,2.66,The Draw, 58805   size:3.9,Price: ,3.7,ok
1.120304537, Sport: ,Tennis, Time: ,Fri Aug 28 18:30:00 CEST 2015, Time: ,Fri Aug 28 18:30:00 CEST 2015, Event: ,Tatishvili v Bonaventure, Favorite: ,Anna Tatishvili, 2311979   size:2.55,Price: ,1.27,Ysaline Bonaventure, 6390243   size:3.77,Price: ,3.95,ok
1.120157579, Sport: ,Soccer, Time: ,Fri Aug 28 13:00:00 CEST 2015, Time: ,Fri Aug 28 13:00:00 CEST 2015, Event: ,Dinamo Moscow (Y) v FC Ufa (Y), Favorite: ,Dinamo Moscow (Y), 7188762   size:17.53,Price: ,1.3,The Draw, 58805   size:3.81,Price: ,5.6,FC Ufa (Y), 10178767   size:4.1,Price: ,8.0,x
1.120263981, Sport: ,Soccer, Time: ,Fri Aug 28 16:00:00 CEST 2015, Time: ,Fri Aug 28 16:00:00 CEST 2015, Event: ,AC Paradou U21 v JSM Bejaia U21, Favorite: ,JSM Bejaia U21, 8036614   size:136.27,Price: ,1.06,The Draw, 58805   size:2.51,Price: ,1.07,x
1.120157854, Sport: ,Soccer, Time: ,Fri Aug 28 17:30:00 CEST 2015, Time: ,Fri Aug 28 17:30:00 CEST 2015, Event: ,Paide Linnameeskond v Levadia Tallinn, Favorite: ,Levadia Tallinn, 206564   size:51.25,Price: ,1.25,The Draw, 58805   size:5.62,Price: ,5.7,Paide Linnameeskond, 5407316   size:2.8,Price: ,14.5,ok
1.120158781, Sport: ,Soccer, Time: ,Fri Aug 28 17:30:00 CEST 2015, Time: ,Fri Aug 28 17:30:00 CEST 2015, Event: ,Ilves Kissat v TPV, Favorite: ,TPV, 804682   size:36.43,Price: ,1.82,The Draw, 58805   size:8.74,Price: ,3.85,Ilves Kissat, 4674857   size:47.06,Price: ,4.4,x
