1.122294553, Sport: ,Ice Hockey, Time: ,Fri Dec 18 19:30:00 CET 2015, Time: ,Fri Dec 18 19:30:00 CET 2015, Event: ,Adler Mannheim v Kolner Haie, Favorite: ,Adler Mannheim, 233924   size:54.0,Price: ,1.89,Kolner Haie, 233911   size:3.67,Price: ,3.5,Tie, 60104   size:55.0,Price: ,4.6,x
1.122226628, Sport: ,Snooker, Time: ,Fri Dec 18 20:00:00 CET 2015, Time: ,Fri Dec 18 20:00:00 CET 2015, Event: ,Mark Selby v Kuldesh Johal, Favorite: ,Mark Selby, 2280127   size:22.18,Price: ,1.01,Kuldesh Johal, 3495958   size:22.18,Price: ,1.01,x
1.122226629, Sport: ,Snooker, Time: ,Fri Dec 18 20:00:00 CET 2015, Time: ,Fri Dec 18 20:00:00 CET 2015, Event: ,Sam Baird v David Morris, Favorite: ,Sam Baird, 4271913   size:8.53,Price: ,1.73,David Morris, 2329398   size:2.55,Price: ,2.2,x
1.122294557, Sport: ,Ice Hockey, Time: ,Fri Dec 18 19:30:00 CET 2015, Time: ,Fri Dec 18 19:30:00 CET 2015, Event: ,Schwenninger v Iserlohn, Favorite: ,Iserlohn, 265130   size:65.0,Price: ,2.06,Schwenninger, 348569   size:70.71,Price: ,2.9,Tie, 60104   size:67.0,Price: ,4.6,x
1.122219654, Sport: ,Soccer, Time: ,Fri Dec 18 19:30:00 CET 2015, Time: ,Fri Dec 18 19:30:00 CET 2015, Event: ,Gent (Y) v KSC Lokeren (Y), Favorite: ,KSC Lokeren (Y), 7159116   size:3.99,Price: ,1.9,Gent (Y), 7152306   size:2.14,Price: ,3.0,The Draw, 58805   size:2.33,Price: ,3.9,ok
1.122221609, Sport: ,Soccer, Time: ,Fri Dec 18 18:30:00 CET 2015, Time: ,Fri Dec 18 18:30:00 CET 2015, Event: ,St Pauli v Karlsruhe, Favorite: ,St Pauli, 44526   size:170.67,Price: ,2.46,Karlsruhe, 113191   size:25.64,Price: ,3.3,The Draw, 58805   size:649.88,Price: ,3.3,x
1.122235574, Sport: ,Handball, Time: ,Fri Dec 18 19:45:00 CET 2015, Time: ,Fri Dec 18 19:45:00 CET 2015, Event: ,Stuttgart v Eisenach, Favorite: ,Eisenach, 5833106   size:19.61,Price: ,1.11,Stuttgart, 10174885   size:4.38,Price: ,1.47,Draw, 330157   size:2.66,Price: ,1.34,x
1.122300762, Sport: ,Basketball, Time: ,Fri Dec 18 20:30:00 CET 2015, Time: ,Fri Dec 18 20:30:00 CET 2015, Event: ,Sheffield v London, Favorite: ,Sheffield, 2938535   size:7.95,Price: ,1.72,London, 6719045   size:5.01,Price: ,2.14,ok
1.122300763, Sport: ,Basketball, Time: ,Fri Dec 18 20:30:00 CET 2015, Time: ,Fri Dec 18 20:30:00 CET 2015, Event: ,Newcastle v Plymouth, Favorite: ,Newcastle, 6719050   size:2.75,Price: ,1.03,Plymouth, 2939197   size:2.75,Price: ,1.03,ok
1.122300642, Sport: ,Basketball, Time: ,Sat Dec 19 01:05:00 CET 2015, Time: ,Sat Dec 19 01:05:00 CET 2015, Event: ,Brooklyn @ Indiana, Favorite: ,Indiana, 13116   size:2.8,Price: ,1.15,Brooklyn, 6758557   size:3.86,Price: ,4.0,ok
1.122254093, Sport: ,Soccer, Time: ,Fri Dec 18 18:30:00 CET 2015, Time: ,Fri Dec 18 18:30:00 CET 2015, Event: ,Goztepe v Alanyaspor, Favorite: ,Goztepe, 113239   size:119.06,Price: ,2.04,Alanyaspor, 2080777   size:6.18,Price: ,3.95,The Draw, 58805   size:27.62,Price: ,3.55,x
1.122283781, Sport: ,Soccer, Time: ,Fri Dec 18 20:30:00 CET 2015, Time: ,Fri Dec 18 20:30:00 CET 2015, Event: ,Nice v Montpellier, Favorite: ,Nice, 189829   size:854.62,Price: ,2.42,Montpellier, 44797   size:507.6,Price: ,3.35,The Draw, 58805   size:2683.6,Price: ,3.4,ok
1.122220884, Sport: ,Soccer, Time: ,Fri Dec 18 20:00:00 CET 2015, Time: ,Fri Dec 18 20:00:00 CET 2015, Event: ,Waalwijk v Den Bosch, Favorite: ,Den Bosch, 48452   size:31.43,Price: ,2.4,Waalwijk, 48447   size:96.97,Price: ,3.05,The Draw, 58805   size:282.73,Price: ,3.7,x
1.122283664, Sport: ,Soccer, Time: ,Fri Dec 18 20:30:00 CET 2015, Time: ,Fri Dec 18 20:30:00 CET 2015, Event: ,Schalke v Hoffenheim, Favorite: ,Schalke, 50335   size:1508.67,Price: ,1.73,Hoffenheim, 208026   size:194.77,Price: ,5.5,The Draw, 58805   size:381.64,Price: ,4.1,ok
