1.122541366, Sport: ,Tennis, Time: ,Mon Jan 11 06:00:00 CET 2016, Time: ,Mon Jan 11 06:00:00 CET 2016, Event: ,D Medvedev v Trongcharoenchaikul, Favorite: ,Daniil Medvedev, 7797742   size:2.54,Price: ,1.07,Wishaya Trongcharoencha, 9376582   size:2.58,Price: ,8.4,ok
1.122447329, Sport: ,Soccer, Time: ,Sun Jan 10 16:00:00 CET 2016, Time: ,Sun Jan 10 16:00:00 CET 2016, Event: ,Famalicao v Varzim, Favorite: ,Famalicao, 5875376   size:29.65,Price: ,2.18,Varzim, 48795   size:75.77,Price: ,3.85,The Draw, 58805   size:8.95,Price: ,3.25,x
1.122467236, Sport: ,Soccer, Time: ,Sun Jan 10 11:00:00 CET 2016, Time: ,Sun Jan 10 11:00:00 CET 2016, Event: ,Mlada Boleslav v Varnsdorf, Favorite: ,Mlada Boleslav, 886284   size:2.54,Price: ,1.83,Varnsdorf, 4142631   size:4.48,Price: ,2.66,The Draw, 58805   size:2.91,Price: ,4.7,ok
1.122511537, Sport: ,Ice Hockey, Time: ,Sun Jan 10 15:00:00 CET 2016, Time: ,Sun Jan 10 15:00:00 CET 2016, Event: ,HC Dinamo Minsk v HC Sochi, Favorite: ,HC Dinamo Minsk, 10698098   size:13.21,Price: ,2.42,Hc Sochi, 8874475   size:21.62,Price: ,2.68,Tie, 60104   size:118.64,Price: ,3.8,x
1.122466422, Sport: ,American Football, Time: ,Sun Jan 10 22:40:00 CET 2016, Time: ,Sun Jan 10 22:40:00 CET 2016, Event: ,Green Bay Packers @ Washington Redskins, Favorite: ,Green Bay Packers, 50192   size:172.64,Price: ,1.98,Washington Redskins, 50187   size:127.83,Price: ,1.99,ok
1.122519844, Sport: ,Basketball, Time: ,Sun Jan 10 16:00:00 CET 2016, Time: ,Sun Jan 10 16:00:00 CET 2016, Event: ,BC Nokia v Salon Vilpas, Favorite: ,BC Nokia, 10291895   size:2.54,Price: ,1.45,Salon Vilpas, 7749341   size:30.75,Price: ,2.96,ok
1.122519841, Sport: ,Basketball, Time: ,Sun Jan 10 15:00:00 CET 2016, Time: ,Sun Jan 10 15:00:00 CET 2016, Event: ,Bakken v SISU, Favorite: ,Bakken, 7224123   size:564.51,Price: ,1.07,Sisu, 6719078   size:8.47,Price: ,5.7,ok
1.122519847, Sport: ,Basketball, Time: ,Sun Jan 10 15:30:00 CET 2016, Time: ,Sun Jan 10 15:30:00 CET 2016, Event: ,Ago Rethymno v Olympiacos, Favorite: ,Olympiacos, 278582   size:797.53,Price: ,1.05,Ago Rethymno, 6024814   size:7.64,Price: ,6.2,ok
1.122519845, Sport: ,Basketball, Time: ,Sun Jan 10 16:00:00 CET 2016, Time: ,Sun Jan 10 16:00:00 CET 2016, Event: ,Helsinki v Kouvot Kouvola, Favorite: ,Helsinki, 9042443   size:2.54,Price: ,1.87,Kouvot Kouvola, 7749353   size:2.54,Price: ,2.02,ok
1.122429075, Sport: ,Soccer, Time: ,Sun Jan 10 17:00:00 CET 2016, Time: ,Sun Jan 10 17:00:00 CET 2016, Event: ,Ath Bilbao B v Albacete, Favorite: ,Ath Bilbao B, 4943238   size:274.36,Price: ,2.66,Albacete, 309089   size:40.03,Price: ,3.0,The Draw, 58805   size:5.62,Price: ,3.25,x
1.122516660, Sport: ,Soccer, Time: ,Sun Jan 10 17:00:00 CET 2016, Time: ,Sun Jan 10 17:00:00 CET 2016, Event: ,Atletico Sanluqueno CF v Ecija Balompie, Favorite: ,Atletico Sanluqueno CF, 6399727   size:3.16,Price: ,1.49,Ecija Balompie, 9301056   size:34.08,Price: ,5.2,The Draw, 58805   size:34.58,Price: ,3.55,ok
1.122510598, Sport: ,American Football, Time: ,Sun Jan 10 22:40:00 CET 2016, Time: ,Sun Jan 10 22:40:00 CET 2016, Event: ,Green Bay Packers @ Washington Redskins, Favorite: ,Washington Redskins, 50187   size:155.0,Price: ,2.04,Green Bay Packers, 50192   size:5.0,Price: ,2.08,Tie After Normal Time, 7670445   size:2.0,Price: ,13.5,x
1.122477491, Sport: ,Soccer, Time: ,Sun Jan 10 16:30:00 CET 2016, Time: ,Sun Jan 10 16:30:00 CET 2016, Event: ,Villarreal B v LHospitalet, Favorite: ,Villarreal B, 2522842   size:265.76,Price: ,1.54,LHospitalet, 4923755   size:55.05,Price: ,5.8,The Draw, 58805   size:22.66,Price: ,3.95,ok
1.122481627, Sport: ,Basketball, Time: ,Sun Jan 10 15:00:00 CET 2016, Time: ,Sun Jan 10 15:00:00 CET 2016, Event: ,Banvit v Turk Telekom, Favorite: ,Banvit, 2125588   size:2.54,Price: ,1.21,Turk Telekom, 631280   size:2.54,Price: ,4.9,ok
1.122440723, Sport: ,Soccer, Time: ,Sun Jan 10 12:30:00 CET 2016, Time: ,Sun Jan 10 12:30:00 CET 2016, Event: ,Inter v Sassuolo, Favorite: ,Inter, 63347   size:2032.46,Price: ,1.64,Sassuolo, 2013140   size:415.37,Price: ,6.8,The Draw, 58805   size:1024.81,Price: ,4.0,x
1.122541624, Sport: ,Tennis, Time: ,Sun Jan 10 07:01:00 CET 2016, Time: ,Sun Jan 10 07:01:00 CET 2016, Event: ,Tursunov v Garanganga, Favorite: ,Dmitry Tursunov, 2256471   size:27.45,Price: ,1.07,Takanyi Garanganga, 7048673   size:105.24,Price: ,3.45,ok
1.122516549, Sport: ,Soccer, Time: ,Sun Jan 10 18:30:00 CET 2016, Time: ,Sun Jan 10 18:30:00 CET 2016, Event: ,Astur CF v CD Llanes, Favorite: ,CD Llanes, 6962264   size:2.15,Price: ,2.12,Astur CF, 8811922   size:4.02,Price: ,3.05,The Draw, 58805   size:35.17,Price: ,2.98,x
1.122519819, Sport: ,Ice Hockey, Time: ,Sun Jan 10 16:30:00 CET 2016, Time: ,Sun Jan 10 16:30:00 CET 2016, Event: ,Dusseldorfer EG v Red Bull Munich, Favorite: ,Tie, 60104   size:13.72,Price: ,1.04,Dusseldorfer EG, 240369   size:8.83,Price: ,2.22,Red Bull Munich, 10651736   size:53.33,Price: ,1.15,x
1.122354325, Sport: ,Cricket, Time: ,Sun Jan 10 17:00:00 CET 2016, Time: ,Sun Jan 10 17:00:00 CET 2016, Event: ,Afghanistan v Zimbabwe (2nd T20), Favorite: ,Afghanistan, 3786094   size:5.0,Price: ,1.95,Zimbabwe, 1006   size:5.0,Price: ,1.97,ok
1.122481631, Sport: ,Basketball, Time: ,Sun Jan 10 17:00:00 CET 2016, Time: ,Sun Jan 10 17:00:00 CET 2016, Event: ,Pinar Karsiyaka v Yesilgiresun, Favorite: ,Pinar Karsiyaka, 631283   size:5.94,Price: ,1.19,Yesilgiresun, 10398375   size:4.69,Price: ,5.4,ok
1.122482841, Sport: ,Ice Hockey, Time: ,Sun Jan 10 18:00:00 CET 2016, Time: ,Sun Jan 10 18:00:00 CET 2016, Event: ,SHK 37 Piestany v MSHK Zilina, Favorite: ,Zilina, 2078590   size:854.9,Price: ,1.01,Piestany, 6651342   size:6.39,Price: ,2.12,Tie, 60104   size:57.56,Price: ,1.01,ok
1.122481192, Sport: ,Basketball, Time: ,Sun Jan 10 17:00:00 CET 2016, Time: ,Sun Jan 10 17:00:00 CET 2016, Event: ,Cedevita v Buducnost, Favorite: ,Cedevita, 4229279   size:2.54,Price: ,1.51,Buducnost, 266288   size:2.54,Price: ,2.7,x
1.122447625, Sport: ,Soccer, Time: ,Sun Jan 10 16:00:00 CET 2016, Time: ,Sun Jan 10 16:00:00 CET 2016, Event: ,Leixoes v Penafiel, Favorite: ,Leixoes, 146050   size:4.62,Price: ,2.62,Penafiel, 505984   size:91.78,Price: ,3.05,The Draw, 58805   size:81.14,Price: ,3.15,ok
1.122543907, Sport: ,Soccer, Time: ,Sun Jan 10 14:00:00 CET 2016, Time: ,Sun Jan 10 14:00:00 CET 2016, Event: ,SD Paraense U20 v Bahia Salvador U20, Favorite: ,Bahia Salvador U20, 6846709   size:4.07,Price: ,2.12,SD Paraense U20, 10681228   size:2.54,Price: ,2.94,The Draw, 58805   size:4.13,Price: ,3.5,ok
1.122490291, Sport: ,Basketball, Time: ,Mon Jan 11 01:30:00 CET 2016, Time: ,Mon Jan 11 01:30:00 CET 2016, Event: ,Regatas v Libertad, Favorite: ,Regatas, 6718792   size:2.65,Price: ,1.03,Libertad, 6719116   size:2.65,Price: ,1.03,x
1.122511553, Sport: ,Ice Hockey, Time: ,Sun Jan 10 15:00:00 CET 2016, Time: ,Sun Jan 10 15:00:00 CET 2016, Event: ,Vityaz Podolsk v Jokerit Helsinki, Favorite: ,Jokerit Helsinki, 315116   size:20.84,Price: ,1.81,Vityaz Podolsk, 7675138   size:5.0,Price: ,3.85,Tie, 60104   size:10.75,Price: ,4.4,ok
1.122519822, Sport: ,Ice Hockey, Time: ,Sun Jan 10 16:30:00 CET 2016, Time: ,Sun Jan 10 16:30:00 CET 2016, Event: ,Grizzlys Wolfsburg v Adler Mannheim, Favorite: ,Grizzlys Wolfsburg, 10467471   size:28.63,Price: ,2.16,Adler Mannheim, 233924   size:23.06,Price: ,2.44,Tie, 60104   size:9.76,Price: ,4.4,x
1.122477481, Sport: ,Soccer, Time: ,Sun Jan 10 12:00:00 CET 2016, Time: ,Sun Jan 10 12:00:00 CET 2016, Event: ,Levante UD II v Hercules, Favorite: ,Hercules, 248015   size:2.55,Price: ,2.5,Levante UD II, 6399692   size:2.55,Price: ,3.4,The Draw, 58805   size:38.54,Price: ,2.98,ok
1.122519825, Sport: ,Ice Hockey, Time: ,Sun Jan 10 17:45:00 CET 2016, Time: ,Sun Jan 10 17:45:00 CET 2016, Event: ,Iserlohn Roosters v Cologne Haie, Favorite: ,Iserlohn Roosters, 233915   size:51.9,Price: ,1.64,Cologne Haie, 10651735   size:6.5,Price: ,3.2,Tie, 60104   size:9.78,Price: ,4.8,ok
1.122477485, Sport: ,Soccer, Time: ,Sun Jan 10 12:00:00 CET 2016, Time: ,Sun Jan 10 12:00:00 CET 2016, Event: ,Reus Deportiu v Pobla de Mafumet CF, Favorite: ,Reus Deportiu, 4136691   size:46.12,Price: ,1.51,Pobla de Mafumet CF, 9359728   size:38.97,Price: ,8.4,The Draw, 58805   size:2.64,Price: ,4.2,ok
1.122477487, Sport: ,Soccer, Time: ,Sun Jan 10 12:00:00 CET 2016, Time: ,Sun Jan 10 12:00:00 CET 2016, Event: ,Sabadell v Eldense, Favorite: ,Sabadell, 565026   size:113.9,Price: ,2.0,Eldense, 2250350   size:2.54,Price: ,4.0,The Draw, 58805   size:2.59,Price: ,3.4,ok
1.122477489, Sport: ,Soccer, Time: ,Sun Jan 10 12:00:00 CET 2016, Time: ,Sun Jan 10 12:00:00 CET 2016, Event: ,Valencia B v CD Llosetense, Favorite: ,Valencia B, 2250358   size:18.96,Price: ,1.81,CD Llosetense, 6399743   size:9.23,Price: ,5.4,The Draw, 58805   size:6.73,Price: ,3.5,ok
1.122519828, Sport: ,Ice Hockey, Time: ,Sun Jan 10 18:30:00 CET 2016, Time: ,Sun Jan 10 18:30:00 CET 2016, Event: ,Krefeld Pinguine v Schwenninger Wild Wings, Favorite: ,Krefeld Pinguine, 233926   size:35.05,Price: ,2.02,Schwenninger Wild Wings, 247129   size:7.63,Price: ,2.72,Tie, 60104   size:9.22,Price: ,4.6,ok
1.122444472, Sport: ,Soccer, Time: ,Sun Jan 10 18:15:00 CET 2016, Time: ,Sun Jan 10 18:15:00 CET 2016, Event: ,Eibar v Espanyol, Favorite: ,Eibar, 247969   size:99.5,Price: ,2.04,Espanyol, 59044   size:195.09,Price: ,4.4,The Draw, 58805   size:1090.81,Price: ,3.5,ok
1.122467146, Sport: ,Soccer, Time: ,Sun Jan 10 07:30:00 CET 2016, Time: ,Sun Jan 10 07:30:00 CET 2016, Event: ,Wong Tai Sin v Yuen Long, Favorite: ,Yuen Long, 9278604   size:3.66,Price: ,1.82,Wong Tai Sin, 8839726   size:7.42,Price: ,4.6,The Draw, 58805   size:86.54,Price: ,3.6,x
1.122477473, Sport: ,Soccer, Time: ,Sun Jan 10 17:00:00 CET 2016, Time: ,Sun Jan 10 17:00:00 CET 2016, Event: ,Talavera CF v Real Union, Favorite: ,Real Union, 247970   size:28.41,Price: ,2.38,Talavera CF, 7309192   size:19.8,Price: ,3.3,The Draw, 58805   size:10.09,Price: ,3.3,ok
1.122477477, Sport: ,Soccer, Time: ,Sun Jan 10 12:00:00 CET 2016, Time: ,Sun Jan 10 12:00:00 CET 2016, Event: ,Badalona v Olimpic Xativa, Favorite: ,Badalona, 968178   size:14.2,Price: ,2.26,Olimpic Xativa, 5213879   size:46.59,Price: ,3.9,The Draw, 58805   size:31.63,Price: ,3.0,ok
1.122480642, Sport: ,Ice Hockey, Time: ,Sun Jan 10 17:30:00 CET 2016, Time: ,Sun Jan 10 17:30:00 CET 2016, Event: ,HC Chomutov v HC Litvinov, Favorite: ,Tie, 60104   size:18.0,Price: ,1.53,Chomutov, 4645019   size:11.56,Price: ,1.78,Litvinov, 563270   size:5.8,Price: ,2.38,ok
1.122481576, Sport: ,Basketball, Time: ,Sun Jan 10 20:00:00 CET 2016, Time: ,Sun Jan 10 20:00:00 CET 2016, Event: ,Vojvodina v Mladost Admiral, Favorite: ,Vojvodina, 1275949   size:3.25,Price: ,1.03,Mladost Admiral, 10370890   size:3.25,Price: ,1.03,x
1.122477514, Sport: ,Soccer, Time: ,Sun Jan 10 12:00:00 CET 2016, Time: ,Sun Jan 10 12:00:00 CET 2016, Event: ,Melilla v Algeciras, Favorite: ,Melilla, 2250364   size:2.79,Price: ,2.32,Algeciras, 516260   size:10.3,Price: ,3.75,The Draw, 58805   size:2.79,Price: ,3.1,x
1.122447255, Sport: ,Soccer, Time: ,Sun Jan 10 16:00:00 CET 2016, Time: ,Sun Jan 10 16:00:00 CET 2016, Event: ,Covilha v Aves, Favorite: ,Covilha, 336269   size:28.76,Price: ,1.94,Aves, 505958   size:55.38,Price: ,4.9,The Draw, 58805   size:10.11,Price: ,3.4,x
1.122543981, Sport: ,Soccer, Time: ,Sun Jan 10 13:00:00 CET 2016, Time: ,Sun Jan 10 13:00:00 CET 2016, Event: ,Vitoria U20 v ABC Futebol Clube U20, Favorite: ,Vitoria U20, 5181430   size:2.84,Price: ,1.61,ABC Futebol Clube U20, 10681123   size:3.71,Price: ,4.2,The Draw, 58805   size:3.89,Price: ,3.6,x
1.122477518, Sport: ,Soccer, Time: ,Sun Jan 10 12:00:00 CET 2016, Time: ,Sun Jan 10 12:00:00 CET 2016, Event: ,Murcia v Marbella, Favorite: ,Murcia, 68244   size:19.93,Price: ,1.64,Marbella, 2250362   size:2.14,Price: ,6.4,The Draw, 58805   size:24.88,Price: ,3.75,x
1.122447921, Sport: ,Soccer, Time: ,Sun Jan 10 17:00:00 CET 2016, Time: ,Sun Jan 10 17:00:00 CET 2016, Event: ,Santa Clara v Guimaraes B, Favorite: ,Santa Clara, 48793   size:6.02,Price: ,2.12,Guimaraes B, 6563316   size:108.4,Price: ,4.1,The Draw, 58805   size:45.4,Price: ,3.25,ok
1.122541390, Sport: ,Tennis, Time: ,Mon Jan 11 06:00:00 CET 2016, Time: ,Mon Jan 11 06:00:00 CET 2016, Event: ,A Metreveli v San Singh, Favorite: ,Sanam Singh, 6596565   size:5.54,Price: ,1.53,Aleksandre Metreveli, 8304061   size:2.54,Price: ,2.5,x
1.122437166, Sport: ,Soccer, Time: ,Sun Jan 10 15:00:00 CET 2016, Time: ,Sun Jan 10 15:00:00 CET 2016, Event: ,Foggia v Juve Stabia, Favorite: ,Foggia, 522053   size:15.1,Price: ,1.84,Juve Stabia, 1270340   size:111.69,Price: ,5.0,The Draw, 58805   size:5.16,Price: ,3.45,x
