1.122635007, Sport: ,Soccer, Time: ,Wed Jan 20 11:00:00 CET 2016, Time: ,Wed Jan 20 11:00:00 CET 2016, Event: ,Sivas Belediyespor v 1461 Trabzon, Favorite: ,1461 Trabzon, 5289229   size:2.55,Price: ,1.94,Sivas Belediyespor, 6781573   size:436.85,Price: ,3.55,The Draw, 58805   size:2.55,Price: ,2.94,x
1.122635009, Sport: ,Soccer, Time: ,Wed Jan 20 17:00:00 CET 2016, Time: ,Wed Jan 20 17:00:00 CET 2016, Event: ,Trabzonspor v Nazilli Belediyespor, Favorite: ,Trabzonspor, 113125   size:5.36,Price: ,1.14,Nazilli Belediyespor, 965424   size:2.59,Price: ,13.0,The Draw, 58805   size:4.8,Price: ,6.4,ok
1.122614304, Sport: ,Ice Hockey, Time: ,Wed Jan 20 01:35:00 CET 2016, Time: ,Wed Jan 20 01:35:00 CET 2016, Event: ,Edmonton @ Tampa Bay, Favorite: ,Tampa Bay, 2109715   size:18.89,Price: ,1.8,Edmonton, 2109967   size:110.84,Price: ,4.2,Tie, 60104   size:103.98,Price: ,4.5,ok
1.122657030, Sport: ,Soccer, Time: ,Wed Jan 20 14:30:00 CET 2016, Time: ,Wed Jan 20 14:30:00 CET 2016, Event: ,Slovacko v Trinec, Favorite: ,Slovacko, 1533861   size:11.85,Price: ,1.06,Trinec, 2951815   size:18.0,Price: ,1.15,The Draw, 58805   size:18.0,Price: ,2.9,ok
1.122640278, Sport: ,Tennis, Time: ,Wed Jan 20 13:00:00 CET 2016, Time: ,Wed Jan 20 13:00:00 CET 2016, Event: ,Ma Gonzalez v T Monteiro, Favorite: ,Maximo Gonzalez, 2489416   size:4.65,Price: ,1.54,Thiago Monteiro, 8326656   size:6.18,Price: ,2.54,x
1.122645965, Sport: ,Basketball, Time: ,Wed Jan 20 11:00:00 CET 2016, Time: ,Wed Jan 20 11:00:00 CET 2016, Event: ,Seoul Thunders v Changwon Sakers, Favorite: ,Seoul Thunders, 8000107   size:2883.26,Price: ,1.06,Changwon Sakers, 10276571   size:2883.26,Price: ,1.06,x
1.122652948, Sport: ,Ice Hockey, Time: ,Wed Jan 20 17:00:00 CET 2016, Time: ,Wed Jan 20 17:00:00 CET 2016, Event: ,Torpedo N. Novgorod v Lokomotiv Yaroslavl, Favorite: ,Lokomotiv Yaroslavl, 672199   size:129.76,Price: ,2.48,Torpedo N. Novgorod, 8835402   size:83.17,Price: ,2.56,Tie, 60104   size:6.12,Price: ,3.7,x
1.122646010, Sport: ,Basketball, Time: ,Tue Jan 19 22:30:00 CET 2016, Time: ,Tue Jan 19 22:30:00 CET 2016, Event: ,Paulistano v Brasilia, Favorite: ,Paulistano, 8876562   size:4.5,Price: ,1.49,Brasilia, 8948838   size:38.0,Price: ,2.8,x
1.122652943, Sport: ,Ice Hockey, Time: ,Wed Jan 20 15:00:00 CET 2016, Time: ,Wed Jan 20 15:00:00 CET 2016, Event: ,Avtomobilist v Neftekhimik, Favorite: ,Avtomobilist, 4138395   size:59.91,Price: ,2.14,Neftekhimik, 1365122   size:59.91,Price: ,3.05,Tie, 60104   size:59.91,Price: ,4.0,ok
1.122656744, Sport: ,Soccer, Time: ,Wed Jan 20 17:30:00 CET 2016, Time: ,Wed Jan 20 17:30:00 CET 2016, Event: ,Jordan (Olympic) v Australia (Olympic), Favorite: ,Jordan (Olympic), 5425836   size:356.84,Price: ,1.16,Australia (Olympic), 10712302   size:540.67,Price: ,1.24,The Draw, 58805   size:51.9,Price: ,3.5,x
1.122635002, Sport: ,Soccer, Time: ,Wed Jan 20 12:00:00 CET 2016, Time: ,Wed Jan 20 12:00:00 CET 2016, Event: ,Mersin Idman Yurdu v Aydinspor, Favorite: ,Mersin Idman Yurdu, 508779   size:91.53,Price: ,1.9,Aydinspor, 7622635   size:9.3,Price: ,4.3,The Draw, 58805   size:11.53,Price: ,3.25,ok
1.122657143, Sport: ,Soccer, Time: ,Wed Jan 20 12:00:00 CET 2016, Time: ,Wed Jan 20 12:00:00 CET 2016, Event: ,Zaglebie Lubin v Chrobry Glogow, Favorite: ,Zaglebie Lubin, 166904   size:11.85,Price: ,1.06,Chrobry Glogow, 5822815   size:11.85,Price: ,1.06,The Draw, 58805   size:15.57,Price: ,2.88,x
1.122651161, Sport: ,Basketball, Time: ,Wed Jan 20 03:05:00 CET 2016, Time: ,Wed Jan 20 03:05:00 CET 2016, Event: ,Oklahoma City @ Denver, Favorite: ,Oklahoma City, 3363394   size:2674.52,Price: ,1.26,Denver, 13124   size:13.15,Price: ,4.6,ok
1.122610859, Sport: ,Soccer, Time: ,Tue Jan 19 20:45:00 CET 2016, Time: ,Tue Jan 19 20:45:00 CET 2016, Event: ,Darlington v Whitby Town, Favorite: ,Darlington, 69713   size:100.0,Price: ,1.22,Whitby Town, 62653   size:73.96,Price: ,4.0,The Draw, 58805   size:100.0,Price: ,2.42,x
1.122557898, Sport: ,Cricket, Time: ,Wed Jan 20 06:30:00 CET 2016, Time: ,Wed Jan 20 06:30:00 CET 2016, Event: ,Pakistan A v England Lions (1st ODI), Favorite: ,England Lions, 3020905   size:2.98,Price: ,1.67,Pakistan A, 8890212   size:2.8,Price: ,1.78,ok
