1.121101781, Sport: ,Basketball, Time: ,Fri Oct 09 10:00:00 CEST 2015, Time: ,Fri Oct 09 10:00:00 CEST 2015, Event: ,Goyang Orions v Anyang KGC Pro, Favorite: ,Goyang Orions, 5889518   size:2.55,Price: ,1.31,Anyang KGC Pro, 10276570   size:5.75,Price: ,3.8,ok
1.121107725, Sport: ,Tennis, Time: ,Fri Oct 09 10:15:00 CEST 2015, Time: ,Fri Oct 09 10:15:00 CEST 2015, Event: ,D Ferrer v Ye Lu, Favorite: ,David Ferrer, 2257314   size:1994.51,Price: ,1.28,Yen-Hsun Lu, 8287128   size:138.1,Price: ,4.4,ok
1.121120745, Sport: ,Tennis, Time: ,Fri Oct 09 07:27:00 CEST 2015, Time: ,Fri Oct 09 07:27:00 CEST 2015, Event: ,Ma Cilic v Nishikori, Favorite: ,Kei Nishikori, 2483001   size:10482.55,Price: ,1.41,Marin Cilic, 2263681   size:977.76,Price: ,3.35,ok
1.121144749, Sport: ,Tennis, Time: ,Fri Oct 09 10:00:00 CEST 2015, Time: ,Fri Oct 09 10:00:00 CEST 2015, Event: ,A Ivanovic v Pavlyuchenkova, Favorite: ,Ana Ivanovic, 2249841   size:1231.63,Price: ,1.41,Anastasia Pavlyuchenkov, 9438602   size:4.99,Price: ,3.3,ok
1.121157373, Sport: ,Snooker, Time: ,Fri Oct 09 09:30:00 CEST 2015, Time: ,Fri Oct 09 09:30:00 CEST 2015, Event: ,Stuart Bingham v Fergal O'Brien, Favorite: ,Stuart Bingham, 2278800   size:2.55,Price: ,1.34,Fergal O'Brien, 7569565   size:380.8,Price: ,3.4,x
1.121114701, Sport: ,Tennis, Time: ,Fri Oct 09 06:38:00 CEST 2015, Time: ,Fri Oct 09 06:38:00 CEST 2015, Event: ,Bacsinszky v Errani, Favorite: ,Sara Errani, 2309567   size:1546.51,Price: ,1.11,Timea Bacsinszky, 2263710   size:124.45,Price: ,9.6,x
1.121118423, Sport: ,Soccer, Time: ,Fri Oct 09 10:00:00 CEST 2015, Time: ,Fri Oct 09 10:00:00 CEST 2015, Event: ,Quang Ninh U21 v Ha Noi T&T U21, Favorite: ,Ha Noi T&T U21, 7650226   size:2.63,Price: ,1.47,Quang Ninh U21, 7642480   size:4.28,Price: ,3.7,The Draw, 58805   size:3.95,Price: ,4.4,ok
1.121118533, Sport: ,Soccer, Time: ,Fri Oct 09 10:00:00 CEST 2015, Time: ,Fri Oct 09 10:00:00 CEST 2015, Event: ,Dong Thap U21 v Can Tho U21, Favorite: ,Dong Thap U21, 7642507   size:164.42,Price: ,1.14,Can Tho U21, 7639950   size:8.19,Price: ,7.0,The Draw, 58805   size:2.63,Price: ,5.5,x
1.121118478, Sport: ,Soccer, Time: ,Fri Oct 09 12:00:00 CEST 2015, Time: ,Fri Oct 09 12:00:00 CEST 2015, Event: ,KLB Kien Giang U21 v Binh Duong U21, Favorite: ,Binh Duong U21, 10386388   size:2.55,Price: ,1.61,KLB Kien Giang U21, 7639967   size:2.55,Price: ,1.77,The Draw, 58805   size:5.35,Price: ,3.4,ok
1.121118589, Sport: ,Soccer, Time: ,Fri Oct 09 10:00:00 CEST 2015, Time: ,Fri Oct 09 10:00:00 CEST 2015, Event: ,Dong Nai U21 v PVF U21, Favorite: ,PVF U21, 10392978   size:2.55,Price: ,2.04,Dong Nai U21, 7639987   size:2.55,Price: ,2.38,The Draw, 58805   size:5.17,Price: ,4.1,x
1.121118644, Sport: ,Soccer, Time: ,Fri Oct 09 12:00:00 CEST 2015, Time: ,Fri Oct 09 12:00:00 CEST 2015, Event: ,Vissai Ninh Binh U21 v Viettel FC U21, Favorite: ,Viettel FC U21, 7642469   size:2.55,Price: ,1.55,Vissai Ninh Binh U21, 8773427   size:2.55,Price: ,1.81,The Draw, 58805   size:4.99,Price: ,3.25,ok
1.121114717, Sport: ,Tennis, Time: ,Fri Oct 09 08:30:00 CEST 2015, Time: ,Fri Oct 09 08:30:00 CEST 2015, Event: ,A Radwanska v Kerber, Favorite: ,Angelique Kerber, 2411840   size:742.96,Price: ,1.65,Agnieszka Radwanska, 2263577   size:70.55,Price: ,2.5,x
1.121118368, Sport: ,Soccer, Time: ,Fri Oct 09 12:00:00 CEST 2015, Time: ,Fri Oct 09 12:00:00 CEST 2015, Event: ,Vinh Long FC U21 v Hung Vuong An Giang U21, Favorite: ,Vinh Long FC U21, 7639951   size:3.85,Price: ,1.3,Hung Vuong An Giang U21, 8773425   size:6.15,Price: ,4.2,The Draw, 58805   size:6.15,Price: ,4.2,x
