1.122218710, Sport: ,Soccer, Time: ,Fri Dec 11 15:30:00 CET 2015, Time: ,Fri Dec 11 15:30:00 CET 2015, Event: ,Al-Quadisiya (KSA) v Al-Fateh (KSA), Favorite: ,Al-Fateh (KSA), 7196232   size:3.65,Price: ,2.24,Al-Quadisiya (KSA), 10201607   size:2.0,Price: ,3.2,The Draw, 58805   size:4.54,Price: ,3.45,x
1.122218435, Sport: ,Soccer, Time: ,Fri Dec 11 14:00:00 CET 2015, Time: ,Fri Dec 11 14:00:00 CET 2015, Event: ,Al Hussein v Al Sareeh, Favorite: ,Al Sareeh, 6528785   size:3.65,Price: ,2.7,Al Hussein, 5360907   size:3.65,Price: ,2.76,The Draw, 58805   size:2.69,Price: ,3.25,ok
1.122197955, Sport: ,Basketball, Time: ,Fri Dec 11 21:00:00 CET 2015, Time: ,Fri Dec 11 21:00:00 CET 2015, Event: ,KK Sutjeska v Tajfun, Favorite: ,KK Sutjeska, 9029075   size:7.55,Price: ,1.68,Tajfun, 8193254   size:2.55,Price: ,2.24,x
1.122203602, Sport: ,Basketball, Time: ,Fri Dec 11 20:45:00 CET 2015, Time: ,Fri Dec 11 20:45:00 CET 2015, Event: ,Panathinaikos v Zielona Gora, Favorite: ,Panathinaikos, 266270   size:45.71,Price: ,1.1,Zielona Gora, 6703617   size:13.28,Price: ,4.4,ok
1.122207689, Sport: ,Basketball, Time: ,Fri Dec 11 19:00:00 CET 2015, Time: ,Fri Dec 11 19:00:00 CET 2015, Event: ,Lukoil Academic v Levski Sofia, Favorite: ,Lukoil Academic, 677801   size:2.76,Price: ,1.03,Levski Sofia, 8783027   size:2.76,Price: ,1.03,ok
1.122180757, Sport: ,Handball, Time: ,Fri Dec 11 18:15:00 CET 2015, Time: ,Fri Dec 11 18:15:00 CET 2015, Event: ,Brazil v France, Favorite: ,Draw, 330157   size:18.0,Price: ,1.19,Brazil, 620387   size:18.0,Price: ,2.02,France, 620374   size:222.0,Price: ,1.5,x
1.122180753, Sport: ,Handball, Time: ,Fri Dec 11 16:00:00 CET 2015, Time: ,Fri Dec 11 16:00:00 CET 2015, Event: ,Argentina v South Korea, Favorite: ,South Korea, 620382   size:2.76,Price: ,1.03,Argentina, 620394   size:700.0,Price: ,1.06,Draw, 330157   size:2.76,Price: ,1.03,ok
1.121967909, Sport: ,Mixed Martial Arts, Time: ,Sat Dec 12 04:00:00 CET 2015, Time: ,Sat Dec 12 04:00:00 CET 2015, Event: ,Barboza v Ferguson, Favorite: ,Tony Ferguson, 5589607   size:2.87,Price: ,1.58,Edson Barboza, 5117486   size:62.62,Price: ,2.46,ok
1.122183314, Sport: ,Rugby Union, Time: ,Fri Dec 11 20:00:00 CET 2015, Time: ,Fri Dec 11 20:00:00 CET 2015, Event: ,La Rochelle v Zebre, Favorite: ,La Rochelle, 4788784   size:5.94,Price: ,1.15,Zebre, 6488007   size:81.66,Price: ,5.3,Draw, 246289   size:8.3,Price: ,24.0,ok
1.122180761, Sport: ,Handball, Time: ,Fri Dec 11 20:30:00 CET 2015, Time: ,Fri Dec 11 20:30:00 CET 2015, Event: ,DR Congo v Germany, Favorite: ,Germany, 620386   size:0.0,Price: ,0.0,DR Congo, 10577011   size:12.0,Price: ,450.0,Draw, 330157   size:12.0,Price: ,300.0,ok
1.122216764, Sport: ,Soccer, Time: ,Fri Dec 11 11:00:00 CET 2015, Time: ,Fri Dec 11 11:00:00 CET 2015, Event: ,CRB Ain Fakroun U21 v USMM Hadjout U21, Favorite: ,CRB Ain Fakroun U21, 9031375   size:2.7,Price: ,1.37,USMM Hadjout U21, 8119398   size:3.67,Price: ,6.6,The Draw, 58805   size:4.16,Price: ,4.3,ok
1.122217018, Sport: ,Basketball, Time: ,Fri Dec 11 21:00:00 CET 2015, Time: ,Fri Dec 11 21:00:00 CET 2015, Event: ,San Pablo Inmobiliaria  v Prat Joventut, Favorite: ,San Pablo Inmobiliaria , 10370725   size:2.76,Price: ,1.03,Prat Joventut, 8832823   size:2.76,Price: ,1.03,ok
