1.121148398, Sport: ,Soccer, Time: ,Sat Oct 10 13:00:00 CEST 2015, Time: ,Sat Oct 10 13:00:00 CEST 2015, Event: ,SFC Opava U19 v FK Jablonec U19, Favorite: ,SFC Opava U19, 6582678   size:3.51,Price: ,1.07,FK Jablonec U19, 7547335   size:3.51,Price: ,1.07,The Draw, 58805   size:2.69,Price: ,1.25,ok
1.121016799, Sport: ,Soccer, Time: ,Fri Oct 09 20:45:00 CEST 2015, Time: ,Fri Oct 09 20:45:00 CEST 2015, Event: ,Montenegro v Austria, Favorite: ,Austria, 61463   size:500.0,Price: ,1.22,Montenegro, 2345367   size:9.8,Price: ,3.55,The Draw, 58805   size:1706.35,Price: ,3.4,ok
1.121174085, Sport: ,Tennis, Time: ,Sat Oct 10 05:00:00 CEST 2015, Time: ,Sat Oct 10 05:00:00 CEST 2015, Event: ,Cipolla v Woo, Favorite: ,Flavio Cipolla, 2424788   size:4.1,Price: ,1.06,Chung Hyo Woo, 9472613   size:2.46,Price: ,1.1,ok
1.121114383, Sport: ,Ice Hockey, Time: ,Sat Oct 10 01:35:00 CEST 2015, Time: ,Sat Oct 10 01:35:00 CEST 2015, Event: ,Chicago @ NY Islanders, Favorite: ,Chicago, 2109831   size:2.39,Price: ,2.56,NY Islanders, 60105   size:110.0,Price: ,2.66,Tie, 60104   size:520.0,Price: ,3.85,x
1.121101826, Sport: ,Basketball, Time: ,Sat Oct 10 03:00:00 CEST 2015, Time: ,Sat Oct 10 03:00:00 CEST 2015, Event: ,Fenerbahce @ Oklahoma City, Favorite: ,Oklahoma City, 3363394   size:4.1,Price: ,1.06,Fenerbahce, 631290   size:2.55,Price: ,1.81,ok
1.121157553, Sport: ,Tennis, Time: ,Sat Oct 10 06:30:00 CEST 2015, Time: ,Sat Oct 10 06:30:00 CEST 2015, Event: ,Nadal v Fognini, Favorite: ,Rafael Nadal, 2251410   size:663.43,Price: ,1.59,Fabio Fognini, 2319544   size:99.36,Price: ,2.44,ok
1.121114300, Sport: ,Ice Hockey, Time: ,Sat Oct 10 01:05:00 CEST 2015, Time: ,Sat Oct 10 01:05:00 CEST 2015, Event: ,NY Rangers @ Columbus, Favorite: ,NY Rangers, 60103   size:524.0,Price: ,2.46,Columbus, 2114347   size:110.42,Price: ,2.62,Tie, 60104   size:345.0,Price: ,4.0,ok
1.121157635, Sport: ,Tennis, Time: ,Sat Oct 10 07:30:00 CEST 2015, Time: ,Sat Oct 10 07:30:00 CEST 2015, Event: ,Webley-Smith v Kuwata, Favorite: ,Hiroko Kuwata, 8732124   size:5.71,Price: ,1.42,Emily Webley-Smith, 8595920   size:8.32,Price: ,2.86,ok
1.121171209, Sport: ,Tennis, Time: ,Sat Oct 10 13:30:00 CEST 2015, Time: ,Sat Oct 10 13:30:00 CEST 2015, Event: ,N Djokovic v D Ferrer, Favorite: ,Novak Djokovic, 2249229   size:17242.32,Price: ,1.08,David Ferrer, 2257314   size:254.33,Price: ,12.5,ok
1.121114429, Sport: ,Ice Hockey, Time: ,Sat Oct 10 04:35:00 CEST 2015, Time: ,Sat Oct 10 04:35:00 CEST 2015, Event: ,Arizona @ Los Angeles, Favorite: ,Los Angeles, 2112286   size:524.0,Price: ,1.7,Arizona, 8867880   size:94.84,Price: ,4.6,Tie, 60104   size:5.0,Price: ,4.7,x
1.121144262, Sport: ,Basketball, Time: ,Sat Oct 10 12:00:00 CEST 2015, Time: ,Sat Oct 10 12:00:00 CEST 2015, Event: ,Fukuoka v Hiroshima Lightning, Favorite: ,Fukuoka, 6737023   size:8.19,Price: ,1.03,Hiroshima Lightning, 10364960   size:8.19,Price: ,1.03,ok
1.121119960, Sport: ,Tennis, Time: ,Fri Oct 09 20:52:00 CEST 2015, Time: ,Fri Oct 09 20:52:00 CEST 2015, Event: ,Struff v De Novak, Favorite: ,Jan-Lennard Struff, 8259098   size:35.02,Price: ,1.15,Dennis Novak, 7335936   size:93.21,Price: ,7.0,ok
1.121155154, Sport: ,Soccer, Time: ,Sat Oct 10 12:00:00 CEST 2015, Time: ,Sat Oct 10 12:00:00 CEST 2015, Event: ,AP LKS Lodz U19 v Cracovia Krakow U19, Favorite: ,AP LKS Lodz U19, 7196125   size:3.51,Price: ,1.07,Cracovia Krakow U19, 7202810   size:3.51,Price: ,1.07,The Draw, 58805   size:2.69,Price: ,1.25,x
1.121148509, Sport: ,Soccer, Time: ,Sat Oct 10 11:00:00 CEST 2015, Time: ,Sat Oct 10 11:00:00 CEST 2015, Event: ,FC Slovan Liberec U19 v FC Hradec Kralove U19, Favorite: ,FC Slovan Liberec U19, 6584732   size:3.51,Price: ,1.07,FC Hradec Kralove U19, 6854008   size:3.51,Price: ,1.07,The Draw, 58805   size:2.69,Price: ,1.25,x
1.121120635, Sport: ,Baseball, Time: ,Fri Oct 09 21:45:00 CEST 2015, Time: ,Fri Oct 09 21:45:00 CEST 2015, Event: ,HOU @ KC, Favorite: ,Kansas City (J Cueto), 10096750   size:36.34,Price: ,1.76,Houston (S Kazmir), 10067619   size:372.66,Price: ,2.18,ok
1.121007857, Sport: ,Soccer, Time: ,Fri Oct 09 20:45:00 CEST 2015, Time: ,Fri Oct 09 20:45:00 CEST 2015, Event: ,Galway Utd v Limerick, Favorite: ,Limerick, 385757   size:491.95,Price: ,2.28,Galway Utd, 318841   size:20.12,Price: ,3.0,The Draw, 58805   size:116.21,Price: ,4.1,ok
1.121007931, Sport: ,Soccer, Time: ,Fri Oct 09 20:45:00 CEST 2015, Time: ,Fri Oct 09 20:45:00 CEST 2015, Event: ,Bohemians v St Patricks, Favorite: ,St Patricks, 364471   size:2.69,Price: ,2.24,Bohemians, 3814   size:2.69,Price: ,3.5,The Draw, 58805   size:30.97,Price: ,3.7,x
1.121008227, Sport: ,Soccer, Time: ,Fri Oct 09 20:45:00 CEST 2015, Time: ,Fri Oct 09 20:45:00 CEST 2015, Event: ,Shamrock Rovers v Dundalk, Favorite: ,Dundalk, 198746   size:2.69,Price: ,2.34,Shamrock Rovers, 184325   size:2.69,Price: ,3.4,The Draw, 58805   size:20.2,Price: ,3.35,x
1.121148066, Sport: ,Soccer, Time: ,Sat Oct 10 10:00:00 CEST 2015, Time: ,Sat Oct 10 10:00:00 CEST 2015, Event: ,NK Inter-Zapresic U19 v Slaven Belupo U19, Favorite: ,NK Inter-Zapresic U19, 10325227   size:3.51,Price: ,1.07,Slaven Belupo U19, 7304536   size:3.51,Price: ,1.07,The Draw, 58805   size:2.69,Price: ,1.25,x
1.121017211, Sport: ,Soccer, Time: ,Fri Oct 09 20:45:00 CEST 2015, Time: ,Fri Oct 09 20:45:00 CEST 2015, Event: ,Slovakia v Belarus, Favorite: ,Slovakia, 15288   size:3694.58,Price: ,1.71,Belarus, 29634   size:79.1,Price: ,6.4,The Draw, 58805   size:696.73,Price: ,3.8,x
1.121147296, Sport: ,Soccer, Time: ,Sat Oct 10 11:00:00 CEST 2015, Time: ,Sat Oct 10 11:00:00 CEST 2015, Event: ,Bobruichanka B (W) v Nadezhda Mogilev (W), Favorite: ,Bobruichanka B (W), 6296897   size:3.51,Price: ,1.07,Nadezhda Mogilev (W), 5598855   size:3.51,Price: ,1.07,The Draw, 58805   size:2.69,Price: ,1.25,x
1.121152316, Sport: ,Soccer, Time: ,Sat Oct 10 04:00:00 CEST 2015, Time: ,Sat Oct 10 04:00:00 CEST 2015, Event: ,Arabe Unido v Sporting San Miguel, Favorite: ,Arabe Unido, 4067827   size:4.7,Price: ,1.62,Sporting San Miguel, 7546734   size:6.69,Price: ,4.4,The Draw, 58805   size:2.54,Price: ,3.0,ok
1.121173338, Sport: ,Tennis, Time: ,Sat Oct 10 05:00:00 CEST 2015, Time: ,Sat Oct 10 05:00:00 CEST 2015, Event: ,Ki v C Simmonds, Favorite: ,Yan-Tung Ki, 9130542   size:4.1,Price: ,1.06,Chanel Simmonds, 6604256   size:4.1,Price: ,1.06,x
