1.121237319, Sport: ,Ice Hockey, Time: ,Mon Oct 19 11:30:00 CEST 2015, Time: ,Mon Oct 19 11:30:00 CEST 2015, Event: ,Vladivostok v CSKA, Favorite: ,CSKA, 2240050   size:75.0,Price: ,1.53,Vladivostok, 7597246   size:36.0,Price: ,2.52,Tie, 60104   size:75.0,Price: ,3.05,ok
1.121237295, Sport: ,Ice Hockey, Time: ,Mon Oct 19 11:30:00 CEST 2015, Time: ,Mon Oct 19 11:30:00 CEST 2015, Event: ,Amur v Severstal, Favorite: ,Tie, 60104   size:10.59,Price: ,1.01,Amur, 2240061   size:4.4,Price: ,1.3,Severstal, 2560282   size:4.4,Price: ,1.3,x
1.121340409, Sport: ,Tennis, Time: ,Mon Oct 19 11:31:00 CEST 2015, Time: ,Mon Oct 19 11:31:00 CEST 2015, Event: ,Neuchrist/Sharan v Chrysochos/Ismailov, Favorite: ,Chrysochos/Ismailov, 10433984   size:4.88,Price: ,1.03,Neuchrist/Sharan, 10433983   size:3.23,Price: ,1.07,ok
1.121346421, Sport: ,Tennis, Time: ,Mon Oct 19 11:30:00 CEST 2015, Time: ,Mon Oct 19 11:30:00 CEST 2015, Event: ,Kasatkina v Kania, Favorite: ,Daria Kasatkina, 7795290   size:91.19,Price: ,1.44,Paula Kania, 7083220   size:6.88,Price: ,3.15,ok
1.121337428, Sport: ,Soccer, Time: ,Mon Oct 19 11:30:00 CEST 2015, Time: ,Mon Oct 19 11:30:00 CEST 2015, Event: ,Air India v GM Sports, Favorite: ,Air India, 4391263   size:105.3,Price: ,1.36,GM Sports, 8978864   size:15.01,Price: ,6.8,The Draw, 58805   size:18.25,Price: ,6.4,ok
1.121342664, Sport: ,Tennis, Time: ,Mon Oct 19 11:30:00 CEST 2015, Time: ,Mon Oct 19 11:30:00 CEST 2015, Event: ,Coin v Martincova, Favorite: ,Julie Coin, 3289144   size:135.75,Price: ,1.87,Tereza Martincova, 7335514   size:43.72,Price: ,2.12,ok
