1.119337161, Sport: ,Soccer, Time: ,Wed Jul 08 18:00:00 CEST 2015, Time: ,Wed Jul 08 18:00:00 CEST 2015, Event: ,Rennes v Le Havre, Favorite: ,Rennes, 44799   size:5.5,Price: ,1.54,The Draw, 58805   size:3.13,Price: ,3.8,Le Havre, 70446   size:15.25,Price: ,5.5,x
1.119407768, Sport: ,Tennis, Time: ,Wed Jul 08 18:00:00 CEST 2015, Time: ,Wed Jul 08 18:00:00 CEST 2015, Event: ,Dodin v Ramialison, Favorite: ,Irina Ramialison, 7289605   size:7.58,Price: ,1.92,Oceane Dodin, 7289631   size:2.56,Price: ,1.96,x
1.119406713, Sport: ,Soccer, Time: ,Wed Jul 08 18:30:00 CEST 2015, Time: ,Wed Jul 08 18:30:00 CEST 2015, Event: ,SK Upesciems v DSVK Traktors/JDFS, Favorite: ,DSVK Traktors/JDFS, 9817264   size:10.63,Price: ,1.08,The Draw, 58805   size:29.29,Price: ,2.0,x
1.119407769, Sport: ,Tennis, Time: ,Wed Jul 08 17:30:00 CEST 2015, Time: ,Wed Jul 08 17:30:00 CEST 2015, Event: ,Witthoeft v Shymanovich, Favorite: ,Carina Witthoeft, 5408907   size:5.76,Price: ,1.22,Iryna Shymanovich, 9288398   size:2.56,Price: ,4.4,ok
1.119404777, Sport: ,Soccer, Time: ,Wed Jul 08 17:30:00 CEST 2015, Time: ,Wed Jul 08 17:30:00 CEST 2015, Event: ,RERC Amay v Standard, Favorite: ,Standard, 571279   size:18.51,Price: ,1.05,RERC Amay, 9885099   size:2.84,Price: ,1.16,The Draw, 58805   size:2.74,Price: ,2.02,ok
1.119402598, Sport: ,Soccer, Time: ,Wed Jul 08 18:00:00 CEST 2015, Time: ,Wed Jul 08 18:00:00 CEST 2015, Event: ,Chernomorets Odesa v Illychivets, Favorite: ,Chernomorets Odesa, 7430526   size:2.79,Price: ,1.8,The Draw, 58805   size:3.97,Price: ,3.5,Illychivets, 3143284   size:2.56,Price: ,3.85,x
1.119404917, Sport: ,Soccer, Time: ,Wed Jul 08 18:00:00 CEST 2015, Time: ,Wed Jul 08 18:00:00 CEST 2015, Event: ,Sturm Graz v Terek Grozni, Favorite: ,Sturm Graz, 71085   size:2.39,Price: ,2.1,Terek Grozni, 939625   size:4.56,Price: ,2.92,The Draw, 58805   size:5.62,Price: ,3.5,x
1.119336368, Sport: ,Soccer, Time: ,Wed Jul 08 18:00:00 CEST 2015, Time: ,Wed Jul 08 18:00:00 CEST 2015, Event: ,Red Bull Salzburg v West Brom, Favorite: ,Red Bull Salzburg, 3158851   size:2.01,Price: ,1.93,West Brom, 1703   size:2.92,Price: ,3.4,The Draw, 58805   size:2.73,Price: ,3.6,ok
1.119334340, Sport: ,Soccer, Time: ,Wed Jul 08 17:30:00 CEST 2015, Time: ,Wed Jul 08 17:30:00 CEST 2015, Event: ,EIF v JJK, Favorite: ,JJK, 799035   size:28.6,Price: ,1.77,The Draw, 58805   size:78.99,Price: ,4.1,EIF, 502408   size:5.02,Price: ,4.8,x
1.119401011, Sport: ,Soccer, Time: ,Wed Jul 08 16:30:00 CEST 2015, Time: ,Wed Jul 08 16:30:00 CEST 2015, Event: ,Skeid v Mjolner, Favorite: ,Skeid, 152574   size:3.11,Price: ,1.61,The Draw, 58805   size:2.56,Price: ,4.2,Mjolner, 3038747   size:3.97,Price: ,4.4,ok
1.119407758, Sport: ,Tennis, Time: ,Wed Jul 08 13:45:00 CEST 2015, Time: ,Wed Jul 08 13:45:00 CEST 2015, Event: ,Dulgheru v Sibille, Favorite: ,Alexandra Dulgheru, 2548758   size:8.32,Price: ,1.15,Constance Sibille, 7283255   size:3.44,Price: ,5.7,ok
