1.122805306, Sport: ,Ice Hockey, Time: ,Sat Jan 30 19:45:00 CET 2016, Time: ,Sat Jan 30 19:45:00 CET 2016, Event: ,Geneva Servette v HC Lugano, Favorite: ,Geneva Servette, 10652345   size:205.35,Price: ,2.14,HC Lugano, 248669   size:7.47,Price: ,2.72,Tie, 60104   size:27.21,Price: ,4.8
1.122805280, Sport: ,Ice Hockey, Time: ,Sat Jan 30 18:40:00 CET 2016, Time: ,Sat Jan 30 18:40:00 CET 2016, Event: ,IK Oskarshamn v Mora IK, Favorite: ,IK Oskarshamn, 3287895   size:2.63,Price: ,1.03,Mora IK, 764327   size:2.63,Price: ,1.03,Tie, 60104   size:2.63,Price: ,1.03
1.122830516, Sport: ,Tennis, Time: ,Sat Jan 30 19:30:00 CET 2016, Time: ,Sat Jan 30 19:30:00 CET 2016, Event: ,O'hare v Gonzales, Favorite: ,Ruben Gonzales, 8265126   size:83.94,Price: ,1.47,David O'hare, 8284800   size:54.04,Price: ,1.73
1.122805307, Sport: ,Ice Hockey, Time: ,Sat Jan 30 19:45:00 CET 2016, Time: ,Sat Jan 30 19:45:00 CET 2016, Event: ,Kloten Flyers v HC Davos, Favorite: ,HC Davos, 296189   size:6.29,Price: ,2.36,Kloten Flyers, 243255   size:25.95,Price: ,2.52,Tie, 60104   size:13.91,Price: ,4.7
1.122805308, Sport: ,Ice Hockey, Time: ,Sat Jan 30 19:45:00 CET 2016, Time: ,Sat Jan 30 19:45:00 CET 2016, Event: ,SC Bern v EV Zug, Favorite: ,SC Bern, 248670   size:28.19,Price: ,2.32,EV Zug, 243251   size:25.95,Price: ,2.52,Tie, 60104   size:13.62,Price: ,4.8
1.122805309, Sport: ,Ice Hockey, Time: ,Sat Jan 30 19:45:00 CET 2016, Time: ,Sat Jan 30 19:45:00 CET 2016, Event: ,SCL Tigers Langenau v Lausanne HC, Favorite: ,SCL Tigers Langenau, 10652245   size:26.3,Price: ,2.34,Lausanne HC, 7555451   size:7.67,Price: ,2.66,Tie, 60104   size:27.32,Price: ,4.5
1.122830540, Sport: ,Tennis, Time: ,Sat Jan 30 19:24:00 CET 2016, Time: ,Sat Jan 30 19:24:00 CET 2016, Event: ,Hanfmann v Nevolo, Favorite: ,Dennis Nevolo, 8258597   size:12.08,Price: ,1.05,Yannick Hanfmann, 8639275   size:2.0,Price: ,1.34
1.122805301, Sport: ,Ice Hockey, Time: ,Sat Jan 30 18:40:00 CET 2016, Time: ,Sat Jan 30 18:40:00 CET 2016, Event: ,Tingsryds Aif v IF Sundsvall, Favorite: ,Tingsryds AIF, 9116588   size:2.63,Price: ,1.03,IF Sundsvall, 9034996   size:2.63,Price: ,1.03,Tie, 60104   size:2.63,Price: ,1.03
1.122830521, Sport: ,Tennis, Time: ,Sat Jan 30 19:30:00 CET 2016, Time: ,Sat Jan 30 19:30:00 CET 2016, Event: ,Webb v Estevez, Favorite: ,Maximiliano Estevez, 7593393   size:33.59,Price: ,1.06,Dane Webb, 8859308   size:3.94,Price: ,2.0
1.122830532, Sport: ,Tennis, Time: ,Sat Jan 30 19:35:00 CET 2016, Time: ,Sat Jan 30 19:35:00 CET 2016, Event: ,Garanganga v Vaks, Favorite: ,Takanyi Garanganga, 7048673   size:2.55,Price: ,1.09,Mikhail Vaks, 7658408   size:2.55,Price: ,1.63
1.122805305, Sport: ,Ice Hockey, Time: ,Sat Jan 30 19:45:00 CET 2016, Time: ,Sat Jan 30 19:45:00 CET 2016, Event: ,Fribourg Gotteron v HC Ambri Piotta, Favorite: ,Fribourg Gotteron, 243252   size:
