1.121957991, Sport: ,Soccer, Time: ,Mon Nov 23 17:00:00 CET 2015, Time: ,Mon Nov 23 17:00:00 CET 2015, Event: ,Kissamikos v Ergotelis, Favorite: ,Kissamikos, 10309802   size:225.68,Price: ,1.61,Ergotelis, 531199   size:36.54,Price: ,5.8,The Draw, 58805   size:8.95,Price: ,4.6,ok
1.121956942, Sport: ,Soccer, Time: ,Mon Nov 23 16:00:00 CET 2015, Time: ,Mon Nov 23 16:00:00 CET 2015, Event: ,Algeria U20 v Sudan U20, Favorite: ,Algeria U20, 6484434   size:10.0,Price: ,1.12,Sudan U20, 6482521   size:10.0,Price: ,1.12,The Draw, 58805   size:5.94,Price: ,2.94,ok
1.121961170, Sport: ,Tennis, Time: ,Mon Nov 23 11:00:00 CET 2015, Time: ,Mon Nov 23 11:00:00 CET 2015, Event: ,De Loore v Di Nicola, Favorite: ,Joris De Loore, 8622401   size:4.1,Price: ,1.36,Gianluca Di Nicola, 8679687   size:4.31,Price: ,3.35,ok
1.121818011, Sport: ,Soccer, Time: ,Mon Nov 23 17:00:00 CET 2015, Time: ,Mon Nov 23 17:00:00 CET 2015, Event: ,Botosani v FC Voluntari, Favorite: ,Botosani, 3465177   size:96.47,Price: ,1.84,FC Voluntari, 8838645   size:16.06,Price: ,5.3,The Draw, 58805   size:386.36,Price: ,3.55,x
1.121963231, Sport: ,Tennis, Time: ,Mon Nov 23 12:45:00 CET 2015, Time: ,Mon Nov 23 12:45:00 CET 2015, Event: ,A Pavic v Pauffley, Favorite: ,Ante Pavic, 5224080   size:4.76,Price: ,1.38,Neil Pauffley, 7364205   size:4.71,Price: ,3.05,ok
1.121816474, Sport: ,Soccer, Time: ,Mon Nov 23 17:00:00 CET 2015, Time: ,Mon Nov 23 17:00:00 CET 2015, Event: ,Rostov v FC Ufa, Favorite: ,Rostov, 503146   size:82.07,Price: ,1.7,FC Ufa, 6505028   size:213.72,Price: ,6.4,The Draw, 58805   size:10.87,Price: ,3.8,x
1.121960871, Sport: ,Tennis, Time: ,Mon Nov 23 14:00:00 CET 2015, Time: ,Mon Nov 23 14:00:00 CET 2015, Event: ,Fucsovics/Motti v Becuzzi/Cortes Alcaraz, Favorite: ,Fucsovics/Motti, 8288043   size:41.75,Price: ,1.04,Becuzzi/Cortes Alcaraz, 10553265   size:8.54,Price: ,6.2,ok
1.121866809, Sport: ,Soccer, Time: ,Mon Nov 23 16:00:00 CET 2015, Time: ,Mon Nov 23 16:00:00 CET 2015, Event: ,OCK Khouribga v Mouloudia Oujda, Favorite: ,OCK Khouribga, 6359083   size:4.83,Price: ,2.5,Mouloudia Oujda, 10204926   size:6.13,Price: ,3.4,The Draw, 58805   size:45.53,Price: ,3.1,x
1.121960874, Sport: ,Tennis, Time: ,Mon Nov 23 18:00:00 CET 2015, Time: ,Mon Nov 23 18:00:00 CET 2015, Event: ,Dlouhy/Satral v Chiudinelli/Moser, Favorite: ,Chiudinelli/Moser, 10553269   size:3.82,Price: ,1.72,Dlouhy/Satral, 10553268   size:3.22,Price: ,2.04,ok
1.121961205, Sport: ,Soccer, Time: ,Mon Nov 23 12:00:00 CET 2015, Time: ,Mon Nov 23 12:00:00 CET 2015, Event: ,Alashkert FC II v Shirak FC II, Favorite: ,Alashkert FC II, 7444729   size:2.17,Price: ,1.13,Shirak FC II, 7200044   size:6.54,Price: ,8.8,The Draw, 58805   size:5.55,Price: ,6.2,x
