1.122316669, Sport: ,Handball, Time: ,Sun Dec 27 16:30:00 CET 2015, Time: ,Sun Dec 27 16:30:00 CET 2015, Event: ,Drott v Karlskrona, Favorite: ,Drott, 330162   size:2.72,Price: ,1.03,Karlskrona, 10260449   size:2.72,Price: ,1.03,Draw, 330157   size:8.58,Price: ,1.22,ok
1.122392937, Sport: ,Soccer, Time: ,Sun Dec 27 16:00:00 CET 2015, Time: ,Sun Dec 27 16:00:00 CET 2015, Event: ,Deveronvale v Huntly, Favorite: ,Deveronvale, 66265   size:3.68,Price: ,1.36,Huntly, 272083   size:36.7,Price: ,4.6,The Draw, 58805   size:33.88,Price: ,5.0,x
1.122355071, Sport: ,Rugby Union, Time: ,Sun Dec 27 18:15:00 CET 2015, Time: ,Sun Dec 27 18:15:00 CET 2015, Event: ,Munster v Leinster, Favorite: ,Munster, 1185061   size:2.63,Price: ,1.58,Leinster, 8875   size:17.68,Price: ,2.74,Draw, 246289   size:14.99,Price: ,22.0,x
1.122364227, Sport: ,Basketball, Time: ,Mon Dec 28 01:00:00 CET 2015, Time: ,Mon Dec 28 01:00:00 CET 2015, Event: ,Denver @ Oklahoma City, Favorite: ,Oklahoma City, 3363394   size:70.0,Price: ,1.09,Denver, 13124   size:2.21,Price: ,2.26,ok
1.122316664, Sport: ,Handball, Time: ,Sun Dec 27 16:15:00 CET 2015, Time: ,Sun Dec 27 16:15:00 CET 2015, Event: ,Ystads v Ricoh, Favorite: ,Ystads, 2929922   size:8.58,Price: ,1.18,Ricoh, 8836769   size:8.57,Price: ,1.21,Draw, 330157   size:8.57,Price: ,1.21,ok
1.122349638, Sport: ,Darts, Time: ,Sun Dec 27 22:45:00 CET 2015, Time: ,Sun Dec 27 22:45:00 CET 2015, Event: ,Michael van Gerwen v Darren Webster, Favorite: ,Michael van Gerwen, 10510932   size:46411.58,Price: ,1.05,Darren Webster, 2414395   size:6.27,Price: ,19.0,ok
1.122394328, Sport: ,Soccer, Time: ,Sun Dec 27 19:00:00 CET 2015, Time: ,Sun Dec 27 19:00:00 CET 2015, Event: ,ASA Tel Aviv Uni (W) v Maccabi Holon FC (W), Favorite: ,ASA Tel Aviv Uni (W), 6934047   size:27.91,Price: ,1.02,Maccabi Holon FC (W), 6921676   size:3.65,Price: ,1.15,The Draw, 58805   size:5.45,Price: ,3.05,ok
1.122334092, Sport: ,Soccer, Time: ,Sun Dec 27 15:00:00 CET 2015, Time: ,Sun Dec 27 15:00:00 CET 2015, Event: ,Lanciano v Livorno, Favorite: ,Lanciano, 201325   size:271.59,Price: ,2.7,Livorno, 201326   size:62.78,Price: ,3.05,The Draw, 58805   size:327.32,Price: ,3.15,ok
1.122316660, Sport: ,Handball, Time: ,Sun Dec 27 16:00:00 CET 2015, Time: ,Sun Dec 27 16:00:00 CET 2015, Event: ,Hammarby v Kristianstad, Favorite: ,Kristianstad, 2929927   size:2.61,Price: ,1.05,Hammarby, 1088447   size:2.65,Price: ,1.25,Draw, 330157   size:2.65,Price: ,1.25,x
1.122355078, Sport: ,Rugby Union, Time: ,Sun Dec 27 16:00:00 CET 2015, Time: ,Sun Dec 27 16:00:00 CET 2015, Event: ,Bordeaux v Grenoble, Favorite: ,Bordeaux, 5766262   size:9.32,Price: ,1.2,Grenoble, 233950   size:3.62,Price: ,4.9,Draw, 246289   size:2.62,Price: ,22.0,ok
1.122285168, Sport: ,American Football, Time: ,Sun Dec 27 19:00:00 CET 2015, Time: ,Sun Dec 27 19:00:00 CET 2015, Event: ,Cleveland @ Kansas City, Favorite: ,Kansas City Chiefs, 50214   size:1325.11,Price: ,1.18,Cleveland Browns, 50209   size:179.11,Price: ,6.0,ok
