1.119157058, Sport: ,Tennis, Time: ,Tue Jun 16 11:00:00 CEST 2015, Time: ,Tue Jun 16 11:00:00 CEST 2015, Event: ,Lamasine v J Eysseric, Favorite: ,Jonathan Eysseric, 2426230   size:9.77,Price: ,1.57,Tristan Lamasine, 8428332   size:23.97,Price: ,2.52,x
1.119157016, Sport: ,Tennis, Time: ,Tue Jun 16 11:30:00 CEST 2015, Time: ,Tue Jun 16 11:30:00 CEST 2015, Event: ,Lojda v Bellotti, Favorite: ,Riccardo Bellotti, 7533686   size:40.96,Price: ,1.78,Dusan Lojda, 4946641   size:108.5,Price: ,2.2,ok
1.119172147, Sport: ,Tennis, Time: ,Tue Jun 16 13:00:00 CEST 2015, Time: ,Tue Jun 16 13:00:00 CEST 2015, Event: ,G Taylor v Linette, Favorite: ,Magda Linette, 7083215   size:78.72,Price: ,1.11,Gabriella Taylor, 8624172   size:29.44,Price: ,6.4,ok
1.119156996, Sport: ,Tennis, Time: ,Tue Jun 16 14:00:00 CEST 2015, Time: ,Tue Jun 16 14:00:00 CEST 2015, Event: ,De Novak v Gombos, Favorite: ,Norbert Gombos, 8173023   size:18.84,Price: ,1.32,Dennis Novak, 7335936   size:11.09,Price: ,3.8,ok
1.119159548, Sport: ,Tennis, Time: ,Tue Jun 16 13:30:00 CEST 2015, Time: ,Tue Jun 16 13:30:00 CEST 2015, Event: ,T Brkic v Checa-Calvo, Favorite: ,Tomislav Brkic, 3957838   size:3.76,Price: ,1.45,Jose Checa-Calvo, 8428330   size:88.65,Price: ,3.05,ok
1.119172152, Sport: ,Tennis, Time: ,Tue Jun 16 12:00:00 CEST 2015, Time: ,Tue Jun 16 12:00:00 CEST 2015, Event: ,Q Wang v Burrage, Favorite: ,Qiang Wang, 6145777   size:54.16,Price: ,1.09,Jodie Anna Burrage, 9614134   size:24.12,Price: ,6.8,ok
1.119162434, Sport: ,Tennis, Time: ,Tue Jun 16 11:30:00 CEST 2015, Time: ,Tue Jun 16 11:30:00 CEST 2015, Event: ,Kovalik v Satral, Favorite: ,Jozef Kovalik, 7287668   size:6.39,Price: ,1.17,Jan Satral, 8490613   size:11.0,Price: ,5.8,x
1.119163244, Sport: ,Tennis, Time: ,Tue Jun 16 17:15:00 CEST 2015, Time: ,Tue Jun 16 17:15:00 CEST 2015, Event: ,Robredo v Berankis, Favorite: ,Tommy Robredo, 2257298   size:27.89,Price: ,1.54,Ricardas Berankis, 2923248   size:11.59,Price: ,2.68,ok
1.119167026, Sport: ,Tennis, Time: ,Tue Jun 16 11:00:00 CEST 2015, Time: ,Tue Jun 16 11:00:00 CEST 2015, Event: ,Siegemund v Kan, Favorite: ,Laura Siegemund, 4829328   size:81.28,Price: ,1.41,Victoria Kan, 7753932   size:13.98,Price: ,2.98,ok
1.119162370, Sport: ,Tennis, Time: ,Tue Jun 16 09:30:00 CEST 2015, Time: ,Tue Jun 16 09:30:00 CEST 2015, Event: ,Ledovskikh v N Milojevic, Favorite: ,Nikola Milojevic, 8535963   size:5.76,Price: ,1.92,Mikhail Ledovskikh, 2568599   size:8.45,Price: ,1.96,ok
1.119157342, Sport: ,Tennis, Time: ,Tue Jun 16 14:00:00 CEST 2015, Time: ,Tue Jun 16 14:00:00 CEST 2015, Event: ,G Muller v Youzhny, Favorite: ,Gilles Muller, 2248579   size:876.46,Price: ,1.4,Mikhail Youzhny, 2263536   size:214.1,Price: ,3.4,ok
1.119159523, Sport: ,Tennis, Time: ,Tue Jun 16 15:15:00 CEST 2015, Time: ,Tue Jun 16 15:15:00 CEST 2015, Event: ,Marie v Naso, Favorite: ,Gianluca Naso, 2967260   size:2.55,Price: ,1.59,Jules Marie, 7287701   size:33.53,Price: ,2.52,ok
1.119040578, Sport: ,Snooker, Time: ,Tue Jun 16 07:00:00 CEST 2015, Time: ,Tue Jun 16 07:00:00 CEST 2015, Event: ,Norway v Malta, Favorite: ,Malta, 20134   size:47.77,Price: ,1.44,Norway, 9546433   size:23.07,Price: ,2.92,ok
1.119040579, Sport: ,Snooker, Time: ,Tue Jun 16 07:00:00 CEST 2015, Time: ,Tue Jun 16 07:00:00 CEST 2015, Event: ,India v Austria, Favorite: ,India, 5674279   size:14.0,Price: ,1.1,Austria, 9546434   size:2.0,Price: ,8.0,ok
1.119040577, Sport: ,Snooker, Time: ,Tue Jun 16 07:00:00 CEST 2015, Time: ,Tue Jun 16 07:00:00 CEST 2015, Event: ,China A v SIngapore, Favorite: ,China A, 9546431   size:1214.28,Price: ,1.02,Singapore, 9546438   size:38.95,Price: ,19.0,ok
1.119040581, Sport: ,Snooker, Time: ,Tue Jun 16 09:00:00 CEST 2015, Time: ,Tue Jun 16 09:00:00 CEST 2015, Event: ,Scotland v Brazil, Favorite: ,Scotland, 20128   size:74.86,Price: ,1.1,Brazil, 5674283   size:31.7,Price: ,7.6,x
