1.122549123, Sport: ,Basketball, Time: ,Tue Jan 12 17:00:00 CET 2016, Time: ,Tue Jan 12 17:00:00 CET 2016, Event: ,Nevezis v AVIS Rapla, Favorite: ,Nevezis, 5154509   size:13.27,Price: ,1.03,AVIS Rapla, 10362143   size:13.27,Price: ,1.03,x
1.122438185, Sport: ,Soccer, Time: ,Tue Jan 12 20:45:00 CET 2016, Time: ,Tue Jan 12 20:45:00 CET 2016, Event: ,Aston Villa v C Palace, Favorite: ,C Palace, 52689   size:86.35,Price: ,2.54,Aston Villa, 63908   size:1982.89,Price: ,3.2,The Draw, 58805   size:1115.07,Price: ,3.35,x
1.122474558, Sport: ,Soccer, Time: ,Tue Jan 12 20:45:00 CET 2016, Time: ,Tue Jan 12 20:45:00 CET 2016, Event: ,Bristol City v Preston, Favorite: ,Bristol City, 69745   size:12.04,Price: ,2.56,Preston, 56295   size:5.61,Price: ,3.25,The Draw, 58805   size:2799.25,Price: ,3.3,x
1.122551041, Sport: ,Soccer, Time: ,Tue Jan 12 20:45:00 CET 2016, Time: ,Tue Jan 12 20:45:00 CET 2016, Event: ,Gloucester v Curzon Ashton, Favorite: ,Gloucester, 2662209   size:2.89,Price: ,2.4,Curzon Ashton, 3396712   size:10.83,Price: ,3.1,The Draw, 58805   size:4.19,Price: ,3.25,ok
1.122560839, Sport: ,Tennis, Time: ,Tue Jan 12 07:00:00 CET 2016, Time: ,Tue Jan 12 07:00:00 CET 2016, Event: ,Soha Sadiq v Ekaterina Yashina, Favorite: ,Ekaterina Yashina, 7445998   size:8.98,Price: ,1.03,Soha Sadiq, 9631921   size:4.01,Price: ,11.0,ok
1.122549243, Sport: ,Basketball, Time: ,Tue Jan 12 18:05:00 CET 2016, Time: ,Tue Jan 12 18:05:00 CET 2016, Event: ,Horsens v Naestved, Favorite: ,Horsens, 6719071   size:13.27,Price: ,1.03,Naestved, 6719080   size:13.27,Price: ,1.03,x
1.122457142, Sport: ,Bowls, Time: ,Tue Jan 12 15:00:00 CET 2016, Time: ,Tue Jan 12 15:00:00 CET 2016, Event: ,Jason Greenslade v Jamie Chestney, Favorite: ,Jason Greenslade, 2266401   size:0.0,Price: ,0.0,Jamie Chestney, 2262228   size:0.0,Price: ,0.0,x
1.122486819, Sport: ,Soccer, Time: ,Tue Jan 12 20:45:00 CET 2016, Time: ,Tue Jan 12 20:45:00 CET 2016, Event: ,Coventry v Walsall, Favorite: ,Coventry, 48043   size:59.02,Price: ,2.22,Walsall, 55213   size:21.66,Price: ,3.5,The Draw, 58805   size:44.25,Price: ,3.65,x
1.122554315, Sport: ,Soccer, Time: ,Tue Jan 12 20:45:00 CET 2016, Time: ,Tue Jan 12 20:45:00 CET 2016, Event: ,Staines Town v Metropolitan Police, Favorite: ,Staines Town, 2608906   size:2.51,Price: ,2.28,Metropolitan Police, 6217278   size:6.31,Price: ,2.56,The Draw, 58805   size:32.92,Price: ,3.15,x
1.122539798, Sport: ,Ice Hockey, Time: ,Tue Jan 12 17:30:00 CET 2016, Time: ,Tue Jan 12 17:30:00 CET 2016, Event: ,HC Dynamo Moscow v Jokerit Helsinki, Favorite: ,Hc Dynamo Moscow, 10698100   size:3.0,Price: ,2.18,Jokerit Helsinki, 315116   size:43.44,Price: ,2.54,Tie, 60104   size:23.06,Price: ,3.9,ok
1.122487913, Sport: ,Soccer, Time: ,Tue Jan 12 20:45:00 CET 2016, Time: ,Tue Jan 12 20:45:00 CET 2016, Event: ,Stalybridge v Harrogate Town, Favorite: ,Stalybridge, 597720   size:7.05,Price: ,2.54,Harrogate Town, 256198   size:2.98,Price: ,2.64,The Draw, 58805   size:2.45,Price: ,3.4,x
