1.121621292, Sport: ,Tennis, Time: ,Tue Nov 03 00:15:00 CET 2015, Time: ,Tue Nov 03 00:15:00 CET 2015, Event: ,R Quiroz v M Linzer, Favorite: ,Michael Linzer, 7216260   size:5.89,Price: ,1.2,Roberto Quiroz, 7660786   size:16.71,Price: ,4.6,ok
1.121565457, Sport: ,Basketball, Time: ,Tue Nov 03 01:30:00 CET 2015, Time: ,Tue Nov 03 01:30:00 CET 2015, Event: ,Milwaukee @ Brooklyn, Favorite: ,Milwaukee, 13115   size:65.88,Price: ,1.91,Brooklyn, 6758557   size:75.0,Price: ,2.06,ok
1.121610804, Sport: ,Tennis, Time: ,Tue Nov 03 00:45:00 CET 2015, Time: ,Tue Nov 03 00:45:00 CET 2015, Event: ,R Shane v Bangoura, Favorite: ,Sekou Bangoura, 7066127   size:12.91,Price: ,1.71,Ryan Shane, 8700267   size:110.44,Price: ,2.14,ok
1.121618563, Sport: ,Basketball, Time: ,Tue Nov 03 01:30:00 CET 2015, Time: ,Tue Nov 03 01:30:00 CET 2015, Event: ,Libertad v Regatas, Favorite: ,Libertad, 6719116   size:127.35,Price: ,1.44,Regatas, 6718792   size:2.54,Price: ,2.94,ok
1.121462010, Sport: ,Ice Hockey, Time: ,Tue Nov 03 01:35:00 CET 2015, Time: ,Tue Nov 03 01:35:00 CET 2015, Event: ,Dallas @ Toronto, Favorite: ,Dallas, 2108116   size:328.92,Price: ,2.06,Toronto, 2108073   size:115.54,Price: ,3.3,Tie, 60104   size:119.31,Price: ,4.4,x
1.121618564, Sport: ,Basketball, Time: ,Tue Nov 03 01:30:00 CET 2015, Time: ,Tue Nov 03 01:30:00 CET 2015, Event: ,Quilmes v Lanus, Favorite: ,Lanus, 6719117   size:60.0,Price: ,1.83,Quilmes, 7753472   size:49.99,Price: ,2.0,ok
1.121619234, Sport: ,Soccer, Time: ,Tue Nov 03 06:00:00 CET 2015, Time: ,Tue Nov 03 06:00:00 CET 2015, Event: ,Renofa Yamaguchi v Fujieda MYFC, Favorite: ,Renofa Yamaguchi, 4233875   size:3.63,Price: ,1.08,Fujieda MYFC, 7409537   size:33.33,Price: ,1.9,The Draw, 58805   size:11.23,Price: ,1.86,x
1.121565540, Sport: ,Basketball, Time: ,Tue Nov 03 02:00:00 CET 2015, Time: ,Tue Nov 03 02:00:00 CET 2015, Event: ,Portland @ Minnesota, Favorite: ,Minnesota, 13118   size:13.2,Price: ,1.58,Portland, 13129   size:167.26,Price: ,2.66,x
1.121355515, Sport: ,American Football, Time: ,Tue Nov 03 02:30:00 CET 2015, Time: ,Tue Nov 03 02:30:00 CET 2015, Event: ,Indianapolis @ Carolina, Favorite: ,Carolina Panthers, 50198   size:1427.59,Price: ,1.45,Indianapolis Colts, 50200   size:878.29,Price: ,3.15,ok
1.121451896, Sport: ,Soccer, Time: ,Tue Nov 03 00:00:00 CET 2015, Time: ,Tue Nov 03 00:00:00 CET 2015, Event: ,Deportivo Cuenca v River Plate (Ecu), Favorite: ,Deportivo Cuenca, 1067928   size:7.07,Price: ,1.81,River Plate (Ecu), 9180231   size:19.43,Price: ,5.5,The Draw, 58805   size:14.22,Price: ,3.7,x
1.121565467, Sport: ,Basketball, Time: ,Tue Nov 03 02:00:00 CET 2015, Time: ,Tue Nov 03 02:00:00 CET 2015, Event: ,Oklahoma City @ Houston, Favorite: ,Oklahoma City, 3363394   size:122.99,Price: ,1.6,Houston, 13123   size:5.0,Price: ,2.58,x
1.121619178, Sport: ,Soccer, Time: ,Tue Nov 03 02:40:00 CET 2015, Time: ,Tue Nov 03 02:40:00 CET 2015, Event: ,Montego Bay Utd v Arnett Gardens FC, Favorite: ,Montego Bay Utd, 10105826   size:2.94,Price: ,1.7,Arnett Gardens FC, 7666192   size:11.98,Price: ,1.83,The Draw, 58805   size:6.49,Price: ,2.54,x
1.121619399, Sport: ,Soccer, Time: ,Tue Nov 03 05:00:00 CET 2015, Time: ,Tue Nov 03 05:00:00 CET 2015, Event: ,Speranza FC (W) v AS Elfen Sayama (W), Favorite: ,Speranza FC (W), 9375939   size:2.54,Price: ,1.59,AS Elfen Sayama (W), 8489718   size:8.0,Price: ,1.99,The Draw, 58805   size:18.55,Price: ,2.3,ok
1.121621785, Sport: ,Ice Hockey, Time: ,Tue Nov 03 04:05:00 CET 2015, Time: ,Tue Nov 03 04:05:00 CET 2015, Event: ,Philadelphia @ Vancouver, Favorite: ,Vancouver, 2109691   size:344.84,Price: ,2.1,Philadelphia, 2109791   size:19.72,Price: ,3.3,Tie, 60104   size:3.0,Price: ,4.3,ok
1.121611700, Sport: ,Tennis, Time: ,Tue Nov 03 02:00:00 CET 2015, Time: ,Tue Nov 03 02:00:00 CET 2015, Event: ,G Escobar v Kicker, Favorite: ,Gonzalo Escobar, 7660810   size:134.21,Price: ,1.89,Nicolas Kicker, 8326744   size:2.54,Price: ,1.93,x
1.121462250, Sport: ,Ice Hockey, Time: ,Tue Nov 03 02:35:00 CET 2015, Time: ,Tue Nov 03 02:35:00 CET 2015, Event: ,Los Angeles @ Chicago, Favorite: ,Chicago, 2109831   size:100.18,Price: ,2.44,Los Angeles, 2112286   size:111.64,Price: ,2.82,Tie, 60104   size:93.0,Price: ,3.95,ok
