1.120264314, Sport: ,Soccer, Time: ,Fri Aug 28 19:30:00 CEST 2015, Time: ,Fri Aug 28 19:30:00 CEST 2015, Event: ,OH Leuven (W) v Anderlecht (W), Favorite: ,Anderlecht (W), 6639183   size:3.91,Price: ,1.59,OH Leuven (W), 6743192   size:6.59,Price: ,3.85,The Draw, 58805   size:2.69,Price: ,4.3,
1.120231287, Sport: ,Ice Hockey, Time: ,Fri Aug 28 19:30:00 CEST 2015, Time: ,Fri Aug 28 19:30:00 CEST 2015, Event: ,Medvescak Zagreb v Vladivostok, Favorite: ,Medvescak Zagreb, 4182882   size:58.0,Price: ,2.18,Vladivostok, 7597246   size:145.73,Price: ,2.96,Tie, 60104   size:65.0,Price: ,4.3,
1.120264700, Sport: ,Soccer, Time: ,Fri Aug 28 20:00:00 CEST 2015, Time: ,Fri Aug 28 20:00:00 CEST 2015, Event: ,EC Sao Bento U20 v Santos (Bra) U20, Favorite: ,Santos (Bra) U20, 6714730   size:136.51,Price: ,1.06,The Draw, 58805   size:2.52,Price: ,1.07,
1.120264590, Sport: ,Soccer, Time: ,Fri Aug 28 20:00:00 CEST 2015, Time: ,Fri Aug 28 20:00:00 CEST 2015, Event: ,EC Santo Andre U20 v Sao Caetano U20, Favorite: ,Sao Caetano U20, 9465221   size:136.51,Price: ,1.06,The Draw, 58805   size:2.52,Price: ,1.07,
1.120155475, Sport: ,Soccer, Time: ,Fri Aug 28 20:00:00 CEST 2015, Time: ,Fri Aug 28 20:00:00 CEST 2015, Event: ,Almere City v Fortuna Sittard, Favorite: ,Almere City, 4835124   size:483.62,Price: ,1.69,The Draw, 58805   size:277.3,Price: ,4.3,Fortuna Sittard, 49058   size:65.54,Price: ,5.5,
1.120039121, Sport: ,Soccer, Time: ,Fri Aug 28 20:00:00 CEST 2015, Time: ,Fri Aug 28 20:00:00 CEST 2015, Event: ,Willem II v NEC Nijmegen, Favorite: ,Willem II, 48455   size:227.09,Price: ,1.87,The Draw, 58805   size:752.04,Price: ,3.75,NEC Nijmegen, 48456   size:37.82,Price: ,4.7,
1.120264645, Sport: ,Soccer, Time: ,Fri Aug 28 20:00:00 CEST 2015, Time: ,Fri Aug 28 20:00:00 CEST 2015, Event: ,SJ dos Campos U20 v RB Brasil U20, Favorite: ,RB Brasil U20, 10103846   size:136.51,Price: ,1.06,The Draw, 58805   size:2.52,Price: ,1.07,
1.120221798, Sport: ,Basketball, Time: ,Fri Aug 28 20:00:00 CEST 2015, Time: ,Fri Aug 28 20:00:00 CEST 2015, Event: ,Poland v Iceland, Favorite: ,Poland, 1228596   size:2.55,Price: ,1.13,Iceland, 5662872   size:2.69,Price: ,6.6,
1.120264535, Sport: ,Soccer, Time: ,Fri Aug 28 20:00:00 CEST 2015, Time: ,Fri Aug 28 20:00:00 CEST 2015, Event: ,Palmeiras U20 v Flamengo U20, Favorite: ,Flamengo U20, 6006854   size:136.51,Price: ,1.06,The Draw, 58805   size:2.52,Price: ,1.07,
1.120155405, Sport: ,Soccer, Time: ,Fri Aug 28 20:00:00 CEST 2015, Time: ,Fri Aug 28 20:00:00 CEST 2015, Event: ,NK Zagreb v Lokomotiva, Favorite: ,NK Zagreb, 189804   size:2.73,Price: ,2.46,Lokomotiva, 4057235   size:39.05,Price: ,2.8,The Draw, 58805   size:19.17,Price: ,3.9,
1.120145945, Sport: ,Soccer, Time: ,Fri Aug 28 20:30:00 CEST 2015, Time: ,Fri Aug 28 20:30:00 CEST 2015, Event: ,Guingamp v Marseille, Favorite: ,Marseille, 44798   size:4086.94,Price: ,2.08,The Draw, 58805   size:426.32,Price: ,3.4,Guingamp, 44801   size:450.84,Price: ,4.3,
1.120146123, Sport: ,Soccer, Time: ,Fri Aug 28 20:30:00 CEST 2015, Time: ,Fri Aug 28 20:30:00 CEST 2015, Event: ,Wolfsburg v Schalke, Favorite: ,Wolfsburg, 44521   size:2431.31,Price: ,2.06,The Draw, 58805   size:1856.54,Price: ,3.8,Schalke, 50335   size:1187.58,Price: ,3.9,
1.120145630, Sport: ,Soccer, Time: ,Fri Aug 28 20:45:00 CEST 2015, Time: ,Fri Aug 28 20:45:00 CEST 2015, Event: ,Blackburn v Bolton, Favorite: ,Blackburn, 48350   size:1029.6,Price: ,2.16,The Draw, 58805   size:9725.06,Price: ,3.5,Bolton, 48322   size:515.49,Price: ,3.9,
1.120263404, Sport: ,Soccer, Time: ,Fri Aug 28 17:00:00 CEST 2015, Time: ,Fri Aug 28 17:00:00 CEST 2015, Event: ,SK Klatovy 1898 v Banik Most, Favorite: ,Banik Most, 4940270   size:12.5,Price: ,2.34,SK Klatovy 1898, 10201316   size:9.39,Price: ,2.74,The Draw, 58805   size:7.73,Price: ,3.4,
1.120157689, Sport: ,Soccer, Time: ,Fri Aug 28 17:00:00 CEST 2015, Time: ,Fri Aug 28 17:00:00 CEST 2015, Event: ,Skonto FC v BFC Daugavpils, Favorite: ,Skonto FC, 9306438   size:92.29,Price: ,1.17,The Draw, 58805   size:3.81,Price: ,9.2,BFC Daugavpils, 8367606   size:2.41,Price: ,16.0,
1.120296873, Sport: ,Tennis, Time: ,Fri Aug 28 17:00:00 CEST 2015, Time: ,Fri Aug 28 17:00:00 CEST 2015, Event: ,Karatsev v Berrer, Favorite: ,Michael Berrer, 2263684   size:40.01,Price: ,1.41,Aslan Karatsev, 7659748   size:64.04,Price: ,3.4,
