1.121986369, Sport: ,Tennis, Time: ,Wed Nov 25 19:30:00 CET 2015, Time: ,Wed Nov 25 19:30:00 CET 2015, Event: ,Cecchinato v Clezar, Favorite: ,Marco Cecchinato, 6374165   size:21.6,Price: ,1.64,Guilherme Clezar, 5304142   size:35.24,Price: ,2.36,x
1.121936668, Sport: ,Soccer, Time: ,Wed Nov 25 17:00:00 CET 2015, Time: ,Wed Nov 25 17:00:00 CET 2015, Event: ,Volga Nyzhnyi Novgorod v Sokol, Favorite: ,Volga Nyzhnyi Novgorod, 3244509   size:34.34,Price: ,2.46,Sokol, 4817761   size:3.88,Price: ,3.35,The Draw, 58805   size:2.1,Price: ,3.2,x
1.121658159, Sport: ,Soccer, Time: ,Wed Nov 25 20:45:00 CET 2015, Time: ,Wed Nov 25 20:45:00 CET 2015, Event: ,Mgladbach v Sevilla, Favorite: ,Mgladbach, 84649   size:116.71,Price: ,2.52,Sevilla, 44508   size:57.66,Price: ,3.0,The Draw, 58805   size:5265.48,Price: ,3.65,ok
1.121976202, Sport: ,Ice Hockey, Time: ,Wed Nov 25 17:30:00 CET 2015, Time: ,Wed Nov 25 17:30:00 CET 2015, Event: ,Hokki v JYP Akatemia, Favorite: ,Tie, 60104   size:55.83,Price: ,1.18,Hokki, 275251   size:6.08,Price: ,1.29,JYP Akatemia, 5847122   size:76.67,Price: ,1.36,x
1.121976200, Sport: ,Ice Hockey, Time: ,Wed Nov 25 17:30:00 CET 2015, Time: ,Wed Nov 25 17:30:00 CET 2015, Event: ,Jokipojat v KeuPa, Favorite: ,Jokipojat, 758155   size:3.58,Price: ,1.83,KeuPa, 7138769   size:7.01,Price: ,3.15,Tie, 60104   size:22.26,Price: ,4.4,ok
1.121973059, Sport: ,Soccer, Time: ,Wed Nov 25 11:00:00 CET 2015, Time: ,Wed Nov 25 11:00:00 CET 2015, Event: ,Matchak Khelvachauri v Gagra, Favorite: ,Matchak Khelvachauri, 7760342   size:8.8,Price: ,1.16,Gagra, 5667811   size:8.8,Price: ,1.17,The Draw, 58805   size:3.0,Price: ,3.5,ok
1.121973613, Sport: ,Soccer, Time: ,Wed Nov 25 13:00:00 CET 2015, Time: ,Wed Nov 25 13:00:00 CET 2015, Event: ,Gloria Buzau v Rapid Suceava, Favorite: ,Gloria Buzau, 2487031   size:2.79,Price: ,2.34,Rapid Suceava, 6638948   size:9.35,Price: ,2.78,The Draw, 58805   size:2.55,Price: ,3.4,ok
1.121850449, Sport: ,Snooker, Time: ,Wed Nov 25 15:30:00 CET 2015, Time: ,Wed Nov 25 15:30:00 CET 2015, Event: ,Shaun Murphy v Ashley Hugill, Favorite: ,Shaun Murphy, 2278789   size:737.25,Price: ,1.03,Ashley Hugill, 9545320   size:2.95,Price: ,11.5,ok
1.121850444, Sport: ,Snooker, Time: ,Wed Nov 25 20:30:00 CET 2015, Time: ,Wed Nov 25 20:30:00 CET 2015, Event: ,Tian Pengfei v Ian Burns, Favorite: ,Tian Pengfei, 2584430   size:8.63,Price: ,1.53,Ian Burns, 5760960   size:10.41,Price: ,2.66,ok
1.121874660, Sport: ,Soccer, Time: ,Wed Nov 25 22:10:00 CET 2015, Time: ,Wed Nov 25 22:10:00 CET 2015, Event: ,Brazil U20 (W) v Chile U20 (W), Favorite: ,Brazil U20 (W), 4835194   size:18.72,Price: ,1.02,Chile U20 (W), 10539473   size:18.72,Price: ,1.02,The Draw, 58805   size:9.88,Price: ,2.88,ok
1.121920500, Sport: ,Volleyball, Time: ,Wed Nov 25 18:00:00 CET 2015, Time: ,Wed Nov 25 18:00:00 CET 2015, Event: ,AO Kifisias v GS Lamia, Favorite: ,AO Kifisias, 2569563   size:2.82,Price: ,1.03,GS Lamia, 1371922   size:24.08,Price: ,2.0,ok
1.121920502, Sport: ,Volleyball, Time: ,Wed Nov 25 17:00:00 CET 2015, Time: ,Wed Nov 25 17:00:00 CET 2015, Event: ,Foinikas Syroy v Aris Marmouris, Favorite: ,Foinikas Syroy, 4353342   size:2.82,Price: ,1.03,Aris Marmouris, 2971576   size:18.0,Price: ,2.38,ok
1.121920501, Sport: ,Volleyball, Time: ,Wed Nov 25 15:00:00 CET 2015, Time: ,Wed Nov 25 15:00:00 CET 2015, Event: ,Ao Orestiadas v Panathinaikos, Favorite: ,Panathinaikos, 2276375   size:2.82,Price: ,1.03,Ao Orestiadas, 10395510   size:18.0,Price: ,2.5,x
1.121920504, Sport: ,Volleyball, Time: ,Wed Nov 25 17:00:00 CET 2015, Time: ,Wed Nov 25 17:00:00 CET 2015, Event: ,Olympiakos v Panachaiki GE, Favorite: ,Olympiakos, 1107070   size:2.82,Price: ,1.03,Panachaiki GE, 8049806   size:2.55,Price: ,2.7,ok
1.121920503, Sport: ,Volleyball, Time: ,Wed Nov 25 17:00:00 CET 2015, Time: ,Wed Nov 25 17:00:00 CET 2015, Event: ,Iraklis v Pamvohaikos, Favorite: ,Pamvohaikos, 5894225   size:2.55,Price: ,1.16,Iraklis, 1107806   size:2.92,Price: ,2.24,ok
1.121909839, Sport: ,Handball, Time: ,Wed Nov 25 20:30:00 CET 2015, Time: ,Wed Nov 25 20:30:00 CET 2015, Event: ,Nantes v Dunkerque, Favorite: ,Draw, 330157   size:18.0,Price: ,1.5,Nantes, 3893967   size:8.81,Price: ,1.58,Dunkerque, 3786987   size:18.0,Price: ,1.88,x
1.121977547, Sport: ,Basketball, Time: ,Wed Nov 25 18:00:00 CET 2015, Time: ,Wed Nov 25 18:00:00 CET 2015, Event: ,Gaziantep v Siauliai, Favorite: ,Gaziantep, 6721681   size:423.78,Price: ,1.1,Siauliai, 647319   size:11.76,Price: ,4.6,ok
1.121850439, Sport: ,Snooker, Time: ,Wed Nov 25 10:30:00 CET 2015, Time: ,Wed Nov 25 10:30:00 CET 2015, Event: ,Mike Dunn v T. Thirapongpaiboon, Favorite: ,Mike Dunn, 2497811   size:2.96,Price: ,1.39,T. Thirapongpaiboon, 10532605   size:34.45,Price: ,3.05,ok
1.121973503, Sport: ,Soccer, Time: ,Wed Nov 25 13:00:00 CET 2015, Time: ,Wed Nov 25 13:00:00 CET 2015, Event: ,CS Balotesti v Academica Clinceni, Favorite: ,Academica Clinceni, 10292565   size:3.7,Price: ,1.89,CS Balotesti, 7161082   size:4.04,Price: ,2.98,The Draw, 58805   size:10.79,Price: ,4.4,ok
1.121850434, Sport: ,Snooker, Time: ,Wed Nov 25 10:30:00 CET 2015, Time: ,Wed Nov 25 10:30:00 CET 2015, Event: ,Zhou Yuelong v Craig Steadman, Favorite: ,Zhou Yuelong, 6185914   size:2.55,Price: ,1.43,Craig Steadman, 4271930   size:46.5,Price: ,3.0,ok
