1.121157959, Sport: ,Basketball, Time: ,Tue Oct 13 01:30:00 CEST 2015, Time: ,Tue Oct 13 01:30:00 CEST 2015, Event: ,Minnesota @ Toronto, Favorite: ,Toronto, 13113   size:8.2,Price: ,1.03,Minnesota, 13118   size:5.71,Price: ,1.38,ok
1.121195496, Sport: ,Tennis, Time: ,Mon Oct 12 21:00:00 CEST 2015, Time: ,Mon Oct 12 21:00:00 CEST 2015, Event: ,Dancevic v Giron, Favorite: ,Frank Dancevic, 2249832   size:5.73,Price: ,1.4,Marcos Giron, 8230256   size:90.46,Price: ,2.98,ok
1.121205265, Sport: ,Tennis, Time: ,Mon Oct 12 23:45:00 CEST 2015, Time: ,Mon Oct 12 23:45:00 CEST 2015, Event: ,Gooch/Mclachlan v Bangoura/Statham, Favorite: ,Bangoura/Statham, 9437253   size:5.71,Price: ,1.44,Gooch/Mclachlan, 10409538   size:5.71,Price: ,2.44,ok
1.121194044, Sport: ,Soccer, Time: ,Mon Oct 12 20:45:00 CEST 2015, Time: ,Mon Oct 12 20:45:00 CEST 2015, Event: ,Stourbridge v Sutton Coldfield, Favorite: ,Stourbridge, 3491515   size:7.12,Price: ,2.06,Sutton Coldfield, 1034125   size:3.61,Price: ,3.05,The Draw, 58805   size:16.71,Price: ,3.65,ok
1.121193190, Sport: ,Soccer, Time: ,Mon Oct 12 20:00:00 CEST 2015, Time: ,Mon Oct 12 20:00:00 CEST 2015, Event: ,Deportivo Riestra v Almirante Brown, Favorite: ,Deportivo Riestra, 5994579   size:2.07,Price: ,2.24,Almirante Brown, 5359221   size:4.81,Price: ,3.65,The Draw, 58805   size:3.65,Price: ,3.2,ok
1.121194965, Sport: ,Tennis, Time: ,Mon Oct 12 18:45:00 CEST 2015, Time: ,Mon Oct 12 18:45:00 CEST 2015, Event: ,Ilhan v Couacaud, Favorite: ,Marsel Ilhan, 4147957   size:61.92,Price: ,1.35,Enzo Couacaud, 8174333   size:2.7,Price: ,3.75,ok
1.121194443, Sport: ,Soccer, Time: ,Mon Oct 12 17:30:00 CEST 2015, Time: ,Mon Oct 12 17:30:00 CEST 2015, Event: ,CD Guarnizo v Selaya FC, Favorite: ,Selaya FC, 8975238   size:2.38,Price: ,2.58,CD Guarnizo, 6670872   size:2.55,Price: ,2.78,The Draw, 58805   size:6.38,Price: ,3.35,x
1.121134144, Sport: ,Basketball, Time: ,Mon Oct 12 20:45:00 CEST 2015, Time: ,Mon Oct 12 20:45:00 CEST 2015, Event: ,Cantu v Dinamo Sassari, Favorite: ,Dinamo Sassari, 5520916   size:4.7,Price: ,1.79,Cantu, 276214   size:8.59,Price: ,2.06,ok
1.121114830, Sport: ,Ice Hockey, Time: ,Mon Oct 12 21:00:00 CEST 2015, Time: ,Mon Oct 12 21:00:00 CEST 2015, Event: ,Columbus @ Buffalo, Favorite: ,Columbus, 2114347   size:288.17,Price: ,2.14,Buffalo, 4427593   size:108.78,Price: ,3.3,Tie, 60104   size:281.6,Price: ,4.0,x
1.121195529, Sport: ,Tennis, Time: ,Mon Oct 12 21:00:00 CEST 2015, Time: ,Mon Oct 12 21:00:00 CEST 2015, Event: ,Rola v Sarkissian, Favorite: ,Blaz Rola, 8174357   size:129.05,Price: ,1.37,Alexander Sarkissian, 8734382   size:18.12,Price: ,3.1,ok
