1.119295901, Sport: ,Tennis, Time: ,Mon Jun 29 18:00:00 CEST 2015, Time: ,Mon Jun 29 18:00:00 CEST 2015, Event: ,Olivo v Brands, Favorite: ,Daniel Brands, 2395076   size:2.6,Price: ,1.83,Renzo Olivo, 4822931   size:5.1,Price: ,2.04,ok
1.119279992, Sport: ,Tennis, Time: ,Mon Jun 29 18:30:00 CEST 2015, Time: ,Mon Jun 29 18:30:00 CEST 2015, Event: ,Gavrilova v Begu, Favorite: ,Daria Gavrilova, 5053424   size:94.25,Price: ,1.54,Irina-Camelia Begu, 7642289   size:4.49,Price: ,2.74,x
1.119295941, Sport: ,Tennis, Time: ,Mon Jun 29 15:15:00 CEST 2015, Time: ,Mon Jun 29 15:15:00 CEST 2015, Event: ,T Daniel v Mi Basic, Favorite: ,Taro Daniel, 8173434   size:4.01,Price: ,1.27,Mirza Basic, 5499167   size:7.71,Price: ,4.7,x
1.119279077, Sport: ,Tennis, Time: ,Mon Jun 29 17:00:00 CEST 2015, Time: ,Mon Jun 29 17:00:00 CEST 2015, Event: ,Hantuchova v Cibulkova, Favorite: ,Dominika Cibulkova, 2301145   size:34.85,Price: ,1.88,Daniela Hantuchova, 2251579   size:5.11,Price: ,2.1,x
1.119279037, Sport: ,Tennis, Time: ,Mon Jun 29 12:30:00 CEST 2015, Time: ,Mon Jun 29 12:30:00 CEST 2015, Event: ,Babos v Cetkovska, Favorite: ,Timea Babos, 4828174   size:107.34,Price: ,1.79,Petra Cetkovska, 2415583   size:24.18,Price: ,2.18,ok
1.119275277, Sport: ,Tennis, Time: ,Mon Jun 29 12:30:00 CEST 2015, Time: ,Mon Jun 29 12:30:00 CEST 2015, Event: ,Klizan v Verdasco, Favorite: ,Fernando Verdasco, 2256480   size:2702.35,Price: ,1.33,Martin Klizan, 2496035   size:4.08,Price: ,3.9,ok
1.119277973, Sport: ,Tennis, Time: ,Mon Jun 29 16:15:00 CEST 2015, Time: ,Mon Jun 29 16:15:00 CEST 2015, Event: ,Gimeno-Traver v Raonic, Favorite: ,Milos Raonic, 4105819   size:80794.69,Price: ,1.03,Daniel Gimeno-Traver, 8260127   size:125.08,Price: ,27.0,ok
1.119279995, Sport: ,Tennis, Time: ,Mon Jun 29 12:30:00 CEST 2015, Time: ,Mon Jun 29 12:30:00 CEST 2015, Event: ,Vandeweghe v Schmiedlova, Favorite: ,Coco Vandeweghe, 8781569   size:19.34,Price: ,1.4,Anna Karolina Schmiedlo, 9379842   size:5.82,Price: ,3.4,ok
1.119275534, Sport: ,Tennis, Time: ,Mon Jun 29 15:30:00 CEST 2015, Time: ,Mon Jun 29 15:30:00 CEST 2015, Event: ,Lacko v St Johnson, Favorite: ,Steve Johnson, 4876706   size:88.65,Price: ,1.41,Lukas Lacko, 2263634   size:17.3,Price: ,3.1,ok
1.119275338, Sport: ,Tennis, Time: ,Mon Jun 29 17:45:00 CEST 2015, Time: ,Mon Jun 29 17:45:00 CEST 2015, Event: ,Wawrinka v Sousa, Favorite: ,Stan Wawrinka, 8597476   size:2154.38,Price: ,1.09,Joao Sousa, 7053035   size:27.46,Price: ,9.4,ok
1.119276306, Sport: ,Tennis, Time: ,Mon Jun 29 15:30:00 CEST 2015, Time: ,Mon Jun 29 15:30:00 CEST 2015, Event: ,P Herbert v Chung, Favorite: ,Pierre-Hugues Herbert, 8266399   size:58.56,Price: ,1.57,Hyeon Chung, 7690576   size:17.45,Price: ,2.6,ok
1.119274800, Sport: ,Tennis, Time: ,Mon Jun 29 17:45:00 CEST 2015, Time: ,Mon Jun 29 17:45:00 CEST 2015, Event: ,Gabashvili v Zverev, Favorite: ,Alexander Zverev, 7430944   size:6.31,Price: ,1.47,Teymuraz Gabashvili, 4877292   size:18.73,Price: ,2.94,ok
1.119276946, Sport: ,Tennis, Time: ,Mon Jun 29 12:30:00 CEST 2015, Time: ,Mon Jun 29 12:30:00 CEST 2015, Event: ,Sela v Thiem, Favorite: ,Dominic Thiem, 5720747   size:64.49,Price: ,1.55,Dudi Sela, 2263685   size:15.33,Price: ,2.74,ok
