1.119091777, Sport: ,Cricket, Time: ,Fri Jun 12 20:00:00 CEST 2015, Time: ,Fri Jun 12 20:00:00 CEST 2015, Event: ,Sussex v Essex, Favorite: ,Sussex, 31379   size:2.55,Price: ,1.85,Essex, 31376   size:5.21,Price: ,2.04,x
1.119142184, Sport: ,Basketball, Time: ,Fri Jun 12 21:00:00 CEST 2015, Time: ,Fri Jun 12 21:00:00 CEST 2015, Event: ,Crvena Zvezda v Partizan, Favorite: ,Crvena Zvezda, 1275898   size:40.84,Price: ,1.31,Partizan, 266286   size:4.99,Price: ,3.65,ok
1.119084097, Sport: ,Baseball, Time: ,Sat Jun 13 04:05:00 CEST 2015, Time: ,Sat Jun 13 04:05:00 CEST 2015, Event: ,OAK @ LAA, Favorite: ,LA Angels (H Santiago), 8432634   size:265.2,Price: ,1.87,Oakland (J Chavez), 8432625   size:454.0,Price: ,2.0,ok
1.119091754, Sport: ,Cricket, Time: ,Fri Jun 12 18:30:00 CEST 2015, Time: ,Fri Jun 12 18:30:00 CEST 2015, Event: ,Gloucestershire v Glamorgan, Favorite: ,Gloucestershire, 2219   size:541.08,Price: ,1.86,Glamorgan, 169   size:12.36,Price: ,2.1,x
1.119091459, Sport: ,Cricket, Time: ,Fri Jun 12 18:30:00 CEST 2015, Time: ,Fri Jun 12 18:30:00 CEST 2015, Event: ,Leicestershire v Northamptonshire, Favorite: ,Leicestershire, 31377   size:248.47,Price: ,1.84,Northamptonshire, 475559   size:7.16,Price: ,2.1,x
1.119091758, Sport: ,Cricket, Time: ,Fri Jun 12 18:30:00 CEST 2015, Time: ,Fri Jun 12 18:30:00 CEST 2015, Event: ,Somerset v Surrey, Favorite: ,Somerset, 5995   size:34.51,Price: ,1.56,Surrey, 424676   size:2.55,Price: ,2.56,x
1.118847494, Sport: ,Basketball, Time: ,Fri Jun 12 19:30:00 CEST 2015, Time: ,Fri Jun 12 19:30:00 CEST 2015, Event: ,Romania (W) v Montenegro (W), Favorite: ,Montenegro (W), 6427234   size:2.55,Price: ,1.06,Romania (W), 6427228   size:12.49,Price: ,10.0,ok
1.119142940, Sport: ,Tennis, Time: ,Sat Jun 13 05:00:00 CEST 2015, Time: ,Sat Jun 13 05:00:00 CEST 2015, Event: ,R Sawayanagi v C W Hsu, Favorite: ,Ching-Wen Hsu, 8964271   size:302.19,Price: ,1.07,Riko Sawayanagi, 8839049   size:300.48,Price: ,1.08,x
1.119084033, Sport: ,Baseball, Time: ,Sat Jun 13 01:10:00 CEST 2015, Time: ,Sat Jun 13 01:10:00 CEST 2015, Event: ,TOR @ BOS, Favorite: ,Toronto (D Hutchison), 6325405   size:111.72,Price: ,1.96,Boston (J Kelly), 8755664   size:100.9,Price: ,2.02,ok
1.119084057, Sport: ,Baseball, Time: ,Sat Jun 13 01:10:00 CEST 2015, Time: ,Sat Jun 13 01:10:00 CEST 2015, Event: ,CHW @ TB, Favorite: ,Tampa Bay (M Andriese), 9389910   size:344.72,Price: ,1.81,Chicago White Sox (J Danks), 2942998   size:97.09,Price: ,2.16,ok
1.119091784, Sport: ,Cricket, Time: ,Fri Jun 12 20:00:00 CEST 2015, Time: ,Fri Jun 12 20:00:00 CEST 2015, Event: ,Durham v Worcestershire, Favorite: ,Durham, 31374   size:2.63,Price: ,1.76,Worcestershire, 31372   size:10.82,Price: ,2.26,x
1.119084113, Sport: ,Baseball, Time: ,Sat Jun 13 04:15:00 CEST 2015, Time: ,Sat Jun 13 04:15:00 CEST 2015, Event: ,ARI @ SF, Favorite: ,San Francisco (M Bumgarner), 4171027   size:327.0,Price: ,1.62,Arizona (C Anderson), 8522020   size:327.0,Price: ,2.48,x
1.119091764, Sport: ,Cricket, Time: ,Fri Jun 12 19:30:00 CEST 2015, Time: ,Fri Jun 12 19:30:00 CEST 2015, Event: ,Lancashire v Derbyshire, Favorite: ,Lancashire, 424679   size:7.28,Price: ,1.62,Derbyshire, 31375   size:5.0,Price: ,2.56,ok
1.119117085, Sport: ,Basketball, Time: ,Fri Jun 12 20:50:00 CEST 2015, Time: ,Fri Jun 12 20:50:00 CEST 2015, Event: ,Strasbourg v Limoges, Favorite: ,Strasbourg, 1193143   size:2.55,Price: ,1.54,Limoges, 3817200   size:3.0,Price: ,2.66,x
1.119142926, Sport: ,Baseball, Time: ,Sat Jun 13 02:10:00 CEST 2015, Time: ,Sat Jun 13 02:10:00 CEST 2015, Event: ,WSH @ MIL, Favorite: ,Milwaukee (M Fiers), 6408787   size:2.67,Price: ,1.93,Washington (J Zimmermann), 3830891   size:2.76,Price: ,1.97,ok
1.119144780, Sport: ,Tennis, Time: ,Sat Jun 13 05:00:00 CEST 2015, Time: ,Sat Jun 13 05:00:00 CEST 2015, Event: ,So-Ra Lee v Ji-Hee Choi, Favorite: ,Ji-Hee Choi, 8839153   size:71.49,Price: ,1.02,x
1.119136005, Sport: ,Basketball, Time: ,Fri Jun 12 21:00:00 CEST 2015, Time: ,Fri Jun 12 21:00:00 CEST 2015, Event: ,Unicaja v Barcelona, Favorite: ,Barcelona, 266269   size:143.9,Price: ,1.41,Unicaja, 272998   size:2.35,Price: ,3.4,x
1.119008378, Sport: ,Basketball, Time: ,Sat Jun 13 01:00:00 CEST 2015, Time: ,Sat Jun 13 01:00:00 CEST 2015, Event: ,Atlanta @ Washington, Favorite: ,Washington, 13105   size:2.74,Price: ,1.49,Atlanta, 13114   size:113.08,Price: ,2.92,x
