1.119541562, Sport: ,Soccer, Time: ,Sat Jul 18 18:30:00 CEST 2015, Time: ,Sat Jul 18 18:30:00 CEST 2015, Event: ,Germany U19 (W) v Norway U19 (W), Favorite: ,Germany U19 (W), 4044106   size:5.91,Price: ,1.32,The Draw, 58805   size:19.88,Price: ,4.6,Norway U19 (W), 4044102   size:13.79,Price: ,6.4,x
1.119545800, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Colwyn Bay v Bolton U21, Favorite: ,Bolton U21, 6594013   size:5.91,Price: ,2.0,Colwyn Bay, 2662205   size:79.12,Price: ,2.82,The Draw, 58805   size:61.28,Price: ,3.35,ok
1.119545928, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Cowdenbeath v Edinburgh City, Favorite: ,Edinburgh City, 615040   size:142.57,Price: ,1.06,The Draw, 58805   size:2.88,Price: ,1.25,x
1.119551000, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Torquay v Newport County, Favorite: ,Torquay, 50808   size:92.14,Price: ,2.24,Newport County, 62623   size:93.51,Price: ,2.54,The Draw, 58805   size:70.25,Price: ,3.05,x
1.119539017, Sport: ,Soccer, Time: ,Sat Jul 18 18:30:00 CEST 2015, Time: ,Sat Jul 18 18:30:00 CEST 2015, Event: ,Levadiakos v Panathinaikos, Favorite: ,Panathinaikos, 50334   size:5.91,Price: ,1.42,The Draw, 58805   size:50.52,Price: ,3.85,Levadiakos, 531200   size:36.0,Price: ,5.2,ok
1.119547089, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Gainsborough v Grimsby, Favorite: ,Grimsby, 48001   size:5.91,Price: ,1.48,The Draw, 58805   size:52.36,Price: ,3.75,Gainsborough, 597721   size:38.91,Price: ,4.7,ok
1.119549024, Sport: ,Soccer, Time: ,Sat Jul 18 18:00:00 CEST 2015, Time: ,Sat Jul 18 18:00:00 CEST 2015, Event: ,Lorient v Reims, Favorite: ,Lorient, 44794   size:6.19,Price: ,1.72,Reims, 298233   size:6.19,Price: ,1.94,The Draw, 58805   size:15.48,Price: ,2.1,x
1.119515172, Sport: ,Volleyball, Time: ,Sat Jul 18 18:05:00 CEST 2015, Time: ,Sat Jul 18 18:05:00 CEST 2015, Event: ,Serbia (W) v Germany (W), Favorite: ,Germany (W), 5857945   size:1325.31,Price: ,1.01,ok
1.119515170, Sport: ,Volleyball, Time: ,Sat Jul 18 17:10:00 CEST 2015, Time: ,Sat Jul 18 17:10:00 CEST 2015, Event: ,Belgium (W) v Russia (W), Favorite: ,Russia (W), 6358161   size:1325.31,Price: ,1.01,x
1.119480182, Sport: ,Basketball, Time: ,Sat Jul 18 16:30:00 CEST 2015, Time: ,Sat Jul 18 16:30:00 CEST 2015, Event: ,Argentina (W) v Venezuela (W), Favorite: ,Argentina (W), 5859165   size:2.88,Price: ,1.02,Venezuela (W), 7679867   size:144.01,Price: ,1.03,ok
1.119346663, Sport: ,Mixed Martial Arts, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,Holohan v Lee, Favorite: ,Paddy Holohan, 9147601   size:7.94,Price: ,1.62,Vaughan Lee, 5928865   size:2.87,Price: ,2.16,ok
