1.121224912, Sport: ,Soccer, Time: ,Sun Oct 18 18:00:00 CEST 2015, Time: ,Sun Oct 18 18:00:00 CEST 2015, Event: ,Algeciras v FC Jumilla, Favorite: ,Algeciras, 516260   size:52.91,Price: ,1.71,FC Jumilla, 8216058   size:2.72,Price: ,6.2,The Draw, 58805   size:4.48,Price: ,3.55
1.121167056, Sport: ,Soccer, Time: ,Sun Oct 18 18:00:00 CEST 2015, Time: ,Sun Oct 18 18:00:00 CEST 2015, Event: ,Zulte-Waregem v Anderlecht, Favorite: ,Anderlecht, 58163   size:20.92,Price: ,1.31,Zulte-Waregem, 505726   size:2.61,Price: ,16.5,The Draw, 58805   size:67.3,Price: ,5.4
1.121224914, Sport: ,Soccer, Time: ,Sun Oct 18 18:00:00 CEST 2015, Time: ,Sun Oct 18 18:00:00 CEST 2015, Event: ,FC Cartagena v Real Jaen, Favorite: ,FC Cartagena, 5740008   size:6.8,Price: ,2.0,Real Jaen, 3303613   size:19.19,Price: ,4.5,The Draw, 58805   size:6.51,Price: ,3.25
1.121224853, Sport: ,Soccer, Time: ,Sun Oct 18 18:00:00 CEST 2015, Time: ,Sun Oct 18 18:00:00 CEST 2015, Event: ,Toledo v Real Madrid B, Favorite: ,Toledo, 218880   size:45.17,Price: ,2.4,Real Madrid B, 6539994   size:18.16,Price: ,3.2,The Draw, 58805   size:22.99,Price: ,3.4
1.121321095, Sport: ,Soccer, Time: ,Sun Oct 18 18:00:00 CEST 2015, Time: ,Sun Oct 18 18:00:00 CEST 2015, Event: ,Trakai v FC Stumbras, Favorite: ,Trakai, 5787362   size:4895.44,Price: ,1.01,FC Stumbras, 7661326   size:6.99,Price: ,140.0,The Draw, 58805   size:2.63,Price: ,55.0
1.121327527, Sport: ,Basketball, Time: ,Sun Oct 18 18:00:00 CEST 2015, Time: ,Sun Oct 18 18:00:00 CEST 2015, Event: ,Turow Zgorzelec v Start Lublin, Favorite: ,Turow Zgorzelec, 1434930   size:100.0,Price: ,1.04,Start Lublin, 8832728   size:5.95,Price: ,8.4
1.121340064, Sport: ,Tennis, Time: ,Sun Oct 18 18:00:00 CEST 2015, Time: ,Sun Oct 18 18:00:00 CEST 2015, Event: ,Villanueva v J Paz, Favorite: ,Juan Pablo Paz, 8461061   size:26.43,Price: ,1.09,Gonzalo Villanueva, 9042439   size:4.4,Price: ,2.76
1.121243931, Sport: ,Basketball, Time: ,Sun Oct 18 18:00:00 CEST 2015, Time: ,Sun Oct 18 18:00:00 CEST 2015, Event: ,Darussafaka v Fenerbahce, Favorite: ,Darussafaka, 631285   size:38.0,Price: ,1.65,Fenerbahce, 631290   size:22.0,Price: ,2.1
1.121167470, Sport: ,Soccer, Time: ,Sun Oct 18 18:00:00 CEST 2015, Time: ,Sun Oct 18 18:00:00 CEST 2015, Event: ,Legia Warsaw v Cracovia Krakow, Favorite: ,Legia Warsaw, 46943   size:352.97,Price: ,1.22,Cracovia Krakow, 880537   size:27.5,Price: ,24.0,The Draw, 58805   size:92.75,Price: ,6.8
1.121237284, Sport: ,Volleyball, Time: ,Sun Oct 18 18:00:00 CEST 2015, Time: ,Sun Oct 18 18:00:00 CEST 2015, Event: ,VB Sudtirol Bolzano v Gorgonzola Novara, Favorite: ,Gorgonzola Novara, 10368510   size:32.35,Price: ,1.01,VB Sudtirol Bolzano, 10381560   size:1084.9,Price: ,1.2
1.121237281, Sport: ,Volleyball, Time: ,Sun Oct 18 18:00:00 CEST 2015, Time: ,Sun Oct 18 18:00:00 CEST 2015, Event: ,Imoco Volley Conegliano v Volley Bergamo, Favorite: ,Volley Bergamo, 3416141   size:150.0,Price: ,1.4,IMOCO VOLLEY CONEGLIANO, 10381555   size:120.0,Price: ,2.1
1.121083661, Sport: ,Soccer, Time: ,Sun Oct 18 18:15:00 CEST 2015, Time: ,Sun Oct 18 18:15:00 CEST 2015, Event: ,Getafe v Las Palmas, Favorite: ,Getafe, 248010   size:945.0,Price: ,1.13,Las Palmas, 9163   size:26.56,Price: ,38.0,The Draw, 58805   size:356.56,Price: ,10.5
