1.119179118, Sport: ,Tennis, Time: ,Thu Jun 18 18:00:00 CEST 2015, Time: ,Thu Jun 18 18:00:00 CEST 2015, Event: ,Carreno Busta v Mager, Favorite: ,Pablo Carreno Busta, 5479878   size:2093.71,Price: ,1.09,Gianluca Mager, 8284482   size:14.31,Price: ,7.4,ok
1.119187182, Sport: ,Tennis, Time: ,Thu Jun 18 16:00:00 CEST 2015, Time: ,Thu Jun 18 16:00:00 CEST 2015, Event: ,McGee v Milton, Favorite: ,James McGee, 7216252   size:19.7,Price: ,1.38,Joshua Milton, 3985858   size:5.65,Price: ,3.1,ok
1.119176298, Sport: ,Tennis, Time: ,Thu Jun 18 14:00:00 CEST 2015, Time: ,Thu Jun 18 14:00:00 CEST 2015, Event: ,Melnikova v Bertens, Favorite: ,Kiki Bertens, 5611697   size:7.09,Price: ,1.22,Marina Melnikova, 6390238   size:4.22,Price: ,4.8,ok
1.119179045, Sport: ,Tennis, Time: ,Thu Jun 18 15:30:00 CEST 2015, Time: ,Thu Jun 18 15:30:00 CEST 2015, Event: ,Sakharov v Munoz-De La Nava, Favorite: ,Daniel Munoz-de la Nava, 8259000   size:6.45,Price: ,1.24,Gleb Sakharov, 8284520   size:16.54,Price: ,4.4,ok
1.119186922, Sport: ,Tennis, Time: ,Thu Jun 18 14:00:00 CEST 2015, Time: ,Thu Jun 18 14:00:00 CEST 2015, Event: ,Torebko v Gombos, Favorite: ,Norbert Gombos, 8173023   size:2.55,Price: ,1.28,Peter Torebko, 5829498   size:4.69,Price: ,4.1,ok
1.119121386, Sport: ,Basketball, Time: ,Thu Jun 18 22:15:00 CEST 2015, Time: ,Thu Jun 18 22:15:00 CEST 2015, Event: ,Bermuda v Suriname, Favorite: ,Bermuda, 9582141   size:4.99,Price: ,1.03,Suriname, 9582187   size:2626.89,Price: ,1.07,ok
1.119185359, Sport: ,Tennis, Time: ,Thu Jun 18 17:00:00 CEST 2015, Time: ,Thu Jun 18 17:00:00 CEST 2015, Event: ,Peya/Soares v Lopez/Mirnyi, Favorite: ,Peya/Soares, 6504095   size:128.68,Price: ,1.66,Lopez/Mirnyi, 8329155   size:9.58,Price: ,2.2,ok
1.119185131, Sport: ,Tennis, Time: ,Thu Jun 18 20:30:00 CEST 2015, Time: ,Thu Jun 18 20:30:00 CEST 2015, Event: ,Lopez/Nadal v Nestor/Paes, Favorite: ,Nestor/Paes, 7592382   size:2.55,Price: ,1.79,Lopez/Nadal, 4581066   size:4.99,Price: ,2.0,ok
1.119172178, Sport: ,Tennis, Time: ,Thu Jun 18 13:30:00 CEST 2015, Time: ,Thu Jun 18 13:30:00 CEST 2015, Event: ,Konta v Ka Pliskova, Favorite: ,Karolina Pliskova, 6199453   size:100.0,Price: ,1.37,Johanna Konta, 5596561   size:105.0,Price: ,3.6,ok
1.119040653, Sport: ,Snooker, Time: ,Thu Jun 18 15:30:00 CEST 2015, Time: ,Thu Jun 18 15:30:00 CEST 2015, Event: ,Singapore v Austria, Favorite: ,Singapore, 9546438   size:4.99,Price: ,1.52,Austria, 9546434   size:6.33,Price: ,2.7,x
