1.119902283, Sport: ,Soccer, Time: ,Sat Aug 08 01:30:00 CEST 2015, Time: ,Sat Aug 08 01:30:00 CEST 2015, Event: ,UCV FC v Arroceros de Calabozo, Favorite: ,Arroceros de Calabozo, 9989661   size:10.94,Price: ,1.08,The Draw, 58805   size:10.94,Price: ,1.29,x
1.119910225, Sport: ,Tennis, Time: ,Sat Aug 08 02:45:00 CEST 2015, Time: ,Sat Aug 08 02:45:00 CEST 2015, Event: ,J Sock v St Johnson, Favorite: ,Jack Sock, 4596957   size:1090.06,Price: ,1.61,Steve Johnson, 4876706   size:152.58,Price: ,2.58,
1.119849987, Sport: ,Soccer, Time: ,Sat Aug 08 03:00:00 CEST 2015, Time: ,Sat Aug 08 03:00:00 CEST 2015, Event: ,Uni San Martin v UTC Cajamarca, Favorite: ,Uni San Martin, 2032055   size:2.48,Price: ,1.73,The Draw, 58805   size:11.86,Price: ,3.8,UTC Cajamarca, 7028659   size:10.8,Price: ,5.4,x
1.119851621, Sport: ,Soccer, Time: ,Sat Aug 08 05:00:00 CEST 2015, Time: ,Sat Aug 08 05:00:00 CEST 2015, Event: ,Murcielagos FC v Cafetaleros, Favorite: ,Cafetaleros, 9988646   size:140.84,Price: ,1.06,The Draw, 58805   size:2.95,Price: ,1.27,x
1.119554933, Sport: ,American Football, Time: ,Sat Aug 08 01:30:00 CEST 2015, Time: ,Sat Aug 08 01:30:00 CEST 2015, Event: ,Montreal @ Ottawa, Favorite: ,Montreal, 2014643   size:5.0,Price: ,1.79,Ottawa, 8604244   size:13.51,Price: ,2.14,x
1.119856916, Sport: ,Handball, Time: ,Sat Aug 08 07:00:00 CEST 2015, Time: ,Sat Aug 08 07:00:00 CEST 2015, Event: ,Hungary U19 v Poland U19, Favorite: ,Draw, 330157   size:100.0,Price: ,1.01,x
1.119874045, Sport: ,Tennis, Time: ,Sat Aug 08 05:30:00 CEST 2015, Time: ,Sat Aug 08 05:30:00 CEST 2015, Event: ,Chan/Jurak v Medina Garr/Parra Santo, Favorite: ,Medina Garr/Parra Santo, 9220633   size:2.55,Price: ,1.64,Chan/Jurak, 7269464   size:2.55,Price: ,2.28,
1.119905118, Sport: ,Soccer, Time: ,Sat Aug 08 01:00:00 CEST 2015, Time: ,Sat Aug 08 01:00:00 CEST 2015, Event: ,XV de Piracicaba v Barbarense, Favorite: ,Barbarense, 6973281   size:10.94,Price: ,1.08,The Draw, 58805   size:10.94,Price: ,1.29,ok
1.119851683, Sport: ,Soccer, Time: ,Sat Aug 08 03:30:00 CEST 2015, Time: ,Sat Aug 08 03:30:00 CEST 2015, Event: ,Venados FC v Atlante, Favorite: ,Venados FC, 9988658   size:2.55,Price: ,2.06,The Draw, 58805   size:14.93,Price: ,3.1,Atlante, 230270   size:2.4,Price: ,3.35,x
1.119851383, Sport: ,Soccer, Time: ,Sat Aug 08 03:30:00 CEST 2015, Time: ,Sat Aug 08 03:30:00 CEST 2015, Event: ,Correcaminos UAT v Cimarrones de Sonora, Favorite: ,Correcaminos Uat, 6535216   size:7.21,Price: ,1.88,The Draw, 58805   size:2.55,Price: ,3.25,Cimarrones de Sonora, 9988723   size:19.55,Price: ,3.35,x
1.119838055, Sport: ,Baseball, Time: ,Sat Aug 08 04:10:00 CEST 2015, Time: ,Sat Aug 08 04:10:00 CEST 2015, Event: ,TEX @ SEA, Favorite: ,Texas (C Hamels), 10104537   size:12.76,Price: ,1.91,Seattle (H Iwakuma), 6482564   size:208.23,Price: ,2.06,
1.119838031, Sport: ,Baseball, Time: ,Sat Aug 08 04:05:00 CEST 2015, Time: ,Sat Aug 08 04:05:00 CEST 2015, Event: ,BAL @ LAA, Favorite: ,LA Angels (A Heaney), 9671427   size:252.85,Price: ,1.8,Baltimore (K Gausman), 7292275   size:258.81,Price: ,2.16,ok
1.119767363, Sport: ,Soccer, Time: ,Sat Aug 08 00:00:00 CEST 2015, Time: ,Sat Aug 08 00:00:00 CEST 2015, Event: ,Sportivo Luqueno v Sol de America (Par), Favorite: ,Sportivo Luqueno, 2844791   size:50.03,Price: ,2.06,The Draw, 58805   size:15.25,Price: ,3.75,Sol de America (Par), 9329179   size:9.57,Price: ,3.95,x
