1.122723649, Sport: ,Soccer, Time: ,Sun Jan 24 12:00:00 CET 2016, Time: ,Sun Jan 24 12:00:00 CET 2016, Event: ,CMD San Juan v Ecija Balompie, Favorite: ,Ecija Balompie, 9301056   size:68.05,Price: ,1.97,CMD San Juan, 8390549   size:33.01,Price: ,3.15,The Draw, 58805   size:33.01,Price: ,3.05
1.122725534, Sport: ,Soccer, Time: ,Sun Jan 24 12:00:00 CET 2016, Time: ,Sun Jan 24 12:00:00 CET 2016, Event: ,AD Caravaca Vera Cruz v CD Plus Ultra, Favorite: ,The Draw, 58805   size:11.1,Price: ,1.05,AD Caravaca Vera Cruz, 8811932   size:9.25,Price: ,1.06,CD Plus Ultra, 6776318   size:9.25,Price: ,1.06
1.122725542, Sport: ,Soccer, Time: ,Sun Jan 24 13:00:00 CET 2016, Time: ,Sun Jan 24 13:00:00 CET 2016, Event: ,CD La Cuadra v Real Sporting San Jose, Favorite: ,The Draw, 58805   size:24.21,Price: ,1.03,CD La Cuadra, 10398430   size:9.25,Price: ,1.06,Real Sporting San Jose, 6117117   size:9.25,Price: ,1.06
1.122725532, Sport: ,Soccer, Time: ,Sun Jan 24 13:00:00 CET 2016, Time: ,Sun Jan 24 13:00:00 CET 2016, Event: ,SD Tenisca v CF Union Viera, Favorite: ,The Draw, 58805   size:24.21,Price: ,1.03,SD Tenisca, 6415386   size:9.25,Price: ,1.06,CF Union Viera, 7313631   size:9.25,Price: ,1.06
1.122723660, Sport: ,Soccer, Time: ,Sun Jan 24 14:00:00 CET 2016, Time: ,Sun Jan 24 14:00:00 CET 2016, Event: ,Azerbaijan U21 v Saudi Arabia U21, Favorite: ,Azerbaijan U21, 3938974   size:13.88,Price: ,1.04,Saudi Arabia U21, 5598186   size:13.88,Price: ,1.04,The Draw, 58805   size:13.88,Price: ,1.04
1.122622977, Sport: ,Soccer, Time: ,Sun Jan 24 14:30:00 CET 2016, Time: ,Sun Jan 24 14:30:00 CET 2016, Event: ,PSV v Twente, Favorite: ,PSV, 48451   size:682.07,Price: ,1.24,Twente, 48446   size:3.16,Price: ,14.0,The Draw, 58805   size:185.39,Price: ,7.6
1.122723880, Sport: ,Soccer, Time: ,Sun Jan 24 15:00:00 CET 2016, Time: ,Sun Jan 24 15:00:00 CET 2016, Event: ,VW Hamme v KRC Gent-Zeehaven, Favorite: ,VW Hamme, 7669949   size:13.88,Price: ,1.04,KRC Gent-Zeehaven, 7573685   size:13.88,Price: ,1.04,The Draw, 58805   size:13.88,Price: ,1.04
1.122723825, Sport: ,Soccer, Time: ,Sun Jan 24 15:00:00 CET 2016, Time: ,Sun Jan 24 15:00:00 CET 2016, Event: ,Viitorul Constanta v Lokomotiva, Favorite: ,Viitorul Constanta, 5431165   size:13.88,Price: ,1.04,Lokomotiva, 4057235   size:13.88,Price: ,1.04,The Draw, 58805   size:2.64,Price: ,1.25
1.122725518, Sport: ,Soccer, Time: ,Sun Jan 24 15:45:00 CET 2016, Time: ,Sun Jan 24 15:45:00 CET 2016, Event: ,CD Cayon v SD Rayo Cantabria, Favorite: ,The Draw, 58805   size:24.21,Price: ,1.03,CD Cayon, 7331872   size:9.25,Price: ,1.06,SD Rayo Cantabria, 9339277   size:9.25,Price: ,1.06
1.122723655, Sport: ,Soccer, Time: ,Sun Jan 24 16:00:00 CET 2016, Time: ,Sun Jan 24 16:00:00 CET 2016, Event: ,Villanueva CF v CA Monzon, Favorite: ,CA Monzon, 9453566   size:47.84,Price: ,2.38,Villanueva CF, 8041212   size:44.6,Price: ,2.48,The Draw, 58805   size:30.0,Price: ,3.2
1.122723715, Sport: ,Soccer, Time: ,Sun Jan 24 16:00:00 CET 2016, Time: ,Sun Jan 24 16:00:00 CET 2016, Event: ,Ukraine U21 v Kosovo U21, Favorite: ,Ukraine U21, 210038   size:27.76,Price: ,1.02,Kosovo U21, 10748228   size:27.76,Price: ,1.02,The Draw, 58805   size:27.76,Price: ,1.02
1.122723647, Sport: ,Soccer, Time: ,Sun Jan 24 16:00:00 CET 2016, Time: ,Sun Jan 24 16:00:00 CET 2016, Event: ,La Gineta CF v Albacete Balompie II, Favorite: ,La Gineta CF, 7447289   size:49.26,Price: ,2.34,Albacete Balompie II, 8041135   size:42.32,Price: ,2.56,The Draw, 58805   size:33.34,Price: ,2.98
1.122725546, Sport: ,Soccer, Time: ,Sun Jan 24 16:30:00 CET 2016, Time: ,Sun Jan 24 16:30:00 CET 2016, Event: ,Mar Menor CF v EF Alhama, Favorite: ,The Draw, 58805   size:55.53,Price: ,1.01,Mar Menor CF, 7313613   size:27.76,Price: ,1.02,EF Alhama, 8826848   size:27.76,Price: ,1.02
1.122725548, Sport: ,Soccer, Time: ,Sun Jan 24 16:30:00 CET 2016, Time: ,Sun Jan 24 16:30:00 CET 2016, Event: ,Atl Club Pueblonuevo v CD Calamonte, Favorite: ,The Draw, 58805   size:55.53,Price: ,1.01,Atl Club Pueblonuevo, 10621550   size:27.76,Price: ,1.02,CD Calamonte, 10621713   size:27.76,Price: ,1.02
1.122725544, Sport: ,Soccer, Time: ,Sun Jan 24 16:30:00 CET 2016, Time: ,Sun Jan 24 16:30:00 CET 2016, Event: ,CD Minera v Real Murcia Imperial CF, Favorite: ,CD Minera, 7695985   size:66.02,Price: ,1.99,Real Murcia Imperial CF, 10243153   size:30.7,Price: ,3.15,The Draw, 58805   size:29.34,Price: ,3.25
1.122723653, Sport: ,Soccer, Time: ,Sun Jan 24 16:30:00 CET 2016, Time: ,Sun Jan 24 16:30:00 CET 2016, Event: ,CD Binissalem v Mallorca B, Favorite: ,CD Binissalem, 9320405   size:47.84,Price: ,2.38,Mallorca B, 4144563   size:41.78,Price: ,2.58,The Draw, 58805   size:32.2,Price: ,3.05
1.122725559, Sport: ,Soccer, Time: ,Sun Jan 24 16:30:00 CET 2016, Time: ,Sun Jan 24 16:30:00 CET 2016, Event: ,Mora CF v Atletico Ibanes, Favorite: ,The Draw, 58805   size:55.53,Price: ,1.01,Mora CF, 6962249   size:27.76,Price: ,1.02,Atletico Ibanes, 8216071   size:27.76,Price: ,1.02
1.122725536, Sport: ,Soccer, Time: ,Sun Jan 24 17:00:00 CET 2016, Time: ,Sun Jan 24 17:00:00 CET 2016, Event: ,UD Almansa v AD San Jose Obrero, Favorite: ,The Draw, 58805   size:55.53,Price: ,1.01,UD Almansa, 9339213   size:27.76,Price: ,1.02,AD San Jose Obrero, 10454403   size:27.76,Price: ,1.02
1.122725520, Sport: ,Soccer, Time: ,Sun Jan 24 17:00:00 CET 2016, Time: ,Sun Jan 24 17:00:00 CET 2016, Event: ,Castro FC v Racing Santander B, Favorite: ,The Draw, 58805   size:55.53,Price: ,1.01,Castro FC, 6343346   size:27.76,Price: ,1.02,Racing Santander B, 9493037   size:27.76,Price: ,1.02
