1.121115928, Sport: ,Basketball, Time: ,Sat Oct 10 15:00:00 CEST 2015, Time: ,Sat Oct 10 15:00:00 CEST 2015, Event: ,Svendborg v BK Stevnsgade, Favorite: ,BK Stevnsgade, 10379235   size:2.73,Price: ,1.09,Svendborg, 6719075   size:2.46,Price: ,1.1,x
1.121148619, Sport: ,Soccer, Time: ,Sat Oct 10 14:00:00 CEST 2015, Time: ,Sat Oct 10 14:00:00 CEST 2015, Event: ,FC Vysocina Jihlava U19 v FK Teplice U19, Favorite: ,FC Vysocina Jihlava U19, 6582670   size:3.52,Price: ,1.07,FK Teplice U19, 6395178   size:3.52,Price: ,1.07,The Draw, 58805   size:3.95,Price: ,1.25,ok
1.121134210, Sport: ,Basketball, Time: ,Sat Oct 10 19:00:00 CEST 2015, Time: ,Sat Oct 10 19:00:00 CEST 2015, Event: ,Gussing v Furstenfeld, Favorite: ,Gussing, 7036689   size:4.11,Price: ,1.06,Furstenfeld, 7036686   size:5.72,Price: ,1.34,ok
1.121157892, Sport: ,Tennis, Time: ,Sat Oct 10 09:30:00 CEST 2015, Time: ,Sat Oct 10 09:30:00 CEST 2015, Event: ,Beygelzimer v Lertpitaksinchai, Favorite: ,Yuliya Beygelzimer, 3674505   size:318.74,Price: ,1.11,Nicha Lertpitaksinchai, 3673415   size:12.12,Price: ,8.0,ok
1.121134211, Sport: ,Basketball, Time: ,Sat Oct 10 19:00:00 CEST 2015, Time: ,Sat Oct 10 19:00:00 CEST 2015, Event: ,Oberwart v Klosterneuburg, Favorite: ,Klosterneuburg, 7036697   size:2.55,Price: ,1.05,Oberwart, 7036690   size:3.81,Price: ,1.64,x
1.121114600, Sport: ,Ice Hockey, Time: ,Sun Oct 11 02:35:00 CEST 2015, Time: ,Sun Oct 11 02:35:00 CEST 2015, Event: ,NY Islanders @ Chicago, Favorite: ,Chicago, 2109831   size:3.05,Price: ,2.02,NY Islanders, 60105   size:2.12,Price: ,2.9,Tie, 60104   size:7.36,Price: ,3.7,ok
1.121134214, Sport: ,Basketball, Time: ,Sat Oct 10 17:00:00 CEST 2015, Time: ,Sat Oct 10 17:00:00 CEST 2015, Event: ,Beroe v Balkan, Favorite: ,Beroe, 7753528   size:8.21,Price: ,1.03,Balkan, 7813765   size:8.21,Price: ,1.03,x
1.121134212, Sport: ,Basketball, Time: ,Sat Oct 10 17:00:00 CEST 2015, Time: ,Sat Oct 10 17:00:00 CEST 2015, Event: ,Spartak Pleven v Chernomorets, Favorite: ,Spartak Pleven, 7753535   size:8.21,Price: ,1.03,Chernomorets, 7753530   size:8.21,Price: ,1.03,ok
1.121134216, Sport: ,Basketball, Time: ,Sat Oct 10 16:00:00 CEST 2015, Time: ,Sat Oct 10 16:00:00 CEST 2015, Event: ,Korikobrat v Pyrinto Tampere, Favorite: ,Pyrinto Tampere, 7749531   size:2.55,Price: ,1.61,Korikobrat, 7749535   size:2.55,Price: ,2.4,ok
1.121146788, Sport: ,Soccer, Time: ,Sat Oct 10 17:30:00 CEST 2015, Time: ,Sat Oct 10 17:30:00 CEST 2015, Event: ,LKP Motor Lublin v Slask Wroclaw, Favorite: ,Slask Wroclaw, 3143307   size:2.69,Price: ,1.56,LKP Motor Lublin, 6635878   size:34.62,Price: ,5.3,The Draw, 58805   size:49.42,Price: ,3.8,ok
1.121147516, Sport: ,Soccer, Time: ,Sat Oct 10 21:00:00 CEST 2015, Time: ,Sat Oct 10 21:00:00 CEST 2015, Event: ,Independente SP v Mirassol, Favorite: ,Independente SP, 7446091   size:3.52,Price: ,1.07,Mirassol, 2760854   size:3.52,Price: ,1.07,The Draw, 58805   size:3.95,Price: ,1.25,x
1.121101832, Sport: ,Basketball, Time: ,Sun Oct 11 03:00:00 CEST 2015, Time: ,Sun Oct 11 03:00:00 CEST 2015, Event: ,Chicago @ Minnesota, Favorite: ,Minnesota, 13118   size:8.21,Price: ,1.03,Chicago, 13117   size:4.11,Price: ,1.06,x
1.121011928, Sport: ,Soccer, Time: ,Sat Oct 10 20:15:00 CEST 2015, Time: ,Sat Oct 10 20:15:00 CEST 2015, Event: ,Alaves v Osasuna, Favorite: ,Alaves, 60324   size:29.0,Price: ,2.32,Osasuna, 10543   size:3.63,Price: ,3.55,The Draw, 58805   size:24.75,Price: ,3.25,ok
1.121134203, Sport: ,Basketball, Time: ,Sat Oct 10 18:30:00 CEST 2015, Time: ,Sat Oct 10 18:30:00 CEST 2015, Event: ,Oviedo v Prat Joventut, Favorite: ,Oviedo, 7736159   size:8.21,Price: ,1.03,Prat Joventut, 8832823   size:8.21,Price: ,1.03,ok
