1.120963420, Sport: ,Tennis, Time: ,Mon Sep 28 22:15:00 CEST 2015, Time: ,Mon Sep 28 22:15:00 CEST 2015, Event: ,Escobar/Gomez v Reuter/Samper-Montana, Favorite: ,Escobar/Gomez, 10252641   size:4.46,Price: ,1.06,Reuter/Samper-Montana, 10344124   size:4.46,Price: ,1.06,x
1.120952800, Sport: ,Tennis, Time: ,Tue Sep 29 01:00:00 CEST 2015, Time: ,Tue Sep 29 01:00:00 CEST 2015, Event: ,Kudla v Co Smith, Favorite: ,Denis Kudla, 4829260   size:205.06,Price: ,1.18,Connor Smith, 8732289   size:7.65,Price: ,5.7,ok
1.120939557, Sport: ,Tennis, Time: ,Tue Sep 29 09:45:00 CEST 2015, Time: ,Tue Sep 29 09:45:00 CEST 2015, Event: ,Ze Zhang v Vesely, Favorite: ,Jiri Vesely, 7032143   size:6.76,Price: ,1.45,Ze Zhang, 5021895   size:2.55,Price: ,2.94,ok
1.120939513, Sport: ,Tennis, Time: ,Tue Sep 29 14:00:00 CEST 2015, Time: ,Tue Sep 29 14:00:00 CEST 2015, Event: ,Groth/Kukushkin v Begemann/Sitak, Favorite: ,Groth/Kukushkin, 10337921   size:5.78,Price: ,1.87,Begemann/Sitak, 10299764   size:2.55,Price: ,2.1,x
1.120954983, Sport: ,Tennis, Time: ,Tue Sep 29 05:00:00 CEST 2015, Time: ,Tue Sep 29 05:00:00 CEST 2015, Event: ,Svitolina v Lepchenko, Favorite: ,Elina Svitolina, 6324464   size:210.64,Price: ,1.38,Varvara Lepchenko, 2263576   size:28.21,Price: ,3.35,ok
1.120823994, Sport: ,Basketball, Time: ,Mon Sep 28 21:45:00 CEST 2015, Time: ,Mon Sep 28 21:45:00 CEST 2015, Event: ,Nigeria (W) v Senegal (W), Favorite: ,Senegal (W), 10305570   size:19.07,Price: ,1.86,Nigeria (W), 10305565   size:2.11,Price: ,1.97,x
1.120955056, Sport: ,Soccer, Time: ,Tue Sep 29 02:10:00 CEST 2015, Time: ,Tue Sep 29 02:10:00 CEST 2015, Event: ,Estudiantes v Newells, Favorite: ,Estudiantes, 194509   size:190.97,Price: ,2.06,Newells, 194506   size:125.84,Price: ,4.7,The Draw, 58805   size:163.19,Price: ,3.15,x
1.120949275, Sport: ,Soccer, Time: ,Tue Sep 29 00:00:00 CEST 2015, Time: ,Tue Sep 29 00:00:00 CEST 2015, Event: ,Cerro Porteno v Deportivo Capiata, Favorite: ,Cerro Porteno, 335852   size:50.33,Price: ,1.56,Deportivo Capiata, 7037000   size:39.59,Price: ,6.6,The Draw, 58805   size:22.14,Price: ,4.4,ok
1.120940129, Sport: ,Tennis, Time: ,Tue Sep 29 10:30:00 CEST 2015, Time: ,Tue Sep 29 10:30:00 CEST 2015, Event: ,T Ito v J Nieminen, Favorite: ,Jarkko Nieminen, 2257304   size:74.4,Price: ,1.41,Tatsuma Ito, 3374118   size:61.24,Price: ,3.25,x
1.120963429, Sport: ,Tennis, Time: ,Mon Sep 28 22:15:00 CEST 2015, Time: ,Mon Sep 28 22:15:00 CEST 2015, Event: ,Montes/Rojas v Molteni/Romboli, Favorite: ,Molteni/Romboli, 8015292   size:5.78,Price: ,1.18,Montes/Rojas, 10344131   size:2.04,Price: ,6.4,ok
1.120963962, Sport: ,Tennis, Time: ,Tue Sep 29 08:00:00 CEST 2015, Time: ,Tue Sep 29 08:00:00 CEST 2015, Event: ,Dabrowski/Rosolska v Babos/Mladenovic, Favorite: ,Babos/Mladenovic, 8242001   size:107.2,Price: ,1.24,Dabrowski/Rosolska, 7766530   size:2.55,Price: ,3.2,x
1.120835987, Sport: ,Soccer, Time: ,Tue Sep 29 15:00:00 CEST 2015, Time: ,Tue Sep 29 15:00:00 CEST 2015, Event: ,Birmingham U21 v Cardiff U21, Favorite: ,Birmingham U21, 6813025   size:10.67,Price: ,1.1,Cardiff U21, 6820449   size:10.67,Price: ,1.1,The Draw, 58805   size:3.55,Price: ,2.04,x
1.120960215, Sport: ,Soccer, Time: ,Tue Sep 29 15:00:00 CEST 2015, Time: ,Tue Sep 29 15:00:00 CEST 2015, Event: ,Hobro IK (Res) v Randers (Res), Favorite: ,Hobro IK (Res), 8749422   size:3.55,Price: ,1.07,Randers (Res), 5372988   size:3.55,Price: ,1.07,The Draw, 58805   size:2.7,Price: ,1.25,x
1.120835821, Sport: ,Soccer, Time: ,Tue Sep 29 14:00:00 CEST 2015, Time: ,Tue Sep 29 14:00:00 CEST 2015, Event: ,Lyon U19 v Valencia U19, Favorite: ,Valencia U19, 6607335   size:14.0,Price: ,2.22,Lyon U19, 10262016   size:2.55,Price: ,2.48,The Draw, 58805   size:2.55,Price: ,2.98,x
1.120954956, Sport: ,Tennis, Time: ,Tue Sep 29 12:00:00 CEST 2015, Time: ,Tue Sep 29 12:00:00 CEST 2015, Event: ,Friedsam/Piter v Kalashnikova/Kania, Favorite: ,Kalashnikova/Kania, 8699955   size:2.55,Price: ,1.46,Friedsam/Piter, 10343288   size:2.55,Price: ,2.48,x
1.120835989, Sport: ,Soccer, Time: ,Tue Sep 29 15:00:00 CEST 2015, Time: ,Tue Sep 29 15:00:00 CEST 2015, Event: ,Nottm Forest U21 v Watford U21, Favorite: ,Nottm Forest U21, 6815552   size:3.55,Price: ,1.07,Watford U21, 10123520   size:3.55,Price: ,1.07,The Draw, 58805   size:2.56,Price: ,1.39,x
