1.121557596, Sport: ,Volleyball, Time: ,Sun Nov 08 18:00:00 CET 2015, Time: ,Sun Nov 08 18:00:00 CET 2015, Event: ,Yamamay Busto Arsizio v Imoco Volley Conegliano, Favorite: ,Conegliano, 10381555   size:1030.82,Price: ,1.01,Yamamay Busto Arsizio, 6143979   size:61.22,Price: ,1.03,x
1.121709963, Sport: ,Soccer, Time: ,Sun Nov 08 16:00:00 CET 2015, Time: ,Sun Nov 08 16:00:00 CET 2015, Event: ,Cova da Piedade v FC Barreirense, Favorite: ,Cova da Piedade, 2694163   size:4.25,Price: ,1.07,FC Barreirense, 10503410   size:4.25,Price: ,1.07,The Draw, 58805   size:7.0,Price: ,2.88,ok
1.121617867, Sport: ,Rugby Union, Time: ,Sun Nov 08 16:15:00 CET 2015, Time: ,Sun Nov 08 16:15:00 CET 2015, Event: ,Stade Francais v Clermont, Favorite: ,Stade Francais, 233949   size:2.72,Price: ,1.52,Clermont, 1275770   size:337.56,Price: ,2.48,Draw, 246289   size:22.24,Price: ,15.0,ok
1.121559428, Sport: ,Handball, Time: ,Sun Nov 08 17:00:00 CET 2015, Time: ,Sun Nov 08 17:00:00 CET 2015, Event: ,Romania v Italy, Favorite: ,Romania, 620376   size:2.8,Price: ,1.01,Italy, 624112   size:18.0,Price: ,1.02,Draw, 330157   size:18.0,Price: ,1.02,ok
1.121557489, Sport: ,Volleyball, Time: ,Sun Nov 08 18:00:00 CET 2015, Time: ,Sun Nov 08 18:00:00 CET 2015, Event: ,Bene Scandicci v VB Sudtirol Bolzano, Favorite: ,VB Sudtirol Bolzano, 10381560   size:1030.82,Price: ,1.01,Bene Scandicci, 10381550   size:176.47,Price: ,1.03,x
1.121579019, Sport: ,Soccer, Time: ,Sun Nov 08 13:00:00 CET 2015, Time: ,Sun Nov 08 13:00:00 CET 2015, Event: ,FC Helsingor v Vejle, Favorite: ,Vejle, 44103   size:188.64,Price: ,2.42,FC Helsingor, 6542368   size:25.64,Price: ,3.2,The Draw, 58805   size:97.88,Price: ,3.4,ok
1.121494704, Sport: ,American Football, Time: ,Sun Nov 08 19:00:00 CET 2015, Time: ,Sun Nov 08 19:00:00 CET 2015, Event: ,Oakland @ Pittsburgh, Favorite: ,Pittsburgh Steelers, 50208   size:23.09,Price: ,1.45,Oakland Raiders, 50212   size:86.11,Price: ,3.1,ok
1.121583871, Sport: ,Soccer, Time: ,Sun Nov 08 12:00:00 CET 2015, Time: ,Sun Nov 08 12:00:00 CET 2015, Event: ,Elche v Osasuna, Favorite: ,Elche, 309111   size:60.64,Price: ,2.36,Osasuna, 10543   size:107.99,Price: ,3.65,The Draw, 58805   size:423.28,Price: ,3.2,ok
1.121708861, Sport: ,Soccer, Time: ,Sun Nov 08 12:00:00 CET 2015, Time: ,Sun Nov 08 12:00:00 CET 2015, Event: ,Novelda CF v CD Bunol, Favorite: ,Novelda CF, 6884092   size:28.02,Price: ,1.33,CD Bunol, 10185143   size:4.83,Price: ,6.8,The Draw, 58805   size:8.75,Price: ,4.2,x
1.121629735, Sport: ,Soccer, Time: ,Sun Nov 08 16:00:00 CET 2015, Time: ,Sun Nov 08 16:00:00 CET 2015, Event: ,Farense v Guimaraes B, Favorite: ,Farense, 48788   size:5.0,Price: ,2.5,Guimaraes B, 6563316   size:34.37,Price: ,3.2,The Draw, 58805   size:17.41,Price: ,3.2,ok
1.121559421, Sport: ,Handball, Time: ,Sun Nov 08 14:00:00 CET 2015, Time: ,Sun Nov 08 14:00:00 CET 2015, Event: ,Greece v Cyprus, Favorite: ,Greece, 624110   size:2.8,Price: ,1.01,Cyprus, 3510837   size:18.0,Price: ,1.02,Draw, 330157   size:18.0,Price: ,1.02,ok
1.121707535, Sport: ,Soccer, Time: ,Sun Nov 08 12:30:00 CET 2015, Time: ,Sun Nov 08 12:30:00 CET 2015, Event: ,Myanmar (W) v TP Ho Chi Minh (W), Favorite: ,Myanmar (W), 6652279   size:4.25,Price: ,1.07,TP Ho Chi Minh (W), 7335391   size:4.25,Price: ,1.07,The Draw, 58805   size:7.0,Price: ,2.88,x
1.121557481, Sport: ,Volleyball, Time: ,Sun Nov 08 19:00:00 CET 2015, Time: ,Sun Nov 08 19:00:00 CET 2015, Event: ,PAOK Thessaloniki v Aris Marmouris, Favorite: ,PAOK Thessaloniki, 1359847   size:3.0,Price: ,1.02,Aris Marmouris, 2971576   size:19.99,Price: ,1.75,ok
1.121646293, Sport: ,Basketball, Time: ,Sun Nov 08 17:00:00 CET 2015, Time: ,Sun Nov 08 17:00:00 CET 2015, Event: ,Tubingen v Brose Baskets, Favorite: ,Brose Baskets, 2158509   size:2.55,Price: ,1.13,Tubingen, 1371897   size:9.57,Price: ,6.8,ok
1.121709908, Sport: ,Soccer, Time: ,Sun Nov 08 16:00:00 CET 2015, Time: ,Sun Nov 08 16:00:00 CET 2015, Event: ,Pumas UNAM U20 v Queretaro U20, Favorite: ,Pumas UNAM U20, 6106174   size:3.86,Price: ,1.25,Queretaro U20, 5253684   size:3.47,Price: ,1.38,The Draw, 58805   size:7.0,Price: ,2.88,ok
1.121577261, Sport: ,Soccer, Time: ,Sun Nov 08 20:00:00 CET 2015, Time: ,Sun Nov 08 20:00:00 CET 2015, Event: ,Figueirense v Atletico MG, Favorite: ,Atletico MG, 361329   size:348.82,Price: ,2.3,Figueirense, 198125   size:83.69,Price: ,3.45,The Draw, 58805   size:202.15,Price: ,3.45,ok
1.121712087, Sport: ,Soccer, Time: ,Sun Nov 08 16:15:00 CET 2015, Time: ,Sun Nov 08 16:15:00 CET 2015, Event: ,La Baneza FC v SD Atletico Tordesillas, Favorite: ,La Baneza FC, 8077014   size:4.25,Price: ,1.07,SD Atletico Tordesillas, 7794974   size:4.25,Price: ,1.07,The Draw, 58805   size:7.0,Price: ,2.88,ok
1.121717777, Sport: ,Tennis, Time: ,Sun Nov 08 11:00:00 CET 2015, Time: ,Sun Nov 08 11:00:00 CET 2015, Event: ,T Groll v Rochette, Favorite: ,Laurent Rochette, 6603921   size:2.55,Price: ,1.1,Teri Groll, 8796105   size:2.55,Price: ,1.18,ok
