1.121499404, Sport: ,Tennis, Time: ,Thu Oct 29 03:30:00 CET 2015, Time: ,Thu Oct 29 03:30:00 CET 2015, Event: ,X Han v C Liu, Favorite: ,Chang Liu, 7656823   size:3.55,Price: ,1.78,Xinyun Han, 3172285   size:13.51,Price: ,2.04,x
1.121495288, Sport: ,Soccer, Time: ,Wed Oct 28 20:45:00 CET 2015, Time: ,Wed Oct 28 20:45:00 CET 2015, Event: ,South Park FC v Chatham Town FC, Favorite: ,South Park FC, 10281321   size:4.94,Price: ,1.12,Chatham Town FC, 8377424   size:5.64,Price: ,4.2,The Draw, 58805   size:3.82,Price: ,2.9,x
1.121382360, Sport: ,Soccer, Time: ,Thu Oct 29 00:00:00 CET 2015, Time: ,Thu Oct 29 00:00:00 CET 2015, Event: ,CD Atletico Marte v CD UES, Favorite: ,CD Atletico Marte, 8459079   size:2.55,Price: ,1.96,CD UES, 8464811   size:2.55,Price: ,3.55,The Draw, 58805   size:2.55,Price: ,3.3,x
1.121510886, Sport: ,Basketball, Time: ,Thu Oct 29 01:00:00 CET 2015, Time: ,Thu Oct 29 01:00:00 CET 2015, Event: ,New York @ Milwaukee, Favorite: ,Milwaukee, 13115   size:96.0,Price: ,1.42,New York, 13106   size:70.99,Price: ,3.2,x
1.121497620, Sport: ,Soccer, Time: ,Wed Oct 28 21:00:00 CET 2015, Time: ,Wed Oct 28 21:00:00 CET 2015, Event: ,UD Montana Alta (W) v CD Femarguin (W), Favorite: ,CD Femarguin (W), 10293020   size:137.07,Price: ,1.06,UD Montana Alta (W), 10450193   size:10.0,Price: ,5.0,The Draw, 58805   size:11.54,Price: ,4.0,ok
1.121498396, Sport: ,Soccer, Time: ,Wed Oct 28 20:45:00 CET 2015, Time: ,Wed Oct 28 20:45:00 CET 2015, Event: ,UE Sant Andreu v UE Rubi, Favorite: ,UE Sant Andreu, 10381924   size:6.6,Price: ,2.18,UE Rubi, 6929307   size:7.79,Price: ,2.78,The Draw, 58805   size:7.73,Price: ,3.45,ok
1.121515138, Sport: ,Tennis, Time: ,Thu Oct 29 00:00:00 CET 2015, Time: ,Thu Oct 29 00:00:00 CET 2015, Event: ,Dutra Silva v Coppejans, Favorite: ,Rogerio Dutra Silva, 2301068   size:68.01,Price: ,1.69,Kimmer Coppejans, 7364095   size:2.21,Price: ,2.26,ok
1.121499409, Sport: ,Tennis, Time: ,Thu Oct 29 03:30:00 CET 2015, Time: ,Thu Oct 29 03:30:00 CET 2015, Event: ,Weintraub v Moriya, Favorite: ,Amir Weintraub, 5822663   size:2.55,Price: ,1.58,Hiroki Moriya, 5858055   size:15.62,Price: ,2.6,x
1.121363844, Sport: ,Soccer, Time: ,Wed Oct 28 22:00:00 CET 2015, Time: ,Wed Oct 28 22:00:00 CET 2015, Event: ,Juventud Independiente v Sonsonate FC, Favorite: ,Juventud Independiente, 8517476   size:3.98,Price: ,2.52,Sonsonate FC, 10147076   size:2.25,Price: ,2.8,The Draw, 58805   size:2.0,Price: ,3.1,ok
1.121499405, Sport: ,Tennis, Time: ,Thu Oct 29 05:15:00 CET 2015, Time: ,Thu Oct 29 05:15:00 CET 2015, Event: ,Y Bai v Zhang, Favorite: ,Yan Bai, 3357363   size:197.62,Price: ,1.72,Zhizhen Zhang, 9628959   size:2.55,Price: ,2.18,ok
1.121377456, Sport: ,Soccer, Time: ,Wed Oct 28 20:45:00 CET 2015, Time: ,Wed Oct 28 20:45:00 CET 2015, Event: ,Torino v Genoa, Favorite: ,Torino, 44503   size:5177.13,Price: ,2.08,Genoa, 60310   size:2948.46,Price: ,4.2,The Draw, 58805   size:760.34,Price: ,3.5,x
1.121490789, Sport: ,Basketball, Time: ,Wed Oct 28 20:00:00 CET 2015, Time: ,Wed Oct 28 20:00:00 CET 2015, Event: ,Ludwigsburg v Reggio Emilia, Favorite: ,Reggio Emilia, 958950   size:400.0,Price: ,1.2,Ludwigsburg, 689542   size:32.0,Price: ,4.1,ok
