1.119121219, Sport: ,Basketball, Time: ,Mon Jun 15 19:00:00 CEST 2015, Time: ,Mon Jun 15 19:00:00 CEST 2015, Event: ,Cayman Islands v Virgin Islands, Favorite: ,Cayman Islands, 9582140   size:5.54,Price: ,1.03,Virgin Islands, 2512082   size:5.0,Price: ,1.04,x
1.119130173, Sport: ,Baseball, Time: ,Tue Jun 16 01:10:00 CEST 2015, Time: ,Tue Jun 16 01:10:00 CEST 2015, Event: ,ATL @ BOS, Favorite: ,Boston (R Porcello), 9385112   size:284.0,Price: ,1.59,Atlanta (W Perez), 9502348   size:94.52,Price: ,2.58,x
1.119130197, Sport: ,Baseball, Time: ,Tue Jun 16 01:08:00 CEST 2015, Time: ,Tue Jun 16 01:08:00 CEST 2015, Event: ,CIN @ DET, Favorite: ,Detroit (A Sanchez), 6546455   size:2.87,Price: ,1.55,Cincinnati (J Moscot), 9564926   size:298.0,Price: ,2.72,ok
1.119155943, Sport: ,Basketball, Time: ,Tue Jun 16 01:30:00 CEST 2015, Time: ,Tue Jun 16 01:30:00 CEST 2015, Event: ,Obras v Quilmes, Favorite: ,Obras, 6269780   size:193.27,Price: ,1.23,Quilmes, 7753472   size:17.78,Price: ,4.5,x
1.119136212, Sport: ,Rugby Union, Time: ,Mon Jun 15 20:30:00 CEST 2015, Time: ,Mon Jun 15 20:30:00 CEST 2015, Event: ,South Africa U20 v England U20, Favorite: ,South Africa U20, 7323825   size:2.69,Price: ,1.49,England U20, 2296904   size:11.25,Price: ,3.2,Draw, 246289   size:11.38,Price: ,22.0,x
1.119130253, Sport: ,Baseball, Time: ,Tue Jun 16 02:10:00 CEST 2015, Time: ,Tue Jun 16 02:10:00 CEST 2015, Event: ,COL @ HOU, Favorite: ,Houston (D Keuchel), 6453422   size:342.67,Price: ,1.52,Colorado (C Bettis), 7545057   size:109.19,Price: ,2.84,ok
1.119130189, Sport: ,Baseball, Time: ,Tue Jun 16 01:05:00 CEST 2015, Time: ,Tue Jun 16 01:05:00 CEST 2015, Event: ,CWS @ PIT, Favorite: ,Pittsburgh (F Liriano), 7267454   size:611.2,Price: ,1.61,Chicago White Sox (C Rodon), 9469946   size:464.99,Price: ,2.48,ok
1.119130049, Sport: ,Ice Hockey, Time: ,Tue Jun 16 02:05:00 CEST 2015, Time: ,Tue Jun 16 02:05:00 CEST 2015, Event: ,Tampa Bay @ Chicago, Favorite: ,Chicago, 2109831   size:266.0,Price: ,2.14,Tampa Bay, 2109715   size:134.06,Price: ,3.55,Tie, 60104   size:107.65,Price: ,3.8,ok
1.118847894, Sport: ,Basketball, Time: ,Mon Jun 15 19:30:00 CEST 2015, Time: ,Mon Jun 15 19:30:00 CEST 2015, Event: ,Czech Republic (W) v Romania (W), Favorite: ,Czech Republic (W), 6469566   size:6.1,Price: ,1.19,Romania (W), 6427228   size:71.1,Price: ,5.3,ok
1.118847891, Sport: ,Basketball, Time: ,Mon Jun 15 19:00:00 CEST 2015, Time: ,Mon Jun 15 19:00:00 CEST 2015, Event: ,Slovak Republic (W) v Hungary (W), Favorite: ,Hungary (W), 6427239   size:5.36,Price: ,1.66,Slovak Republic (W), 6427245   size:266.03,Price: ,2.34,ok
1.119130269, Sport: ,Baseball, Time: ,Tue Jun 16 04:05:00 CEST 2015, Time: ,Tue Jun 16 04:05:00 CEST 2015, Event: ,ARI @ LAA, Favorite: ,LA Angels (J Weaver), 2412538   size:131.72,Price: ,1.71,Arizona (R Ray), 9458902   size:105.54,Price: ,2.36,x
1.119130205, Sport: ,Baseball, Time: ,Tue Jun 16 01:10:00 CEST 2015, Time: ,Tue Jun 16 01:10:00 CEST 2015, Event: ,TOR @ NYM, Favorite: ,NY Mets (N Syndergaard), 9477745   size:91.52,Price: ,1.92,Toronto (M Buehrle), 7177273   size:498.99,Price: ,2.02,ok
1.119136208, Sport: ,Rugby Union, Time: ,Mon Jun 15 20:30:00 CEST 2015, Time: ,Mon Jun 15 20:30:00 CEST 2015, Event: ,Ireland U20 v Wales U20, Favorite: ,Wales U20, 2818059   size:4.17,Price: ,1.92,Ireland U20, 2880315   size:5.48,Price: ,2.2,Draw, 246289   size:9.28,Price: ,22.0,ok
1.119130229, Sport: ,Baseball, Time: ,Tue Jun 16 02:05:00 CEST 2015, Time: ,Tue Jun 16 02:05:00 CEST 2015, Event: ,LAD @ TEX, Favorite: ,Texas (Y Gallardo), 9378796   size:207.91,Price: ,1.95,LA Dodgers (C Frias), 8819960   size:5.0,Price: ,1.99,ok
1.119124655, Sport: ,Basketball, Time: ,Mon Jun 15 20:30:00 CEST 2015, Time: ,Mon Jun 15 20:30:00 CEST 2015, Event: ,Antibes v Denain, Favorite: ,Antibes, 5467755   size:743.22,Price: ,1.55,Denain, 6719010   size:3.12,Price: ,2.56,ok
1.119121222, Sport: ,Basketball, Time: ,Mon Jun 15 21:15:00 CEST 2015, Time: ,Mon Jun 15 21:15:00 CEST 2015, Event: ,Bahamas v Bermuda, Favorite: ,Bermuda, 9582141   size:5.0,Price: ,1.04,x
