1.121187683, Sport: ,Tennis, Time: ,Sat Oct 10 19:39:00 CEST 2015, Time: ,Sat Oct 10 19:39:00 CEST 2015, Event: ,Bagnis v Coppejans, Favorite: ,Kimmer Coppejans, 7364095   size:25.55,Price: ,1.93,Facundo Bagnis, 4520808   size:2.54,Price: ,2.0,ok
1.121102205, Sport: ,Soccer, Time: ,Sat Oct 10 20:00:00 CEST 2015, Time: ,Sat Oct 10 20:00:00 CEST 2015, Event: ,Los Andes v Central Cordoba, Favorite: ,Central Cordoba, 5628510   size:250.0,Price: ,2.04,Los Andes, 5564448   size:28.0,Price: ,4.5,The Draw, 58805   size:22.0,Price: ,3.25,x
1.121039189, Sport: ,Soccer, Time: ,Sun Oct 11 07:00:00 CEST 2015, Time: ,Sun Oct 11 07:00:00 CEST 2015, Event: ,Kashima v Kobe, Favorite: ,Kashima, 441079   size:4.78,Price: ,1.78,Kobe, 441082   size:277.0,Price: ,4.8,The Draw, 58805   size:101.2,Price: ,4.0,ok
1.121187928, Sport: ,Tennis, Time: ,Sun Oct 11 20:45:00 CEST 2015, Time: ,Sun Oct 11 20:45:00 CEST 2015, Event: ,De Loore v Cerutti, Favorite: ,Joris De Loore, 8622401   size:121.69,Price: ,1.06,Pablo Cerutti, 10279338   size:2.69,Price: ,9.0,ok
1.121187807, Sport: ,Tennis, Time: ,Sun Oct 11 11:00:00 CEST 2015, Time: ,Sun Oct 11 11:00:00 CEST 2015, Event: ,Panfil v Chakrouni, Favorite: ,Grzegorz Panfil, 7412916   size:983.06,Price: ,1.18,Ayoub Chakrouni, 7185193   size:13.47,Price: ,3.0,ok
1.121134082, Sport: ,Basketball, Time: ,Sun Oct 11 12:00:00 CEST 2015, Time: ,Sun Oct 11 12:00:00 CEST 2015, Event: ,Brindisi v Bologna, Favorite: ,Brindisi, 6697864   size:2.55,Price: ,1.28,Bologna, 978665   size:11.41,Price: ,3.95,ok
1.121085524, Sport: ,Soccer, Time: ,Sun Oct 11 13:00:00 CEST 2015, Time: ,Sun Oct 11 13:00:00 CEST 2015, Event: ,Kamaz v Baikal Irkutsk, Favorite: ,Kamaz, 2460921   size:2.55,Price: ,2.44,Baikal Irkutsk, 9836178   size:2.55,Price: ,3.2,The Draw, 58805   size:3.09,Price: ,3.25,x
1.121187926, Sport: ,Tennis, Time: ,Sun Oct 11 15:30:00 CEST 2015, Time: ,Sun Oct 11 15:30:00 CEST 2015, Event: ,Dotti v Pini, Favorite: ,Sebastian Exequiel Pini, 8908207   size:19.4,Price: ,1.01,Oscar Francisco Dotti, 9633781   size:2.69,Price: ,26.0,ok
1.121114570, Sport: ,Ice Hockey, Time: ,Sun Oct 11 01:05:00 CEST 2015, Time: ,Sun Oct 11 01:05:00 CEST 2015, Event: ,Columbus @ NY Rangers, Favorite: ,NY Rangers, 60103   size:316.0,Price: ,2.08,Columbus, 2114347   size:6.86,Price: ,3.3,Tie, 60104   size:323.01,Price: ,4.0,ok
1.121114590, Sport: ,Ice Hockey, Time: ,Sun Oct 11 01:05:00 CEST 2015, Time: ,Sun Oct 11 01:05:00 CEST 2015, Event: ,Edmonton @ Nashville, Favorite: ,Nashville, 2109832   size:2.65,Price: ,1.94,Edmonton, 2109967   size:95.99,Price: ,3.7,Tie, 60104   size:308.47,Price: ,4.1,ok
