1.119480053, Sport: ,Tennis, Time: ,Mon Jul 13 16:00:00 CEST 2015, Time: ,Mon Jul 13 16:00:00 CEST 2015, Event: ,Cristian/Ruse v Bogdan/Cadantu, Favorite: ,Bogdan/Cadantu, 7076205   size:5.13,Price: ,1.2,Cristian/Ruse, 9946224   size:7.22,Price: ,3.85,ok
1.119470002, Sport: ,Tennis, Time: ,Mon Jul 13 13:30:00 CEST 2015, Time: ,Mon Jul 13 13:30:00 CEST 2015, Event: ,Cervantes v Albot, Favorite: ,Inigo Cervantes, 6297238   size:8.57,Price: ,1.42,Radu Albot, 6603898   size:4.64,Price: ,3.25,x
1.119469990, Sport: ,Tennis, Time: ,Mon Jul 13 13:45:00 CEST 2015, Time: ,Mon Jul 13 13:45:00 CEST 2015, Event: ,Munoz-De La Nava v Krstin, Favorite: ,Daniel Munoz-de la Nava, 8259000   size:2.81,Price: ,1.32,Pedja Krstin, 8257862   size:32.92,Price: ,3.4,x
1.119376341, Sport: ,Cricket, Time: ,Mon Jul 13 12:00:00 CEST 2015, Time: ,Mon Jul 13 12:00:00 CEST 2015, Event: ,Surrey v Kent, Favorite: ,Surrey, 424676   size:2.79,Price: ,2.2,The Draw, 60443   size:2.54,Price: ,2.36,Kent, 5901   size:72.78,Price: ,4.0,ok
1.119470027, Sport: ,Tennis, Time: ,Mon Jul 13 17:00:00 CEST 2015, Time: ,Mon Jul 13 17:00:00 CEST 2015, Event: ,Ymer v Souza, Favorite: ,Elias Ymer, 7414305   size:80.12,Price: ,1.79,Joao Souza, 4490590   size:4.98,Price: ,2.14,ok
1.119481182, Sport: ,Tennis, Time: ,Tue Jul 14 05:00:00 CEST 2015, Time: ,Tue Jul 14 05:00:00 CEST 2015, Event: ,Luangnam v Cheapchandej, Favorite: ,Nudnida Luangnam, 2301147   size:84.36,Price: ,1.03,Patcharin Cheapchandej, 9629951   size:7.77,Price: ,1.64,x
1.119470006, Sport: ,Tennis, Time: ,Mon Jul 13 12:00:00 CEST 2015, Time: ,Mon Jul 13 12:00:00 CEST 2015, Event: ,Lamasine v Pavlasek, Favorite: ,Adam Pavlasek, 8494652   size:13.91,Price: ,1.3,Tristan Lamasine, 8428332   size:30.27,Price: ,3.75,ok
1.119368916, Sport: ,Soccer, Time: ,Mon Jul 13 18:00:00 CEST 2015, Time: ,Mon Jul 13 18:00:00 CEST 2015, Event: ,Paide Linnameeskond v Sillamae Kalev, Favorite: ,Sillamae Kalev, 4837259   size:83.64,Price: ,1.42,The Draw, 58805   size:3.54,Price: ,5.0,Paide Linnameeskond, 5407316   size:19.2,Price: ,7.2,x
1.119412420, Sport: ,Soccer, Time: ,Mon Jul 13 20:00:00 CEST 2015, Time: ,Mon Jul 13 20:00:00 CEST 2015, Event: ,Chacarita v Los Andes, Favorite: ,Chacarita, 192084   size:7.85,Price: ,2.54,The Draw, 58805   size:4.98,Price: ,2.94,Los Andes, 5564448   size:56.2,Price: ,3.3,x
1.119470007, Sport: ,Tennis, Time: ,Mon Jul 13 15:30:00 CEST 2015, Time: ,Mon Jul 13 15:30:00 CEST 2015, Event: ,Klec v Riba, Favorite: ,Pere Riba, 2489421   size:17.29,Price: ,1.16,Ivo Klec, 2743820   size:15.91,Price: ,5.1,ok
