1.121789855, Sport: ,Tennis, Time: ,Sat Nov 14 14:30:00 CET 2015, Time: ,Sat Nov 14 14:30:00 CET 2015, Event: ,Gasparyan/Kalashnikova v Kuncikova/Stuchla, Favorite: ,Gasparyan/Kalashnikova, 10507622   size:6.04,Price: ,1.42,Kuncikova/Stuchla, 9493903   size:7.98,Price: ,2.66,ok
1.121675724, Sport: ,Soccer, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,Rot-Weiss Ahlen v Viktoria Koln, Favorite: ,Viktoria Koln, 6542379   size:283.03,Price: ,1.59,Rot-Weiss Ahlen, 2486895   size:5.0,Price: ,6.6,The Draw, 58805   size:31.9,Price: ,4.2,x
1.121800977, Sport: ,Soccer, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Faroe Islands U19 v Switzerland U19, Favorite: ,Switzerland U19, 865346   size:10.22,Price: ,1.14,Faroe Islands U19, 3389580   size:66.9,Price: ,15.0,The Draw, 58805   size:9.13,Price: ,8.6,ok
1.121771671, Sport: ,Basketball, Time: ,Sat Nov 14 17:00:00 CET 2015, Time: ,Sat Nov 14 17:00:00 CET 2015, Event: ,Spartak Pleven v Beroe, Favorite: ,Spartak Pleven, 7753535   size:8.36,Price: ,1.04,Beroe, 7753528   size:8.36,Price: ,1.04,x
1.121754852, Sport: ,Ice Hockey, Time: ,Sat Nov 14 16:00:00 CET 2015, Time: ,Sat Nov 14 16:00:00 CET 2015, Event: ,Hokki v LeKi, Favorite: ,Hokki, 275251   size:4.37,Price: ,1.49,Leki, 4196564   size:6.04,Price: ,2.4,Tie, 60104   size:4.38,Price: ,5.1,ok
1.121726383, Sport: ,Rugby Union, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,Oyonnax v Ulster, Favorite: ,Ulster, 50107   size:29.18,Price: ,1.67,Oyonnax, 7431712   size:19.53,Price: ,2.72,Draw, 246289   size:22.0,Price: ,21.0,x
1.121819691, Sport: ,Tennis, Time: ,Sat Nov 14 11:00:00 CET 2015, Time: ,Sat Nov 14 11:00:00 CET 2015, Event: ,Eleni Christofi v Nina Alibalic, Favorite: ,Nina Alibalic, 9629314   size:3.0,Price: ,1.07,Eleni Christofi, 10483860   size:3.0,Price: ,1.32,ok
1.121675834, Sport: ,Soccer, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,Port FC v Sisaket, Favorite: ,Port FC, 9255164   size:3.75,Price: ,2.3,Sisaket, 7619553   size:4.33,Price: ,2.76,The Draw, 58805   size:4.16,Price: ,3.05,ok
1.121797140, Sport: ,Soccer, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,US Chaouia v HB Chelghoum Laid, Favorite: ,US Chaouia, 8210746   size:11.15,Price: ,1.1,HB Chelghoum Laid, 10520237   size:11.15,Price: ,1.1,The Draw, 58805   size:11.07,Price: ,2.88,x
1.121676926, Sport: ,Soccer, Time: ,Sat Nov 14 10:15:00 CET 2015, Time: ,Sat Nov 14 10:15:00 CET 2015, Event: ,Pardubice v MFK Karvina, Favorite: ,Pardubice, 4940265   size:7.78,Price: ,2.44,MFK Karvina, 3358864   size:3.91,Price: ,3.15,The Draw, 58805   size:2.83,Price: ,3.2,ok
1.121771686, Sport: ,Basketball, Time: ,Sat Nov 14 17:30:00 CET 2015, Time: ,Sat Nov 14 17:30:00 CET 2015, Event: ,USK Praha v NH Ostrava, Favorite: ,Usk Praha, 6851155   size:6.04,Price: ,1.6,NH Ostrava, 7758595   size:6.04,Price: ,1.61,ok
1.121791031, Sport: ,Soccer, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Gloria Buzau v Bucovina Pojorata, Favorite: ,Gloria Buzau, 2487031   size:72.08,Price: ,2.44,Bucovina Pojorata, 10238197   size:7.78,Price: ,2.88,The Draw, 58805   size:5.36,Price: ,3.6,ok
1.121678091, Sport: ,Soccer, Time: ,Sat Nov 14 16:00:00 CET 2015, Time: ,Sat Nov 14 16:00:00 CET 2015, Event: ,Concord Rangers v Basingstoke, Favorite: ,Concord Rangers, 2870971   size:4.2,Price: ,2.06,Basingstoke, 2159190   size:2.54,Price: ,3.2,The Draw, 58805   size:2.04,Price: ,3.55,ok
1.121771684, Sport: ,Basketball, Time: ,Sat Nov 14 18:00:00 CET 2015, Time: ,Sat Nov 14 18:00:00 CET 2015, Event: ,Decin v Svitavy, Favorite: ,Decin, 7758593   size:15.82,Price: ,1.11,Svitavy, 7758631   size:8.46,Price: ,6.0,ok
1.121771685, Sport: ,Basketball, Time: ,Sat Nov 14 18:00:00 CET 2015, Time: ,Sat Nov 14 18:00:00 CET 2015, Event: ,Opava v Usti nad Labem, Favorite: ,Opava, 7758596   size:6.04,Price: ,1.17,Usti Nad Labem, 7758609   size:4.76,Price: ,5.4,ok
1.121833577, Sport: ,Tennis, Time: ,Sat Nov 14 14:30:00 CET 2015, Time: ,Sat Nov 14 14:30:00 CET 2015, Event: ,Beran v Chiudinelli, Favorite: ,Marco Chiudinelli, 2263632   size:6.04,Price: ,1.12,Martin Beran, 9323649   size:70.78,Price: ,4.3,ok
1.121766650, Sport: ,Basketball, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Ulsan Mobis Phoebus v Seoul Knights, Favorite: ,Ulsan Mobis Phoebus, 8998222   size:7.24,Price: ,1.23,Seoul Knights, 7954787   size:61.39,Price: ,4.6,ok
1.121678099, Sport: ,Soccer, Time: ,Sat Nov 14 16:00:00 CET 2015, Time: ,Sat Nov 14 16:00:00 CET 2015, Event: ,Bishops Stortford v Sutton Utd, Favorite: ,Bishops Stortford, 1065031   size:9.48,Price: ,2.4,Sutton Utd, 1034133   size:6.32,Price: ,3.15,The Draw, 58805   size:2.54,Price: ,3.4,x
1.121678095, Sport: ,Soccer, Time: ,Sat Nov 14 16:00:00 CET 2015, Time: ,Sat Nov 14 16:00:00 CET 2015, Event: ,Dartford v Maidstone Utd, Favorite: ,Maidstone Utd, 6555176   size:14.76,Price: ,2.4,Dartford, 3491521   size:11.17,Price: ,3.05,The Draw, 58805   size:2.2,Price: ,3.55,x
1.121790865, Sport: ,Soccer, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Olimpia Satu Mare v Metalul Resita, Favorite: ,Olimpia Satu Mare, 6681485   size:332.69,Price: ,1.34,Metalul Resita, 7635995   size:6.1,Price: ,9.2,The Draw, 58805   size:10.82,Price: ,5.6,x
1.121675147, Sport: ,Soccer, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,Augsburg II v Nurnberg II, Favorite: ,Nurnberg II, 5576963   size:5.0,Price: ,2.3,Augsburg II, 6516845   size:9.54,Price: ,3.15,The Draw, 58805   size:7.0,Price: ,3.8,x
1.121726392, Sport: ,Rugby Union, Time: ,Sat Nov 14 16:15:00 CET 2015, Time: ,Sat Nov 14 16:15:00 CET 2015, Event: ,Racing Metro v Glasgow, Favorite: ,Racing Metro, 4121782   size:8.77,Price: ,1.35,Glasgow, 50108   size:2.72,Price: ,3.45,Draw, 246289   size:25.55,Price: ,26.0,x
1.121833572, Sport: ,Tennis, Time: ,Sat Nov 14 10:30:00 CET 2015, Time: ,Sat Nov 14 10:30:00 CET 2015, Event: ,Ocleppo v Celebic, Favorite: ,Ljubomir Celebic, 8979348   size:5.08,Price: ,1.28,Julian Ocleppo, 9630560   size:2.06,Price: ,3.15,ok
1.121798582, Sport: ,Soccer, Time: ,Sat Nov 14 14:30:00 CET 2015, Time: ,Sat Nov 14 14:30:00 CET 2015, Event: ,Alessandria U19 v AS Cuneo Calcio U19, Favorite: ,Alessandria U19, 10520336   size:11.15,Price: ,1.1,AS Cuneo Calcio U19, 10520338   size:11.15,Price: ,1.1,The Draw, 58805   size:5.21,Price: ,2.9,ok
1.121766656, Sport: ,Basketball, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Aomori v Saitama, Favorite: ,Aomori, 7759170   size:1061.65,Price: ,1.04,Saitama, 6736963   size:16.59,Price: ,11.5,ok
1.121833576, Sport: ,Tennis, Time: ,Sat Nov 14 14:30:00 CET 2015, Time: ,Sat Nov 14 14:30:00 CET 2015, Event: ,M Ymer v Grandon Diaz, Favorite: ,Mikael Ymer, 8679651   size:8.36,Price: ,1.04,Cristobal Grandon Diaz, 9623951   size:54.44,Price: ,6.2,ok
1.121742174, Sport: ,Soccer, Time: ,Sat Nov 14 18:00:00 CET 2015, Time: ,Sat Nov 14 18:00:00 CET 2015, Event: ,Bytovia Bytow v GKS Belchatow, Favorite: ,Bytovia Bytow, 5876553   size:5.0,Price: ,2.08,GKS Belchatow, 1209554   size:6.51,Price: ,4.2,The Draw, 58805   size:3.34,Price: ,3.35,x
1.121767198, Sport: ,Ice Hockey, Time: ,Sat Nov 14 16:00:00 CET 2015, Time: ,Sat Nov 14 16:00:00 CET 2015, Event: ,Stjernen v Lorenskog, Favorite: ,Stjernen, 61434   size:8.36,Price: ,1.04,Lorenskog, 61424   size:8.36,Price: ,1.04,Tie, 60104   size:3.0,Price: ,6.2,x
1.121818191, Sport: ,Tennis, Time: ,Sat Nov 14 12:00:00 CET 2015, Time: ,Sat Nov 14 12:00:00 CET 2015, Event: ,Cagla Buyukakcay v Klara Koukalova, Favorite: ,Klara Koukalova, 8445700   size:83.35,Price: ,1.46,Cagla Buyukakcay, 3051579   size:44.6,Price: ,3.05,x
1.121766663, Sport: ,Basketball, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Shiga v Hamamatsu, Favorite: ,Hamamatsu, 6718617   size:14.86,Price: ,1.5,Shiga, 6737025   size:17.65,Price: ,2.48,ok
1.121818193, Sport: ,Tennis, Time: ,Sat Nov 14 09:30:00 CET 2015, Time: ,Sat Nov 14 09:30:00 CET 2015, Event: ,N Osaka v Hibino, Favorite: ,Nao Hibino, 7683152   size:379.55,Price: ,1.58,Naomi Osaka, 7640637   size:245.66,Price: ,2.62,x
1.121766660, Sport: ,Basketball, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Nara v Kanazawa Samurais, Favorite: ,Kanazawa Samurais, 10370638   size:4.69,Price: ,1.49,Nara, 7759193   size:8.66,Price: ,2.48,ok
1.121743020, Sport: ,Soccer, Time: ,Sat Nov 14 15:00:00 CET 2015, Time: ,Sat Nov 14 15:00:00 CET 2015, Event: ,Stomil Olsztyn v Miedz Legnica, Favorite: ,Miedz Legnica, 4935893   size:19.95,Price: ,2.56,Stomil Olsztyn, 7449117   size:104.22,Price: ,3.0,The Draw, 58805   size:53.52,Price: ,3.3,ok
1.121766661, Sport: ,Basketball, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Niigata v Fukushima, Favorite: ,Niigata, 6718619   size:6.04,Price: ,1.23,Fukushima, 8832819   size:6.04,Price: ,3.85,ok
1.121790534, Sport: ,Soccer, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Uni Cluj v Targoviste, Favorite: ,Uni Cluj, 2491792   size:65.57,Price: ,2.42,Targoviste, 6803067   size:2.9,Price: ,2.94,The Draw, 58805   size:9.16,Price: ,3.75,ok
