1.121985841, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,Murcia v Real Jaen, Favorite: ,Murcia, 68244   size:8.08,Price: ,1.7,Real Jaen, 3303613   size:2.0,Price: ,6.0,The Draw, 58805   size:2.55,Price: ,3.55,ok
1.121985844, Sport: ,Basketball, Time: ,Sun Nov 29 12:35:00 CET 2015, Time: ,Sun Nov 29 12:35:00 CET 2015, Event: ,Jiangsu Dragons v Bayi Rockets, Favorite: ,Jiangsu Dragons, 8926904   size:2.83,Price: ,1.03,Bayi Rockets, 8926902   size:6.13,Price: ,1.35,ok
1.121985966, Sport: ,Basketball, Time: ,Sat Nov 28 20:30:00 CET 2015, Time: ,Sat Nov 28 20:30:00 CET 2015, Event: ,Mitteldeutscher v Tubingen, Favorite: ,Tubingen, 1371897   size:106.0,Price: ,1.6,Mitteldeutscher, 4228382   size:761.46,Price: ,2.2,ok
1.121985847, Sport: ,Basketball, Time: ,Sun Nov 29 12:35:00 CET 2015, Time: ,Sun Nov 29 12:35:00 CET 2015, Event: ,Liaoning v Tianjin, Favorite: ,Liaoning, 8926912   size:2.83,Price: ,1.03,Tianjin, 8926906   size:6.13,Price: ,1.16,ok
1.121985605, Sport: ,Soccer, Time: ,Sat Nov 28 21:00:00 CET 2015, Time: ,Sat Nov 28 21:00:00 CET 2015, Event: ,Zamora FC Barinas II v Atletico Guanare, Favorite: ,Zamora FC Barinas II, 10450289   size:2.06,Price: ,1.79,Atletico Guanare, 10429524   size:6.93,Price: ,3.8,The Draw, 58805   size:8.22,Price: ,3.2,ok
1.121954087, Sport: ,Ice Hockey, Time: ,Sun Nov 29 04:05:00 CET 2015, Time: ,Sun Nov 29 04:05:00 CET 2015, Event: ,Winnipeg @ Colorado, Favorite: ,Colorado, 2108117   size:131.39,Price: ,2.34,Winnipeg, 5866888   size:544.0,Price: ,2.76,Tie, 60104   size:102.38,Price: ,4.1,ok
1.121990190, Sport: ,Ice Hockey, Time: ,Sun Nov 29 12:30:00 CET 2015, Time: ,Sun Nov 29 12:30:00 CET 2015, Event: ,Barys v Vityaz, Favorite: ,Barys, 3328562   size:61.99,Price: ,1.8,Vityaz, 2551763   size:65.99,Price: ,3.75,Tie, 60104   size:65.99,Price: ,4.6,ok
1.121922242, Sport: ,Soccer, Time: ,Sun Nov 29 15:00:00 CET 2015, Time: ,Sun Nov 29 15:00:00 CET 2015, Event: ,Wohlen v Aarau, Favorite: ,Wohlen, 457844   size:3.85,Price: ,2.68,Aarau, 65777   size:10.73,Price: ,2.8,The Draw, 58805   size:25.84,Price: ,3.4,x
1.121989082, Sport: ,Basketball, Time: ,Sun Nov 29 03:05:00 CET 2015, Time: ,Sun Nov 29 03:05:00 CET 2015, Event: ,New Orleans @ Utah, Favorite: ,Utah, 13119   size:5933.4,Price: ,1.25,New Orleans, 6860646   size:14.12,Price: ,4.6,ok
1.122060867, Sport: ,Soccer, Time: ,Sun Nov 29 16:15:00 CET 2015, Time: ,Sun Nov 29 16:15:00 CET 2015, Event: ,Los Barrios v Sanluqueno, Favorite: ,Los Barrios, 9320415   size:5.38,Price: ,1.07,Sanluqueno, 6603998   size:5.38,Price: ,1.07,The Draw, 58805   size:14.19,Price: ,3.0,x
1.121935793, Sport: ,Soccer, Time: ,Sun Nov 29 17:30:00 CET 2015, Time: ,Sun Nov 29 17:30:00 CET 2015, Event: ,LDU Loja v Deportivo Quito, Favorite: ,LDU Loja, 6001716   size:5.38,Price: ,1.07,Deportivo Quito, 3209575   size:5.38,Price: ,1.07,The Draw, 58805   size:2.83,Price: ,1.25,ok
1.121985851, Sport: ,Basketball, Time: ,Sun Nov 29 12:35:00 CET 2015, Time: ,Sun Nov 29 12:35:00 CET 2015, Event: ,Qingdao v Jilin, Favorite: ,Qingdao, 8926915   size:2.83,Price: ,1.03,Jilin, 8926909   size:6.13,Price: ,1.31,ok
