1.121595182, Sport: ,Soccer, Time: ,Sun Nov 01 06:30:00 CET 2015, Time: ,Sun Nov 01 06:30:00 CET 2015, Event: ,Double Flower FA v Wofoo Tai Po, Favorite: ,Double Flower FA, 8826368   size:4.15,Price: ,1.07,Wofoo Tai Po, 5204518   size:4.15,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,x
1.121590725, Sport: ,Soccer, Time: ,Sun Nov 01 03:06:00 CET 2015, Time: ,Sun Nov 01 03:06:00 CET 2015, Event: ,Leon v Atlas, Favorite: ,Leon, 4468457   size:30.07,Price: ,2.06,Atlas, 328950   size:20.31,Price: ,3.75,The Draw, 58805   size:36.9,Price: ,3.8,ok
1.121493559, Sport: ,American Football, Time: ,Sun Nov 01 00:00:00 CET 2015, Time: ,Sun Nov 01 00:00:00 CET 2015, Event: ,Oregon State @ Utah, Favorite: ,Utah, 532780   size:859.91,Price: ,1.02,Oregon State, 661960   size:28.16,Price: ,17.0,ok
1.121491013, Sport: ,Soccer, Time: ,Sun Nov 01 04:00:00 CET 2015, Time: ,Sun Nov 01 04:00:00 CET 2015, Event: ,Jaguares v Puebla, Favorite: ,Jaguares, 328953   size:368.62,Price: ,2.08,Puebla, 328956   size:171.17,Price: ,3.65,The Draw, 58805   size:2.36,Price: ,3.8,ok
1.121493556, Sport: ,American Football, Time: ,Sun Nov 01 00:00:00 CET 2015, Time: ,Sun Nov 01 00:00:00 CET 2015, Event: ,Tulane @ Memphis, Favorite: ,Memphis, 975027   size:5.8,Price: ,1.01,Tulane, 2137018   size:70.08,Price: ,19.5,ok
1.121595745, Sport: ,Soccer, Time: ,Sun Nov 01 05:00:00 CET 2015, Time: ,Sun Nov 01 05:00:00 CET 2015, Event: ,Blaublitz Akita v FC Ryukyu, Favorite: ,Blaublitz Akita, 5852914   size:4.48,Price: ,2.04,FC Ryukyu, 7379405   size:35.27,Price: ,3.9,The Draw, 58805   size:4.06,Price: ,3.3,x
1.121395272, Sport: ,Ice Hockey, Time: ,Sun Nov 01 00:05:00 CET 2015, Time: ,Sun Nov 01 00:05:00 CET 2015, Event: ,Detroit @ Ottawa, Favorite: ,Ottawa, 2108072   size:109.0,Price: ,2.26,Detroit, 975676   size:260.0,Price: ,2.88,Tie, 60104   size:107.48,Price: ,4.2,x
1.121568986, Sport: ,Soccer, Time: ,Sat Oct 31 22:00:00 CET 2015, Time: ,Sat Oct 31 22:00:00 CET 2015, Event: ,Manta FC v Macara, Favorite: ,Macara, 6161547   size:5.0,Price: ,1.03,Manta FC, 5366102   size:50.0,Price: ,1.05,The Draw, 58805   size:5.0,Price: ,1.03,x
1.121595347, Sport: ,Soccer, Time: ,Sun Nov 01 06:30:00 CET 2015, Time: ,Sun Nov 01 06:30:00 CET 2015, Event: ,Shatin SA v Tai Chung, Favorite: ,Shatin SA, 8889630   size:4.15,Price: ,1.07,Tai Chung, 5236529   size:4.15,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,ok
1.121595628, Sport: ,Soccer, Time: ,Sun Nov 01 05:00:00 CET 2015, Time: ,Sun Nov 01 05:00:00 CET 2015, Event: ,Ryutsu Keizai Dragons v Kagoshima United FC, Favorite: ,Ryutsu Keizai Dragons, 9433232   size:4.15,Price: ,1.07,Kagoshima United FC, 8874156   size:4.15,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,x
1.121566965, Sport: ,Soccer, Time: ,Sat Oct 31 22:30:00 CET 2015, Time: ,Sat Oct 31 22:30:00 CET 2015, Event: ,Londrina v Tupi, Favorite: ,Londrina, 4525642   size:18.19,Price: ,1.38,Tupi, 4516150   size:2.8,Price: ,6.2,The Draw, 58805   size:40.77,Price: ,3.3,x
1.121395277, Sport: ,Ice Hockey, Time: ,Sun Nov 01 00:05:00 CET 2015, Time: ,Sun Nov 01 00:05:00 CET 2015, Event: ,Boston @ Tampa Bay, Favorite: ,Tampa Bay, 2109715   size:68.46,Price: ,2.08,Boston, 2112316   size:6.33,Price: ,3.35,Tie, 60104   size:30.41,Price: ,4.3,x
1.121447491, Sport: ,Soccer, Time: ,Sun Nov 01 05:00:00 CET 2015, Time: ,Sun Nov 01 05:00:00 CET 2015, Event: ,Sapporo v Jef Utd Chiba, Favorite: ,Jef Utd Chiba, 5021203   size:124.96,Price: ,2.78,Sapporo, 2245760   size:12.14,Price: ,2.88,The Draw, 58805   size:16.36,Price: ,3.2,x
1.121529002, Sport: ,Basketball, Time: ,Sun Nov 01 01:30:00 CET 2015, Time: ,Sun Nov 01 01:30:00 CET 2015, Event: ,Estudiantes (C) v San Martin, Favorite: ,San Martin, 8861781   size:4.02,Price: ,1.46,Estudiantes (C), 7753473   size:19.0,Price: ,2.82,ok
1.121606290, Sport: ,Snooker, Time: ,Sun Nov 01 07:00:00 CET 2015, Time: ,Sun Nov 01 07:00:00 CET 2015, Event: ,David Gilbert v John Higgins, Favorite: ,John Higgins, 2278785   size:1768.07,Price: ,1.18,David Gilbert, 2293307   size:10.28,Price: ,5.3,ok
