1.122235297, Sport: ,Snooker, Time: ,Fri Dec 18 15:30:00 CET 2015, Time: ,Fri Dec 18 15:30:00 CET 2015, Event: ,Mark Davis v Ross Muir, Favorite: ,Mark Davis, 2278869   size:2.55,Price: ,1.23,Ross Muir, 7303690   size:2.55,Price: ,4.6,x
1.122294676, Sport: ,Basketball, Time: ,Thu Dec 17 18:00:00 CET 2015, Time: ,Thu Dec 17 18:00:00 CET 2015, Event: ,Orduspor (W) v Udominate (W), Favorite: ,Orduspor (W), 8978711   size:16.51,Price: ,1.12,Udominate (W), 8978731   size:12.92,Price: ,7.0,ok
1.122213791, Sport: ,Soccer, Time: ,Thu Dec 17 18:45:00 CET 2015, Time: ,Thu Dec 17 18:45:00 CET 2015, Event: ,Al Ahly v Smouha, Favorite: ,Al Ahly, 1328423   size:303.49,Price: ,1.32,Smouha, 5170871   size:24.51,Price: ,15.0,The Draw, 58805   size:31.52,Price: ,5.3,x
1.122294556, Sport: ,Basketball, Time: ,Thu Dec 17 22:00:00 CET 2015, Time: ,Thu Dec 17 22:00:00 CET 2015, Event: ,Paulistano v Mogi, Favorite: ,Paulistano, 8876562   size:15.99,Price: ,1.43,Mogi, 8948840   size:2.55,Price: ,3.05,ok
1.122286132, Sport: ,Basketball, Time: ,Thu Dec 17 20:45:00 CET 2015, Time: ,Thu Dec 17 20:45:00 CET 2015, Event: ,Real Madrid v Strasbourg, Favorite: ,Real Madrid, 266274   size:9196.14,Price: ,1.04,Strasbourg, 1193143   size:9.82,Price: ,24.0,ok
1.122300764, Sport: ,Basketball, Time: ,Fri Dec 18 01:30:00 CET 2015, Time: ,Fri Dec 18 01:30:00 CET 2015, Event: ,San Martin v Sionista, Favorite: ,San Martin, 8861781   size:2.55,Price: ,1.08,Sionista, 6719083   size:76.24,Price: ,3.4,ok
1.122267337, Sport: ,Ice Hockey, Time: ,Fri Dec 18 01:35:00 CET 2015, Time: ,Fri Dec 18 01:35:00 CET 2015, Event: ,Los Angeles @ Montreal, Favorite: ,Montreal, 2112345   size:20.38,Price: ,2.54,Los Angeles, 2112286   size:5.99,Price: ,2.66,Tie, 60104   size:482.28,Price: ,3.9,x
1.122294702, Sport: ,Basketball, Time: ,Thu Dec 17 20:30:00 CET 2015, Time: ,Thu Dec 17 20:30:00 CET 2015, Event: ,BCF Elfic Fribourg Wome v PEAC Pecs (W), Favorite: ,BCF Elfic Fribourg Wome, 10459538   size:2.84,Price: ,1.46,PEAC Pecs (W), 8978753   size:2.69,Price: ,1.54,x
1.122235295, Sport: ,Snooker, Time: ,Fri Dec 18 15:30:00 CET 2015, Time: ,Fri Dec 18 15:30:00 CET 2015, Event: ,Mark Joyce v Alex Taubman, Favorite: ,Mark Joyce, 2278868   size:2.55,Price: ,1.32,Alex Taubman, 6600806   size:2.55,Price: ,3.75,ok
1.122287066, Sport: ,Basketball, Time: ,Fri Dec 18 02:05:00 CET 2015, Time: ,Fri Dec 18 02:05:00 CET 2015, Event: ,Oklahoma City @ Cleveland, Favorite: ,Cleveland, 13112   size:6.27,Price: ,1.7,Oklahoma City, 3363394   size:10.54,Price: ,2.34,ok
1.122305414, Sport: ,Soccer, Time: ,Fri Dec 18 16:00:00 CET 2015, Time: ,Fri Dec 18 16:00:00 CET 2015, Event: ,AS Sale v Olympique Dcheira, Favorite: ,AS Sale, 7708283   size:11.07,Price: ,1.15,Olympique Dcheira, 9109496   size:11.07,Price: ,1.15,The Draw, 58805   size:4.12,Price: ,3.1,x
1.122267331, Sport: ,Ice Hockey, Time: ,Fri Dec 18 01:35:00 CET 2015, Time: ,Fri Dec 18 01:35:00 CET 2015, Event: ,San Jose @ Toronto, Favorite: ,San Jose, 2110001   size:104.99,Price: ,2.52,Toronto, 2108073   size:468.0,Price: ,2.6,Tie, 60104   size:321.65,Price: ,3.9,x
1.122300128, Sport: ,Ice Hockey, Time: ,Thu Dec 17 17:00:00 CET 2015, Time: ,Thu Dec 17 17:00:00 CET 2015, Event: ,Russia v Sweden, Favorite: ,Russia, 140142   size:75.0,Price: ,1.2,Sweden, 140139   size:36.0,Price: ,3.0,Tie, 60104   size:36.0,Price: ,3.0,x
1.122284752, Sport: ,Volleyball, Time: ,Thu Dec 17 18:00:00 CET 2015, Time: ,Thu Dec 17 18:00:00 CET 2015, Event: ,Linamar Bekescsaba v Dinamo Krasnodar, Favorite: ,Dinamo Krasnodar, 5326346   size:3909.05,Price: ,1.07,Linamar Bekescsaba, 10391804   size:2.84,Price: ,7.6,ok
1.122249864, Sport: ,Soccer, Time: ,Thu Dec 17 17:30:00 CET 2015, Time: ,Thu Dec 17 17:30:00 CET 2015, Event: ,Besiktas v Karabukspor, Favorite: ,Besiktas, 232068   size:118.12,Price: ,1.58,Karabukspor, 3292145   size:15.61,Price: ,7.4,The Draw, 58805   size:171.9,Price: ,4.1,ok
1.122300766, Sport: ,Basketball, Time: ,Fri Dec 18 01:00:00 CET 2015, Time: ,Fri Dec 18 01:00:00 CET 2015, Event: ,Olimpico v Boca Jrs, Favorite: ,Olimpico, 6719115   size:3.91,Price: ,1.28,Boca Jrs, 6719112   size:64.7,Price: ,3.4,ok
