1.119890826, Sport: ,Tennis, Time: ,Fri Aug 07 14:30:00 CEST 2015, Time: ,Fri Aug 07 14:30:00 CEST 2015, Event: ,Arnaboldi v An Kuznetsov, Favorite: ,Andrey Kuznetsov, 4257454   size:5.97,Price: ,1.46,Andrea Arnaboldi, 7593283   size:4.31,Price: ,2.82,
1.119873704, Sport: ,Tennis, Time: ,Fri Aug 07 14:00:00 CEST 2015, Time: ,Fri Aug 07 14:00:00 CEST 2015, Event: ,Mertens v Korpatsch, Favorite: ,Elise Mertens, 9002334   size:2.55,Price: ,1.37,Tamara Korpatsch, 9166525   size:2.13,Price: ,3.0,x
1.119894187, Sport: ,Snooker, Time: ,Fri Aug 07 11:00:00 CEST 2015, Time: ,Fri Aug 07 11:00:00 CEST 2015, Event: ,Li Hang v Alex Taubman, Favorite: ,Li Hang, 2336727   size:3.78,Price: ,1.32,Alex Taubman, 6600806   size:9.89,Price: ,3.55,ok
1.119792414, Sport: ,Cricket, Time: ,Fri Aug 07 12:00:00 CEST 2015, Time: ,Fri Aug 07 12:00:00 CEST 2015, Event: ,Essex v Surrey, Favorite: ,Surrey, 424676   size:3.74,Price: ,1.71,The Draw, 60443   size:2.85,Price: ,2.64,Essex, 31376   size:2.55,Price: ,2.66,ok
1.119791149, Sport: ,Cricket, Time: ,Fri Aug 07 12:00:00 CEST 2015, Time: ,Fri Aug 07 12:00:00 CEST 2015, Event: ,Middlesex v Sussex, Favorite: ,Middlesex, 31378   size:3.37,Price: ,1.9,The Draw, 60443   size:8.73,Price: ,2.56,ok
1.119791148, Sport: ,Cricket, Time: ,Fri Aug 07 12:00:00 CEST 2015, Time: ,Fri Aug 07 12:00:00 CEST 2015, Event: ,Hampshire v Warwickshire, Favorite: ,Warwickshire, 2120   size:2.55,Price: ,1.96,Hampshire, 3961   size:4.43,Price: ,2.64,The Draw, 60443   size:2.1,Price: ,2.78,x
1.119851973, Sport: ,Soccer, Time: ,Fri Aug 07 10:30:00 CEST 2015, Time: ,Fri Aug 07 10:30:00 CEST 2015, Event: ,Slovakia (W) v UAE (W), Favorite: ,Slovakia (W), 5908461   size:1320.85,Price: ,1.02,The Draw, 58805   size:2.0,Price: ,3.95,UAE (W), 9308558   size:3.41,Price: ,120.0,ok
1.119894167, Sport: ,Snooker, Time: ,Fri Aug 07 11:00:00 CEST 2015, Time: ,Fri Aug 07 11:00:00 CEST 2015, Event: ,Rod Lawler v Michael Leslie, Favorite: ,Rod Lawler, 2278817   size:5.86,Price: ,1.51,Michael Leslie, 6535838   size:7.86,Price: ,2.6,ok
1.119909922, Sport: ,Volleyball, Time: ,Fri Aug 07 14:30:00 CEST 2015, Time: ,Fri Aug 07 14:30:00 CEST 2015, Event: ,India v Bahrain, Favorite: ,Bahrain, 7712707   size:5.95,Price: ,1.79,India, 4157193   size:16.63,Price: ,1.93,x
1.119893110, Sport: ,Tennis, Time: ,Fri Aug 07 12:50:00 CEST 2015, Time: ,Fri Aug 07 12:50:00 CEST 2015, Event: ,M Granollers v Y Mertens, Favorite: ,Marcel Granollers, 3035263   size:2.55,Price: ,1.29,Yannick Mertens, 4521608   size:2.55,Price: ,3.9,ok
