1.120978657, Sport: ,Tennis, Time: ,Wed Sep 30 09:00:00 CEST 2015, Time: ,Wed Sep 30 09:00:00 CEST 2015, Event: ,Goerges/Pliskova v Medina Garr/Parra Santo, Favorite: ,Medina Garr/Parra Santo, 9220633   size:2.55,Price: ,1.74,Goerges/Pliskova, 10337869   size:2.55,Price: ,1.94,x
1.120957325, Sport: ,Tennis, Time: ,Wed Sep 30 11:30:00 CEST 2015, Time: ,Wed Sep 30 11:30:00 CEST 2015, Event: ,Karatsev/Setkic v Myneni/Sharan, Favorite: ,Karatsev/Setkic, 10343464   size:6.21,Price: ,1.04,Myneni/Sharan, 9324247   size:6.21,Price: ,1.04,x
1.120977604, Sport: ,Tennis, Time: ,Wed Sep 30 00:30:00 CEST 2015, Time: ,Wed Sep 30 00:30:00 CEST 2015, Event: ,Irigoyen v Podoroska, Favorite: ,Nadia Podoroska, 9042349   size:7.57,Price: ,1.87,Maria Irigoyen, 2850757   size:4.21,Price: ,1.93,ok
1.120977202, Sport: ,Tennis, Time: ,Wed Sep 30 07:00:00 CEST 2015, Time: ,Wed Sep 30 07:00:00 CEST 2015, Event: ,B Becker v Chardy, Favorite: ,Jeremy Chardy, 2304933   size:175.64,Price: ,1.37,Benjamin Becker, 2249398   size:5.0,Price: ,3.5,x
1.120978018, Sport: ,Tennis, Time: ,Wed Sep 30 10:00:00 CEST 2015, Time: ,Wed Sep 30 10:00:00 CEST 2015, Event: ,Ann Beck v Cepelova, Favorite: ,Annika Beck, 4174996   size:2.55,Price: ,1.27,Jana Cepelova, 5303559   size:63.0,Price: ,4.1,ok
1.120972034, Sport: ,Tennis, Time: ,Wed Sep 30 05:00:00 CEST 2015, Time: ,Wed Sep 30 05:00:00 CEST 2015, Event: ,Q Wang v Li Zhang, Favorite: ,Qiang Wang, 6145777   size:2.55,Price: ,1.25,Ling Zhang, 4182952   size:37.38,Price: ,4.6,x
1.120978651, Sport: ,Tennis, Time: ,Wed Sep 30 07:30:00 CEST 2015, Time: ,Wed Sep 30 07:30:00 CEST 2015, Event: ,Begu/Niculescu v Garcia/Srebotnik, Favorite: ,Garcia/Srebotnik, 9128646   size:10.3,Price: ,1.37,Begu/Niculescu, 6081234   size:2.18,Price: ,2.84,x
1.120973082, Sport: ,Soccer, Time: ,Wed Sep 30 14:00:00 CEST 2015, Time: ,Wed Sep 30 14:00:00 CEST 2015, Event: ,FC Imeriti Khoni v FC Borjomi, Favorite: ,FC Imeriti Khoni, 6865582   size:3.55,Price: ,1.07,FC Borjomi, 8084865   size:3.55,Price: ,1.07,The Draw, 58805   size:2.69,Price: ,1.25,x
1.120978094, Sport: ,Tennis, Time: ,Wed Sep 30 09:30:00 CEST 2015, Time: ,Wed Sep 30 09:30:00 CEST 2015, Event: ,Hingis/Mirza v Jans-Ignacik/Rodionova, Favorite: ,Hingis/Mirza, 2087731   size:2.55,Price: ,1.13,Jans-Ignacik/Rodionova, 10302166   size:67.29,Price: ,4.6,ok
1.120947611, Sport: ,Tennis, Time: ,Wed Sep 30 11:00:00 CEST 2015, Time: ,Wed Sep 30 11:00:00 CEST 2015, Event: ,A Golubev v Copil, Favorite: ,Marius Copil, 4195870   size:64.69,Price: ,1.77,Andrey Golubev, 2454785   size:2.55,Price: ,2.12,x
