1.122530584, Sport: ,Soccer, Time: ,Mon Jan 18 14:00:00 CET 2016, Time: ,Mon Jan 18 14:00:00 CET 2016, Event: ,Charlton U21 v Millwall U21, Favorite: ,Charlton U21, 6808104   size:7.86,Price: ,1.07,Millwall U21, 6751920   size:7.86,Price: ,1.07,The Draw, 58805   size:15.72,Price: ,2.88,x
1.122647471, Sport: ,Tennis, Time: ,Mon Jan 18 15:00:00 CET 2016, Time: ,Mon Jan 18 15:00:00 CET 2016, Event: ,G Escobar v T Lopes, Favorite: ,Gonzalo Escobar, 7660810   size:9.18,Price: ,1.06,Tiago Lopes, 8443413   size:6.56,Price: ,1.06,ok
1.122635019, Sport: ,Soccer, Time: ,Mon Jan 18 14:00:00 CET 2016, Time: ,Mon Jan 18 14:00:00 CET 2016, Event: ,Ipswich U21 v Colchester U21, Favorite: ,Ipswich U21, 6799679   size:7.86,Price: ,1.07,Colchester U21, 6820442   size:7.86,Price: ,1.07,The Draw, 58805   size:2.51,Price: ,2.9,x
1.122648553, Sport: ,Tennis, Time: ,Mon Jan 18 15:00:00 CET 2016, Time: ,Mon Jan 18 15:00:00 CET 2016, Event: ,Torebko v Neis, Favorite: ,Peter Torebko, 5829498   size:9.18,Price: ,1.06,Fabricio Neis, 8326758   size:9.18,Price: ,1.06,ok
1.122648557, Sport: ,Tennis, Time: ,Mon Jan 18 16:45:00 CET 2016, Time: ,Mon Jan 18 16:45:00 CET 2016, Event: ,Geens v G Hidalgo, Favorite: ,Clement Geens, 9543216   size:9.18,Price: ,1.06,Gabriel Alejandro Hidal, 9624191   size:9.18,Price: ,1.06,ok
1.122582806, Sport: ,Soccer, Time: ,Mon Jan 18 16:00:00 CET 2016, Time: ,Mon Jan 18 16:00:00 CET 2016, Event: ,Ergotelis v Trikala, Favorite: ,Trikala, 4157378   size:3.6,Price: ,1.39,Ergotelis, 531199   size:3.61,Price: ,4.6,The Draw, 58805   size:3.87,Price: ,3.7,x
1.122530576, Sport: ,Soccer, Time: ,Mon Jan 18 14:00:00 CET 2016, Time: ,Mon Jan 18 14:00:00 CET 2016, Event: ,Barnsley U21 v Coventry U21, Favorite: ,Barnsley U21, 6667038   size:7.86,Price: ,1.07,Coventry U21, 6812039   size:7.86,Price: ,1.07,The Draw, 58805   size:2.51,Price: ,2.9,ok
1.122643188, Sport: ,Soccer, Time: ,Mon Jan 18 15:00:00 CET 2016, Time: ,Mon Jan 18 15:00:00 CET 2016, Event: ,Mgladbach II v Fortuna Koln, Favorite: ,Mgladbach II, 1550976   size:6.12,Price: ,1.09,Fortuna Koln, 5790034   size:6.12,Price: ,1.09,The Draw, 58805   size:2.0,Price: ,2.9,ok
1.122623504, Sport: ,Ice Hockey, Time: ,Mon Jan 18 15:00:00 CET 2016, Time: ,Mon Jan 18 15:00:00 CET 2016, Event: ,Avtomobilist Yekaterinb v M. Magnitogorsk, Favorite: ,M. Magnitogorsk, 10698151   size:4.35,Price: ,1.9,Avtomobilist Yekaterinb, 10653586   size:7.08,Price: ,3.05,Tie, 60104   size:114.04,Price: ,3.9,x
1.122457109, Sport: ,Bowls, Time: ,Mon Jan 18 15:30:00 CET 2016, Time: ,Mon Jan 18 15:30:00 CET 2016, Event: ,Alex Marshall v Gary Kelly, Favorite: ,Alex Marshall, 2266414   size:0.0,Price: ,0.0,Gary Kelly, 2760849   size:0.0,Price: ,0.0,ok
1.122526291, Sport: ,Soccer, Time: ,Mon Jan 18 17:00:00 CET 2016, Time: ,Mon Jan 18 17:00:00 CET 2016, Event: ,Hapoel Afula v Beitar Tel Aviv Ramla, Favorite: ,Hapoel Afula, 5546999   size:10.0,Price: ,2.24,Beitar Tel Aviv Ramla, 6021023   size:2.55,Price: ,3.15,The Draw, 58805   size:2.55,Price: ,3.5,x
