1.121113184, Sport: ,Ice Hockey, Time: ,Fri Oct 09 17:30:00 CEST 2015, Time: ,Fri Oct 09 17:30:00 CEST 2015, Event: ,MHC Mountfield v Dukla Trencin, Favorite: ,Dukla Trencin, 1041073   size:12.96,Price: ,2.04,MHC Mountfield, 4982012   size:6.57,Price: ,3.05,Tie, 60104   size:5.78,Price: ,4.1,x
1.121075081, Sport: ,Volleyball, Time: ,Fri Oct 09 19:30:00 CEST 2015, Time: ,Fri Oct 09 19:30:00 CEST 2015, Event: ,Poland v Belgium, Favorite: ,Poland, 678742   size:87.85,Price: ,1.08,Belgium, 1216423   size:4.25,Price: ,7.6,ok
1.121007331, Sport: ,Soccer, Time: ,Fri Oct 09 18:45:00 CEST 2015, Time: ,Fri Oct 09 18:45:00 CEST 2015, Event: ,Denmark U21 v Wales U21, Favorite: ,Denmark U21, 25927   size:77.1,Price: ,1.57,Wales U21, 233650   size:48.44,Price: ,6.6,The Draw, 58805   size:59.88,Price: ,4.4,x
1.121113186, Sport: ,Ice Hockey, Time: ,Fri Oct 09 18:00:00 CEST 2015, Time: ,Fri Oct 09 18:00:00 CEST 2015, Event: ,Piestany v Skalica, Favorite: ,Piestany, 6651342   size:17.96,Price: ,1.75,Skalica, 2078556   size:6.28,Price: ,3.7,Tie, 60104   size:5.04,Price: ,4.3,ok
1.121117144, Sport: ,Soccer, Time: ,Fri Oct 09 19:00:00 CEST 2015, Time: ,Fri Oct 09 19:00:00 CEST 2015, Event: ,Tollnes BK v Express IL, Favorite: ,Tollnes BK, 10266387   size:10.53,Price: ,1.1,Express IL, 10255151   size:3.51,Price: ,2.0,The Draw, 58805   size:4.99,Price: ,4.7,x
1.121113185, Sport: ,Ice Hockey, Time: ,Fri Oct 09 18:00:00 CEST 2015, Time: ,Fri Oct 09 18:00:00 CEST 2015, Event: ,Nitra v Banska Bystrica, Favorite: ,Nitra, 2078603   size:2.39,Price: ,2.08,Banska Bystrica, 3315731   size:6.73,Price: ,3.0,Tie, 60104   size:5.46,Price: ,4.1,ok
1.121107835, Sport: ,Ice Hockey, Time: ,Fri Oct 09 19:00:00 CEST 2015, Time: ,Fri Oct 09 19:00:00 CEST 2015, Event: ,Orebro v Farjestad, Favorite: ,Orebro, 247111   size:101.0,Price: ,2.28,Farjestad, 237392   size:58.79,Price: ,2.78,Tie, 60104   size:107.0,Price: ,4.0,x
1.121007857, Sport: ,Soccer, Time: ,Fri Oct 09 20:45:00 CEST 2015, Time: ,Fri Oct 09 20:45:00 CEST 2015, Event: ,Galway Utd v Limerick, Favorite: ,Limerick, 385757   size:25.21,Price: ,2.4,Galway Utd, 318841   size:3.33,Price: ,2.98,The Draw, 58805   size:84.26,Price: ,3.95,ok
1.121157444, Sport: ,Tennis, Time: ,Fri Oct 09 19:00:00 CEST 2015, Time: ,Fri Oct 09 19:00:00 CEST 2015, Event: ,Vickery v Santamaria, Favorite: ,Sachia Vickery, 6596286   size:268.67,Price: ,1.21,Sabrina Santamaria, 9657528   size:8.77,Price: ,5.1,x
1.121113187, Sport: ,Ice Hockey, Time: ,Fri Oct 09 18:00:00 CEST 2015, Time: ,Fri Oct 09 18:00:00 CEST 2015, Event: ,Zvolen v Poprad, Favorite: ,Zvolen, 2078582   size:18.96,Price: ,1.83,Poprad, 2078587   size:137.8,Price: ,3.5,Tie, 60104   size:107.59,Price: ,4.2,ok
1.121075086, Sport: ,Volleyball, Time: ,Fri Oct 09 17:30:00 CEST 2015, Time: ,Fri Oct 09 17:30:00 CEST 2015, Event: ,Slovakia v Serbia, Favorite: ,Serbia, 2010254   size:55.0,Price: ,1.02,Slovakia, 1191329   size:26.88,Price: ,5.0,ok
1.121005712, Sport: ,Soccer, Time: ,Fri Oct 09 17:30:00 CEST 2015, Time: ,Fri Oct 09 17:30:00 CEST 2015, Event: ,Austria U21 v Azerbaijan U21, Favorite: ,Austria U21, 231948   size:16.17,Price: ,1.25,Azerbaijan U21, 3938974   size:2.44,Price: ,19.0,The Draw, 58805   size:5.46,Price: ,6.0,ok
1.121075083, Sport: ,Volleyball, Time: ,Fri Oct 09 20:30:00 CEST 2015, Time: ,Fri Oct 09 20:30:00 CEST 2015, Event: ,Russia v Finland, Favorite: ,Russia, 678741   size:161.62,Price: ,1.1,Finland, 678724   size:2.0,Price: ,8.4,ok
1.121114034, Sport: ,Ice Hockey, Time: ,Fri Oct 09 19:30:00 CEST 2015, Time: ,Fri Oct 09 19:30:00 CEST 2015, Event: ,Straubing v Nurnberg, Favorite: ,Nurnberg, 1032175   size:2.15,Price: ,2.08,Straubing, 2056823   size:99.0,Price: ,2.82,Tie, 60104   size:59.0,Price: ,4.9,x
1.121157447, Sport: ,Tennis, Time: ,Fri Oct 09 21:00:00 CEST 2015, Time: ,Fri Oct 09 21:00:00 CEST 2015, Event: ,Gibbs v Oudin, Favorite: ,Nicole Gibbs, 4946628   size:5.0,Price: ,1.42,Melanie Oudin, 2895433   size:17.7,Price: ,2.88,ok
1.121157448, Sport: ,Tennis, Time: ,Fri Oct 09 21:00:00 CEST 2015, Time: ,Fri Oct 09 21:00:00 CEST 2015, Event: ,Minella v Pegula, Favorite: ,Jessica Pegula, 6215852   size:2.55,Price: ,1.46,Mandy Minella, 3425152   size:2.55,Price: ,2.72,x
1.121157449, Sport: ,Tennis, Time: ,Fri Oct 09 19:30:00 CEST 2015, Time: ,Fri Oct 09 19:30:00 CEST 2015, Event: ,Lottner v Glatch, Favorite: ,Alexa Glatch, 2481491   size:7.04,Price: ,1.29,Antonia Lottner, 7216203   size:2.54,Price: ,3.9,x
1.121070753, Sport: ,Soccer, Time: ,Fri Oct 09 18:00:00 CEST 2015, Time: ,Fri Oct 09 18:00:00 CEST 2015, Event: ,MAT Tetouan v FUS Rabat, Favorite: ,MAT Tetouan, 6552584   size:114.58,Price: ,2.44,FUS Rabat, 6681575   size:103.48,Price: ,3.55,The Draw, 58805   size:7.04,Price: ,2.96,x
1.121117309, Sport: ,Soccer, Time: ,Fri Oct 09 18:00:00 CEST 2015, Time: ,Fri Oct 09 18:00:00 CEST 2015, Event: ,Energetyk ROW v Siarka Tarnobrzeg, Favorite: ,Energetyk ROW, 7444778   size:57.94,Price: ,1.11,Siarka Tarnobrzeg, 7568775   size:41.57,Price: ,1.18,The Draw, 58805   size:33.53,Price: ,1.24,ok
