1.121976210, Sport: ,Ice Hockey, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,TuTo v SaPKo, Favorite: ,TuTo, 4196542   size:2.85,Price: ,1.7,Sapko, 4196539   size:131.36,Price: ,3.7,Tie, 60104   size:107.47,Price: ,4.3,x
1.121976211, Sport: ,Ice Hockey, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Hokki v Jukurit, Favorite: ,Hokki, 275251   size:141.88,Price: ,2.36,Jukurit, 272756   size:10.3,Price: ,2.38,Tie, 60104   size:114.41,Price: ,4.1,x
1.121998599, Sport: ,Basketball, Time: ,Sun Nov 29 10:15:00 CET 2015, Time: ,Sun Nov 29 10:15:00 CET 2015, Event: ,Barangay Ginebra v Rain or Shine, Favorite: ,Barangay Ginebra, 7217820   size:2.83,Price: ,1.03,Rain Or Shine, 3880438   size:2.83,Price: ,1.03,x
1.121971724, Sport: ,Soccer, Time: ,Sat Nov 28 18:30:00 CET 2015, Time: ,Sat Nov 28 18:30:00 CET 2015, Event: ,El Entag El Harby v Petrojet, Favorite: ,El Entag El Harby, 5170840   size:5.93,Price: ,2.44,Petrojet, 5168594   size:3.83,Price: ,3.15,The Draw, 58805   size:2.55,Price: ,3.25,x
1.121914508, Sport: ,Handball, Time: ,Sat Nov 28 15:00:00 CET 2015, Time: ,Sat Nov 28 15:00:00 CET 2015, Event: ,Veszprem v Paris Saint German, Favorite: ,Veszprem, 3379949   size:2.83,Price: ,1.03,Paris Saint German, 8835235   size:2.83,Price: ,1.03,Draw, 330157   size:2.83,Price: ,1.03,ok
1.121933329, Sport: ,Cricket, Time: ,Sat Nov 28 13:00:00 CET 2015, Time: ,Sat Nov 28 13:00:00 CET 2015, Event: ,Dolphins v Knights, Favorite: ,Dolphins, 4294273   size:146.76,Price: ,1.74,Knights, 5045297   size:17.69,Price: ,2.3,x
1.121914625, Sport: ,Handball, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Vive Tauron Kielce v Vardar, Favorite: ,Vardar, 8006170   size:2.83,Price: ,1.03,Vive Tauron Kielce, 8838618   size:5.17,Price: ,1.63,Draw, 330157   size:2.83,Price: ,1.03,x
1.121937575, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Merthyr Town v East Thurrock, Favorite: ,East Thurrock, 1338701   size:4.14,Price: ,2.28,Merthyr Town, 8749416   size:4.14,Price: ,2.68,The Draw, 58805   size:2.82,Price: ,3.55,x
1.121933015, Sport: ,Soccer, Time: ,Sun Nov 29 06:00:00 CET 2015, Time: ,Sun Nov 29 06:00:00 CET 2015, Event: ,Pohang Steelers v FC Seoul, Favorite: ,Pohang Steelers, 1363823   size:10.07,Price: ,2.34,FC Seoul, 2479786   size:2.55,Price: ,3.35,The Draw, 58805   size:7.39,Price: ,3.3,ok
1.122017355, Sport: ,Volleyball, Time: ,Sat Nov 28 17:00:00 CET 2015, Time: ,Sat Nov 28 17:00:00 CET 2015, Event: ,CV Melilla v Cajasol Juvasa, Favorite: ,CV Melilla, 10256877   size:4.4,Price: ,1.91,Cajasol Juvasa, 7848178   size:4.4,Price: ,1.91,ok
1.121985859, Sport: ,Basketball, Time: ,Sun Nov 29 09:00:00 CET 2015, Time: ,Sun Nov 29 09:00:00 CET 2015, Event: ,Shenzhen New Century Le v Zhejiang Guangsha, Favorite: ,Dongguan, 10466369   size:2.83,Price: ,1.03,Zhejiang Guangsha, 8926901   size:2.83,Price: ,1.03,x
1.122030774, Sport: ,Soccer, Time: ,Sat Nov 28 15:00:00 CET 2015, Time: ,Sat Nov 28 15:00:00 CET 2015, Event: ,JSM Bejaia v USM Bel Abbes, Favorite: ,JSM Bejaia, 8036605   size:2.37,Price: ,2.38,USM Bel Abbes, 8481742   size:2.26,Price: ,2.5,The Draw, 58805   size:16.0,Price: ,3.1,x
1.121887825, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Cirencester v Gosport Borough, Favorite: ,Gosport Borough, 2662210   size:6.32,Price: ,1.62,Cirencester, 1282867   size:2.55,Price: ,5.0,The Draw, 58805   size:4.8,Price: ,3.95,x
1.122031107, Sport: ,Soccer, Time: ,Sat Nov 28 21:35:00 CET 2015, Time: ,Sat Nov 28 21:35:00 CET 2015, Event: ,Almagro v Deportivo Moron, Favorite: ,Almagro, 897266   size:4.44,Price: ,2.26,Deportivo Moron, 5289143   size:4.78,Price: ,3.3,The Draw, 58805   size:37.31,Price: ,2.94,ok
1.121937573, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Bury Town v Thurrock, Favorite: ,Bury Town, 1433860   size:4.15,Price: ,2.26,Thurrock, 597560   size:2.82,Price: ,2.72,The Draw, 58805   size:2.82,Price: ,3.55,ok
1.122025463, Sport: ,Basketball, Time: ,Sun Nov 29 07:00:00 CET 2015, Time: ,Sun Nov 29 07:00:00 CET 2015, Event: ,Niigata v Toyama, Favorite: ,Niigata, 6718619   size:2.83,Price: ,1.03,Toyama, 6718629   size:2.83,Price: ,1.03,ok
1.122025464, Sport: ,Basketball, Time: ,Sun Nov 29 06:00:00 CET 2015, Time: ,Sun Nov 29 06:00:00 CET 2015, Event: ,Osaka v Hamamatsu, Favorite: ,Osaka, 6737020   size:2.83,Price: ,1.03,Hamamatsu, 6718617   size:2.83,Price: ,1.03,x
1.122017350, Sport: ,Volleyball, Time: ,Sat Nov 28 19:00:00 CET 2015, Time: ,Sat Nov 28 19:00:00 CET 2015, Event: ,Ace Gran Canaria v UBE Lilla-Grau, Favorite: ,ACE Gran Canaria, 10256873   size:655.5,Price: ,1.04,UBE Lilla-Grau, 10256879   size:655.5,Price: ,1.04,ok
1.122017353, Sport: ,Volleyball, Time: ,Sat Nov 28 18:00:00 CET 2015, Time: ,Sat Nov 28 18:00:00 CET 2015, Event: ,CAI Teruel v Unicaja Almeria, Favorite: ,Cai Teruel, 4384949   size:2.55,Price: ,1.82,Unicaja Almeria, 4369615   size:2.55,Price: ,2.06,x
1.121888077, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Hungerford v Thamesmead Town, Favorite: ,Hungerford, 4317868   size:2.43,Price: ,1.52,Thamesmead Town, 10525345   size:3.89,Price: ,5.4,The Draw, 58805   size:5.77,Price: ,4.8,ok
