1.120962100, Sport: ,Soccer, Time: ,Tue Sep 29 19:00:00 CEST 2015, Time: ,Tue Sep 29 19:00:00 CEST 2015, Event: ,Partick U20 v Hamilton U20, Favorite: ,Partick U20, 9001451   size:3.56,Price: ,1.07,Hamilton U20, 6645665   size:3.56,Price: ,1.07,The Draw, 58805   size:5.45,Price: ,3.85,x
1.120835993, Sport: ,Soccer, Time: ,Tue Sep 29 15:00:00 CEST 2015, Time: ,Tue Sep 29 15:00:00 CEST 2015, Event: ,Sheff Wed U21 v Brentford U21, Favorite: ,Sheff Wed U21, 6813026   size:67.45,Price: ,1.07,Brentford U21, 6628855   size:67.45,Price: ,1.07,The Draw, 58805   size:5.0,Price: ,3.05,x
1.120835991, Sport: ,Soccer, Time: ,Tue Sep 29 20:00:00 CEST 2015, Time: ,Tue Sep 29 20:00:00 CEST 2015, Event: ,Everton U21 v Norwich U21, Favorite: ,Everton U21, 6689709   size:2.55,Price: ,1.8,Norwich U21, 6667764   size:57.41,Price: ,2.86,The Draw, 58805   size:2.01,Price: ,3.1,ok
1.120834143, Sport: ,Soccer, Time: ,Tue Sep 29 20:45:00 CEST 2015, Time: ,Tue Sep 29 20:45:00 CEST 2015, Event: ,York City v Oxford Utd, Favorite: ,Oxford Utd, 256171   size:47.82,Price: ,2.26,York City, 256226   size:101.62,Price: ,3.65,The Draw, 58805   size:545.69,Price: ,3.35,ok
1.120952816, Sport: ,Tennis, Time: ,Tue Sep 29 20:45:00 CEST 2015, Time: ,Tue Sep 29 20:45:00 CEST 2015, Event: ,McGee v Smyczek, Favorite: ,Tim Smyczek, 2848631   size:5.79,Price: ,1.31,James McGee, 7216252   size:28.98,Price: ,3.45,ok
1.120970484, Sport: ,Soccer, Time: ,Wed Sep 30 02:05:00 CEST 2015, Time: ,Wed Sep 30 02:05:00 CEST 2015, Event: ,Defensores de Belgrano v Flandria, Favorite: ,Defensores de Belgrano, 5643646   size:2.55,Price: ,1.59,Flandria, 9509138   size:3.69,Price: ,6.0,The Draw, 58805   size:4.49,Price: ,3.4,ok
1.120975139, Sport: ,Tennis, Time: ,Tue Sep 29 21:30:00 CEST 2015, Time: ,Tue Sep 29 21:30:00 CEST 2015, Event: ,Brady v Stevenson, Favorite: ,Jennifer Brady, 8784966   size:7.38,Price: ,1.29,Alexandra Stevenson, 2345233   size:11.1,Price: ,3.65,ok
1.120975259, Sport: ,Tennis, Time: ,Wed Sep 30 07:00:00 CEST 2015, Time: ,Wed Sep 30 07:00:00 CEST 2015, Event: ,Shvedova v Rodina, Favorite: ,Evgeniya Rodina, 2415530   size:18.0,Price: ,1.13,Yaroslava Shvedova, 2263713   size:4454.21,Price: ,1.14,ok
1.120952812, Sport: ,Tennis, Time: ,Tue Sep 29 20:45:00 CEST 2015, Time: ,Tue Sep 29 20:45:00 CEST 2015, Event: ,Tiafoe v Rola, Favorite: ,Blaz Rola, 8174357   size:2.55,Price: ,1.76,Frances Tiafoe, 9399490   size:66.12,Price: ,2.02,ok
1.120977799, Sport: ,Tennis, Time: ,Wed Sep 30 06:00:00 CEST 2015, Time: ,Wed Sep 30 06:00:00 CEST 2015, Event: ,D Ferrer v Stepanek, Favorite: ,David Ferrer, 2257314   size:3.11,Price: ,1.08,Radek Stepanek, 2249332   size:445.42,Price: ,2.02,ok
1.120973516, Sport: ,Tennis, Time: ,Wed Sep 30 05:30:00 CEST 2015, Time: ,Wed Sep 30 05:30:00 CEST 2015, Event: ,Jia Lu v A Raina, Favorite: ,Jia-Jing Lu, 9002321   size:6.23,Price: ,1.04,Ankita Raina, 7921012   size:5.79,Price: ,1.11,ok
