1.120972031, Sport: ,Rugby Union, Time: ,Fri Oct 02 19:00:00 CEST 2015, Time: ,Fri Oct 02 19:00:00 CEST 2015, Event: ,Edinburgh v Ospreys, Favorite: ,Edinburgh, 8873   size:39.18,Price: ,1.59,Ospreys, 789915   size:4.63,Price: ,2.84,Draw, 246289   size:62.15,Price: ,20.0,ok
1.121006962, Sport: ,Basketball, Time: ,Fri Oct 02 21:30:00 CEST 2015, Time: ,Fri Oct 02 21:30:00 CEST 2015, Event: ,Surrey v Manchester, Favorite: ,Surrey, 6719046   size:2.55,Price: ,1.24,Manchester, 6719049   size:2.55,Price: ,1.24,ok
1.120979261, Sport: ,Soccer, Time: ,Sat Oct 03 01:00:00 CEST 2015, Time: ,Sat Oct 03 01:00:00 CEST 2015, Event: ,Belgrano v Defensa y Justicia, Favorite: ,Belgrano, 1496989   size:413.45,Price: ,2.06,Defensa y Justicia, 5178272   size:351.98,Price: ,4.3,The Draw, 58805   size:165.73,Price: ,3.25,ok
1.120887583, Sport: ,Handball, Time: ,Fri Oct 02 20:30:00 CEST 2015, Time: ,Fri Oct 02 20:30:00 CEST 2015, Event: ,Aragon v Morrazo, Favorite: ,Aragon, 3749683   size:134.94,Price: ,1.64,Morrazo, 7602610   size:2.36,Price: ,2.62,Draw, 330157   size:68.22,Price: ,8.0,x
1.120867152, Sport: ,Soccer, Time: ,Fri Oct 02 19:00:00 CEST 2015, Time: ,Fri Oct 02 19:00:00 CEST 2015, Event: ,Buchbach v Amberg, Favorite: ,Buchbach, 6516918   size:16.86,Price: ,2.18,Amberg, 9550072   size:13.88,Price: ,3.25,The Draw, 58805   size:6.84,Price: ,3.8,x
1.120869251, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Chateauroux v Avranches, Favorite: ,Chateauroux, 70469   size:6.86,Price: ,2.18,Avranches, 2224930   size:94.95,Price: ,4.2,The Draw, 58805   size:2.76,Price: ,3.25,x
1.120860733, Sport: ,Soccer, Time: ,Fri Oct 02 20:30:00 CEST 2015, Time: ,Fri Oct 02 20:30:00 CEST 2015, Event: ,SV Darmstadt v Mainz, Favorite: ,Mainz, 64374   size:766.4,Price: ,2.48,SV Darmstadt, 993093   size:4652.2,Price: ,3.2,The Draw, 58805   size:2695.52,Price: ,3.45,ok
1.120861149, Sport: ,Soccer, Time: ,Fri Oct 02 20:30:00 CEST 2015, Time: ,Fri Oct 02 20:30:00 CEST 2015, Event: ,Oostende v Lokeren, Favorite: ,Oostende, 505717   size:12.14,Price: ,1.86,Lokeren, 43430   size:20.41,Price: ,4.6,The Draw, 58805   size:84.8,Price: ,3.9,ok
1.120967654, Sport: ,Soccer, Time: ,Sat Oct 03 03:00:00 CEST 2015, Time: ,Sat Oct 03 03:00:00 CEST 2015, Event: ,Atlante v Cafetaleros, Favorite: ,Atlante, 230270   size:2.55,Price: ,1.7,Cafetaleros, 9988646   size:10.51,Price: ,4.0,The Draw, 58805   size:12.07,Price: ,3.6,x
1.120860971, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Heracles v Heerenveen, Favorite: ,Heracles, 419132   size:35.36,Price: ,2.1,Heerenveen, 3630179   size:258.53,Price: ,3.6,The Draw, 58805   size:6.98,Price: ,4.0,ok
