1.119627493, Sport: ,Tennis, Time: ,Thu Jul 23 13:00:00 CEST 2015, Time: ,Thu Jul 23 13:00:00 CEST 2015, Event: ,Piter/Zanevska v Beck/Paszek, Favorite: ,Piter/Zanevska, 8478318   size:2.24,Price: ,1.59,Beck/Paszek, 10027020   size:2.55,Price: ,2.18,ok
1.119630681, Sport: ,Tennis, Time: ,Thu Jul 23 14:30:00 CEST 2015, Time: ,Thu Jul 23 14:30:00 CEST 2015, Event: ,Diatchenko/Savchuk v Bondarenko/Hrdinova, Favorite: ,Diatchenko/Savchuk, 10025948   size:9.43,Price: ,1.83,Bondarenko/Hrdinova, 9436897   size:2.55,Price: ,1.85,ok
1.119613349, Sport: ,Soccer, Time: ,Thu Jul 23 12:30:00 CEST 2015, Time: ,Thu Jul 23 12:30:00 CEST 2015, Event: ,Swansea City AFC U19 v FC Academy Pandev U19, Favorite: ,FC Academy Pandev U19, 10038981   size:10.96,Price: ,1.08,The Draw, 58805   size:5.0,Price: ,3.1,x
1.119606892, Sport: ,Cricket, Time: ,Thu Jul 23 11:00:00 CEST 2015, Time: ,Thu Jul 23 11:00:00 CEST 2015, Event: ,Papua New Guinea v Afghanistan, Favorite: ,Afghanistan, 3786094   size:15.7,Price: ,1.34,Papua New Guinea, 2857977   size:43.77,Price: ,3.65,ok
1.119611861, Sport: ,Tennis, Time: ,Thu Jul 23 14:30:00 CEST 2015, Time: ,Thu Jul 23 14:30:00 CEST 2015, Event: ,Basilashvili v Mayer, Favorite: ,Florian Mayer, 2249400   size:12.37,Price: ,1.64,Nikoloz Basilashvili, 8257807   size:2.8,Price: ,2.28,x
1.119614337, Sport: ,Soccer, Time: ,Thu Jul 23 13:35:00 CEST 2015, Time: ,Thu Jul 23 13:35:00 CEST 2015, Event: ,Bayern Munich v Guangzhou FC, Favorite: ,Bayern Munich, 5774350   size:728.52,Price: ,1.15,The Draw, 58805   size:21.11,Price: ,9.4,Guangzhou FC, 5723376   size:8.22,Price: ,20.0,x
1.119595970, Sport: ,Soccer, Time: ,Thu Jul 23 13:30:00 CEST 2015, Time: ,Thu Jul 23 13:30:00 CEST 2015, Event: ,Albirex Niigata v Balestier Khalsa, Favorite: ,Albirex Niigata, 5712145   size:3.48,Price: ,1.84,The Draw, 58805   size:21.54,Price: ,3.35,Balestier Khalsa, 5322891   size:5.9,Price: ,4.9,x
1.119615963, Sport: ,Tennis, Time: ,Thu Jul 23 16:15:00 CEST 2015, Time: ,Thu Jul 23 16:15:00 CEST 2015, Event: ,Darcis v Janowicz, Favorite: ,Jerzy Janowicz, 3103303   size:66.54,Price: ,1.69,Steve Darcis, 2481589   size:5.81,Price: ,2.36,x
1.119614134, Sport: ,Soccer, Time: ,Thu Jul 23 13:00:00 CEST 2015, Time: ,Thu Jul 23 13:00:00 CEST 2015, Event: ,Ha Noi T and T v Thanh Hoa, Favorite: ,Ha Noi T and T, 9166358   size:4.52,Price: ,1.77,The Draw, 58805   size:3.25,Price: ,3.65,ok
1.119614078, Sport: ,Soccer, Time: ,Thu Jul 23 11:30:00 CEST 2015, Time: ,Thu Jul 23 11:30:00 CEST 2015, Event: ,Dong Thap v Dong Tam Long An, Favorite: ,Dong Thap, 9122534   size:9.74,Price: ,2.42,Dong Tam Long An, 2343976   size:2.55,Price: ,2.56,The Draw, 58805   size:2.55,Price: ,3.4,ok
1.119616085, Sport: ,Cricket, Time: ,Thu Jul 23 15:15:00 CEST 2015, Time: ,Thu Jul 23 15:15:00 CEST 2015, Event: ,Oman v Namibia, Favorite: ,Namibia, 144199   size:53.1,Price: ,1.71,Oman, 3786092   size:2.19,Price: ,2.28,x
1.119613181, Sport: ,Soccer, Time: ,Thu Jul 23 15:00:00 CEST 2015, Time: ,Thu Jul 23 15:00:00 CEST 2015, Event: ,APR FC Kigali v LLB Academic FC, Favorite: ,LLB Academic FC, 10036036   size:10.96,Price: ,1.08,The Draw, 58805   size:10.96,x
1.119616463, Sport: ,Tennis, Time: ,Thu Jul 23 12:30:00 CEST 2015, Time: ,Thu Jul 23 12:30:00 CEST 2015, Event: ,Vasilenko v Ivanov, Favorite: ,Vladimir Ivanov, 7658399   size:117.17,Price: ,1.57,Alexander Vasilenko, 7658528   size:2.62,Price: ,2.44,ok
1.119623439, Sport: ,Tennis, Time: ,Thu Jul 23 13:00:00 CEST 2015, Time: ,Thu Jul 23 13:00:00 CEST 2015, Event: ,And Martin v Nedovyesov, Favorite: ,Andrej Martin, 5071877   size:3.71,Price: ,1.72,Aleksandr Nedovyesov, 8188266   size:2.93,Price: ,2.18,ok
1.119614190, Sport: ,Soccer, Time: ,Thu Jul 23 13:00:00 CEST 2015, Time: ,Thu Jul 23 13:00:00 CEST 2015, Event: ,Quang Ninh v Binh Duong, Favorite: ,Binh Duong, 2909643   size:2.55,Price: ,2.16,Quang Ninh, 9127869   size:2.55,Price: ,3.25,The Draw, 58805   size:2.66,Price: ,3.5,ok
1.119622168, Sport: ,Tennis, Time: ,Thu Jul 23 14:00:00 CEST 2015, Time: ,Thu Jul 23 14:00:00 CEST 2015, Event: ,Kontaveit/Kulichkova v Chan/Melichar, Favorite: ,Chan/Melichar, 9752890   size:9.0,Price: ,1.63,Kontaveit/Kulichkova, 10025947   size:2.36,Price: ,2.12,x
1.119622147, Sport: ,Tennis, Time: ,Thu Jul 23 12:30:00 CEST 2015, Time: ,Thu Jul 23 12:30:00 CEST 2015, Event: ,Schmiedlova v Mitu, Favorite: ,Anna Karolina Schmiedlo, 9379842   size:577.78,Price: ,1.3,Andreea Mitu, 7289592   size:5.0,Price: ,4.0,ok
1.119529183, Sport: ,Soccer, Time: ,Thu Jul 23 13:30:00 CEST 2015, Time: ,Thu Jul 23 13:30:00 CEST 2015, Event: ,Warriors FC v Courts Young Lions, Favorite: ,Warriors FC, 7120994   size:3.79,Price: ,1.42,The Draw, 58805   size:3.73,Price: ,5.4,Courts Young Lions, 5907159   size:2.88,Price: ,7.0,x
1.119520547, Sport: ,Soccer, Time: ,Thu Jul 23 12:15:00 CEST 2015, Time: ,Thu Jul 23 12:15:00 CEST 2015, Event: ,Feni Soccer Club v Farashganj SC, Favorite: ,Feni Soccer Club, 8619019   size:5.25,Price: ,1.38,The Draw, 58805   size:4.32,Price: ,3.25,Farashganj SC, 9406575   size:3.84,Price: ,3.35,ok
1.119609064, Sport: ,Tennis, Time: ,Thu Jul 23 14:00:00 CEST 2015, Time: ,Thu Jul 23 14:00:00 CEST 2015, Event: ,Kasatkina v Goerges, Favorite: ,Daria Kasatkina, 7795290   size:1420.65,Price: ,1.9,Julia Goerges, 2320751   size:228.9,Price: ,2.02,ok
1.119616701, Sport: ,Tennis, Time: ,Thu Jul 23 11:00:00 CEST 2015, Time: ,Thu Jul 23 11:00:00 CEST 2015, Event: ,Kovinic/Vogt v Rosolska/Siegemund, Favorite: ,Rosolska/Siegemund, 10027019   size:4.01,Price: ,1.59,Kovinic/Vogt, 10027022   size:93.91,Price: ,2.24,x
1.119629893, Sport: ,Tennis, Time: ,Thu Jul 23 16:00:00 CEST 2015, Time: ,Thu Jul 23 16:00:00 CEST 2015, Event: ,Rodriguez v Rogowska, Favorite: ,Olivia Rogowska, 3610739   size:61.02,Price: ,1.54,Victoria Rodriguez, 7082844   size:2.55,Price: ,2.5,x
1.119623443, Sport: ,Tennis, Time: ,Thu Jul 23 11:00:00 CEST 2015, Time: ,Thu Jul 23 11:00:00 CEST 2015, Event: ,Istomin v Almagro, Favorite: ,Nicolas Almagro, 2257310   size:130.1,Price: ,1.44,Denis Istomin, 2765780   size:336.11,Price: ,3.2,x
1.119608733, Sport: ,Tennis, Time: ,Thu Jul 23 12:45:00 CEST 2015, Time: ,Thu Jul 23 12:45:00 CEST 2015, Event: ,Mathieu v Gulbis, Favorite: ,Ernests Gulbis, 2257536   size:81.69,Price: ,1.81,Paul-Henri Mathieu, 8259186   size:56.73,Price: ,2.22,x
1.119629877, Sport: ,Tennis, Time: ,Thu Jul 23 14:45:00 CEST 2015, Time: ,Thu Jul 23 14:45:00 CEST 2015, Event: ,Betov/Elgin v Chardy/Kubot, Favorite: ,Chardy/Kubot, 6337241   size:3.47,Price: ,1.44,Betov/Elgin, 8908427   size:7.87,Price: ,2.56,ok
