1.119475844, Sport: ,Tennis, Time: ,Sun Jul 12 14:00:00 CEST 2015, Time: ,Sun Jul 12 14:00:00 CEST 2015, Event: ,Kasatkina v Ene, Favorite: ,Daria Kasatkina, 7795290   size:2.53,Price: ,1.13,Cristina Ene, 8679178   size:24.81,Price: ,6.6,ok
1.119412278, Sport: ,Soccer, Time: ,Mon Jul 13 02:30:00 CEST 2015, Time: ,Mon Jul 13 02:30:00 CEST 2015, Event: ,Santamarina v Boca Unidos, Favorite: ,Santamarina, 5985057   size:2.8,Price: ,1.77,The Draw, 58805   size:14.88,Price: ,3.1,Boca Unidos, 5369720   size:7.82,Price: ,4.5,ok
1.119392340, Sport: ,Rugby League, Time: ,Sun Jul 12 16:00:00 CEST 2015, Time: ,Sun Jul 12 16:00:00 CEST 2015, Event: ,Hull FC v Castleford, Favorite: ,Hull FC, 23395   size:6.0,Price: ,1.87,Castleford, 121729   size:2.31,Price: ,2.22,Draw, 11126   size:32.5,Price: ,21.0,ok
1.119372844, Sport: ,Soccer, Time: ,Sun Jul 12 15:30:00 CEST 2015, Time: ,Sun Jul 12 15:30:00 CEST 2015, Event: ,Stabaek v Sarpsborg, Favorite: ,Stabaek, 50045   size:220.88,Price: ,1.62,The Draw, 58805   size:30.73,Price: ,4.5,Sarpsborg, 778903   size:2.58,Price: ,6.0,x
1.119476143, Sport: ,Tennis, Time: ,Sun Jul 12 13:30:00 CEST 2015, Time: ,Sun Jul 12 13:30:00 CEST 2015, Event: ,Rus v Glatch, Favorite: ,Alexa Glatch, 2481491   size:12.02,Price: ,1.45,Arantxa Rus, 2451050   size:4.5,Price: ,2.78,x
1.119371634, Sport: ,Soccer, Time: ,Sun Jul 12 17:00:00 CEST 2015, Time: ,Sun Jul 12 17:00:00 CEST 2015, Event: ,Cracovia Krakow v Wolfsburg, Favorite: ,Wolfsburg, 44521   size:10.53,Price: ,1.07,Cracovia Krakow, 880537   size:79.04,Price: ,1.2,The Draw, 58805   size:3.51,Price: ,1.29,x
1.119374103, Sport: ,Soccer, Time: ,Sun Jul 12 17:30:00 CEST 2015, Time: ,Sun Jul 12 17:30:00 CEST 2015, Event: ,FC Santa Claus v AC Kajaani, Favorite: ,AC Kajaani, 6323887   size:2.65,Price: ,1.77,FC Santa Claus, 3844379   size:4.24,Price: ,3.65,The Draw, 58805   size:4.75,Price: ,3.9,x
1.119464269, Sport: ,Soccer, Time: ,Mon Jul 13 00:00:00 CEST 2015, Time: ,Mon Jul 13 00:00:00 CEST 2015, Event: ,Portuguesa SP v Guarani SP, Favorite: ,Portuguesa SP, 3159966   size:7.51,Price: ,2.22,The Draw, 58805   size:2.09,Price: ,2.94,Guarani SP, 5310337   size:4.18,Price: ,3.7,ok
1.119367824, Sport: ,Soccer, Time: ,Sun Jul 12 17:30:00 CEST 2015, Time: ,Sun Jul 12 17:30:00 CEST 2015, Event: ,IFK Goteborg v Norrkoping, Favorite: ,IFK Goteborg, 30689   size:69.01,Price: ,1.8,The Draw, 58805   size:52.23,Price: ,3.95,Norrkoping, 30683   size:43.66,Price: ,5.0,x
1.119464381, Sport: ,Soccer, Time: ,Sun Jul 12 18:00:00 CEST 2015, Time: ,Sun Jul 12 18:00:00 CEST 2015, Event: ,Rakvere Tarvas v Vandra JK Vaprus, Favorite: ,Vandra JK Vaprus, 7583239   size:7.49,Price: ,2.04,Rakvere Tarvas, 5860928   size:7.37,Price: ,2.14,The Draw, 58805   size:15.17,Price: ,3.45,x
1.119470965, Sport: ,Tennis, Time: ,Sun Jul 12 12:45:00 CEST 2015, Time: ,Sun Jul 12 12:45:00 CEST 2015, Event: ,Dutra Silva v Drzewiecki, Favorite: ,Rogerio Dutra Silva, 2301068   size:2.53,Price: ,1.08,Karol Drzewiecki, 8697506   size:3.38,Price: ,8.0,ok
1.119476155, Sport: ,Tennis, Time: ,Sun Jul 12 14:00:00 CEST 2015, Time: ,Sun Jul 12 14:00:00 CEST 2015, Event: ,Vogt v Burnett, Favorite: ,Stephanie Vogt, 2548776   size:5.6,Price: ,1.51,Nastassja Burnett, 6373914   size:8.45,Price: ,2.7,x
