1.122701869, Sport: ,Soccer, Time: ,Sat Jan 23 01:00:00 CET 2016, Time: ,Sat Jan 23 01:00:00 CET 2016, Event: ,Deportes Iquique v Huachipato, Favorite: ,Deportes Iquique, 5271441   size:213.37,Price: ,2.24,Huachipato, 2019917   size:180.21,Price: ,3.25,The Draw, 58805   size:8.99,Price: ,3.75
1.122705953, Sport: ,Soccer, Time: ,Sat Jan 23 08:00:00 CET 2016, Time: ,Sat Jan 23 08:00:00 CET 2016, Event: ,Nghe An U19 v Cong An Nhan Dan U19, Favorite: ,Nghe An U19, 9147069   size:66.15,Price: ,1.64,Cong An Nhan Dan U19, 9137088   size:22.41,Price: ,3.95,The Draw, 58805   size:24.49,Price: ,3.7
1.122705733, Sport: ,Soccer, Time: ,Sat Jan 23 10:00:00 CET 2016, Time: ,Sat Jan 23 10:00:00 CET 2016, Event: ,Thanh Hoa v Quang Ninh, Favorite: ,Thanh Hoa, 7227126   size:7.92,Price: ,1.07,Quang Ninh, 9127869   size:7.92,Price: ,1.07,The Draw, 58805   size:7.92,Price: ,1.07
1.122706008, Sport: ,Soccer, Time: ,Sat Jan 23 10:30:00 CET 2016, Time: ,Sat Jan 23 10:30:00 CET 2016, Event: ,Quang Ngai U19 v Quang Nam U19, Favorite: ,Quang Nam U19, 8126914   size:66.15,Price: ,1.64,Quang Ngai U19, 10718663   size:21.32,Price: ,4.1,The Draw, 58805   size:24.95,Price: ,3.65
1.122705843, Sport: ,Soccer, Time: ,Sat Jan 23 10:30:00 CET 2016, Time: ,Sat Jan 23 10:30:00 CET 2016, Event: ,Dong Thap U19 v PVF U19, Favorite: ,Dong Thap U19, 8286361   size:7.92,Price: ,1.07,PVF U19, 9145443   size:7.92,Price: ,1.07,The Draw, 58805   size:7.92,Price: ,1.07
1.122706358, Sport: ,Soccer, Time: ,Sat Jan 23 11:00:00 CET 2016, Time: ,Sat Jan 23 11:00:00 CET 2016, Event: ,Pisek v Pribram, Favorite: ,Pribram, 1533863   size:62.45,Price: ,1.24,Pisek, 4940259   size:9.72,Price: ,7.8,The Draw, 58805   size:11.31,Price: ,5.4
1.122721672, Sport: ,Soccer, Time: ,Sat Jan 23 11:00:00 CET 2016, Time: ,Sat Jan 23 11:00:00 CET 2016, Event: ,Inter Zapresic v Teplice, Favorite: ,Inter Zapresic, 729701   size:27.73,Price: ,1.02,Teplice, 174264   size:27.73,Price: ,1.02,The Draw, 58805   size:2.64,Price: ,1.25
1.122706209, Sport: ,Soccer, Time: ,Sat Jan 23 11:00:00 CET 2016, Time: ,Sat Jan 23 11:00:00 CET 2016, Event: ,MKS Kluczbork v Energetyk ROW, Favorite: ,MKS Kluczbork, 4135270   size:2.55,Price: ,1.91,Energetyk ROW, 7444778   size:28.14,Price: ,3.35,The Draw, 58805   size:28.14,Price: ,3.35
1.122721727, Sport: ,Soccer, Time: ,Sat Jan 23 11:00:00 CET 2016, Time: ,Sat Jan 23 11:00:00 CET 2016, Event: ,Koper v SV Horn, Favorite: ,Koper, 166903   size:27.73,Price: ,1.02,SV Horn, 2192222   size:27.73,Price: ,1.02,The Draw, 58805   size:2.64,Price: ,1.25
1.122701471, Sport: ,Soccer, Time: ,Sat Jan 23 12:00:00 CET 2016, Time: ,Sat Jan 23 12:00:00 CET 2016, Event: ,US Citta di Palermo U19 v SS Lazio U19, Favorite: ,US Citta di Palermo U19, 6995070   size:64.84,Price: ,2.02,SS Lazio U19, 6839228   size:33.4,Price: ,2.98,The Draw, 58805   size:28.14,Price: ,3.35
1.122706133, Sport: ,Soccer, Time: ,Sat Jan 23 12:00:00 CET 2016, Time: ,Sat Jan 23 12:00:00 CET 2016, Event: ,Lech Poznan v Wigry Suwalki, Favorite: ,Lech Poznan, 502303   size:2.55,Price: ,1.54,Wigry Suwalki, 4935961   size:16.96,Price: ,4.9,The Draw, 58805   size:2.55,Price: ,3.85
1.122705898, Sport: ,Soccer, Time: ,Sat Jan 23 12:30:00 CET 2016, Time: ,Sat Jan 23 12:30:00 CET 2016, Event: ,Lam Dong U19 v Da Nang FC U19, Favorite: ,Lam Dong U19, 9137080   size:48.63,Price: ,2.36,Da Nang FC U19, 9137078   size:41.86,Price: ,2.58,The Draw, 58805   size:30.06,Price: ,3.2
1.122701416, Sport: ,Soccer, Time: ,Sat Jan 23 14:30:00 CET 2016, Time: ,Sat Jan 23 14:30:00 CET 2016, Event: ,AC Milan U19 v Calcio Como U19, Favorite: ,AC Milan U19, 2502326   size:66.15,Price: ,1.52,Calcio Como U19, 9509684   size:18.36,Price: ,4.6,The Draw, 58805   size:23.2,Price: ,3.85
1.122701636, Sport: ,Soccer, Time: ,Sat Jan 23 14:30:00 CET 2016, Time: ,Sat Jan 23 14:30:00 CET 2016, Event: ,Bologna FC U19 v Brescia Calcio U19, Favorite: ,Bologna FC U19, 6600051   size:61.24,Price: ,2.08,Brescia Calcio U19, 6673850   size:35.18,Price: ,2.88,The Draw, 58805   size:29.39,Price: ,3.25
1.122701581, Sport: ,Soccer, Time: ,Sat Jan 23 14:30:00 CET 2016, Time: ,Sat Jan 23 14:30:00 CET 2016, Event: ,UC Sampdoria U19 v US Sassuolo Calcio U19, Favorite: ,UC Sampdoria U19, 6670858   size:48.63,Price: ,2.36,US Sassuolo Calcio U19, 6639286   size:48.63,Price: ,2.36,The Draw, 58805   size:25.93,Price: ,3.55
1.122701526, Sport: ,Soccer, Time: ,Sat Jan 23 14:30:00 CET 2016, Time: ,Sat Jan 23 14:30:00 CET 2016, Event: ,ACF Fiorentina U19 v AS Livorno U19, Favorite: ,ACF Fiorentina U19, 6612359   size:2.53,Price: ,1.07,AS Livorno U19, 6641811   size:2.53,Price: ,26.0,The Draw, 58805   size:2.53,Price: ,9.4
1.122679724, Sport: ,Ice Hockey, Time: ,Sat Jan 23 16:00:00 CET 2016, Time: ,Sat Jan 23 16:00:00 CET 2016, Event: ,BIK Karlskoga v Mora IK, Favorite: ,BIK Karlskoga, 7670004   size:4.93,Price: ,1.65,Mora IK, 764327   size:5.43,Price: ,3.85,Tie, 60104   size:5.4,Price: ,4.0
1.122677992, Sport: ,Soccer, Time: ,Sat Jan 23 16:00:00 CET 2016, Time: ,Sat Jan 23 16:00:00 CET 2016, Event: ,Brentwood Town v Burgess Hill Town, Favorite: ,Brentwood Town, 10296970   size:3.82,Price: ,2.3,Burgess Hill Town, 3396718   size:41.86,Price: ,2.58,The Draw, 58805   size:9.61,Price: ,3.75
1.122677996, Sport: ,Soccer, Time: ,Sat Jan 23 16:00:00 CET 2016, Time: ,Sat Jan 23 16:00:00 CET 2016, Event: ,East Thurrock v Dulwich Hamlet, Favorite: ,East Thurrock, 1338701   size:52.88,Price: ,2.28,Dulwich Hamlet, 7744599   size:41.86,Price: ,2.58,The Draw, 58805   size:30.24,Price: ,3.25
1.122677998, Sport: ,Soccer, Time: ,Sat Jan 23 16:00:00 CET 2016, Time: ,Sat Jan 23 16:00:00 CET 2016, Event: ,Farnborough v Merstham, Favorite: ,Farnborough, 256188   size:2.63,Price: ,2.46,Merstham, 2870970   size:2.63,Price: ,2.46,The Draw, 58805   size:6.89,Price: ,3.5
1.122596576, Sport: ,Soccer, Time: ,Sat Jan 23 17:00:00 CET 2016, Time: ,Sat Jan 23 17:00:00 CET 2016, Event: ,Paris St-G v Angers, Favorite: ,Paris St-G, 489720   size:11540.62,Price: ,1.2,Angers, 473963   size:101.88,Price: ,21.0,The Draw, 58805   size:185.44,Price: ,7.6
1.122680124, Sport: ,Basketball, Time: ,Sat Jan 23 17:00:00 CET 2016, Time: ,Sat Jan 23 17:00:00 CET 2016, Event: ,Levski Sofia v BC Beroe, Favorite: ,Levski Sofia, 8783027   size:6.34,Price: ,1.03,BC Beroe, 7875168   size:6.34,Price: ,1.03
1.122701691, Sport: ,Soccer, Time: ,Sat Jan 23 18:00:00 CET 2016, Time: ,Sat Jan 23 18:00:00 CET 2016, Event: ,SC Toulon Le Las v Martigues, Favorite: ,SC Toulon Le Las, 10743262   size:7.92,Price: ,1.07,Martigues, 269794   size:7.92,Price: ,1.07,The Draw, 58805   size:7.92,Price: ,1.07
1.122680284, Sport: ,Basketball, Time: ,Fri Jan 22 18:30:00 CET 2016, Time: ,Fri Jan 22 18:30:00 CET 2016, Event: ,Energa Czarni Slupsk v Polpharma Starogard Gda, Favorite: ,Energa Czarni Slupsk, 2125689   size:164.39,Price: ,1.02,Polpharma Starogard Gda, 10328252   size:14.37,Price: ,4.0
