1.122162782, Sport: ,Soccer, Time: ,Sun Dec 06 17:00:00 CET 2015, Time: ,Sun Dec 06 17:00:00 CET 2015, Event: ,Club Haro Deportivo v ACD San Marcial, Favorite: ,ACD San Marcial, 8344332   size:30.79,Price: ,1.1,Club Haro Deportivo, 7536128   size:3.67,Price: ,1.11,The Draw, 58805   size:14.46,Price: ,4.1,x
1.122163872, Sport: ,Soccer, Time: ,Sun Dec 06 16:00:00 CET 2015, Time: ,Sun Dec 06 16:00:00 CET 2015, Event: ,Sporting Huelva II (W) v Algaidas CD (W), Favorite: ,Sporting Huelva II (W), 10597150   size:3.67,Price: ,1.11,Algaidas CD (W), 10597152   size:4.95,Price: ,5.6,The Draw, 58805   size:12.49,Price: ,3.15,ok
1.122162426, Sport: ,Soccer, Time: ,Sun Dec 06 16:30:00 CET 2015, Time: ,Sun Dec 06 16:30:00 CET 2015, Event: ,CDE A Fenix Racing (W) v EF Mareo (W), Favorite: ,CDE A Fenix Racing (W), 10550121   size:3.67,Price: ,1.11,EF Mareo (W), 8257559   size:3.67,Price: ,1.11,The Draw, 58805   size:12.49,Price: ,3.15,x
1.122164965, Sport: ,Ice Hockey, Time: ,Sun Dec 06 16:00:00 CET 2015, Time: ,Sun Dec 06 16:00:00 CET 2015, Event: ,Bjorkloven v Pantern, Favorite: ,Bjorkloven, 247108   size:10.1,Price: ,1.04,Pantern, 9322154   size:10.1,Price: ,1.04,Tie, 60104   size:6.73,Price: ,1.06,x
1.122163634, Sport: ,Soccer, Time: ,Sun Dec 06 12:30:00 CET 2015, Time: ,Sun Dec 06 12:30:00 CET 2015, Event: ,Real Betis (W) v Granada CF (W), Favorite: ,Real Betis (W), 9492959   size:5.97,Price: ,1.73,Granada CF (W), 7331625   size:58.8,Price: ,2.8,The Draw, 58805   size:40.42,Price: ,4.1,ok
1.122048630, Sport: ,Soccer, Time: ,Sun Dec 06 17:00:00 CET 2015, Time: ,Sun Dec 06 17:00:00 CET 2015, Event: ,Oviedo v Llagostera, Favorite: ,Oviedo, 21678   size:69.12,Price: ,1.65,Llagostera, 5759756   size:3.25,Price: ,6.4,The Draw, 58805   size:99.59,Price: ,4.0,ok
1.122045240, Sport: ,Soccer, Time: ,Sun Dec 06 13:45:00 CET 2015, Time: ,Sun Dec 06 13:45:00 CET 2015, Event: ,Lugano v Grasshoppers Zurich, Favorite: ,Grasshoppers Zurich, 373489   size:588.63,Price: ,2.2,Lugano, 65780   size:275.41,Price: ,3.2,The Draw, 58805   size:56.47,Price: ,3.95,x
1.122124020, Sport: ,Basketball, Time: ,Mon Dec 07 02:00:00 CET 2015, Time: ,Mon Dec 07 02:00:00 CET 2015, Event: ,Vanderbilt @ Baylor, Favorite: ,Vanderbilt, 701625   size:2.77,Price: ,1.03,Baylor, 705559   size:2.77,Price: ,1.03,x
1.122049729, Sport: ,Soccer, Time: ,Sun Dec 06 14:30:00 CET 2015, Time: ,Sun Dec 06 14:30:00 CET 2015, Event: ,Akragas v Foggia, Favorite: ,Foggia, 522053   size:2.98,Price: ,2.22,Akragas, 8750960   size:8.19,Price: ,4.0,The Draw, 58805   size:17.07,Price: ,3.2,ok
1.122151892, Sport: ,Basketball, Time: ,Sun Dec 06 14:00:00 CET 2015, Time: ,Sun Dec 06 14:00:00 CET 2015, Event: ,Kataja v Kouvot Kouvola, Favorite: ,Kataja, 1364981   size:2.55,Price: ,1.64,Kouvot Kouvola, 7749353   size:2.55,Price: ,2.38,ok
1.122049725, Sport: ,Soccer, Time: ,Sun Dec 06 14:00:00 CET 2015, Time: ,Sun Dec 06 14:00:00 CET 2015, Event: ,Maceratese v Carrarese, Favorite: ,Maceratese, 9501961   size:5.97,Price: ,2.24,Carrarese, 5727549   size:86.12,Price: ,3.65,The Draw, 58805   size:3.82,Price: ,3.2,ok
1.122172138, Sport: ,Soccer, Time: ,Sun Dec 06 09:30:00 CET 2015, Time: ,Sun Dec 06 09:30:00 CET 2015, Event: ,Hong Kong FC v Citizen AA, Favorite: ,Hong Kong FC, 5222607   size:4.29,Price: ,1.84,Citizen AA, 5284358   size:4.34,Price: ,3.85,The Draw, 58805   size:3.84,Price: ,4.1,x
1.122049727, Sport: ,Soccer, Time: ,Sun Dec 06 14:30:00 CET 2015, Time: ,Sun Dec 06 14:30:00 CET 2015, Event: ,Delhi Dynamos v FC Goa, Favorite: ,Delhi Dynamos, 8897748   size:4.41,Price: ,2.2,FC Goa, 8900343   size:22.96,Price: ,3.35,The Draw, 58805   size:2.77,Price: ,3.6,x
