1.121157962, Sport: ,Basketball, Time: ,Mon Oct 12 02:00:00 CEST 2015, Time: ,Mon Oct 12 02:00:00 CEST 2015, Event: ,Orlando @ Houston, Favorite: ,Houston, 13123   size:9.45,Price: ,1.43,Orlando, 13104   size:26.0,Price: ,2.94,x
1.121195648, Sport: ,Tennis, Time: ,Mon Oct 12 12:00:00 CEST 2015, Time: ,Mon Oct 12 12:00:00 CEST 2015, Event: ,Davis/Nara v Chan/Lee, Favorite: ,Davis/Nara, 9685676   size:2.54,Price: ,1.67,Chan/Lee, 10407871   size:2.34,Price: ,2.14,x
1.121040365, Sport: ,Soccer, Time: ,Mon Oct 12 18:00:00 CEST 2015, Time: ,Mon Oct 12 18:00:00 CEST 2015, Event: ,Austria v Liechtenstein, Favorite: ,Austria, 61463   size:57735.23,Price: ,1.07,Liechtenstein, 25909   size:22.65,Price: ,80.0,The Draw, 58805   size:174.21,Price: ,16.5,ok
1.121189081, Sport: ,Basketball, Time: ,Mon Oct 12 18:00:00 CEST 2015, Time: ,Mon Oct 12 18:00:00 CEST 2015, Event: ,Pardubice v Opava, Favorite: ,Pardubice, 5942835   size:2.54,Price: ,1.38,Opava, 7758596   size:13.97,Price: ,3.25,x
1.121188271, Sport: ,Tennis, Time: ,Mon Oct 12 12:00:00 CEST 2015, Time: ,Mon Oct 12 12:00:00 CEST 2015, Event: ,Tsonga v Robredo, Favorite: ,Jo-Wilfried Tsonga, 4190307   size:711.23,Price: ,1.36,Tommy Robredo, 2257298   size:14.8,Price: ,3.6,ok
1.121041172, Sport: ,Soccer, Time: ,Mon Oct 12 17:00:00 CEST 2015, Time: ,Mon Oct 12 17:00:00 CEST 2015, Event: ,Hapoel Nazareth Illit v Ironi Ramat HaSharon, Favorite: ,Ironi Ramat HaSharon, 6242601   size:2.0,Price: ,2.14,Hapoel Nazareth Illit, 5178712   size:2.54,Price: ,3.45,The Draw, 58805   size:22.74,Price: ,3.3,x
1.121145227, Sport: ,Soccer, Time: ,Mon Oct 12 18:00:00 CEST 2015, Time: ,Mon Oct 12 18:00:00 CEST 2015, Event: ,Croatia U21 v Russia U21, Favorite: ,Russia U21, 354489   size:10.56,Price: ,1.32,Croatia U21, 210054   size:10.56,Price: ,1.75,The Draw, 58805   size:10.56,Price: ,2.7,ok
1.121190476, Sport: ,Tennis, Time: ,Mon Oct 12 12:00:00 CEST 2015, Time: ,Mon Oct 12 12:00:00 CEST 2015, Event: ,de Bakker v Gimeno-Traver, Favorite: ,Thiemo De Bakker, 8720949   size:39.45,Price: ,1.08,Daniel Gimeno-Traver, 8260127   size:39.45,Price: ,1.08,ok
1.121195005, Sport: ,Tennis, Time: ,Mon Oct 12 14:00:00 CEST 2015, Time: ,Mon Oct 12 14:00:00 CEST 2015, Event: ,Hanescu v Copil, Favorite: ,Marius Copil, 4195870   size:210.49,Price: ,1.51,Victor Hanescu, 2263612   size:5.72,Price: ,2.5,x
1.121192650, Sport: ,Soccer, Time: ,Mon Oct 12 15:00:00 CEST 2015, Time: ,Mon Oct 12 15:00:00 CEST 2015, Event: ,Poland U19 v Slovenia U19, Favorite: ,Poland U19, 820889   size:10.56,Price: ,1.32,Slovenia U19, 1485109   size:10.56,Price: ,1.75,The Draw, 58805   size:10.56,Price: ,2.7,x
1.121196214, Sport: ,Tennis, Time: ,Mon Oct 12 11:00:00 CEST 2015, Time: ,Mon Oct 12 11:00:00 CEST 2015, Event: ,R Barbosa v S Napolitano, Favorite: ,Romain Barbosa, 8490661   size:3.08,Price: ,1.08,Stefano Napolitano, 8257870   size:3.08,Price: ,1.08,ok
1.121197783, Sport: ,Tennis, Time: ,Mon Oct 12 11:00:00 CEST 2015, Time: ,Mon Oct 12 11:00:00 CEST 2015, Event: ,Ostapenko v Voegele, Favorite: ,Jelena Ostapenko, 8827537   size:2.54,Price: ,1.37,Stefanie Voegele, 3622149   size:5.72,Price: ,3.05,x
1.121109969, Sport: ,Basketball, Time: ,Mon Oct 12 02:30:00 CEST 2015, Time: ,Mon Oct 12 02:30:00 CEST 2015, Event: ,Minnesota @ Indiana, Favorite: ,Indiana, 13116   size:19.08,Price: ,1.79,Minnesota, 13118   size:1044.63,Price: ,2.14,ok
1.121187987, Sport: ,Tennis, Time: ,Mon Oct 12 07:30:00 CEST 2015, Time: ,Mon Oct 12 07:30:00 CEST 2015, Event: ,Karlovic v Chardy, Favorite: ,Jeremy Chardy, 2304933   size:161.37,Price: ,1.85,Ivo Karlovic, 2263570   size:120.47,Price: ,2.1,x
1.121194828, Sport: ,Soccer, Time: ,Mon Oct 12 10:00:00 CEST 2015, Time: ,Mon Oct 12 10:00:00 CEST 2015, Event: ,Hung Vuong An Giang U21 v Long An FC U21, Favorite: ,Hung Vuong An Giang U21, 8773425   size:2.54,Price: ,1.46,Long An FC U21, 8773423   size:2.54,Price: ,2.2,The Draw, 58805   size:2.54,Price: ,3.9,x
1.121195917, Sport: ,Tennis, Time: ,Mon Oct 12 11:00:00 CEST 2015, Time: ,Mon Oct 12 11:00:00 CEST 2015, Event: ,Sela/Weintraub v Bhambri/Venus, Favorite: ,Sela/Weintraub, 10407971   size:6.16,Price: ,1.04,Bhambri/Venus, 8206157   size:6.16,Price: ,1.04,ok
1.121188314, Sport: ,Tennis, Time: ,Mon Oct 12 14:00:00 CEST 2015, Time: ,Mon Oct 12 14:00:00 CEST 2015, Event: ,Ma Cilic v D Wu, Favorite: ,Marin Cilic, 2263681   size:102532.74,Price: ,1.04,Di Wu, 4596953   size:33.58,Price: ,18.5,ok
1.121188678, Sport: ,Tennis, Time: ,Mon Oct 12 12:00:00 CEST 2015, Time: ,Mon Oct 12 12:00:00 CEST 2015, Event: ,Inglot/Lindstedt v Peya/Soares, Favorite: ,Peya/Soares, 6504095   size:2.58,Price: ,1.57,Inglot/Lindstedt, 10075651   size:2.54,Price: ,2.22,x
1.121190468, Sport: ,Tennis, Time: ,Mon Oct 12 12:00:00 CEST 2015, Time: ,Mon Oct 12 12:00:00 CEST 2015, Event: ,Cervantes v Zekic, Favorite: ,Inigo Cervantes, 6297238   size:2.54,Price: ,1.1,Miljan Zekic, 7444811   size:2.54,Price: ,1.36,ok
1.121197412, Sport: ,Tennis, Time: ,Mon Oct 12 13:30:00 CEST 2015, Time: ,Mon Oct 12 13:30:00 CEST 2015, Event: ,Rybarikova v Friedsam, Favorite: ,Magdalena Rybarikova, 2548763   size:17.78,Price: ,1.73,Anna-Lena Friedsam, 7593369   size:36.27,Price: ,2.24,x
1.121195197, Sport: ,Tennis, Time: ,Mon Oct 12 18:00:00 CEST 2015, Time: ,Mon Oct 12 18:00:00 CEST 2015, Event: ,Juan  Galarza v Dellien, Favorite: ,Hugo Dellien, 8226987   size:2.54,Price: ,1.1,Juan Ignacio Galarza, 8979626   size:2.54,Price: ,1.16,ok
1.121119983, Sport: ,Basketball, Time: ,Mon Oct 12 18:00:00 CEST 2015, Time: ,Mon Oct 12 18:00:00 CEST 2015, Event: ,Zadar v Mega Vizura, Favorite: ,Mega Vizura, 7735104   size:82.74,Price: ,1.82,Zadar, 680759   size:8.13,Price: ,2.08,ok
1.121120210, Sport: ,Volleyball, Time: ,Mon Oct 12 12:00:00 CEST 2015, Time: ,Mon Oct 12 12:00:00 CEST 2015, Event: ,Cheonan Hyundai Capital v Seoul Woori Card Hansae, Favorite: ,Cheonan Hyundai Capital, 10391679   size:2767.87,Price: ,1.01,Seoul Woori Card Hansae, 10391680   size:98.64,Price: ,3.9,ok
1.121196725, Sport: ,Tennis, Time: ,Mon Oct 12 15:00:00 CEST 2015, Time: ,Mon Oct 12 15:00:00 CEST 2015, Event: ,Solovyeva/Vogt v Duque-Mari/Soler-Espin, Favorite: ,Solovyeva/Vogt, 10408358   size:6.16,Price: ,1.04,Duque-Mari/Soler-Espin, 10408359   size:6.16,Price: ,1.04,ok
1.121195635, Sport: ,Tennis, Time: ,Mon Oct 12 12:00:00 CEST 2015, Time: ,Mon Oct 12 12:00:00 CEST 2015, Event: ,Sher/Wu v Chuang/Kumkhum, Favorite: ,Chuang/Kumkhum, 8241921   size:2.54,Price: ,1.07,Sher/Wu, 10407859   size:14.6,Price: ,9.4,ok
1.121196207, Sport: ,Tennis, Time: ,Mon Oct 12 08:00:00 CEST 2015, Time: ,Mon Oct 12 08:00:00 CEST 2015, Event: ,Jim Wang v Cipolla, Favorite: ,Jimmy Wang, 5377090   size:33.32,Price: ,1.36,Flavio Cipolla, 2424788   size:2.69,Price: ,3.4,x
1.121196842, Sport: ,Tennis, Time: ,Mon Oct 12 11:00:00 CEST 2015, Time: ,Mon Oct 12 11:00:00 CEST 2015, Event: ,Konta v Koukalova, Favorite: ,Johanna Konta, 5596561   size:1076.14,Price: ,1.2,Klara Koukalova, 8445700   size:2.54,Price: ,4.8,x
1.121196721, Sport: ,Tennis, Time: ,Mon Oct 12 13:30:00 CEST 2015, Time: ,Mon Oct 12 13:30:00 CEST 2015, Event: ,Brengle/Mitu v Goerges/Larsson, Favorite: ,Brengle/Mitu, 10408356   size:6.16,Price: ,1.04,Goerges/Larsson, 10408357   size:6.16,Price: ,1.04,x
1.121194663, Sport: ,Soccer, Time: ,Mon Oct 12 12:00:00 CEST 2015, Time: ,Mon Oct 12 12:00:00 CEST 2015, Event: ,FC Karpaty Lviv U19 v FC Olimpik Donetsk U19, Favorite: ,FC Olimpik Donetsk U19, 8801000   size:2.54,Price: ,1.57,FC Karpaty Lviv U19, 6566466   size:2.54,Price: ,1.61,The Draw, 58805   size:10.0,Price: ,3.9,x
1.121196962, Sport: ,Tennis, Time: ,Mon Oct 12 10:30:00 CEST 2015, Time: ,Mon Oct 12 10:30:00 CEST 2015, Event: ,Ka Chang v Komardina, Favorite: ,Kai-Chen Chang, 8887166   size:2535.77,Price: ,1.46,Anastasiya Komardina, 9148804   size:56.44,Price: ,3.0,x
1.121194388, Sport: ,Soccer, Time: ,Mon Oct 12 18:00:00 CEST 2015, Time: ,Mon Oct 12 18:00:00 CEST 2015, Event: ,Novelda CF v Elche Ilicitano, Favorite: ,Novelda CF, 6884092   size:10.56,Price: ,1.75,Elche Ilicitano, 10243224   size:10.56,Price: ,2.0,The Draw, 58805   size:10.56,Price: ,2.22,x
1.121195907, Sport: ,Tennis, Time: ,Mon Oct 12 04:30:00 CEST 2015, Time: ,Mon Oct 12 04:30:00 CEST 2015, Event: ,Melichar v Savchuk, Favorite: ,Olga Savchuk, 2263617   size:108.1,Price: ,1.22,Nicole Melichar, 7168420   size:9.04,Price: ,5.2,ok
1.121188820, Sport: ,Tennis, Time: ,Mon Oct 12 07:00:00 CEST 2015, Time: ,Mon Oct 12 07:00:00 CEST 2015, Event: ,F Liu v K Mladenovic, Favorite: ,Kristina Mladenovic, 3622052   size:5980.96,Price: ,1.15,Fangzhou Liu, 8174145   size:6.73,Price: ,7.0,ok
1.121188029, Sport: ,Tennis, Time: ,Mon Oct 12 09:15:00 CEST 2015, Time: ,Mon Oct 12 09:15:00 CEST 2015, Event: ,A Mannarino v Isner, Favorite: ,John Isner, 2474763   size:456.75,Price: ,1.29,Adrian Mannarino, 3066621   size:62.1,Price: ,4.2,ok
1.121190457, Sport: ,Tennis, Time: ,Mon Oct 12 13:45:00 CEST 2015, Time: ,Mon Oct 12 13:45:00 CEST 2015, Event: ,Riba v Rachidi, Favorite: ,Pere Riba, 2489421   size:6.16,Price: ,1.04,Younes Rachidi, 7185885   size:3.08,Price: ,1.08,ok
1.121195903, Sport: ,Tennis, Time: ,Mon Oct 12 04:30:00 CEST 2015, Time: ,Mon Oct 12 04:30:00 CEST 2015, Event: ,Zh Yang v L Kichenok, Favorite: ,Zhaoxuan Yang, 8172570   size:5.0,Price: ,1.91,Lyudmyla Kichenok, 4673013   size:5.0,Price: ,1.98,x
1.121188268, Sport: ,Tennis, Time: ,Mon Oct 12 07:30:00 CEST 2015, Time: ,Mon Oct 12 07:30:00 CEST 2015, Event: ,Kyrgios v A Haider-Maurer, Favorite: ,Nick Kyrgios, 7299658   size:1745.11,Price: ,1.19,Andreas Haider-Maurer, 8260128   size:44.46,Price: ,6.0,ok
1.121197403, Sport: ,Tennis, Time: ,Mon Oct 12 15:00:00 CEST 2015, Time: ,Mon Oct 12 15:00:00 CEST 2015, Event: ,M Gasparyan v C Witthoeft, Favorite: ,Margarita Gasparyan, 6750186   size:5.0,Price: ,1.77,Carina Witthoeft, 5408907   size:10.61,Price: ,2.18,ok
1.121195185, Sport: ,Tennis, Time: ,Mon Oct 12 17:00:00 CEST 2015, Time: ,Mon Oct 12 17:00:00 CEST 2015, Event: ,G Elias v R Olivo, Favorite: ,Gastao Elias, 2923174   size:39.45,Price: ,1.08,Renzo Olivo, 4822931   size:39.45,Price: ,1.08,ok
