1.121637850, Sport: ,Tennis, Time: ,Wed Nov 04 11:00:00 CET 2015, Time: ,Wed Nov 04 11:00:00 CET 2015, Event: ,Bopanna/Mergea v Cabal/Farah, Favorite: ,Cabal/Farah, 6098095   size:4.22,Price: ,1.82,Bopanna/Mergea, 8890432   size:73.16,Price: ,2.04,x
1.121634185, Sport: ,Soccer, Time: ,Wed Nov 04 12:30:00 CET 2015, Time: ,Wed Nov 04 12:30:00 CET 2015, Event: ,TP Ho Chi Minh (W) v Hong Kong (W), Favorite: ,TP Ho Chi Minh (W), 7335391   size:4.17,Price: ,1.07,Hong Kong (W), 7300086   size:4.17,Price: ,1.07,The Draw, 58805   size:5.0,Price: ,2.9,ok
1.121634183, Sport: ,Tennis, Time: ,Wed Nov 04 08:30:00 CET 2015, Time: ,Wed Nov 04 08:30:00 CET 2015, Event: ,Gohlke v Zgombic, Favorite: ,Fran Zvonimir Zgombic, 9628687   size:2.55,Price: ,1.39,Delf Gohlke, 9630275   size:2.55,Price: ,2.84,ok
1.121637610, Sport: ,Tennis, Time: ,Wed Nov 04 15:45:00 CET 2015, Time: ,Wed Nov 04 15:45:00 CET 2015, Event: ,Petzschner v Hernych, Favorite: ,Jan Hernych, 2249394   size:7.3,Price: ,1.04,Philipp Petzschner, 2525241   size:3.65,Price: ,1.08,ok
1.121606398, Sport: ,Tennis, Time: ,Wed Nov 04 11:00:00 CET 2015, Time: ,Wed Nov 04 11:00:00 CET 2015, Event: ,Dustov v Mi Basic, Favorite: ,Farrukh Dustov, 2386930   size:2.55,Price: ,1.74,Mirza Basic, 5499167   size:442.28,Price: ,2.22,x
1.121516227, Sport: ,Soccer, Time: ,Wed Nov 04 11:00:00 CET 2015, Time: ,Wed Nov 04 11:00:00 CET 2015, Event: ,Spartak Moscow U19 v Ajax U19, Favorite: ,Ajax U19, 2502327   size:5.45,Price: ,1.83,Spartak Moscow U19, 10317869   size:3.83,Price: ,3.6,The Draw, 58805   size:3.59,Price: ,4.2,ok
1.121515897, Sport: ,Soccer, Time: ,Wed Nov 04 14:00:00 CET 2015, Time: ,Wed Nov 04 14:00:00 CET 2015, Event: ,Roma U19 v Leverkusen U19, Favorite: ,Leverkusen U19, 7653282   size:2.55,Price: ,2.52,Roma U19, 6771865   size:6.01,Price: ,2.54,The Draw, 58805   size:2.28,Price: ,3.55,x
1.121648509, Sport: ,Tennis, Time: ,Wed Nov 04 11:00:00 CET 2015, Time: ,Wed Nov 04 11:00:00 CET 2015, Event: ,Dea Herdzelas v Valentyna Ivakhnenko, Favorite: ,Valentyna Ivakhnenko, 6498928   size:2.55,Price: ,1.76,Dea Herdzelas, 8443235   size:57.7,Price: ,2.22,x
1.121648345, Sport: ,Tennis, Time: ,Wed Nov 04 15:45:00 CET 2015, Time: ,Wed Nov 04 15:45:00 CET 2015, Event: ,Rosol v Nadal, Favorite: ,Rafael Nadal, 2251410   size:11949.63,Price: ,1.19,Lukas Rosol, 2258415   size:5.0,Price: ,5.7,ok
1.121646564, Sport: ,Tennis, Time: ,Wed Nov 04 14:00:00 CET 2015, Time: ,Wed Nov 04 14:00:00 CET 2015, Event: ,Coric v A Murray, Favorite: ,Andy Murray, 2256509   size:2327.55,Price: ,1.12,Borna Coric, 7446579   size:62.09,Price: ,8.6,ok
1.121634627, Sport: ,Soccer, Time: ,Wed Nov 04 12:00:00 CET 2015, Time: ,Wed Nov 04 12:00:00 CET 2015, Event: ,Lietava Jonava v FK Suduva, Favorite: ,FK Suduva, 198707   size:5.93,Price: ,1.21,Lietava Jonava, 5787370   size:5.0,Price: ,3.6,The Draw, 58805   size:5.0,Price: ,2.9,ok
