1.121687817, Sport: ,Snooker, Time: ,Fri Nov 06 12:00:00 CET 2015, Time: ,Fri Nov 06 12:00:00 CET 2015, Event: ,Luca Brecel v Lu Ning, Favorite: ,Lu Ning, 6185897   size:2.79,Price: ,1.01,Luca Brecel, 5073722   size:7.03,Price: ,1.36,x
1.121649299, Sport: ,Ice Hockey, Time: ,Fri Nov 06 18:30:00 CET 2015, Time: ,Fri Nov 06 18:30:00 CET 2015, Event: ,Latvia v Italy, Favorite: ,Tie, 60104   size:14.7,Price: ,1.02,Latvia, 140146   size:9.8,Price: ,1.03,Italy, 140149   size:9.8,Price: ,1.03,x
1.121662074, Sport: ,Soccer, Time: ,Fri Nov 06 14:15:00 CET 2015, Time: ,Fri Nov 06 14:15:00 CET 2015, Event: ,Al Rayyan v Al Wakrah, Favorite: ,Al Rayyan, 4692599   size:5.0,Price: ,1.22,Al Wakrah, 5170863   size:3.87,Price: ,6.8,The Draw, 58805   size:7.32,Price: ,5.0,ok
1.121685195, Sport: ,Tennis, Time: ,Fri Nov 06 13:30:00 CET 2015, Time: ,Fri Nov 06 13:30:00 CET 2015, Event: ,Friedsam v Chirico, Favorite: ,Anna-Lena Friedsam, 7593369   size:5.97,Price: ,1.39,Louisa Chirico, 7168233   size:17.66,Price: ,3.0,x
1.121649296, Sport: ,Ice Hockey, Time: ,Fri Nov 06 14:00:00 CET 2015, Time: ,Fri Nov 06 14:00:00 CET 2015, Event: ,Belarus v Japan, Favorite: ,Tie, 60104   size:14.7,Price: ,1.02,Belarus, 253801   size:9.8,Price: ,1.03,Japan, 140153   size:9.8,Price: ,1.03,x
1.121531896, Sport: ,Soccer, Time: ,Fri Nov 06 17:00:00 CET 2015, Time: ,Fri Nov 06 17:00:00 CET 2015, Event: ,Mordovia Saransk v Anzhi Makhachkala, Favorite: ,Mordovia Saransk, 4045119   size:152.16,Price: ,2.72,Anzhi Makhachkala, 50353   size:5.59,Price: ,2.94,The Draw, 58805   size:596.0,Price: ,3.2,ok
1.121607271, Sport: ,Cricket, Time: ,Fri Nov 06 17:00:00 CET 2015, Time: ,Fri Nov 06 17:00:00 CET 2015, Event: ,Lions v Titans, Favorite: ,Titans, 1254317   size:2.55,Price: ,1.68,Lions, 4294272   size:2.55,Price: ,2.2,ok
1.121662660, Sport: ,Soccer, Time: ,Fri Nov 06 11:00:00 CET 2015, Time: ,Fri Nov 06 11:00:00 CET 2015, Event: ,Dinamo Moscow (Y) v Kuban Krasnodar (Y), Favorite: ,Dinamo Moscow (Y), 7188762   size:6.07,Price: ,2.02,Kuban Krasnodar (Y), 7227084   size:2.55,Price: ,2.88,The Draw, 58805   size:3.67,Price: ,3.35,x
1.121662265, Sport: ,Soccer, Time: ,Fri Nov 06 13:00:00 CET 2015, Time: ,Fri Nov 06 13:00:00 CET 2015, Event: ,AS Magura Cisnadie v CNS Cetate Deva, Favorite: ,AS Magura Cisnadie, 10366643   size:4.2,Price: ,1.07,CNS Cetate Deva, 10201563   size:4.2,Price: ,1.07,The Draw, 58805   size:5.0,Price: ,2.9,x
1.121665698, Sport: ,Tennis, Time: ,Fri Nov 06 14:00:00 CET 2015, Time: ,Fri Nov 06 14:00:00 CET 2015, Event: ,Klaasen/Ram v Inglot/Lindstedt, Favorite: ,Inglot/Lindstedt, 10075651   size:5.97,Price: ,1.63,Klaasen/Ram, 9546313   size:2.44,Price: ,2.12,ok
1.121531992, Sport: ,Soccer, Time: ,Fri Nov 06 17:00:00 CET 2015, Time: ,Fri Nov 06 17:00:00 CET 2015, Event: ,Eskisehirspor v Osmanlispor, Favorite: ,Osmanlispor, 8854605   size:13.7,Price: ,2.46,Eskisehirspor, 2080746   size:82.88,Price: ,3.25,The Draw, 58805   size:583.45,Price: ,3.4,ok
1.121649308, Sport: ,Ice Hockey, Time: ,Fri Nov 06 16:00:00 CET 2015, Time: ,Fri Nov 06 16:00:00 CET 2015, Event: ,Slovenia v Austria, Favorite: ,Tie, 60104   size:14.7,Price: ,1.02,Slovenia, 140151   size:9.8,Price: ,1.03,Austria, 140148   size:9.8,Price: ,1.03,x
1.121661634, Sport: ,Soccer, Time: ,Fri Nov 06 18:00:00 CET 2015, Time: ,Fri Nov 06 18:00:00 CET 2015, Event: ,Tarxien Rainbows FC v Mosta, Favorite: ,Tarxien Rainbows FC, 6601765   size:2.55,Price: ,2.2,Mosta, 6117136   size:5.0,Price: ,2.44,The Draw, 58805   size:16.99,Price: ,3.25,x
1.121664548, Sport: ,Tennis, Time: ,Fri Nov 06 18:00:00 CET 2015, Time: ,Fri Nov 06 18:00:00 CET 2015, Event: ,H Zeballos v C Rodriguez, Favorite: ,Horacio Zeballos, 3506037   size:5.0,Price: ,1.11,Cristian Rodriguez, 8505866   size:21.27,Price: ,7.6,ok
1.121532724, Sport: ,Soccer, Time: ,Fri Nov 06 18:00:00 CET 2015, Time: ,Fri Nov 06 18:00:00 CET 2015, Event: ,Inter Zapresic v Lokomotiva, Favorite: ,Inter Zapresic, 729701   size:6.38,Price: ,2.28,Lokomotiva, 4057235   size:5.0,Price: ,3.3,The Draw, 58805   size:13.42,Price: ,3.55,x
1.121532408, Sport: ,Soccer, Time: ,Fri Nov 06 18:30:00 CET 2015, Time: ,Fri Nov 06 18:30:00 CET 2015, Event: ,FAC Team fur Wien v FC Liefering, Favorite: ,FC Liefering, 7321769   size:7.16,Price: ,1.85,FAC Team fur Wien, 3258138   size:22.43,Price: ,4.3,The Draw, 58805   size:36.34,Price: ,4.0,ok
1.121532946, Sport: ,Soccer, Time: ,Fri Nov 06 19:00:00 CET 2015, Time: ,Fri Nov 06 19:00:00 CET 2015, Event: ,Wehen Wiesbaden v Dynamo Dresden, Favorite: ,Dynamo Dresden, 498543   size:46.91,Price: ,2.12,Wehen Wiesbaden, 6500322   size:7.58,Price: ,3.6,The Draw, 58805   size:5.0,Price: ,3.6,x
1.121649302, Sport: ,Ice Hockey, Time: ,Fri Nov 06 15:00:00 CET 2015, Time: ,Fri Nov 06 15:00:00 CET 2015, Event: ,Denmark v Hungary, Favorite: ,Tie, 60104   size:14.7,Price: ,1.02,Denmark, 318860   size:9.8,Price: ,1.03,Hungary, 318859   size:9.8,Price: ,1.03,ok
1.121661909, Sport: ,Soccer, Time: ,Fri Nov 06 17:00:00 CET 2015, Time: ,Fri Nov 06 17:00:00 CET 2015, Event: ,Energetyk ROW v Wisla Pulawy, Favorite: ,Energetyk ROW, 7444778   size:3.73,Price: ,2.46,Wisla Pulawy, 5789666   size:2.55,Price: ,2.82,The Draw, 58805   size:3.96,Price: ,3.0,x
1.121663054, Sport: ,Soccer, Time: ,Fri Nov 06 12:00:00 CET 2015, Time: ,Fri Nov 06 12:00:00 CET 2015, Event: ,Oleksandria U21 v Shakhtar U21, Favorite: ,Shakhtar U21, 10096333   size:5.0,Price: ,1.16,Oleksandria U21, 10096655   size:5.0,Price: ,3.15,The Draw, 58805   size:5.0,Price: ,2.9,x
1.121653658, Sport: ,Basketball, Time: ,Fri Nov 06 19:04:00 CET 2015, Time: ,Fri Nov 06 19:04:00 CET 2015, Event: ,Sundsvall v Nassjo, Favorite: ,Sundsvall, 1309741   size:9.8,Price: ,1.03,Nassjo, 7735757   size:9.8,Price: ,1.03,ok
1.121532260, Sport: ,Soccer, Time: ,Fri Nov 06 18:30:00 CET 2015, Time: ,Fri Nov 06 18:30:00 CET 2015, Event: ,Austria Klagenfurt v FC Wacker Innsbruck, Favorite: ,FC Wacker Innsbruck, 2469752   size:3.6,Price: ,2.44,Austria Klagenfurt, 4902204   size:2.79,Price: ,3.05,The Draw, 58805   size:64.52,Price: ,3.6,ok
1.121662485, Sport: ,Soccer, Time: ,Fri Nov 06 13:00:00 CET 2015, Time: ,Fri Nov 06 13:00:00 CET 2015, Event: ,CS Atletic Bradu v CS Stefanesti, Favorite: ,CS Atletic Bradu, 7650200   size:4.2,Price: ,1.07,CS Stefanesti, 7207550   size:4.2,Price: ,1.07,The Draw, 58805   size:5.0,Price: ,2.9,x
1.121532088, Sport: ,Soccer, Time: ,Fri Nov 06 18:00:00 CET 2015, Time: ,Fri Nov 06 18:00:00 CET 2015, Event: ,Genclerbirligi v Mersin Idman Yurdu, Favorite: ,Genclerbirligi, 50350   size:401.91,Price: ,2.12,Mersin Idman Yurdu, 508779   size:17.19,Price: ,3.75,The Draw, 58805   size:345.96,Price: ,3.5,x
1.121653649, Sport: ,Basketball, Time: ,Fri Nov 06 19:04:00 CET 2015, Time: ,Fri Nov 06 19:04:00 CET 2015, Event: ,Malbas v Umea, Favorite: ,Malbas, 10363137   size:2.55,Price: ,1.05,Umea, 8781147   size:3.63,Price: ,1.77,ok
1.121662019, Sport: ,Soccer, Time: ,Fri Nov 06 16:30:00 CET 2015, Time: ,Fri Nov 06 16:30:00 CET 2015, Event: ,Al Gharafa v Al Sadd (QAT), Favorite: ,Al Sadd (QAT), 4525676   size:6.54,Price: ,1.78,Al Gharafa, 2909657   size:2.55,Price: ,3.8,The Draw, 58805   size:2.45,Price: ,3.75,ok
