1.122204801, Sport: ,Soccer, Time: ,Fri Dec 11 00:00:00 CET 2015, Time: ,Fri Dec 11 00:00:00 CET 2015, Event: ,Figueirense U20 v Bahia Salvador U20, Favorite: ,Figueirense U20, 6018798   size:30.58,Price: ,2.2,Bahia Salvador U20, 6846709   size:32.77,Price: ,3.0,The Draw, 58805   size:27.67,Price: ,3.15,x
1.122218490, Sport: ,Soccer, Time: ,Fri Dec 11 16:30:00 CET 2015, Time: ,Fri Dec 11 16:30:00 CET 2015, Event: ,Al Faisaly (JOR) v Al Buqaa, Favorite: ,Al Faisaly (JOR), 5551580   size:7.55,Price: ,1.26,Al Buqaa, 10428791   size:7.55,Price: ,5.3,The Draw, 58805   size:2.55,Price: ,3.55,ok
1.122189700, Sport: ,Snooker, Time: ,Fri Dec 11 11:00:00 CET 2015, Time: ,Fri Dec 11 11:00:00 CET 2015, Event: ,Mark Selby v Sydney Wilson, Favorite: ,Mark Selby, 2280127   size:2.55,Price: ,1.08,Sydney Wilson, 6570641   size:2.0,Price: ,7.2,ok
1.122203856, Sport: ,Basketball, Time: ,Fri Dec 11 09:15:00 CET 2015, Time: ,Fri Dec 11 09:15:00 CET 2015, Event: ,Blackwater Elite v Barako Bull Energy, Favorite: ,Barako Bull Energy, 5087272   size:5.93,Price: ,1.24,Blackwater Elite, 8911707   size:40.76,Price: ,4.4,x
1.122189701, Sport: ,Snooker, Time: ,Fri Dec 11 12:30:00 CET 2015, Time: ,Fri Dec 11 12:30:00 CET 2015, Event: ,Stephen Maguire v Sanderson Lam, Favorite: ,Stephen Maguire, 2278793   size:2.55,Price: ,1.13,Sanderson Lam, 6644308   size:16.41,Price: ,5.4,ok
1.122238378, Sport: ,Ice Hockey, Time: ,Fri Dec 11 17:30:00 CET 2015, Time: ,Fri Dec 11 17:30:00 CET 2015, Event: ,JYP v Tappara, Favorite: ,JYP, 66423   size:13.7,Price: ,1.04,Tappara, 66427   size:13.7,Price: ,1.04,Tie, 60104   size:13.7,Price: ,1.04,ok
1.122218435, Sport: ,Soccer, Time: ,Fri Dec 11 14:00:00 CET 2015, Time: ,Fri Dec 11 14:00:00 CET 2015, Event: ,Al Hussein v Al Sareeh, Favorite: ,Al Sareeh, 6528785   size:8.63,Price: ,2.48,Al Hussein, 5360907   size:2.46,Price: ,2.68,The Draw, 58805   size:4.22,Price: ,3.2,ok
1.122183244, Sport: ,Rugby Union, Time: ,Thu Dec 10 20:45:00 CET 2015, Time: ,Thu Dec 10 20:45:00 CET 2015, Event: ,Agen v Grenoble, Favorite: ,Grenoble, 233950   size:21.49,Price: ,1.28,Agen, 690999   size:112.99,Price: ,4.7,Draw, 246289   size:16.4,Price: ,23.0,ok
1.122216638, Sport: ,Soccer, Time: ,Fri Dec 11 16:30:00 CET 2015, Time: ,Fri Dec 11 16:30:00 CET 2015, Event: ,Al Sharjah v Bani Yas, Favorite: ,Bani Yas, 6057930   size:2.55,Price: ,2.36,Al Sharjah, 3607226   size:2.55,Price: ,2.8,The Draw, 58805   size:16.65,Price: ,3.35,x
1.122194707, Sport: ,Soccer, Time: ,Fri Dec 11 18:00:00 CET 2015, Time: ,Fri Dec 11 18:00:00 CET 2015, Event: ,Elazigspor v Karabukspor, Favorite: ,Elazigspor, 196063   size:10.16,Price: ,2.44,Kar,ok
1.122194701, Sport: ,Soccer, Time: ,Fri Dec 11 18:00:00 CET 2015, Time: ,Fri Dec 11 18:00:00 CET 2015, Event: ,Alanyaspor v Adanaspor, Favorite: ,Alanyaspor, 2080777   size:2.55,Price: ,2.2,Adanaspor, 114383   size:11.08,Price: ,3.5,The Draw, 58805   size:2.55,Price: ,3.55,x
1.122026988, Sport: ,Soccer, Time: ,Thu Dec 10 19:00:00 CET 2015, Time: ,Thu Dec 10 19:00:00 CET 2015, Event: ,Plzen v Villarreal, Favorite: ,The Draw, 58805   size:189.67,Price: ,2.62,Plzen, 471040   size:192.15,Price: ,3.8,Villarreal, 28191   size:125.96,Price: ,2.76,ok
1.121967903, Sport: ,Mixed Martial Arts, Time: ,Fri Dec 11 04:00:00 CET 2015, Time: ,Fri Dec 11 04:00:00 CET 2015, Event: ,Miller v Chiesa, Favorite: ,Michael Chiesa, 7052487   size:3.72,Price: ,1.83,Jim Miller, 3832573   size:2.68,Price: ,2.08,ok
1.122180765, Sport: ,Handball, Time: ,Fri Dec 11 16:00:00 CET 2015, Time: ,Fri Dec 11 16:00:00 CET 2015, Event: ,Puerto Rico v Kazakhstan, Favorite: ,Kazakhstan, 620379   size:2.77,Price: ,1.03,Puerto Rico, 9978204   size:18.0,Price: ,1.15,Draw, 330157   size:18.0,Price: ,1.15,x
