1.122299321, Sport: ,Soccer, Time: ,Thu Dec 17 17:40:00 CET 2015, Time: ,Thu Dec 17 17:40:00 CET 2015, Event: ,Al Qadsia v Khaitan, Favorite: ,Al Qadsia, 2909647   size:45.0,Price: ,1.25,Khaitan, 9359990   size:45.0,Price: ,1.25,The Draw, 58805   size:5.2,Price: ,3.1,x
1.122214082, Sport: ,Soccer, Time: ,Thu Dec 17 14:00:00 CET 2015, Time: ,Thu Dec 17 14:00:00 CET 2015, Event: ,Olympiakos Volou v PAOK, Favorite: ,PAOK, 232095   size:43.89,Price: ,2.26,Olympiakos Volou, 2126375   size:94.35,Price: ,3.0,The Draw, 58805   size:6.47,Price: ,4.4,x
1.122232185, Sport: ,Snooker, Time: ,Thu Dec 17 20:00:00 CET 2015, Time: ,Thu Dec 17 20:00:00 CET 2015, Event: ,Xiao Goudong v Lee Walker, Favorite: ,Xiao Goudong, 10616873   size:2.55,Price: ,1.41,lee walker, 2620445   size:8.54,Price: ,3.0,ok
1.122294676, Sport: ,Basketball, Time: ,Thu Dec 17 18:00:00 CET 2015, Time: ,Thu Dec 17 18:00:00 CET 2015, Event: ,Orduspor (W) v Udominate (W), Favorite: ,Orduspor (W), 8978711   size:4.49,Price: ,1.07,Udominate (W), 8978731   size:3.59,Price: ,1.26,ok
1.122213791, Sport: ,Soccer, Time: ,Thu Dec 17 18:45:00 CET 2015, Time: ,Thu Dec 17 18:45:00 CET 2015, Event: ,Al Ahly v Smouha, Favorite: ,Al Ahly, 1328423   size:6.0,Price: ,1.29,Smouha, 5170871   size:3.37,Price: ,7.8,The Draw, 58805   size:2.67,Price: ,5.5,x
1.122286132, Sport: ,Basketball, Time: ,Thu Dec 17 20:45:00 CET 2015, Time: ,Thu Dec 17 20:45:00 CET 2015, Event: ,Real Madrid v Strasbourg, Favorite: ,Real Madrid, 266274   size:420.39,Price: ,1.04,Strasbourg, 1193143   size:4.21,Price: ,1.5,ok
1.122300764, Sport: ,Basketball, Time: ,Fri Dec 18 01:30:00 CET 2015, Time: ,Fri Dec 18 01:30:00 CET 2015, Event: ,San Martin v Sionista, Favorite: ,San Martin, 8861781   size:2.75,Price: ,1.03,Sionista, 6719083   size:2.75,Price: ,1.03,ok
1.122267337, Sport: ,Ice Hockey, Time: ,Fri Dec 18 01:35:00 CET 2015, Time: ,Fri Dec 18 01:35:00 CET 2015, Event: ,Los Angeles @ Montreal, Favorite: ,Montreal, 2112345   size:3.98,Price: ,2.36,Los Angeles, 2112286   size:2.1,Price: ,2.38,Tie, 60104   size:3.53,Price: ,3.55,x
1.122294702, Sport: ,Basketball, Time: ,Thu Dec 17 20:30:00 CET 2015, Time: ,Thu Dec 17 20:30:00 CET 2015, Event: ,BCF Elfic Fribourg Wome v PEAC Pecs (W), Favorite: ,BCF Elfic Fribourg Wome, 10459538   size:2.84,Price: ,1.46,PEAC Pecs (W), 8978753   size:2.69,Price: ,1.54,x
1.122287066, Sport: ,Basketball, Time: ,Fri Dec 18 02:05:00 CET 2015, Time: ,Fri Dec 18 02:05:00 CET 2015, Event: ,Oklahoma City @ Cleveland, Favorite: ,Cleveland, 13112   size:2.55,Price: ,1.52,Oklahoma City, 3363394   size:2.55,Price: ,1.86,ok
1.122284754, Sport: ,Volleyball, Time: ,Thu Dec 17 16:00:00 CET 2015, Time: ,Thu Dec 17 16:00:00 CET 2015, Event: ,Stiinta Bacau v Spartak Subotica, Favorite: ,Stiinta Bacau, 6781536   size:3.84,Price: ,1.15,Spartak Subotica, 10410560   size:14.77,Price: ,2.64,ok
1.122213317, Sport: ,Soccer, Time: ,Thu Dec 17 21:00:00 CET 2015, Time: ,Thu Dec 17 21:00:00 CET 2015, Event: ,Sampdoria v AC Milan, Favorite: ,AC Milan, 127991   size:330.09,Price: ,2.3,Sampdoria, 60311   size:43.87,Price: ,3.45,The Draw, 58805   size:2296.24,Price: ,3.5,ok
1.122267331, Sport: ,Ice Hockey, Time: ,Fri Dec 18 01:35:00 CET 2015, Time: ,Fri Dec 18 01:35:00 CET 2015, Event: ,San Jose @ Toronto, Favorite: ,San Jose, 2110001   size:5.56,Price: ,2.24,Toronto, 2108073   size:2.62,Price: ,2.46,Tie, 60104   size:4.56,Price: ,3.45,x
