1.121534211, Sport: ,Soccer, Time: ,Fri Nov 06 19:00:00 CET 2015, Time: ,Fri Nov 06 19:00:00 CET 2015, Event: ,Ingolstadt II v Unterhaching, Favorite: ,Unterhaching, 64371   size:69.83,Price: ,1.99,Ingolstadt II, 5763642   size:26.44,Price: ,4.0,The Draw, 58805   size:51.22,Price: ,3.75,ok
1.121530091, Sport: ,Soccer, Time: ,Fri Nov 06 21:30:00 CET 2015, Time: ,Fri Nov 06 21:30:00 CET 2015, Event: ,Estoril v Academica, Favorite: ,Estoril, 505980   size:7.12,Price: ,1.79,Academica, 203143   size:9.26,Price: ,5.8,The Draw, 58805   size:121.48,Price: ,3.65,x
1.121533242, Sport: ,Soccer, Time: ,Fri Nov 06 20:00:00 CET 2015, Time: ,Fri Nov 06 20:00:00 CET 2015, Event: ,Helmond Sport v Jong PSV, Favorite: ,Helmond Sport, 419129   size:72.92,Price: ,1.72,Jong PSV, 3348592   size:143.67,Price: ,5.1,The Draw, 58805   size:258.77,Price: ,4.2,ok
1.121618413, Sport: ,Rugby Union, Time: ,Fri Nov 06 20:45:00 CET 2015, Time: ,Fri Nov 06 20:45:00 CET 2015, Event: ,Harlequins v Sale, Favorite: ,Harlequins, 37893   size:18.0,Price: ,1.28,Sale, 3139   size:2.68,Price: ,4.8,Draw, 246289   size:6.52,Price: ,32.0,ok
1.121630544, Sport: ,Soccer, Time: ,Sat Nov 07 02:00:00 CET 2015, Time: ,Sat Nov 07 02:00:00 CET 2015, Event: ,Atlante v Lobos BUAP, Favorite: ,Atlante, 230270   size:2.76,Price: ,2.36,Lobos BUAP, 6138085   size:2.21,Price: ,2.94,The Draw, 58805   size:6.94,Price: ,3.3,x
1.121669044, Sport: ,Tennis, Time: ,Sat Nov 07 08:00:00 CET 2015, Time: ,Sat Nov 07 08:00:00 CET 2015, Event: ,Bai/Ghedin v Lee/Lu, Favorite: ,Lee/Lu, 10482813   size:2.55,Price: ,1.72,Bai/Ghedin, 10220762   size:2.55,Price: ,2.0,ok
1.121696839, Sport: ,Tennis, Time: ,Sat Nov 07 03:00:00 CET 2015, Time: ,Sat Nov 07 03:00:00 CET 2015, Event: ,Tanuma v Habusawa, Favorite: ,Ryota Tanuma, 9630765   size:7.44,Price: ,1.04,Tetsuro Habusawa, 9631139   size:7.44,Price: ,1.04,ok
1.121693828, Sport: ,Tennis, Time: ,Sat Nov 07 05:00:00 CET 2015, Time: ,Sat Nov 07 05:00:00 CET 2015, Event: ,Lykina v Webley-Smith, Favorite: ,Ksenia Lykina, 4198444   size:3.72,Price: ,1.08,Emily Webley-Smith, 8595920   size:3.72,Price: ,1.08,ok
1.121693826, Sport: ,Tennis, Time: ,Sat Nov 07 06:30:00 CET 2015, Time: ,Sat Nov 07 06:30:00 CET 2015, Event: ,Chang Liu v Pe Plipuech, Favorite: ,Chang Liu, 7656823   size:3.72,Price: ,1.08,Peangtarn Plipuech, 8244519   size:3.72,Price: ,1.08,ok
1.121693820, Sport: ,Tennis, Time: ,Sat Nov 07 06:30:00 CET 2015, Time: ,Sat Nov 07 06:30:00 CET 2015, Event: ,Aoyama v Eto, Favorite: ,Shuko Aoyama, 5596565   size:4.26,Price: ,1.02,Naoko Eto, 8710311   size:3.72,Price: ,1.08,ok
