1.121963886, Sport: ,Basketball, Time: ,Wed Nov 25 20:30:00 CET 2015, Time: ,Wed Nov 25 20:30:00 CET 2015, Event: ,Bilbao v Bonn, Favorite: ,Bilbao, 1321584   size:17.63,Price: ,1.14,Bonn, 2293349   size:12.0,Price: ,7.2,ok
1.121989634, Sport: ,Tennis, Time: ,Thu Nov 26 03:30:00 CET 2015, Time: ,Thu Nov 26 03:30:00 CET 2015, Event: ,Eguchi v Ninomiya, Favorite: ,Misa Eguchi, 6145788   size:5.4,Price: ,1.22,Makoto Ninomiya, 7750118   size:7.28,Price: ,4.4,ok
1.121984340, Sport: ,Soccer, Time: ,Thu Nov 26 04:00:00 CET 2015, Time: ,Thu Nov 26 04:00:00 CET 2015, Event: ,Mineros de Zacatecas v FC Juarez, Favorite: ,Mineros de Zacatecas, 8692849   size:74.92,Price: ,2.36,FC Juarez, 10002706   size:2.16,Price: ,3.05,The Draw, 58805   size:45.94,Price: ,3.25,x
1.121986369, Sport: ,Tennis, Time: ,Wed Nov 25 19:30:00 CET 2015, Time: ,Wed Nov 25 19:30:00 CET 2015, Event: ,Cecchinato v Clezar, Favorite: ,Marco Cecchinato, 6374165   size:19.9,Price: ,1.66,Guilherme Clezar, 5304142   size:12.28,Price: ,2.38,x
1.121933673, Sport: ,Ice Hockey, Time: ,Thu Nov 26 04:05:00 CET 2015, Time: ,Thu Nov 26 04:05:00 CET 2015, Event: ,Chicago @ San Jose, Favorite: ,San Jose, 2110001   size:308.0,Price: ,2.44,Chicago, 2109831   size:520.0,Price: ,2.6,Tie, 60104   size:26.31,Price: ,4.2,x
1.121658159, Sport: ,Soccer, Time: ,Wed Nov 25 20:45:00 CET 2015, Time: ,Wed Nov 25 20:45:00 CET 2015, Event: ,Mgladbach v Sevilla, Favorite: ,Mgladbach, 84649   size:3939.92,Price: ,2.44,Sevilla, 44508   size:230.38,Price: ,3.0,The Draw, 58805   size:5207.31,Price: ,3.8,ok
1.121658434, Sport: ,Soccer, Time: ,Wed Nov 25 20:45:00 CET 2015, Time: ,Wed Nov 25 20:45:00 CET 2015, Event: ,Malmo FF v Paris St-G, Favorite: ,Paris St-G, 489720   size:90792.39,Price: ,1.24,Malmo FF, 174383   size:160.93,Price: ,15.5,The Draw, 58805   size:423.83,Price: ,7.2,ok
1.121920599, Sport: ,Volleyball, Time: ,Wed Nov 25 18:00:00 CET 2015, Time: ,Wed Nov 25 18:00:00 CET 2015, Event: ,PGE Skra Belchatow v Jastrzebski Wegiel, Favorite: ,PGE Skra Belchatow, 2593074   size:2.84,Price: ,1.03,Jastrzebski Wegiel, 4263016   size:30.8,Price: ,4.5,ok
1.121988949, Sport: ,Tennis, Time: ,Wed Nov 25 18:58:00 CET 2015, Time: ,Wed Nov 25 18:58:00 CET 2015, Event: ,Abanda v Maria, Favorite: ,Tatjana Maria, 7299657   size:716.03,Price: ,1.68,Francoise Abanda, 6564406   size:191.82,Price: ,2.44,ok
1.121920598, Sport: ,Volleyball, Time: ,Wed Nov 25 19:00:00 CET 2015, Time: ,Wed Nov 25 19:00:00 CET 2015, Event: ,Lotos Trefl Gdansk v Luczniczka Bydgoszcz, Favorite: ,Lotos Trefl Gdansk, 6008912   size:673.01,Price: ,1.16,Luczniczka Bydgoszcz, 10442829   size:52.59,Price: ,3.05,ok
1.121933270, Sport: ,Ice Hockey, Time: ,Thu Nov 26 01:05:00 CET 2015, Time: ,Thu Nov 26 01:05:00 CET 2015, Event: ,Vancouver @ Minnesota, Favorite: ,Minnesota, 2109894   size:460.0,Price: ,2.2,Vancouver, 2109691   size:2.19,Price: ,3.0,Tie, 60104   size:95.0,Price: ,4.1,x
