1.119711361, Sport: ,Baseball, Time: ,Tue Aug 04 01:10:00 CEST 2015, Time: ,Tue Aug 04 01:10:00 CEST 2015, Event: ,SF @ ATL, Favorite: ,San Francisco (M Cain), 1240009   size:304.0,Price: ,1.69,Atlanta (M Foltynewicz), 9449904   size:5.0,Price: ,2.4,x
1.119825214, Sport: ,Tennis, Time: ,Tue Aug 04 01:30:00 CEST 2015, Time: ,Tue Aug 04 01:30:00 CEST 2015, Event: ,Aoyama/Hozumi v Bogdan/Broady, Favorite: ,Aoyama/Hozumi, 10108724   size:2.55,Price: ,1.49,Bogdan/Broady, 10108725   size:8.54,Price: ,2.44,ok
1.119810759, Sport: ,Tennis, Time: ,Mon Aug 03 20:15:00 CEST 2015, Time: ,Mon Aug 03 20:15:00 CEST 2015, Event: ,Brengle v Begu, Favorite: ,Irina-Camelia Begu, 7642289   size:27.67,Price: ,1.64,Madison Brengle, 2263603   size:43.23,Price: ,2.5,ok
1.119668727, Sport: ,Soccer, Time: ,Mon Aug 03 20:45:00 CEST 2015, Time: ,Mon Aug 03 20:45:00 CEST 2015, Event: ,MK Dons v Chelsea XI, Favorite: ,MK Dons, 893582   size:2.2,Price: ,2.26,Chelsea XI, 6568565   size:2.03,Price: ,2.46,The Draw, 58805   size:62.04,Price: ,3.35,x
1.119711369, Sport: ,Baseball, Time: ,Tue Aug 04 02:05:00 CEST 2015, Time: ,Tue Aug 04 02:05:00 CEST 2015, Event: ,HOU @ TEX, Favorite: ,Houston (L McCullers), 9496284   size:3.0,Price: ,1.83,Texas (C Lewis), 4634645   size:319.7,Price: ,2.14,x
1.119554918, Sport: ,American Football, Time: ,Tue Aug 04 01:00:00 CEST 2015, Time: ,Tue Aug 04 01:00:00 CEST 2015, Event: ,Toronto @ Hamilton, Favorite: ,Hamilton, 2014691   size:7.55,Price: ,1.6,Toronto, 2014644   size:102.5,Price: ,2.46,ok
1.119711329, Sport: ,Baseball, Time: ,Mon Aug 03 19:07:00 CEST 2015, Time: ,Mon Aug 03 19:07:00 CEST 2015, Event: ,MIN @ TOR, Favorite: ,Toronto (D Price), 10108182   size:524.12,Price: ,1.45,Minnesota (E Santana), 9844428   size:36.93,Price: ,3.1,ok
1.119659576, Sport: ,Soccer, Time: ,Mon Aug 03 19:00:00 CEST 2015, Time: ,Mon Aug 03 19:00:00 CEST 2015, Event: ,IF Sylvia v AFK Linkoping, Favorite: ,IF Sylvia, 4638303   size:3.23,Price: ,1.69,AFK Linkoping, 9374082   size:6.87,Price: ,2.04,The Draw, 58805   size:8.85,Price: ,3.65,ok
1.119667440, Sport: ,Soccer, Time: ,Mon Aug 03 19:00:00 CEST 2015, Time: ,Mon Aug 03 19:00:00 CEST 2015, Event: ,IFK Skovde v Tibro AIK FK, Favorite: ,Tibro AIK FK, 2994135   size:2.55,Price: ,1.79,IFK Skovde, 9371551   size:5.68,Price: ,3.85,The Draw, 58805   size:8.02,Price: ,4.0,ok
1.119829570, Sport: ,Tennis, Time: ,Mon Aug 03 23:45:00 CEST 2015, Time: ,Mon Aug 03 23:45:00 CEST 2015, Event: ,Matosevic v Bemelmans, Favorite: ,Marinko Matosevic, 4423909   size:45.99,Price: ,1.73,Ruben Bemelmans, 2831873   size:93.0,Price: ,2.24,x
1.119829452, Sport: ,Tennis, Time: ,Mon Aug 03 23:00:00 CEST 2015, Time: ,Mon Aug 03 23:00:00 CEST 2015, Event: ,Muhammad/Tomljanovic v Irigoyen/Kania, Favorite: ,Irigoyen/Kania, 10080585   size:3.36,Price: ,1.9,Muhammad/Tomljanovic, 10109069   size:71.17,Price: ,1.91,x
