1.119551595, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,York City v Sheff Wed, Favorite: ,Sheff Wed, 47992   size:4.24,Price: ,1.85,The Draw, 58805   size:2.89,Price: ,3.1,York City, 256226   size:2.89,Price: ,3.5,x
1.119541674, Sport: ,Soccer, Time: ,Sat Jul 18 18:30:00 CEST 2015, Time: ,Sat Jul 18 18:30:00 CEST 2015, Event: ,Sweden U19 (W) v Denmark U19 (W), Favorite: ,Sweden U19 (W), 4044103   size:7.88,Price: ,2.04,Denmark U19 (W), 5445806   size:4.97,Price: ,3.25,The Draw, 58805   size:3.95,Price: ,3.7,ok
1.119516133, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Dumbarton v Clydebank, Favorite: ,Dumbarton, 2152   size:2.63,Price: ,1.1,The Draw, 58805   size:5.5,Price: ,7.6,Clydebank, 119332   size:5.25,Price: ,14.0,ok
1.119515165, Sport: ,Volleyball, Time: ,Sat Jul 18 13:30:00 CEST 2015, Time: ,Sat Jul 18 13:30:00 CEST 2015, Event: ,China (W) v USA (W), Favorite: ,China (W), 7676900   size:2.52,Price: ,1.54,USA (W), 8555561   size:106.18,Price: ,2.46,ok
1.119571298, Sport: ,Tennis, Time: ,Sat Jul 18 11:45:00 CEST 2015, Time: ,Sat Jul 18 11:45:00 CEST 2015, Event: ,Sergiienko v Perez Mota, Favorite: ,Mauricio Perez Mota, 9260515   size:13.66,Price: ,1.1,Sergiy Sergiienko, 9628526   size:2.57,Price: ,1.53,x
1.119355190, Sport: ,Basketball, Time: ,Sat Jul 18 16:30:00 CEST 2015, Time: ,Sat Jul 18 16:30:00 CEST 2015, Event: ,China U19 (W) v Egypt U19 (W), Favorite: ,China U19 (W), 7433615   size:2.88,Price: ,1.02,Egypt U19 (W), 9789212   size:144.07,Price: ,1.03,ok
1.119540671, Sport: ,Tennis, Time: ,Sat Jul 18 14:00:00 CEST 2015, Time: ,Sat Jul 18 14:00:00 CEST 2015, Event: ,3. Mergea/Tecau v Martin/Zelenay, Favorite: ,Mergea/Tecau, 2825704   size:504.67,Price: ,1.09,Martin/Zelenay, 8522698   size:2.99,Price: ,1.38,x
1.119355193, Sport: ,Basketball, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,Russia U19 (W) v Chinese Taipei U19 (W), Favorite: ,Chinese Taipei U19 (W), 9789213   size:2.88,Price: ,1.02,x
1.119429873, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Union Gurten v SV Grodig, Favorite: ,SV Grodig, 3164532   size:3.08,Price: ,1.32,The Draw, 58805   size:3.26,Price: ,5.2,Union Gurten, 8678224   size:3.61,Price: ,7.2,x
1.119516203, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Falkirk v Partick, Favorite: ,Partick, 191567   size:4.55,Price: ,2.1,Falkirk, 328049   size:2.63,Price: ,2.88,The Draw, 58805   size:69.88,Price: ,3.1,x
1.119428666, Sport: ,Soccer, Time: ,Sat Jul 18 18:00:00 CEST 2015, Time: ,Sat Jul 18 18:00:00 CEST 2015, Event: ,Fram v KA Akureyri, Favorite: ,KA Akureyri, 399804   size:4.51,Price: ,2.04,Fram, 808415   size:40.79,Price: ,3.65,The Draw, 58805   size:6.59,Price: ,3.75,x
1.119538599, Sport: ,Tennis, Time: ,Sat Jul 18 14:00:00 CEST 2015, Time: ,Sat Jul 18 14:00:00 CEST 2015, Event: ,3. Kubot/Matkowski v Manafov/Molchanov, Favorite: ,Kubot/Matkowski, 7388523   size:121.68,Price: ,1.02,Manafov/Molchanov, 7652981   size:7.34,Price: ,3.55,x
1.119551454, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Weston-super-Mare v Cheltenham, Favorite: ,Cheltenham, 18559   size:3.19,Price: ,1.71,The Draw, 58805   size:58.01,Price: ,3.55,Weston-super-Mare, 597722   size:53.82,Price: ,3.75,ok
1.119551313, Sport: ,Soccer, Time: ,Sat Jul 18 11:00:00 CEST 2015, Time: ,Sat Jul 18 11:00:00 CEST 2015, Event: ,Warta Poznan v Jarota Jarocin, Favorite: ,Warta Poznan, 3348521   size:2.06,Price: ,1.52,The Draw, 58805   size:4.42,Price: ,4.2,Jarota Jarocin, 4935906   size:2.19,Price: ,5.0,ok
1.119549495, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Oostende v Lille, Favorite: ,Lille, 44790   size:2.87,Price: ,2.22,Oostende, 505717   size:9.1,Price: ,2.58,The Draw, 58805   size:4.15,Price: ,3.2,ok
1.119488612, Sport: ,Soccer, Time: ,Sat Jul 18 15:00:00 CEST 2015, Time: ,Sat Jul 18 15:00:00 CEST 2015, Event: ,FC Santa Claus v JBK, Favorite: ,FC Santa Claus, 3844379   size:2.63,Price: ,1.9,JBK, 498150   size:3.99,Price: ,3.45,The Draw, 58805   size:2.63,Price: ,4.0,ok
1.119430503, Sport: ,Soccer, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,Banik Ostrava v MFK Karvina, Favorite: ,Banik Ostrava, 367581   size:2.63,Price: ,2.02,MFK Karvina, 3358864   size:2.63,Price: ,3.05,The Draw, 58805   size:3.91,Price: ,3.35,x
1.119504341, Sport: ,Soccer, Time: ,Sat Jul 18 18:00:00 CEST 2015, Time: ,Sat Jul 18 18:00:00 CEST 2015, Event: ,MTK Budapest v Puskas Academia, Favorite: ,MTK Budapest, 473659   size:2.63,Price: ,1.08,The Draw, 58805   size:2.06,Price: ,3.4,Puskas Academia, 7429080   size:2.06,Price: ,4.4,ok
1.119428554, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,BI Bolungarvik v Selfoss, Favorite: ,Selfoss, 3968964   size:10.29,Price: ,2.16,BI Bolungarvik, 5419489   size:2.89,Price: ,3.4,The Draw, 58805   size:3.96,Price: ,3.75,x
1.119574668, Sport: ,Tennis, Time: ,Sat Jul 18 17:45:00 CEST 2015, Time: ,Sat Jul 18 17:45:00 CEST 2015, Event: ,W Jones v Kamynin, Favorite: ,Dmitriy Kamynin, 9624570   size:45.53,Price: ,1.03,ok
1.119574669, Sport: ,Tennis, Time: ,Sat Jul 18 17:30:00 CEST 2015, Time: ,Sat Jul 18 17:30:00 CEST 2015, Event: ,Giron v Bybel, Favorite: , Nicholas Bybel  , 10012078   size:45.53,Price: ,1.03,x
1.119546076, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Crusaders v Kilmarnock, Favorite: ,Kilmarnock, 56086   size:6.19,Price: ,1.6,The Draw, 58805   size:56.48,Price: ,3.55,Crusaders, 539982   size:48.82,Price: ,3.95,ok
1.119547289, Sport: ,Soccer, Time: ,Sat Jul 18 15:30:00 CEST 2015, Time: ,Sat Jul 18 15:30:00 CEST 2015, Event: ,GKS Tychy v FC Koln, Favorite: ,FC Koln, 44783   size:3.67,Price: ,1.4,The Draw, 58805   size:3.84,Price: ,4.4,GKS Tychy, 2618019   size:2.92,Price: ,6.2,ok
1.119571270, Sport: ,Tennis, Time: ,Sat Jul 18 11:45:00 CEST 2015, Time: ,Sat Jul 18 11:45:00 CEST 2015, Event: ,Leite v Urbanija, Favorite: ,Wilson Leite, 7444854   size:13.59,Price: ,1.41,Mike Urbanija, 7444987   size:3.73,Price: ,2.7,ok
1.119432934, Sport: ,Soccer, Time: ,Sat Jul 18 17:45:00 CEST 2015, Time: ,Sat Jul 18 17:45:00 CEST 2015, Event: ,Luzern v Sion, Favorite: ,Luzern, 65784   size:15.86,Price: ,2.08,The Draw, 58805   size:12.0,Price: ,3.6,Sion, 65785   size:95.69,Price: ,4.0,x
1.119551671, Sport: ,Soccer, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,Zlin v FC Nitra, Favorite: ,Zlin, 367580   size:8.68,Price: ,1.59,The Draw, 58805   size:56.72,Price: ,3.65,FC Nitra, 1506281   size:47.4,Price: ,4.1,ok
1.119574655, Sport: ,Tennis, Time: ,Sat Jul 18 18:00:00 CEST 2015, Time: ,Sat Jul 18 18:00:00 CEST 2015, Event: ,Jomby v Silverman, Favorite: ,Tom Jomby, 8859046   size:45.53,Price: ,1.03,Cameron Silverman, 9633778   size:17.07,Price: ,1.08,ok
1.119548025, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Harrogate Town v Barrow, Favorite: ,Barrow, 62647   size:2.11,Price: ,1.84,The Draw, 58805   size:65.21,Price: ,3.25,ok
1.119550203, Sport: ,Soccer, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,Sigma Olomouc v Prostejov, Favorite: ,Sigma Olomouc, 50337   size:3.1,Price: ,1.31,The Draw, 58805   size:44.58,Price: ,4.3,Prostejov, 6607086   size:36.63,Price: ,6.4,ok
1.119571142, Sport: ,Tennis, Time: ,Sat Jul 18 15:45:00 CEST 2015, Time: ,Sat Jul 18 15:45:00 CEST 2015, Event: ,Stanek v Lapentti, Favorite: ,Giovanni Lapentti, 1565   size:22.76,Price: ,1.06,Robin Stanek, 8599863   size:3.9,Price: ,1.35,ok
1.119549354, Sport: ,Soccer, Time: ,Sat Jul 18 15:00:00 CEST 2015, Time: ,Sat Jul 18 15:00:00 CEST 2015, Event: ,Northampton v Derby, Favorite: ,Derby, 48325   size:2.48,Price: ,1.64,The Draw, 58805   size:2.65,Price: ,3.6,Northampton, 5034   size:2.38,Price: ,4.0,ok
1.119547172, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,GKS Belchatow v GKS Katowice, Favorite: ,GKS Belchatow, 1209554   size:5.91,Price: ,1.73,The Draw, 58805   size:62.58,Price: ,3.35,GKS Katowice, 3351396   size:56.48,Price: ,3.55,ok
