1.119156984, Sport: ,Tennis, Time: ,Tue Jun 16 10:30:00 CEST 2015, Time: ,Tue Jun 16 10:30:00 CEST 2015, Event: ,Klec v Riba, Favorite: ,Pere Riba, 2489421   size:98.4,Price: ,1.3,Ivo Klec, 2743820   size:33.48,Price: ,3.9,
1.119170085, Sport: ,Tennis, Time: ,Tue Jun 16 15:00:00 CEST 2015, Time: ,Tue Jun 16 15:00:00 CEST 2015, Event: ,Cetkovska v Erakovic, Favorite: ,Marina Erakovic, 2250859   size:94.0,Price: ,1.3,Petra Cetkovska, 2415583   size:6.78,Price: ,3.95,
1.119156311, Sport: ,Tennis, Time: ,Tue Jun 16 08:45:00 CEST 2015, Time: ,Tue Jun 16 08:45:00 CEST 2015, Event: ,Karimov v Ti Chen, Favorite: ,Ti Chen, 2559490   size:3.54,Price: ,1.31,Djurabeck Karimov, 8599058   size:15.95,Price: ,3.65,
1.119156996, Sport: ,Tennis, Time: ,Tue Jun 16 14:00:00 CEST 2015, Time: ,Tue Jun 16 14:00:00 CEST 2015, Event: ,De Novak v Gombos, Favorite: ,Norbert Gombos, 8173023   size:18.84,Price: ,1.32,Dennis Novak, 7335936   size:11.09,Price: ,3.8,
1.119157054, Sport: ,Tennis, Time: ,Tue Jun 16 14:30:00 CEST 2015, Time: ,Tue Jun 16 14:30:00 CEST 2015, Event: ,H Zeballos v Musialek, Favorite: ,Horacio Zeballos, 3506037   size:5.76,Price: ,1.32,Alexis Musialek, 8443099   size:9.88,Price: ,3.8,
1.119040582, Sport: ,Snooker, Time: ,Tue Jun 16 09:00:00 CEST 2015, Time: ,Tue Jun 16 09:00:00 CEST 2015, Event: ,Malaysia v Belgium, Favorite: ,Belgium, 5674274   size:2.55,Price: ,1.32,Malaysia, 9546435   size:2.55,Price: ,3.75,
1.119158212, Sport: ,Tennis, Time: ,Tue Jun 16 12:00:00 CEST 2015, Time: ,Tue Jun 16 12:00:00 CEST 2015, Event: ,Giraldo v Karlovic, Favorite: ,Ivo Karlovic, 2263570   size:24.02,Price: ,1.34,Santiago Giraldo, 2415499   size:40.98,Price: ,3.6,
1.119158365, Sport: ,Tennis, Time: ,Tue Jun 16 13:45:00 CEST 2015, Time: ,Tue Jun 16 13:45:00 CEST 2015, Event: ,Rosol v Monfils, Favorite: ,Gael Monfils, 2257300   size:133.18,Price: ,1.34,Lukas Rosol, 2258415   size:10.85,Price: ,3.55,
1.119167488, Sport: ,Tennis, Time: ,Tue Jun 16 16:15:00 CEST 2015, Time: ,Tue Jun 16 16:15:00 CEST 2015, Event: ,R Olivo v Tabatruong, Favorite: ,Renzo Olivo, 4822931   size:7.29,Price: ,1.34,Maxime Tabatruong, 8859042   size:2.92,Price: ,3.35,
1.119040611, Sport: ,Snooker, Time: ,Tue Jun 16 15:30:00 CEST 2015, Time: ,Tue Jun 16 15:30:00 CEST 2015, Event: ,England v China B, Favorite: ,England, 20130   size:5.0,Price: ,1.34,China B, 9546432   size:85.21,Price: ,3.55,
1.119159532, Sport: ,Tennis, Time: ,Tue Jun 16 11:45:00 CEST 2015, Time: ,Tue Jun 16 11:45:00 CEST 2015, Event: ,Dellien v Ramirez Hidalgo, Favorite: ,Ruben Ramirez Hidalgo, 2257299   size:3.85,Price: ,1.35,Hugo Dellien, 8226987   size:3.07,Price: ,3.35,
1.119040580, Sport: ,Snooker, Time: ,Tue Jun 16 09:00:00 CEST 2015, Time: ,Tue Jun 16 09:00:00 CEST 2015, Event: ,Hong Kong v Iran, Favorite: ,Hong Kong, 5674290   size:5.44,Price: ,1.35,Iran, 9546436   size:4.71,Price: ,3.4,
1.119167029, Sport: ,Tennis, Time: ,Tue Jun 16 14:00:00 CEST 2015, Time: ,Tue Jun 16 14:00:00 CEST 2015, Event: ,Kostova v Parmentier, Favorite: ,Pauline Parmentier, 2309569   size:7.06,Price: ,1.35,Elitsa Kostova, 6196031   size:3.27,Price: ,3.25,
1.119159540, Sport: ,Tennis, Time: ,Tue Jun 16 13:30:00 CEST 2015, Time: ,Tue Jun 16 13:30:00 CEST 2015, Event: ,M Krueger v Fratangelo, Favorite: ,Bjorn Fratangelo, 7593723   size:6.29,Price: ,1.36,Mitchell Krueger, 6603910   size:27.91,Price: ,3.15,
1.119167492, Sport: ,Tennis, Time: ,Tue Jun 16 17:30:00 CEST 2015, Time: ,Tue Jun 16 17:30:00 CEST 2015, Event: ,G Escobar v Clezar, Favorite: ,Guilherme Clezar, 5304142   size:6.71,Price: ,1.36,Gonzalo Escobar, 7660810   size:2.84,Price: ,3.2,
1.119159472, Sport: ,Tennis, Time: ,Tue Jun 16 17:15:00 CEST 2015, Time: ,Tue Jun 16 17:15:00 CEST 2015, Event: ,Przysiezny v An Kuznetsov, Favorite: ,Andrey Kuznetsov, 4257454   size:7.52,Price: ,1.37,Michal Przysiezny, 2475803   size:14.64,Price: ,3.1,
1.119162366, Sport: ,Tennis, Time: ,Tue Jun 16 07:00:00 CEST 2015, Time: ,Tue Jun 16 07:00:00 CEST 2015, Event: ,Ismailov v Kalovelonis, Favorite: ,Temur Ismailov, 8304044   size:47.2,Price: ,1.39,Markos Kalovelonis, 8713238   size:2.41,Price: ,3.3,
1.119167494, Sport: ,Tennis, Time: ,Tue Jun 16 15:30:00 CEST 2015, Time: ,Tue Jun 16 15:30:00 CEST 2015, Event: ,Dutra Silva v G Mina, Favorite: ,Rogerio Dutra Silva, 2301068   size:18.15,Price: ,1.39,Gianni Mina, 4720523   size:3.15,Price: ,3.05,
